,https://roic.ai/company/CDE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,9400000,-1700000,-14400000,-800000,-8100000,-3900000,1100000,-54600000,-14083000,-234300000,-28300000,-47800000,-3067000,-82678000,-67590000,-17766000,10998000,88486000,43890000,-8000,-31907000,-91308000,93499000,48677000,-650563000,-1155884000,-367183000,55352000,-1319000,-48405000,-341203000,25627000,-31322000
74,Depreciation and Amortization,- -,- -,- -,- -,11700000,7000000,6200000,5800000,13900000,17800000,16900000,13400000,35631000,31000000,22000000,26700000,11347000,13511000,16627000,21872000,23215000,27099000,21281000,- -,102713000,- -,- -,- -,- -,- -,- -,- -,- -,128473000,178876000,131387000,128315000
75,Deferred Income Tax,- -,- -,- -,- -,-700000,-1400000,1400000,-1700000,-3700000,-100000,-1800000,-1400000,-594000,- -,- -,- -,- -,- -,- -,-4403000,1629000,-2902000,2154000,-23165000,-38220000,-37628000,51792000,16163000,-177178000,-470897000,-40838000,-71350000,-13888000,-48441000,-36817000,-7283000,-10932000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692000,4876000,7217000,8122000,8010000,4812000,9288000,9272000,9715000,10541000,8328000,9189000,8548000,13660000
77,Change in Working Capital,- -,- -,- -,- -,-4100000,35600000,3000000,50600000,-74100000,65900000,-68000000,74000000,42010000,-67810000,4100000,-64900000,-53157000,-33198000,92479000,250436000,-64446000,97968000,-230692000,-160923000,5961000,-1934000,217368000,-44932000,218739000,13445000,-93506000,-12455000,-73325000,-84527000,-116517000,15716000,-35133000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-3800000,5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-4700000,-11000000,3400000,-200000,-2300000,-1300000,3200000,1800000,-3256000,-7800000,-10100000,-1200000,4616000,7311000,-3226000,-16798000,-8591000,-15555000,13172000,4799000,-26804000,-47887000,-30408000,-48305000,4031000,12971000,19573000,-35591000,23517000,-44488000,-62998000,-34538000,-27628000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,-1200000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,92600000,128200000,131200000,181800000,107700000,173600000,105600000,179600000,221610000,153800000,157900000,93000000,39843000,6645000,99124000,349560000,285114000,383082000,152390000,-8533000,-2572000,-4506000,212862000,167930000,386669000,400114000,306608000,294153000,220828000,136301000,19784000,35500000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-900000,-43100000,7600000,-56900000,76200000,-73300000,72700000,-23600000,-45741000,257410000,5100000,62200000,14981000,93881000,-46642000,-268720000,35279000,-119421000,203424000,174037000,21065000,289216000,45392000,243716000,717657000,1656975000,605797000,144555000,286447000,61990000,398352000,-25286000,45894000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,15400000,-3600000,3800000,-3000000,4200000,6400000,20900000,7800000,17223000,-13700000,2900000,-23800000,-29896000,-8484000,-5126000,-18581000,6675000,91230000,40057000,-7367000,64488000,165563000,416173000,271634000,113467000,52927000,113542000,125817000,208456000,17418000,91880000,148709000,110482000
84,CAPEX,- -,- -,- -,- -,-6200000,-17400000,-16700000,-21500000,-4600000,-33200000,-108400000,-62300000,-32087000,-12800000,-5600000,-11800000,-6956000,-10316000,-19914000,-10514000,-116827000,-147998000,-216978000,-365019000,-219095000,-155994000,-119988000,-115641000,-100813000,-64244000,-95193000,-101013000,-136734000,-140787000,-99772000,-99279000,-309781000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14643000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13727000,- -,- -,- -,- -,-29297000,-116898000,-21329000,-110846000,-1417000,-156248000,6914000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-200000,- -,- -,-21700000,-85400000,-107900000,-2400000,-149000000,-180511000,- -,- -,- -,-1256000,-40131000,-99782000,-63619000,-45657000,-317743000,-167346000,-336350000,-18564000,-5872000,-49501000,-12959000,-8052000,-50513000,-1880000,-178000,-15058000,-426000,-5023000,-2500000,-1955000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,43300000,70100000,92200000,204981000,- -,- -,- -,6195000,40870000,86168000,29864000,62296000,430292000,183121000,375047000,33083000,24244000,6246000,21695000,34796000,54344000,605000,7077000,11321000,31713000,9277000,30831000,935000
88,Other Investing Activites,- -,- -,- -,- -,-4100000,-200000,400000,1100000,-29600000,600000,2800000,-12200000,-1532000,83100000,-20500000,1800000,14649000,3602000,174000,482000,294000,30564000,3457000,-364933000,-163191000,-150067000,-117706000,-112554000,-96335000,-64236000,-99172000,-88925000,-121638000,-168669000,-96820000,-94002000,-303056000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10500000,-17600000,-16300000,-42100000,-119600000,-97200000,-37900000,-131300000,-23792000,70300000,-26100000,-10000000,12632000,-5975000,-33354000,-43787000,-99894000,-4885000,-211473000,-326236000,-148672000,-131695000,-160961000,-133115000,-186489000,-81734000,-211293000,-83443000,-281623000,-130468000,-92566000,-65671000,-304076000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32262000,-26187000,-142572000,-172510000,-97170000,-60628000,-25902000,-84715000,-322801000,-203045000,-95059000,-221854000,-175984000,-430101000
91,Common Stock Issued,- -,- -,- -,- -,- -,49100000,- -,- -,- -,- -,- -,144600000,- -,- -,- -,- -,- -,16000000,100810000,112604000,36493000,154560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,269556000,- -,- -,123059000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9105000,- -,-2232000,- -,-19971000,-27552000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1500000,-1500000,-1800000,-2300000,-2300000,-2300000,-2300000,-11000000,-10532000,-10500000,-10500000,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-1800000,-1900000,-1900000,69800000,-1800000,93600000,20600000,16900000,87850000,-33000000,-6700000,-15300000,-3249000,-7162000,-9006000,160426000,-1727000,-9683000,-585000,297059000,112393000,154272000,26192000,-70950000,242452000,118880000,113723000,-26983000,338790000,89818000,37899000,129449000,588237000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-3300000,45700000,-3700000,67500000,-4100000,91300000,18300000,150500000,77318000,-43500000,-17200000,-17900000,-3249000,8838000,91804000,273030000,34766000,144877000,-585000,255692000,86206000,9468000,-146318000,-188091000,154272000,92978000,29008000,-80228000,135745000,-5241000,-60896000,-46535000,158136000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1404000,-678000,203000,28000,531000,649000,-423000
97,Net Change In Cash,- -,- -,- -,- -,-3300000,45700000,-3700000,67500000,-4100000,91300000,18300000,150500000,70749000,13100000,-40400000,-51700000,-20513000,-5621000,53324000,210662000,-58453000,215776000,-172001000,-77911000,2022000,43336000,108894000,-49572000,81250000,64171000,-70147000,-38532000,73720000,-85333000,-61051000,37152000,-35881000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114204000,127300000,86900000,35200000,14714000,9093000,62417000,273079000,214626000,270672000,98671000,20760000,22782000,66118000,175012000,125440000,206690000,270861000,200714000,162182000,192032000,118069000,57018000,94170000,58289000
99,Cash at the Beginning of Period,- -,- -,- -,- -,78800000,80300000,127000000,111800000,134100000,14700000,15100000,16500000,43455000,114200000,127300000,86900000,35227000,14714000,9093000,62417000,273079000,54896000,270672000,98671000,20760000,22782000,66118000,175012000,125440000,206690000,270861000,200714000,118312000,203402000,118069000,57018000,94170000
100,Free Cash Flow,- -,- -,- -,- -,9200000,-21000000,-12900000,-24500000,-400000,-26800000,-87500000,-54500000,-14864000,-26500000,-2700000,-35600000,-36852000,-18800000,-25040000,-29095000,-110152000,-56768000,-176921000,-372386000,-154607000,9569000,296185000,155993000,12654000,-11317000,18349000,24804000,71722000,-123369000,-7892000,49430000,-199299000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000095013395000152/0000950133-95-000152-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000089706901500046/0000897069-01-500046-index.html,https://www.sec.gov/Archives/edgar/data/215466/000089706902000251/0000897069-02-000251-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000095013308000901/w50513e10vk.htm,https://www.sec.gov/Archives/edgar/data/215466/000095014809000027/0000950148-09-000027-index.html,https://www.sec.gov/Archives/edgar/data/215466/000095012310017695/0000950123-10-017695-index.html,https://www.sec.gov/Archives/edgar/data/215466/000095012311020796/v58041e10vk.htm,https://www.sec.gov/Archives/edgar/data/215466/000119312512075636/0001193125-12-075636-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546613000048/0000215466-13-000048-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546614000042/cde-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/215466/000021546615000031/cde-12311410k.htm,https://www.sec.gov/Archives/edgar/data/215466/000021546616000166/0000215466-16-000166-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546617000056/0000215466-17-000056-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546618000038/0000215466-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546619000057/0000215466-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546620000032/0000215466-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546621000025/0000215466-21-000025-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
