,https://roic.ai/company/INT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7300000,9200000,41100000,64500000,142200000,234300000,205500000,254800000,250500000,361900000,642300000,772600000,801700000,744200000,1200297000,1529242000,1365065000,2661790000,5654373000,8733947000,10785136000,13729555000,18509403000,11295177000,19131147000,34622854000,38945338000,41561947000,43386389000,30379700000,27015800000,33695500000,39750300000,36819000000,20358300000,31337000000
2,COGS,6500000,8600000,35100000,54300000,125200000,208600000,180700000,229300000,222100000,332700000,600300000,724100000,749000000,682000000,1133622000,1455150000,1288891000,2561082000,5524417000,8555283000,10571067000,13484283000,18114020000,10919586000,18689006000,33987851000,38271891000,40809189000,42572767000,29519200000,26116800000,32763300000,38731800000,35707000000,19506500000,30548800000
3,Gross Profit,800000,600000,6000000,10200000,17000000,25700000,24800000,25500000,28400000,29200000,42000000,48500000,52700000,62200000,66675000,74092000,76174000,100708000,129956000,178664000,214069000,245272000,395383000,375591000,442141000,635003000,673447000,752758000,813622000,860500000,899000000,932200000,1018500000,1112000000,851800000,788200000
4,Gross Profit Ratio,0.1096,0.0652,0.1460,0.1581,0.1195,0.1097,0.1207,0.1001,0.1134,0.0807,0.0654,0.0628,0.0657,0.0836,0.0555,0.0485,0.0558,0.0378,0.0230,0.0205,0.0198,0.0179,0.0214,0.0333,0.0231,0.0183,0.0173,0.0181,0.0188,0.0283,0.0333,0.0277,0.0256,0.0302,0.0418,0.0252
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25400000,31000000,31900000,42000000,57327000,54085000,- -,38757000,- -,- -,- -,- -,225562000,217044000,257013000,369858000,411634000,476655000,540717000,605800000,694700000,735100000,741700000,792600000,678000000,634300000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3600000,5900000,10200000,15900000,14300000,15900000,17300000,16500000,25400000,31000000,31900000,42000000,57327000,54085000,54885000,38757000,92980000,122044000,137423000,159384000,225562000,217044000,257013000,369858000,411634000,476655000,540717000,605800000,694700000,735100000,741700000,792600000,678000000,634300000
9,Other Expenses,200000,300000,400000,500000,900000,1900000,2000000,1500000,1500000,1400000,1700000,1900000,2400000,2800000,2430000,- -,1000000,34961000,- -,- -,- -,- -,16081000,4552000,4262000,8173000,4790000,11745000,3757000,7500000,15400000,- -,- -,- -,- -,- -
10,Operating Expenses,200000,300000,4000000,6400000,11100000,17800000,16300000,17400000,18800000,17900000,27100000,32900000,34300000,44800000,59757000,54085000,55885000,73718000,92980000,122044000,137423000,159384000,241643000,221596000,261275000,378031000,416424000,488400000,544474000,613300000,710100000,735100000,741700000,792600000,678000000,634300000
11,COGS and Expenses,6700000,8900000,39100000,60700000,136300000,226400000,197000000,246700000,240900000,350600000,627400000,757000000,783300000,726800000,1193379000,1509235000,1344776000,2634800000,5617397000,8677327000,10708490000,13643667000,18355663000,11141182000,18950281000,34365882000,38688315000,41297589000,43117241000,30132500000,26826900000,33498400000,39473500000,36499600000,20184500000,31183100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1965000,1278000,823000,984000,2785000,5589000,5030000,1886000,1216000,714000,788000,908000,3882000,5993000,5000000,4500000,6000000,3900000,6200000,3600000,- -
13,Interest Expense (Gain),300000,300000,300000,400000,300000,1000000,- -,- -,1300000,- -,- -,- -,- -,- -,- -,348000,- -,310000,1635000,3430000,2236000,1919000,10341000,4879000,5459000,16613000,20005000,21169000,31230000,34900000,43700000,66300000,74800000,80000000,48600000,40200000
14,Depreciation and Amortization,200000,300000,400000,500000,900000,1900000,2000000,1500000,1500000,1400000,1700000,1900000,2400000,2800000,2430000,2350000,1939000,3830000,3596000,3826000,4866000,6901000,13870000,16956000,19106000,40530000,36714000,44710000,59399000,63400000,82300000,86000000,81500000,87400000,85800000,81000000
15,EBITDA,800000,900000,2400000,4500000,7400000,10600000,10900000,6100000,11200000,14400000,18500000,19800000,23200000,21700000,13509000,17889000,25165000,31758000,40759000,62340000,88403000,94828000,161620000,171320000,202457000,290173000,284308000,308459000,363520000,321500000,268200000,131300000,339900000,402500000,296100000,220700000
16,EBITDA ratio,0.1096,0.0978,0.0584,0.0698,0.0520,0.0452,0.0530,0.0239,0.0447,0.0398,0.0288,0.0256,0.0289,0.0292,0.0113,0.0117,0.0184,0.0119,0.0072,0.0071,0.0082,0.0069,0.0087,0.0152,0.0106,0.0084,0.0073,0.0074,0.0084,0.0106,0.0099,0.0039,0.0086,0.0109,0.0145,0.0070
17,Operating Income,600000,300000,2000000,3800000,5900000,7900000,8500000,8100000,9600000,11300000,14900000,15600000,18400000,17400000,1280000,14152000,21289000,26990000,36976000,56620000,76646000,85888000,153740000,153995000,180866000,256972000,257023000,264358000,269148000,247200000,188900000,45600000,259700000,299700000,137900000,142600000
18,Operating Income ratio,0.0822,0.0326,0.0487,0.0589,0.0415,0.0337,0.0414,0.0318,0.0383,0.0312,0.0232,0.0202,0.0230,0.0234,0.0011,0.0093,0.0156,0.0101,0.0065,0.0065,0.0071,0.0063,0.0083,0.0136,0.0095,0.0074,0.0066,0.0064,0.0062,0.0081,0.0070,0.0014,0.0065,0.0081,0.0068,0.0046
19,Total Other Income Expenses (Gains),-300000,- -,-300000,-200000,300000,-200000,400000,200000,-1200000,1700000,1900000,2300000,2400000,1500000,-8000,2191000,1937000,628000,-1448000,-792000,4753000,698000,-16165000,-4086000,-3336000,-18769000,-17428000,-17693000,403000,-27900000,-46800000,-66700000,-74800000,-62400000,23800000,-42600000
20,Income Before Tax,300000,300000,1700000,3600000,6200000,7700000,8900000,8300000,8400000,13000000,16800000,17900000,20800000,18900000,1272000,16343000,23226000,27618000,35528000,55828000,81399000,86586000,137575000,149909000,177530000,238203000,239595000,246665000,269551000,219300000,142100000,-21100000,184900000,237300000,161700000,100000000
21,Income Before Tax Ratio,0.0411,0.0326,0.0414,0.0558,0.0436,0.0329,0.0433,0.0326,0.0335,0.0359,0.0262,0.0232,0.0259,0.0254,0.0011,0.0107,0.0170,0.0104,0.0063,0.0064,0.0075,0.0063,0.0074,0.0133,0.0093,0.0069,0.0062,0.0059,0.0062,0.0072,0.0053,-0.0006,0.0047,0.0064,0.0079,0.0032
22,Income Tax expense (Gain),100000,100000,700000,1400000,2200000,2900000,3000000,3000000,3200000,4900000,5900000,4600000,4900000,3800000,1444000,4557000,5991000,5744000,6969000,15475000,17353000,21235000,32370000,32346000,31027000,39001000,38244000,39505000,51144000,36300000,15700000,149200000,55900000,56200000,52100000,25800000
23,Net Income,200000,200000,1000000,2200000,4000000,4800000,5900000,1600000,5200000,8100000,10900000,13300000,15900000,15100000,9635000,10634000,17235000,21874000,28559000,39609000,63948000,64773000,105039000,117139000,146865000,194029000,189345000,203075000,221747000,186900000,126500000,-170200000,127700000,178900000,109600000,73700000
