,https://roic.ai/company/TRS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,600230000,- -,- -,- -,707180,732440000,733580000,905400000,1045160000,1010120000,1020530000,1068270000,1021300000,803650000,942650000,1083960000,1272910000,1394860000,1499080000,863980000,794020000,817740000,877140000,723530000,769970000,857110000
2,COGS,403380000,- -,- -,- -,485280,543310000,552350000,673430000,793750000,762710000,747010000,779380000,758120000,594830000,662300000,766260000,929150000,1041460000,1114140000,627870000,583540000,598600000,633020000,529630000,587890000,639920000
3,Gross Profit,196850000,- -,- -,- -,221900,189130000,181230000,231970000,251410000,247410000,273520000,288890000,263180000,208820000,280350000,317700000,343760000,353400000,384940000,236110000,210480000,219140000,244120000,193900000,182080000,217190000
4,Gross Profit Ratio,0.3280,- -,- -,- -,0.3138,0.2582,0.2470,0.2562,0.2405,0.2449,0.2680,0.2704,0.2577,0.2598,0.2974,0.2931,0.2701,0.2534,0.2568,0.2733,0.2651,0.2680,0.2783,0.2680,0.2365,0.2534
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,112640,121450000,- -,- -,- -,- -,- -,- -,- -,8140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134480000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,112640,121450000,- -,- -,- -,- -,- -,- -,- -,8140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134480000,121970000
9,Other Expenses,92560000,- -,- -,- -,- -,- -,114090000,183120000,189050000,163310000,287140000,380660000,166840000,150770000,166270000,186380000,216170000,244640000,255880000,162350000,153710000,129570000,121800000,102530000,- -,- -
10,Operating Expenses,92560000,- -,- -,- -,112640,121450000,114090000,183120000,189050000,163310000,287140000,380660000,166840000,158910000,166270000,186380000,216170000,244640000,255880000,162350000,153710000,129570000,121800000,102530000,-134480000,121970000
11,COGS and Expenses,495940000,- -,- -,- -,597920,664760000,666440000,856550000,982800000,926020000,1034150000,1160040000,924960000,753740000,828570000,952640000,1145320000,1286100000,1370020000,790220000,737250000,728170000,754820000,632160000,453410000,761890000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55740000,45070000,51830000,44480000,35800000,18330000,15020000,14060000,13720000,14400000,13910000,13950000,14660000,14510000
14,Depreciation and Amortization,22930000,- -,- -,- -,4540000,53780000,38870000,54850000,44510000,46190000,43070000,44050000,44070000,43940000,37740000,40470000,44870000,50580000,56480000,43540000,44860000,46870000,44020000,43500000,49770000,53450000
