,https://roic.ai/company/IBM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,50056000000,51250000000,54217000000,59681000000,62710000000,69018000000,64792000000,64523000000,62716000000,64052000000,71940000000,74323000000,78508000000,79075000000,87548000000,88396000000,85866000000,81186000000,89131000000,96293000000,91134000000,91424000000,98786000000,103630000000,95758000000,99870000000,106916000000,104507000000,99751000000,92793000000,81742000000,79920000000,79139000000,79590000000,77147000000,73621000000,57351000000
2,COGS,18209000000,19390000000,21083000000,21777000000,23461000000,26506000000,27324000000,28810000000,33858000000,38768000000,41573000000,43784000000,47899000000,50795000000,55619000000,55972000000,54084000000,50902000000,56113000000,60261000000,54602000000,53129000000,57057000000,57969000000,51973000000,53857000000,56778000000,54209000000,51246000000,46386000000,41057000000,41625000000,42913000000,42655000000,40659000000,38046000000,25865000000
3,Gross Profit,31847000000,31860000000,33134000000,37904000000,39249000000,42512000000,37468000000,35713000000,28858000000,25284000000,30367000000,30539000000,30609000000,28280000000,31929000000,32424000000,31782000000,30284000000,33018000000,36032000000,36532000000,38295000000,41729000000,45661000000,43785000000,46013000000,50138000000,50298000000,48505000000,46407000000,40685000000,38295000000,36226000000,36935000000,36488000000,35575000000,31486000000
4,Gross Profit Ratio,0.6362,0.6217,0.6111,0.6351,0.6259,0.6160,0.5783,0.5535,0.4601,0.3947,0.4221,0.4109,0.3899,0.3576,0.3647,0.3668,0.3701,0.3730,0.3704,0.3742,0.4009,0.4189,0.4224,0.4406,0.4572,0.4607,0.4689,0.4813,0.4863,0.5001,0.4977,0.4792,0.4578,0.4641,0.4730,0.4832,0.5490
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,4363000000,6010000000,5089000000,4877000000,5046000000,5273000000,5151000000,5290000000,4750000000,5077000000,5673000000,5842000000,6107000000,6153000000,6337000000,5820000000,6026000000,6258000000,6302000000,6226000000,5437000000,5247000000,5751000000,5787000000,5379000000,5989000000,6333000000,6488000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,15916000000,16766000000,16854000000,16634000000,16662000000,14729000000,15639000000,17197000000,18738000000,17852000000,19384000000,21314000000,20259000000,22060000000,23386000000,19269000000,20208000000,21844000000,21835000000,21681000000,21165000000,18604000000,19152000000,18110000000,17397000000,18107000000,20308000000,15708000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1252000000,1337000000,1373000000,1339000000,1294000000,1307000000,1290000000,1327000000,1445000000,1466000000,1647000000,1542000000,1413000000
8,"Selling, General and Administrative Exp.",17723000000,20685000000,21865000000,25287000000,28116000000,27263000000,31376000000,26048000000,32785000000,15916000000,16766000000,16854000000,16634000000,16662000000,14729000000,15639000000,17197000000,18738000000,17852000000,19384000000,21314000000,20259000000,22060000000,23386000000,20521000000,21545000000,23217000000,23174000000,22975000000,22472000000,19894000000,20479000000,19555000000,18863000000,19754000000,21850000000,17121000000
9,Other Expenses,2894000000,3316000000,3527000000,3871000000,4240000000,4217000000,5150000000,6259000000,4710000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,432000000,293000000,377000000,-746000000,-452000000,-368000000,-378000000,-1128000000,-970000000,-591000000,114000000,497000000,1045000000
10,Operating Expenses,20617000000,24001000000,25392000000,29158000000,32356000000,31480000000,36526000000,32307000000,37495000000,20279000000,22776000000,21943000000,21511000000,21708000000,20002000000,20790000000,22487000000,23488000000,22929000000,25057000000,27156000000,26366000000,28213000000,29723000000,26773000000,27864000000,29852000000,28730000000,28749000000,27541000000,24763000000,25102000000,24372000000,23651000000,25857000000,28680000000,24654000000
11,COGS and Expenses,38826000000,43391000000,46475000000,50935000000,55817000000,57986000000,63850000000,61117000000,71353000000,59047000000,64349000000,65727000000,69410000000,72503000000,75621000000,76762000000,76571000000,74390000000,79042000000,85318000000,81758000000,79495000000,85270000000,87692000000,78746000000,81721000000,86630000000,82939000000,79995000000,73927000000,65820000000,66727000000,67285000000,66306000000,66516000000,66726000000,50519000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1377000000,947000000,707000000,657000000,589000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,92000000,136000000,109000000,74000000,90000000,72000000,108000000,144000000,264000000,349000000,105000000,52000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1227000000,725000000,716000000,728000000,713000000,727000000,717000000,- -,- -,- -,139000000,220000000,278000000,611000000,673000000,402000000,368000000,411000000,459000000,402000000,484000000,468000000,630000000,615000000,723000000,1344000000,1288000000,1155000000
14,Depreciation and Amortization,- -,- -,- -,- -,4240000000,4217000000,5150000000,6259000000,4710000000,6295000000,5602000000,5012000000,5001000000,4992000000,6585000000,4995000000,4820000000,4379000000,4701000000,4915000000,5188000000,4983000000,5201000000,5450000000,4994000000,4831000000,4815000000,4676000000,4678000000,4492000000,3855000000,4381000000,4541000000,4480000000,6059000000,6695000000,6417000000
