,https://roic.ai/company/XOM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548000000,259000000,247000000,327000000,9000000,286000000,311000000,453000000,601000000,766000000,830000000,1158000000,947000000
14,Depreciation and Amortization,4274000000,4415000000,4274000000,4790000000,5002000000,5545000000,4824000000,5044000000,4884000000,5015000000,5386000000,5329000000,5474000000,5340000000,8304000000,8130000000,7944000000,8310000000,9047000000,9767000000,10253000000,11416000000,12250000000,12379000000,- -,- -,- -,15888000000,17182000000,17297000000,18048000000,22308000000,19893000000,18745000000,- -,46009000000,20607000000
15,EBITDA,13832000000,12971000000,11817000000,13174000000,10540000000,13725000000,13342000000,12291000000,12936000000,12819000000,15828000000,17245000000,18272000000,14326000000,19454000000,36941000000,32278000000,26269000000,41563000000,51008000000,69685000000,78818000000,82724000000,94129000000,34947000000,52280000000,72358000000,92140000000,74034000000,68118000000,39924000000,30195000000,39030000000,49883000000,20452000000,19095000000,52230000000
16,EBITDA ratio,0.1596,0.1856,0.1546,0.1656,0.1216,0.1301,0.1297,0.1191,0.1322,0.1286,0.1467,0.1477,0.1519,0.1423,0.1209,0.1587,0.1512,0.1285,0.1684,0.1711,0.1880,0.2087,0.2045,0.1972,0.1152,0.1403,0.1536,0.2033,0.1759,0.1728,0.1539,0.1381,0.1646,0.1786,0.0800,0.1069,0.1888
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-565000000,705000000,535000000,97000000,-2961000000,-426000000,447000000,403000000,748000000,770000000,1244000000,1858000000,1279000000,2070000000,1533000000,-24763000000,-23517000000,-23057000000,-24756000000,-28677000000,-32037000000,-1705000000,-33133000000,-36828000000,6595000000,10418000000,15042000000,28845000000,17410000000,17548000000,9083000000,7033000000,6600000000,8829000000,7290000000,565000000,- -
20,Income Before Tax,9558000000,8556000000,7543000000,8384000000,5003000000,8180000000,8518000000,7287000000,8052000000,7804000000,10442000000,11916000000,12798000000,9056000000,11150000000,27081000000,24119000000,17510000000,31966000000,41241000000,59432000000,67402000000,70474000000,81750000000,34777000000,52959000000,73257000000,78726000000,57711000000,51630000000,21966000000,7969000000,18674000000,30953000000,20056000000,-28883000000,31234000000
21,Income Before Tax Ratio,0.1103,0.1224,0.0987,0.1054,0.0577,0.0775,0.0828,0.0706,0.0823,0.0783,0.0968,0.1021,0.1064,0.0899,0.0693,0.1164,0.1130,0.0856,0.1296,0.1384,0.1603,0.1785,0.1742,0.1713,0.1146,0.1422,0.1555,0.1737,0.1371,0.1310,0.0847,0.0365,0.0787,0.1108,0.0785,-0.1617,0.1129
22,Income Tax expense (Gain),4688000000,3196000000,2703000000,3124000000,2028000000,3170000000,2918000000,2477000000,2772000000,2704000000,3972000000,4406000000,4338000000,2616000000,3240000000,11091000000,9014000000,6499000000,11006000000,15911000000,23302000000,27902000000,29864000000,36530000000,15119000000,21561000000,31051000000,31045000000,24263000000,18015000000,5415000000,-406000000,-1174000000,9532000000,5282000000,-5632000000,7636000000
23,Net Income,4870000000,5360000000,4840000000,5260000000,3510000000,5010000000,5600000000,4770000000,5280000000,5100000000,6470000000,7510000000,8460000000,6370000000,7910000000,17720000000,15320000000,11460000000,21510000000,25330000000,36130000000,39500000000,40610000000,45220000000,19280000000,30460000000,41060000000,44880000000,32580000000,32520000000,16150000000,7840000000,19710000000,20840000000,14340000000,-22440000000,23040000000
24,Net Income ratio,0.0562,0.0767,0.0633,0.0661,0.0405,0.0475,0.0544,0.0462,0.0540,0.0512,0.0600,0.0643,0.0703,0.0633,0.0492,0.0761,0.0718,0.0560,0.0872,0.0850,0.0975,0.1046,0.1004,0.0947,0.0635,0.0818,0.0872,0.0990,0.0774,0.0825,0.0622,0.0359,0.0831,0.0746,0.0561,-0.1257,0.0833
