,https://roic.ai/company/XOM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/34088/000095010995000647/0000950109-95-000647-index.html,https://www.sec.gov/Archives/edgar/data/34088/000093066196000138/0000930661-96-000138-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34088/000093066101000781/0000930661-01-000781-index.html,https://www.sec.gov/Archives/edgar/data/34088/000093066102000889/0000930661-02-000889-index.html,- -,https://www.sec.gov/Archives/edgar/data/34088/000119312504041877/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312505038144/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312506040951/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312507042435/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312508041781/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312509040966/0001193125-09-040966-index.html,https://www.sec.gov/Archives/edgar/data/34088/000119312510042929/0001193125-10-042929-index.html,https://www.sec.gov/Archives/edgar/data/34088/000119312511047394/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312512078102/0001193125-12-078102-index.html,- -,https://www.sec.gov/Archives/edgar/data/34088/000003408814000012/xom10k2013.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408815000013/xom10k2014.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408816000065/0000034088-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408817000017/0000034088-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/0000034088-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/0000034088-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/0000034088-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/0000034088-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/0000034088-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3510000000,5010000000,5600000000,4770000000,5280000000,5100000000,6470000000,7510000000,8460000000,6370000000,7910000000,17720000000,15320000000,11460000000,21510000000,25330000000,36130000000,39500000000,40610000000,45220000000,19280000000,30460000000,41060000000,44880000000,32580000000,32520000000,16150000000,7840000000,19710000000,20840000000,14340000000,-22440000000,23040000000
74,Depreciation and Amortization,- -,- -,- -,- -,5002000000,5545000000,4824000000,5044000000,4884000000,5015000000,5386000000,5329000000,5474000000,5340000000,8304000000,8130000000,7944000000,8310000000,9047000000,9767000000,10253000000,11416000000,12250000000,12379000000,- -,- -,- -,15888000000,17182000000,17297000000,18048000000,22308000000,19893000000,18745000000,- -,46009000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-668000000,-90000000,-43000000,-1285000000,64000000,260000000,1043000000,835000000,346000000,408000000,-1439000000,10000000,650000000,297000000,1827000000,-1134000000,-429000000,1717000000,124000000,1399000000,- -,-1135000000,142000000,3142000000,754000000,1540000000,-1832000000,-4386000000,-8577000000,-60000000,-944000000,-8856000000,303000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-321000000,- -,- -,- -,- -,-3033000000,1615000000,1823000000,1133000000,-3357000000,-5773000000,9800000000,3359000000,-451000000,2458000000,9822000000,9639000000,-75000000,691000000,-4485000000,-19992000000,-6823000000,-893000000,4863000000,-12737000000,693000000,370000000,5131000000,-4415000000,1472000000,-4772000000,2467000000,4162000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5384000000,- -
79,Inventory,- -,- -,- -,- -,-181000000,-399000000,263000000,-71000000,156000000,180000000,37000000,246000000,-253000000,6000000,50000000,-297000000,154000000,353000000,-100000000,-223000000,-434000000,-1057000000,72000000,-1285000000,459000000,-1148000000,-2208000000,-1873000000,-1812000000,-1343000000,-379000000,-388000000,-1682000000,-3107000000,72000000,-315000000,-489000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3033000000,-1418000000,405000000,1538000000,-1819000000,-7592000000,2208000000,5567000000,5116000000,7574000000,17396000000,27035000000,26960000000,27651000000,23166000000,3174000000,-3649000000,-4542000000,321000000,-12416000000,-11723000000,-11353000000,-6222000000,-10637000000,-9165000000,-13937000000,-11470000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,392000000,181000000,561000000,1082000000,1275000000,2509000000,-667000000,-2335000000,-737000000,2295000000,6011000000,-12723000000,-4384000000,1652000000,-6344000000,-3234000000,-7455000000,-3272000000,-1673000000,5212000000,29150000000,25911000000,15036000000,-12603000000,7135000000,-6934000000,-2392000000,-8811000000,3455000000,-4983000000,21092000000,-2512000000,20624000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,7915000000,10646000000,10942000000,9611000000,11503000000,9851000000,13847000000,13162000000,14676000000,11056000000,15013000000,22937000000,22889000000,21268000000,28498000000,40551000000,48138000000,49286000000,52002000000,59725000000,28438000000,48413000000,55345000000,56170000000,44914000000,45116000000,30344000000,22082000000,30066000000,36014000000,29716000000,14668000000,48129000000
84,CAPEX,- -,- -,- -,- -,-6313000000,-6548000000,-7324000000,-7225000000,-6956000000,-6643000000,-7128000000,-7209000000,-7393000000,-8359000000,-10849000000,-8446000000,-9989000000,-11437000000,-12859000000,-11986000000,-13839000000,-15462000000,-15387000000,-19318000000,-22491000000,-26871000000,-30975000000,-34271000000,-33669000000,-32952000000,-26490000000,-16163000000,-15402000000,-19574000000,-24361000000,-17282000000,-12076000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3080000000,4204000000,5985000000,1545000000,3261000000,11133000000,7655000000,2707000000,4035000000,2389000000,4275000000,3103000000,4123000000,3692000000,999000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-23000000,- -,-279000000,-1079000000,-1323000000,-1650000000,-910000000,-969000000,-857000000,-702000000,-1537000000,-1689000000,- -,- -,- -,- -,- -,-2604000000,-3684000000,-4608000000,-2768000000,-1254000000,-5340000000,-972000000,-4435000000,-1631000000,-607000000,-1417000000,-5507000000,-1981000000,-3905000000,-4857000000,-2817000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,104000000,234000000,518000000,1246000000,1512000000,1017000000,944000000,349000000,513000000,547000000,82000000,- -,- -,- -,- -,- -,- -,144000000,1868000000,571000000,155000000,1674000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-3620000000,1275000000,1149000000,753000000,932000000,1359000000,666000000,719000000,1110000000,556000000,854000000,6755000000,1778000000,1679000000,2017000000,-2924000000,3569000000,756000000,4995000000,574000000,724000000,505000000,1343000000,1987000000,1196000000,3573000000,884000000,902000000,2076000000,986000000,1490000000,2681000000,4658000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9956000000,-5169000000,-6220000000,-7033000000,-6101000000,-5422000000,-6355000000,-6515000000,-6791000000,-7992000000,-10985000000,-3298000000,-8211000000,-9758000000,-10842000000,-14910000000,-10270000000,-14230000000,-9728000000,-15499000000,-22419000000,-24204000000,-22165000000,-25601000000,-34201000000,-26975000000,-23824000000,-12403000000,-15730000000,-16446000000,-23084000000,-18459000000,-10235000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1714000000,-8660000000,-1369000000,-4861000000,-769000000,-814000000,-532000000,-7773000000,-5024000000,-4971000000,-4044000000,-3045000000,-32387000000
91,Common Stock Issued,- -,- -,- -,- -,1006000000,- -,113000000,148000000,131000000,66000000,328000000,347000000,340000000,403000000,348000000,493000000,301000000,299000000,434000000,960000000,941000000,1173000000,1079000000,753000000,752000000,1043000000,924000000,193000000,50000000,30000000,5000000,6000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1750000000,-336000000,-466000000,-358000000,-323000000,-220000000,-628000000,-801000000,-2586000000,-3055000000,-670000000,-2352000000,-5721000000,-4798000000,-5881000000,-9951000000,-18221000000,-29558000000,-31822000000,-35734000000,-19703000000,-13093000000,-22055000000,-21068000000,-15998000000,-13183000000,-4039000000,-977000000,-747000000,-626000000,-594000000,-405000000,-155000000
93,Dividends Paid,- -,- -,- -,- -,-3170000000,-3397000000,-3645000000,-3832000000,-3879000000,-4079000000,-4047000000,-4193000000,-4351000000,-4127000000,-6091000000,-6374000000,-6448000000,-6386000000,-6945000000,-7111000000,-7478000000,-7628000000,-7621000000,-8058000000,-8023000000,-8498000000,-9020000000,-10092000000,-10875000000,-11568000000,-12090000000,-12453000000,-13001000000,-13798000000,-14652000000,-14865000000,-14924000000
94,Other Financing Activites,- -,- -,- -,- -,5566000000,-2300000000,-559000000,919000000,-1209000000,-1000000,-2789000000,-592000000,-115000000,1081000000,1634000000,-5932000000,-3173000000,-468000000,-2371000000,-2166000000,-2183000000,-197000000,19000000,-988000000,1405000000,2284000000,3264000000,1960000000,12116000000,7647000000,9619000000,11904000000,3642000000,-51000000,12672000000,23600000000,12043000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1652000000,-6033000000,-4557000000,-3123000000,-5280000000,-4234000000,-7136000000,-5239000000,-6712000000,-5698000000,-4779000000,-14165000000,-15041000000,-11353000000,-14763000000,-18268000000,-26941000000,-36210000000,-38345000000,-44027000000,-27283000000,-26924000000,-28256000000,-33868000000,-15476000000,-17888000000,-7037000000,-9293000000,-15130000000,-19446000000,-6618000000,5285000000,-35423000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-79000000,23000000,-1000000,-53000000,-37000000,-21000000,-5000000,35000000,-77000000,28000000,53000000,-82000000,-170000000,525000000,504000000,532000000,-787000000,727000000,1808000000,-2743000000,520000000,-153000000,-85000000,217000000,-175000000,-281000000,-394000000,-434000000,314000000,-257000000,33000000,-219000000,-33000000
97,Net Change In Cash,- -,- -,- -,- -,1652000000,-6033000000,-4557000000,-3123000000,-5280000000,- -,- -,- -,- -,-2606000000,-698000000,5392000000,-533000000,682000000,3397000000,7905000000,10140000000,-427000000,5737000000,-2544000000,-20744000000,-2868000000,4839000000,-3082000000,-4938000000,-28000000,-911000000,-48000000,-480000000,-135000000,47000000,1275000000,2438000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441000000,1688000000,7080000000,6547000000,7229000000,10626000000,18531000000,28671000000,28244000000,33981000000,31437000000,10693000000,7825000000,12664000000,9582000000,4644000000,4616000000,3705000000,3657000000,3177000000,3042000000,3089000000,4364000000,6802000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2333000000,1865000000,1332000000,1496000000,898000000,983000000,1157000000,1508000000,2951000000,4047000000,2386000000,1688000000,7080000000,6547000000,7229000000,10626000000,18531000000,28671000000,28244000000,33981000000,31437000000,10693000000,7825000000,12664000000,9582000000,4644000000,4616000000,3705000000,3657000000,3177000000,3042000000,3089000000,4364000000
100,Free Cash Flow,- -,- -,- -,- -,1602000000,4098000000,3618000000,2386000000,4547000000,3208000000,6719000000,5953000000,7283000000,2697000000,4164000000,14491000000,12900000000,9831000000,15639000000,28565000000,34299000000,33824000000,36615000000,40407000000,5947000000,21542000000,24370000000,21899000000,11245000000,12164000000,3854000000,5919000000,14664000000,16440000000,5355000000,-2614000000,36053000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34088/000095010995000647/0000950109-95-000647-index.html,https://www.sec.gov/Archives/edgar/data/34088/000093066196000138/0000930661-96-000138-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34088/000093066101000781/0000930661-01-000781-index.html,https://www.sec.gov/Archives/edgar/data/34088/000093066102000889/0000930661-02-000889-index.html,- -,https://www.sec.gov/Archives/edgar/data/34088/000119312504041877/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312505038144/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312506040951/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312507042435/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312508041781/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312509040966/0001193125-09-040966-index.html,https://www.sec.gov/Archives/edgar/data/34088/000119312510042929/0001193125-10-042929-index.html,https://www.sec.gov/Archives/edgar/data/34088/000119312511047394/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312512078102/0001193125-12-078102-index.html,- -,https://www.sec.gov/Archives/edgar/data/34088/000003408814000012/xom10k2013.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408815000013/xom10k2014.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408816000065/0000034088-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408817000017/0000034088-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/0000034088-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/0000034088-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/0000034088-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/0000034088-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/0000034088-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
