,https://roic.ai/company/OPCH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1014739/000101473904000021/0001014739-04-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000095012305002632/0000950123-05-002632-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000095012306004027/0000950123-06-004027-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000095012307004008/0000950123-07-004008-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000095012308002707/0000950123-08-002707-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473909000010/0001014739-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473910000004/0001014739-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473911000006/0001014739-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473912000004/0001014739-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473913000002/0001014739-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473914000003/0001014739-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473915000004/0001014739-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473916000021/0001014739-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000162828017002304/0001628280-17-002304-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000162828018003541/0001628280-18-003541-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473919000012/0001014739-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473920000013/0001014739-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473921000011/0001014739-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473922000009/0001014739-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1800000,9600000,4500000,20339000,1290000,12487000,5751000,9428000,2957000,1521000,- -,- -,- -,- -,- -,- -,62101000,1001000,740000,15577000,9569000,39457000,14539000,67056000,99265000,119423000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1800000,9600000,4500000,20339000,1290000,12487000,5751000,9428000,2957000,1521000,- -,- -,- -,- -,- -,- -,62101000,1001000,740000,15577000,9569000,39457000,14539000,67056000,99265000,119423000
34,Net Receivables,18600000,23700000,64700000,62919000,56809000,70089000,75512000,60861000,65439000,118762000,135139000,128969000,158649000,151113000,193722000,225412000,129103000,187301000,140810000,108365000,111811000,85522000,114864000,324416000,328340000,338242000
35,Inventory,- -,- -,1200000,777000,2612000,3726000,9320000,8553000,11897000,25873000,33471000,33598000,45227000,51256000,66509000,56745000,34034000,34341000,37215000,42983000,36165000,38044000,26689000,115876000,158601000,183095000
36,Other Current Assets,29300000,20100000,12600000,1347000,1680000,1439000,2104000,2160000,4910000,13279000,2090000,1434000,2766000,16912000,16696000,10312000,10189000,14313000,9450000,20046000,18507000,24668000,18613000,51306000,70806000,69496000
37,Total Current Assets,49700000,53400000,83000000,85382000,62391000,87741000,92687000,81002000,85203000,159435000,170700000,164001000,206642000,219281000,276927000,292469000,235427000,236956000,188215000,186971000,176052000,187691000,174705000,558654000,657012000,710256000
38,PP&E,2400000,3500000,4800000,5942000,10813000,9287000,7388000,5247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189944000,186312000
