,https://roic.ai/company/EVRI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1324,0.2007,0.2236,0.2251,0.1956,0.1768,0.1487,0.1440,0.1349,0.1136,0.1010,0.1242,0.1135,0.0729,0.0188,0.0405,0.1586,0.2929,0.2941,0.1642,0.3339
17,Operating Income,47245000,55766000,63760000,74021000,82284000,85196000,72673000,78646000,72054000,52630000,38296000,55982000,49150000,33782000,-9730000,-118555000,81819000,85813000,94017000,-5415000,197511000
18,Operating Income ratio,0.1469,0.1631,0.1792,0.1837,0.1812,0.1554,0.1209,0.1171,0.1079,0.0869,0.0704,0.0958,0.0844,0.0570,-0.0118,-0.1379,0.0839,0.1828,0.1763,-0.0141,0.2991
19,Total Other Income Expenses (Gains),-5082000,-4933000,-5450000,-32025000,-51879000,-42031000,-34478000,-27974000,-17960000,-16329000,-19581000,-15519000,-10265000,-13481000,-113353000,-99228000,-153886000,-83167000,-78023000,-82021000,-96486000
20,Income Before Tax,42163000,50833000,58310000,41996000,30405000,43165000,38195000,50672000,54094000,36301000,18715000,40463000,38885000,20301000,-123083000,-217783000,-72067000,2646000,15994000,-87436000,101025000
21,Income Before Tax Ratio,0.1311,0.1487,0.1639,0.1042,0.0670,0.0787,0.0636,0.0754,0.0810,0.0599,0.0344,0.0692,0.0668,0.0342,-0.1488,-0.2534,-0.0739,0.0056,0.0300,-0.2279,0.1530
22,Income Tax expense (Gain),442000,1451000,321000,-212346000,8032000,16739000,14727000,23349000,20556000,18751000,9586000,14774000,14487000,8161000,-18111000,31696000,-20164000,-9710000,-523000,-5756000,-51900000
23,Net Income,42141000,50422000,58389000,254555000,22591000,26609000,23704000,26030000,33638000,17494000,9129000,25689000,24398000,12140000,-104972000,-249479000,-51903000,12356000,16517000,-81680000,152925000
24,Net Income ratio,0.1310,0.1475,0.1641,0.6316,0.0498,0.0485,0.0394,0.0388,0.0504,0.0289,0.0168,0.0440,0.0419,0.0205,-0.1269,-0.2903,-0.0532,0.0263,0.0310,-0.2129,0.2316
25,EPS,1.30,1.57,1.81,7.91,0.49,0.33,0.29,0.31,0.45,0.27,0.14,0.39,0.37,0.18,-1.59,-3.78,-0.78,0.18,0.23,-0.96,1.69
