,https://roic.ai/company/TBI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,29673843,36649378,42250954,42999000,43456000,42508000,40702000,41771000,- -,52289000,53793000,52853000,45960000,43073000,43014000,43540000,42322000,39862000,40502000,41176000,41622000,- -,41441000,40275000,39179000,35365000,35365000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/768899/000076889996000002/0000768899-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768899/000110465901500169/0001104659-01-500169-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000110465902001310/0001104659-02-001310-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000110465903004264/0001104659-03-004264-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/768899/000110465906014572/0001104659-06-014572-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000110465907012294/0001104659-07-012294-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000104746908001479/0001047469-08-001479-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000104746909001556/0001047469-09-001556-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000119312510032440/0001193125-10-032440-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000119312511042254/0001193125-11-042254-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889912000010/0000768899-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889913000009/0000768899-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889914000008/0000768899-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889915000010/0000768899-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889916000069/0000768899-16-000069-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/768899/000076889918000006/0000768899-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889919000065/0000768899-19-000065-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889920000063/0000768899-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889921000085/0000768899-21-000085-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889922000079/0000768899-22-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5359113,17600000,22100000,25900000,16800000,36048000,48865000,69255000,- -,128817000,82200000,107900000,57000000,108100000,124400000,163153000,109300000,129500000,122000000,19700000,29781000,- -,28780000,46988000,37608000,62507000,49896000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,21322000,- -,11947000,93500000,91500000,11000000,- -,- -,- -,130498000000,136259000000,14700000,1500000,188412000,- -,- -,235443000,230932000,- -,- -
33,Cash and Short-Term Investments,5359113,17600000,22100000,25900000,16800000,36048000,48865000,90577000,- -,140764000,175700000,199400000,68000000,108100000,124400000,163153000,130607300000,136388500000,136700000,21200000,218193000,- -,28780000,282431000,268540000,62507000,49896000
34,Net Receivables,12182806,21000000,36600000,65500000,95700000,93017000,68561000,66987000,- -,109952000,125300000,122400000,140000000,120800000,106600000,113590000,155800000,173700000,202600000,370400000,489631000,- -,378894000,360698000,353408000,290241000,363563000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2673707,10100000,6900000,14500000,22400000,21341000,16102000,19726000,- -,10342000,17700000,18000000,21500000,13900000,17100000,16757000,-130482500000,-136245000000,17200000,24200000,-164859000,- -,20605000,-213302000,-200215000,26137000,31614000
37,Total Current Assets,20215626,48700000,65600000,105900000,134900000,150406000,133528000,177290000,- -,261058000,318700000,339800000,229500000,242800000,248100000,293500000,280600000,317200000,356500000,415800000,542965000,- -,428279000,429827000,421733000,378885000,445073000
