,https://roic.ai/company/SLMBP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,0.8329,0.8355,0.8394,0.7577,0.7367,0.8028,0.7542,0.5950,0.5965,0.6489,0.6473,0.5272,0.3294,0.5477,0.6956,0.6755,0.6103,0.5488,-0.2321,-0.2050,0.2319,0.2422,0.2763,0.4038,0.5149,0.4536,0.4961,0.4316,0.4363,0.4109,0.4448,0.6411,0.7588
22,Income Tax expense (Gain),- -,- -,- -,- -,90200000,99200000,124300000,214300000,260000000,166500000,141300000,183500000,242900000,238000000,240100000,235880000,223322000,431403000,779380000,642689000,728767000,834311000,412283000,-167574000,238364000,492769000,328000000,497000000,776000000,139967000,164780000,164109000,202531000,71853000,165464000,273316000,379751000
23,Net Income,123300000,144600000,181000000,225100000,257600000,300900000,345100000,393900000,430100000,402800000,496400000,419400000,507900000,501500000,500800000,465017000,383996000,791996000,1533560000,1913270000,1382284000,1156956000,-896394000,-212626000,324138000,530382000,633000000,939000000,1418000000,194219000,274284000,250327000,288934000,487476000,578276000,880690000,1160513000
24,Net Income ratio,Infinity,Infinity,Infinity,Infinity,0.6169,0.6283,0.6171,0.4907,0.4591,0.5680,0.7376,0.4139,0.4035,0.4400,0.4375,0.3498,0.2083,0.3546,0.4887,0.5056,0.3996,0.3189,-0.4299,-0.1159,0.1043,0.1178,0.1887,0.2646,0.3499,0.2640,0.3099,0.2607,0.2565,0.3581,0.3458,0.4892,0.5717
25,EPS,0.40,0.47,0.59,0.73,0.84,0.98,1.12,1.28,1.40,1.31,1.61,1.36,1.65,1.63,1.63,1.51,1.25,2.57,4.98,6.21,4.49,3.75,-2.91,-0.69,1.05,1.72,2.05,3.05,4.60,0.63,0.89,0.81,0.94,1.58,1.88,2.27,3.77
26,EPS Diluted,0.40,0.47,0.59,0.73,0.84,0.98,1.12,1.28,1.40,1.31,1.61,1.36,1.65,1.63,1.63,1.51,1.25,2.57,4.98,6.21,4.49,3.75,-2.91,-0.69,1.05,1.72,2.05,3.05,4.60,0.63,0.89,0.81,0.94,1.58,1.88,2.27,3.77
27,Weighted Average Shares Outstanding,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623
28,Weighted Average Shares Outstanding Diluted,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623,308153623
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032033/000095013305001066/0000950133-05-001066-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000110465906015405/0001104659-06-015405-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095013307000881/0000950133-07-000881-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095013308000892/0000950133-08-000892-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032033/000095012310018176/0000950123-10-018176-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095012311019779/0000950123-11-019779-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312512081658/0001193125-12-081658-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312513076990/0001193125-13-076990-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312514058942/0001193125-14-058942-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828015001094/0001628280-15-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828016011844/0001628280-16-011844-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828017001725/0001628280-17-001725-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828018002138/0001628280-18-002138-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828019002283/0001628280-19-002283-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828020002579/0001628280-20-002579-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828021003299/0001628280-21-003299-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828022003839/0001628280-22-003839-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758302000,1652470000,3395487000,2498655000,2621222000,7582031000,4070002000,6070013000,4342327000,2794000000,3900000000,5190000000,2359780000,2416219000,1918793000,1534339000,2559106000,5563877000,4455292000,4334603000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861008000,- -,- -,- -,72000000,109000000,168934000,195391000,208603000,244088000,176245000,487669000,2013557000,2517956000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758302000,1652470000,3395487000,2498655000,2621222000,7582031000,4931010000,6070013000,4342327000,2794000000,3972000000,5299000000,2528714000,2611610000,2127396000,1778427000,2735351000,6051546000,6468849000,6852559000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2316388000,- -,- -,6112006000,9262940000,3660178000,4940228000,5303000000,4736000000,4341000000,710008000,750572000,1025638000,1135493000,1272758000,1509127000,1780503000,1453292000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500387000,801447000,802104000,-9093931000,151970804000,-4561320000,6245210445000,-2224000000,-1579000000,-1397000000,-240311000,-186076000,-259532000,-168011000,-80777000,-1996796000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2211488000,3300102000,3423326000,4600106000,166164754000,5168871000,6254493000000,5873000000,7129000000,8243000000,2998411000,3176106000,2893502000,2745909000,3927332000,5563877000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315260000,313059000,322481000,290705000,214000000,215000000,237000000,78470000,81273000,87063000,89748000,105504000,134749000,154670000,150516000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,991000000,- -,387000000,405000000,394000000,394000000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258219000,- -,92000000,73000000,54000000,30000000,3225000,1745000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586127000,592112000,1066142000,1105104000,1371606000,1300689000,1249219000,1177310000,479000000,478000000,448000000,424000000,3225000,1745000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4231501000,5268179000,3578978000,2368999000,2563451000,2964380000,1041405000,2013828000,956424000,1122000000,1082000000,892000000,168934000,195391000,208603000,244088000,176245000,572089000,2094351000,2695458000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3578978000,-2368999000,-2563451000,-3279640000,- -,-2336309000,-6050912080000,-1336000000,172386000000,149747000000,9723203000,11759583000,15343835000,18699839000,22429092000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1066142000,1105104000,1371606000,1300689000,2603683000,1177310000,-6049185951000,478000000,174131000000,151300000000,9973832000,12037992000,15639501000,19033675000,22710841000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53175005000,64610651000,- -,- -,- -,- -,171372120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27122602000,30770423000,29221899000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53175005000,64610651000,3277630000,4405206000,4794932000,5900795000,168768437000,6346181000,205307049000,6351000000,181260000000,159543000000,12972243000,15214098000,18533003000,21779584000,26638173000,32686479000,30770423000,29221899000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2207095000,3809655000,3528263000,35693378000,33420249000,38855590000,38081017000,32090000000,20803000000,7619000000,- -,500175000,- -,- -,- -,289230000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254029000,- -,-7958779000,-38039317000,-32044100000,-905800000,6232000000,96904900,47109300,152581000,131600000,52200000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2207095000,3809655000,3528263000,35947407000,33420249000,30896811000,41700000,45900000,19897200000,13851000000,96904900,547284300,152581000,131600000,52200000,289230000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22242115000,39808174000,75914573000,88119090000,104558531000,111098144000,117116147000,130546272000,163543504000,154393000000,152401000000,136648000000,- -,579101000,2167979000,3275270000,4284304000,4354037000,5189217000,5930990000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000000,385000000,191499000,166662000,184324000,102285000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22242115000,39808174000,75914573000,88119090000,104558531000,111098144000,117116147000,130546272000,163543504000,154393000000,152772000000,137033000000,191499000,745763000,2352303000,3377555000,4284304000,4354037000,5189217000,5930990000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73419170000,101788779000,154627067000,179847512000,212796843000,225480833000,247457995000,264356137000,363797275000,342441100000,309068800000,277083000000,11236879100,13316253700,18385667000,22551283000,27897621000,33439450000,33396805000,33003178000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51177055000,61980605000,80919589000,95538077000,111766575000,150330096000,163762097000,164706676000,200295471000,188094000000,176194000000,153901000000,11142285000,13117775000,16185945000,19305328000,23665517000,29374643000,28207588000,27072188000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000000,165000000,165000000,565000000,565000000,1565000000,1714770000,1375370000,565000000,565000000,565000000,565000000,565000000,565000000,565000000,400000000,400000000,400000000,251070000,251070000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41637000,94529000,96654000,85297000,86623000,106499000,106883000,110444000,119053000,106000000,107000000,109000000,84961000,86136000,87327000,88693000,89972000,90720000,91346000,86403000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2718226000,941284000,2521740000,1111743000,1834718000,557204000,426175000,604467000,308839000,770000000,1451000000,2584000000,113066000,366609000,595322000,868182000,1340017000,1850512000,1722365000,2817134000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76476000,- -,- -,- -,- -,- -,-32115000,-39552000,-49144000,-54483000,-64588000,-79478000,-34200000,-17897000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-926913000,1429233000,318910000,2029385000,1873701000,2994832000,2827718000,3188328000,4018686000,3802000000,2937000000,2379000000,1099046000,1118130000,1148553000,1171864000,1207255000,1050082000,532254000,-986999000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1997950000,2630046000,3102304000,3791425000,4360042000,5223535000,4999070000,5278609000,5011578000,5243000000,5060000000,5637000000,1829958000,2096323000,2347058000,2474256000,2972656000,3311836000,2562835000,2149711000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53175005000,64610651000,84021893000,99329502000,116126617000,155553631000,168761167000,169985285000,205307049000,193337000000,181254000000,159538000000,12972243000,15214098000,18533003000,21779584000,26638173000,32686479000,30770423000,29221899000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80744263000,-94924296000,-111331685000,-149652836000,7270000,-163639104000,- -,-186986000000,6000000,5000000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53175005000,64610651000,3277630000,4405206000,4794932000,5900795000,168768437000,6346181000,205307049000,6351000000,181260000000,159543000000,12972243000,15214098000,18533003000,21779584000,26638173000,32686479000,30770423000,29221899000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1032033/000095013305001066/0000950133-05-001066-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000110465906015405/0001104659-06-015405-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095013307000881/0000950133-07-000881-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095013308000892/0000950133-08-000892-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032033/000095012310018176/0000950123-10-018176-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095012311019779/0000950123-11-019779-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312512081658/0001193125-12-081658-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312513076990/0001193125-13-076990-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312514058942/0001193125-14-058942-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828015001094/0001628280-15-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828016011844/0001628280-16-011844-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828017001725/0001628280-17-001725-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828018002138/0001628280-18-002138-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828019002283/0001628280-19-002283-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828020002579/0001628280-20-002579-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828021003299/0001628280-21-003299-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828022003839/0001628280-22-003839-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,257600000,300900000,345100000,393900000,430100000,402800000,496400000,419400000,507900000,501500000,500800000,465017000,383996000,791996000,1533560000,1913270000,1382284000,1156956000,-896394000,-212626000,324138000,530382000,633000000,939000000,1418000000,194219000,274284000,250327000,288934000,487476000,578276000,880690000,1160513000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698902000,24000000,- -,- -,9389000,8917000,10498000,11640000,13829000,14669000,15066000,16043000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40888000,-77227000,-88732000,-58752000,29514000,1935000,81842000,65817000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81163000,74621000,86271000,51065000,39750000,56000000,47000000,47000000,24971000,21598000,22944000,27899000,31524000,30600000,36464000,30649000
77,Change in Working Capital,- -,- -,- -,- -,-147200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4393000,-513946000,404616000,-31242364000,31347301000,-25727940000,6280179240000,-6248624200000,-18595300000,7160200000,8509506100,-272684400,112099300,-126612000,1260823000,1399515000,-5274647000,-782455000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-970580000,-1046124000,-279082000,893516000,-3928000,463000000,361000000,-68000000,-331014000,-377648000,-582361000,-703081000,-864461000,-963885000,-876703000,-743757000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277617000,214401000,-200501000,-517401000,-77180000,75000000,-41000000,-23000000,2985000,303000,3736000,14304000,25979000,13817000,-14602000,-13672000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4393000,-509553000,-104937000,-31347301000,- -,-25727940000,6254451300000,5827100000,-12768200000,-5608000000,2901506100,2628821700,2740921000,2614309000,3875132000,5274647000,- -,-9969000
82,Other Non-Cash Items,- -,- -,- -,- -,30400000,49200000,13300000,-23100000,-190800000,64400000,-310500000,154200000,-452800000,-377500000,-162600000,279630000,455392000,-29355000,-859115000,-2234879000,-1567165000,-834314000,32012840000,-36919296000,9439028000,-6288140768000,6250992200000,20245300000,-6625200000,-9133970100,-46090600,-508068300,-310021000,-1925907000,-2040636000,4077916000,-540089000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,140800000,350100000,358400000,370800000,239300000,467200000,185900000,573600000,55100000,124000000,338200000,744647000,839388000,762641000,674445000,-317216000,-698827000,808421000,-51297000,-5698350000,-15913709000,-6692494000,3081000000,2636000000,2000000000,-436773000,-91203000,-200932000,-166912000,-102741000,-15641000,-182669000,-49522000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317700000,-448754000,- -,-49911000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
