,https://roic.ai/company/GPI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,902300000,1630100000,2508300000,3586146000,3996374000,4214364000,4518560000,5435033000,5969590000,6083484000,6392997000,5654087000,4525707000,5340380000,5884029000,7476100000,8918581000,9937889000,10632505000,10887612000,11123721000,11601358000,12043800000,10851800000,13481900000
2,COGS,775000000,1393500000,2132000000,3058709000,3389122000,3562069000,3795149000,4603267000,5037184000,5118684000,5396618000,4738426000,3749870000,4632136000,5119165000,6358848000,7626035000,8489951000,9098533000,9292543000,9478212000,9876265000,10227800000,9082900000,11041200000
3,Gross Profit,127300000,236600000,376300000,527437000,607252000,652295000,723411000,831766000,932406000,964800000,996379000,915661000,775837000,708244000,764864000,1117252000,1292546000,1447938000,1533972000,1595069000,1645509000,1725093000,1816000000,1768900000,2440700000
4,Gross Profit Ratio,0.1411,0.1451,0.1500,0.1471,0.1520,0.1548,0.1601,0.1530,0.1562,0.1586,0.1559,0.1619,0.1714,0.1326,0.1300,0.1494,0.1449,0.1457,0.1443,0.1465,0.1479,0.1487,0.1508,0.1630,0.1810
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,100900000,178000000,279800000,393679000,458546000,502732000,561698000,672068000,741471000,739765000,778061000,739430000,621048000,693635000,735229000,848446000,976856000,1061964000,1120833000,1170763000,1226195000,1273057000,1358400000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",100900000,178000000,279800000,393679000,458546000,502732000,561698000,672068000,741471000,739765000,778061000,739430000,621048000,693635000,735229000,848446000,976856000,1061964000,1120833000,1170763000,1226195000,1273057000,1358400000,1169300000,1477200000
9,Other Expenses,1000000,6400000,10600000,16038000,17358000,11940000,14381000,15836000,18927000,20379000,37681000,25652000,25828000,26455000,27063000,31534000,35826000,42344000,47239000,51234000,57936000,67070000,71600000,75800000,77400000
10,Operating Expenses,101900000,184400000,290400000,409717000,475904000,514672000,576079000,687904000,760398000,760144000,815742000,765082000,646876000,720090000,762292000,879980000,1012682000,1104308000,1168072000,1221997000,1284131000,1340127000,1430000000,1245100000,1554600000
11,COGS and Expenses,876900000,1577900000,2422400000,3468426000,3865026000,4076741000,4371228000,5291171000,5797582000,5878828000,6212360000,5503508000,4396746000,5352226000,5881457000,7238828000,8638717000,9594259000,10266605000,10514540000,10762343000,11216392000,11657800000,10328000000,12595800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168789000,195736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75293000,61420000,61327000,61409000,69261000,80638000,91307000,96167000,112863000,122869000,135680000,136500000,102100000,83400000
14,Depreciation and Amortization,1000000,6400000,10600000,16038000,17358000,11940000,14381000,17670000,22452000,19739000,23175000,25652000,25828000,26455000,27063000,31534000,35826000,42344000,47239000,51234000,57936000,67070000,71600000,75800000,78900000
15,EBITDA,20400000,41600000,66300000,81864000,106780000,119222000,127453000,65622000,114821000,159087000,129198000,48136000,142099000,168686000,220566000,261530000,308359000,298051000,325577000,391468000,399808000,408153000,435400000,548200000,889900000
16,EBITDA ratio,0.0226,0.0255,0.0264,0.0228,0.0267,0.0283,0.0282,0.0121,0.0192,0.0262,0.0202,0.0085,0.0314,0.0316,0.0375,0.0350,0.0346,0.0300,0.0306,0.0360,0.0359,0.0352,0.0362,0.0505,0.0660
17,Operating Income,25400000,52200000,85900000,117720000,131348000,137623000,147332000,143862000,172008000,204656000,180637000,-12444000,108074000,146103000,193503000,229996000,273322000,302110000,278338000,340234000,341872000,341083000,363700000,486100000,884400000
18,Operating Income ratio,0.0282,0.0320,0.0342,0.0328,0.0329,0.0327,0.0326,0.0265,0.0288,0.0336,0.0283,-0.0022,0.0239,0.0274,0.0329,0.0308,0.0306,0.0304,0.0262,0.0312,0.0307,0.0294,0.0302,0.0448,0.0656
19,Total Other Income Expenses (Gains),-6000000,-17000000,-30200000,-51894000,-41926000,-30341000,-34260000,-95910000,-63601000,-65308000,-74614000,-38362000,-53223000,-65199000,-61409000,-69261000,-81427000,-137710000,-96167000,-112863000,-122869000,-135680000,-136400000,-115800000,-83500000
20,Income Before Tax,19400000,35200000,55700000,65826000,89422000,107282000,113072000,47952000,108407000,139348000,106023000,-50806000,54851000,80904000,132094000,160735000,191895000,164400000,182171000,227371000,219003000,205403000,227300000,370300000,800900000
21,Income Before Tax Ratio,0.0215,0.0216,0.0222,0.0184,0.0224,0.0255,0.0250,0.0088,0.0182,0.0229,0.0166,-0.0090,0.0121,0.0151,0.0224,0.0215,0.0215,0.0165,0.0171,0.0209,0.0197,0.0177,0.0189,0.0341,0.0594
22,Income Tax expense (Gain),8000000,14500000,22200000,25014000,33980000,40217000,36946000,20171000,38138000,50958000,38071000,-21316000,20006000,30600000,49700000,60526000,77903000,71396000,88172000,80306000,5561000,47631000,53300000,83800000,175500000
23,Net Income,11400000,20700000,33500000,40812000,55442000,67065000,76126000,27781000,54231000,88390000,67952000,-31493000,34845000,50304000,82394000,100209000,113992000,93004000,93999000,147065000,213442000,157772000,174000000,286500000,552100000
24,Net Income ratio,0.0126,0.0127,0.0134,0.0114,0.0139,0.0159,0.0168,0.0051,0.0091,0.0145,0.0106,-0.0056,0.0077,0.0094,0.0140,0.0134,0.0128,0.0094,0.0088,0.0135,0.0192,0.0136,0.0144,0.0264,0.0410
25,EPS,0.39,1.20,1.62,1.91,2.75,2.93,3.38,1.22,2.27,3.66,2.92,-1.35,1.42,2.11,3.63,4.39,4.50,3.68,3.86,6.67,9.85,8.32,9.00,15.27,31.01
26,EPS Diluted,0.38,1.16,1.55,1.88,2.59,2.80,3.26,1.18,2.24,3.62,2.90,-1.39,1.42,2.11,3.47,4.19,4.32,3.60,3.86,6.67,9.85,7.83,9.00,15.27,31.01
27,Weighted Average Shares Outstanding,14672804,17281165,20683308,21377902,20137661,22874918,22523825,22807922,23866000,24146000,23270000,22479000,22833000,23793000,22707000,21620000,24314000,24339000,23415000,21161000,20898000,18322000,18628208,18090502,17800000
28,Weighted Average Shares Outstanding Diluted,15098594,17904878,21558920,21709833,21415154,23968072,23346221,23493899,24229000,24446000,23406000,22671000,23325000,23793000,22707000,22688000,26381000,25846000,24076000,21170000,20898000,19461000,18628208,18090502,17800000
