,https://roic.ai/company/EBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,45309000,78541000,55769000,83494000,130688000,152732000,182915000,178554000,234786000,286171000,273384000,281888000,312745000,450138000,522789000,488782000,560873000,782400000,1106000000,1555400000,1792700000
2,COGS,- -,24569000,- -,30102000,31603000,24125000,40309000,34081000,46262000,47114000,42171000,46077000,62127000,118412000,124295000,131284000,195707000,322300000,433500000,524000000,757500000
3,Gross Profit,- -,53972000,- -,53392000,99085000,128607000,142606000,144473000,188524000,239057000,231213000,235811000,250618000,331726000,398494000,357498000,365166000,460100000,672500000,1031400000,1035200000
4,Gross Profit Ratio,- -,0.6872,- -,0.6395,0.7582,0.8420,0.7796,0.8091,0.8030,0.8354,0.8457,0.8365,0.8013,0.7369,0.7622,0.7314,0.6511,0.5881,0.6080,0.6631,0.5775
5,Research and Development Exp.,- -,2808000,- -,10117000,18381000,45501000,53958000,59470000,74588000,89295000,124832000,120226000,119933000,150829000,153997000,108290000,97384000,142800000,226200000,234500000,234000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,55555000,55076000,73786000,76205000,- -,76018000,87883000,122841000,148458000,143686000,143497000,202500000,273500000,303300000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,13397000,- -,30323000,42793000,44601000,55555000,55076000,73786000,76205000,74282000,76018000,87883000,122841000,148458000,143686000,143497000,202500000,273500000,303300000,348400000
9,Other Expenses,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,58700000,59800000,58500000
