,https://roic.ai/company/MRVL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625000,21253000,81375000,143894000,288795000,505285000,819762000,1224580000,1670266000,2237553000,2894693000,2950563000,2807687000,3611893000,3393040000,3168600000,3404400000,3706963000,2725828000,2317674000,2409170000,2865791000,2699161000,2968900000,4462383000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,10103000,33773000,67047000,130807000,233039000,382206000,581757000,776633000,1100241000,1497796000,1426624000,1227096000,1473274000,1465805000,1490500000,1663700000,1843706000,1494736000,1029527000,947230000,1407399000,1342220000,1480550000,2398158000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,11150000,47602000,76847000,157988000,272246000,437556000,642823000,893633000,1137312000,1396897000,1523939000,1580591000,2138619000,1927235000,1678100000,1740700000,1863257000,1231092000,1288147000,1461940000,1458392000,1356941000,1488350000,2064225000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5008,0.5246,0.5850,0.5341,0.5471,0.5388,0.5338,0.5249,0.5350,0.5083,0.4826,0.5165,0.5630,0.5921,0.5680,0.5296,0.5113,0.5026,0.4516,0.5558,0.6068,0.5089,0.5027,0.5013,0.4626
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5018000,5837000,14452000,35152000,93422000,145722000,213740000,263261000,311498000,658211000,988996000,929990000,828176000,897578000,1013678000,1057400000,1154000000,1164059000,1054257000,831398000,717667000,900409000,1069691000,1072740000,1424306000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1028000,1190000,- -,- -,-26979000,-34188000,- -,- -,- -,- -,- -,104788000,171362000,104830000,100620000,108383000,104602000,130030000,146128000,127376000,723000,-96500000,-98600000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1671000,4631000,- -,- -,40170000,48491000,- -,- -,- -,- -,- -,160973000,139404000,155481000,159434000,161817000,152698000,143952000,128780000,115817000,238166000,424360000,464580000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2699000,5821000,13879000,27871000,13191000,14303000,81354000,108790000,124219000,290257000,349901000,265761000,310766000,260311000,260054000,270200000,257300000,273982000,274908000,243193000,238889000,327860000,365980000,467240000,955245000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,10145000,2175000,16290000,604031000,416228000,85333000,108925000,93894000,109987000,155734000,153323000,107534000,79538000,49357000,55900000,48700000,16397000,10748000,8376000,70435000,186853000,-957081000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8029000,21803000,30506000,79313000,710644000,576253000,380427000,480976000,529611000,1058455000,1494631000,1349074000,1246476000,1237427000,1323089000,1383500000,1460000000,1454438000,1339913000,1082967000,1026991000,1415122000,478590000,1539980000,2379551000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8341000,31906000,64279000,146360000,710644000,576253000,762633000,1062733000,1306244000,2158696000,2992427000,2775698000,2473572000,2710701000,2788894000,2874000000,3123700000,3298144000,2834649000,2112494000,1974221000,2822521000,1820810000,3020530000,4777709000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23756000,- -,23651000,10727000,9414000,- -,- -,- -,- -,15982000,13198000,17381000,11926000,4816000,2599000,750000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10207000,- -,17994000,1732000,144000,- -,- -,- -,- -,706000,368000,685000,60362000,85631000,69264000,139341000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3827000,21003000,449715000,138478000,119015000,127334000,150654000,187147000,261546000,266147000,206748000,172728000,137811000,143728000,146758000,124585000,112864000,118492000,87057000,307301000,524740000,641528000,1245311000
15,EBITDA,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7398000,-476000,21253000,-211778000,37860000,74828000,182367000,296838000,529745000,220806000,153302000,454974000,551590000,1083334000,756870000,453933000,452995000,556738000,-685484000,213033000,626635000,363016000,1408753000,388624000,901157000
16,EBITDA ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11.8368,-0.0224,0.2612,-1.4718,0.1311,0.1481,0.2225,0.2424,0.3172,0.0987,0.0530,0.1542,0.1965,0.2999,0.2231,0.1433,0.1331,0.1502,-0.2515,0.0919,0.2601,0.1267,0.5219,0.1309,0.2019
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7404000,-550000,17096000,-237340000,-421849000,-70968000,57129000,161847000,359722000,1057000,-105590000,165176000,334115000,901192000,604146000,294657000,280691000,408819000,-816739000,99994000,429695000,43270000,-243358000,-258389000,-347668000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11.8464,-0.0259,0.2101,-1.6494,-1.4607,-0.1405,0.0697,0.1322,0.2154,0.0005,-0.0365,0.0560,0.1190,0.2495,0.1781,0.0930,0.0824,0.1103,-0.2996,0.0431,0.1784,0.0151,-0.0902,-0.0870,-0.0779
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,74000,330000,4559000,9994000,7318000,6223000,7657000,19369000,13549000,-2654000,5657000,8995000,9270000,14913000,15543000,25609000,23334000,17685000,17022000,21509000,-47917000,1041740000,-63779000,-135827000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7398000,-476000,17426000,-232781000,-411855000,-63650000,63352000,169504000,379091000,14606000,-108244000,170833000,343110000,910462000,619059000,310200000,306300000,432153000,-799054000,117016000,451204000,-4647000,798382000,-322168000,-483495000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11.8368,-0.0224,0.2141,-1.6177,-1.4261,-0.1260,0.0773,0.1384,0.2270,0.0065,-0.0374,0.0579,0.1222,0.2521,0.1824,0.0979,0.0900,0.1166,-0.2931,0.0505,0.1873,-0.0016,0.2958,-0.1085,-0.1083
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,483000,4356000,2339000,3299000,8524000,17842000,27843000,47728000,35547000,6183000,23591000,-10346000,6333000,3968000,3605000,-9063000,-3193000,12346000,73022000,18062000,174447000,-786009000,-44870000,-62461000
23,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7444000,-959000,13070000,-235120000,-415154000,-72174000,45510000,141661000,331363000,-12095000,-114427000,147242000,353456000,904129000,615091000,306600000,315300000,435346000,-811400000,21151000,520831000,-179094000,1584391000,-277298000,-421034000
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11.9104,-0.0451,0.1606,-1.6340,-1.4375,-0.1428,0.0555,0.1157,0.1984,-0.0054,-0.0395,0.0499,0.1259,0.2503,0.1813,0.0968,0.0926,0.1174,-0.2977,0.0091,0.2162,-0.0625,0.5870,-0.0934,-0.0944
25,EPS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.06,-0.01,0.08,-0.89,-0.91,-0.15,0.09,0.27,0.58,-0.02,-0.19,0.24,0.57,1.39,1.01,0.55,0.65,0.85,-1.59,0.04,1.05,-0.30,2.38,-0.41,-0.53
26,EPS Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.06,-0.01,0.04,-0.89,-0.91,-0.15,0.08,0.23,0.53,-0.02,-0.19,0.23,0.54,1.34,0.99,0.54,0.64,0.84,-1.59,0.04,1.02,-0.30,2.34,-0.41,-0.53
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121744000,129880000,164376000,265036000,457412000,476960000,503108000,539374000,565870000,586152000,590308000,608747000,623934000,648347000,607857000,555310000,496518000,511089000,510945000,509738000,498008000,591232000,664709000,668772000,796855000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121744000,129880000,326180000,265036000,457412000,476960000,552964000,598024000,631316000,586152000,590308000,630328000,653741000,676878000,623268000,563123000,504413000,520760000,510945000,517513000,509667000,591232000,676094000,668772000,796855000
