,https://roic.ai/company/CPK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2700000,2700000,- -,3400000,- -,4509388,5279678,5058039,5705911,5268145,5133495,5777336,6589639,6157552,7086000,9146000,9000000,8747000,8234000,9482000,10006000,10639000,12645000,16431000,22224000,21765000,20135000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12396691,11243929,14377000,23891000,25269000,28057000,30088000,32893000,36950000,39493000,44721000,49337000,54652000,67716000,72889000
15,EBITDA,2900000,2500000,3300000,2800000,3600000,3100000,2500000,3600000,4000000,9800000,13900000,13500000,9000000,11900000,12500000,16495181,16253489,12437346,21030232,20398002,21913125,23120423,40781501,39825902,48278000,76016000,79880000,84963000,93194000,102412000,115001000,123148000,129799000,143342000,163120000,184517000,205721000
16,EBITDA ratio,0.0632,0.0503,0.0591,0.0478,0.0449,0.0358,0.0358,0.0474,0.0466,0.0994,0.1337,0.1132,0.0733,0.0648,0.0541,0.0492,0.0492,0.0874,0.1296,0.1146,0.0954,0.1000,0.1579,0.1367,0.1796,0.1778,0.1911,0.2165,0.2098,0.2053,0.2504,0.2469,0.2102,0.1998,0.3401,0.3780,0.3609
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,13500000,13200000,11800000,11700000,14900000,16025971,15545758,13832370,21579400,19969746,21530499,22931311,28113582,28478934,33736000,51930000,53705000,56635000,62734000,62279000,77758000,84096000,85843000,94620000,106287000,112723000,131112000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0994,0.1298,0.1106,0.0961,0.0637,0.0645,0.0478,0.0471,0.0973,0.1330,0.1122,0.0938,0.0992,0.1088,0.0977,0.1255,0.1215,0.1285,0.1443,0.1412,0.1248,0.1693,0.1686,0.1390,0.1319,0.2216,0.2309,0.2300
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-2800000,-2300000,-2400000,-2800000,-3200000,-2400000,-4040178,-4571947,-4537063,-5467472,-4718989,-4750869,-5588224,-6298334,-6054513,-6921000,-8951000,-8094000,-8476000,-7862000,-2242000,-9713000,-11080000,-13410000,-17046000,-24054000,-18543000,-18414000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,11200000,10800000,9000000,8500000,12500000,11985793,10973811,9295307,16111928,15250757,16779630,17343087,21815248,22424421,26815000,42979000,45611000,48159000,54872000,60037000,68045000,73016000,72433000,77574000,82233000,94180000,112698000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0710,0.1077,0.0905,0.0733,0.0463,0.0541,0.0357,0.0332,0.0654,0.0993,0.0857,0.0731,0.0750,0.0845,0.0769,0.0998,0.1005,0.1091,0.1227,0.1235,0.1204,0.1482,0.1464,0.1173,0.1081,0.1715,0.1929,0.1977
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,4000000,3900000,3300000,3200000,4200000,4496592,4252274,3650154,6032445,5701090,6312016,6836562,8597461,8817162,10918000,16923000,17989000,19296000,22085000,23945000,26905000,28341000,14309000,20994000,21091000,23538000,29231000
23,Net Income,2900000,2500000,3300000,2800000,3600000,3100000,2500000,3600000,4000000,4500000,7200000,6900000,5700000,5300000,8300000,7489201,6721537,3729153,9291876,9428767,10467614,10506525,13197710,13607259,15897000,26056000,27622000,28863000,32787000,36092000,41140000,44675000,58124000,56580000,65153000,71498000,83466000
24,Net Income ratio,0.0632,0.0503,0.0591,0.0478,0.0449,0.0358,0.0358,0.0474,0.0466,0.0456,0.0692,0.0578,0.0464,0.0289,0.0359,0.0223,0.0203,0.0262,0.0573,0.0530,0.0456,0.0454,0.0511,0.0467,0.0591,0.0609,0.0661,0.0735,0.0738,0.0724,0.0896,0.0896,0.0941,0.0789,0.1358,0.1465,0.1464
25,EPS,0.81,0.71,0.94,0.71,0.73,0.61,0.49,0.68,0.75,0.82,1.30,1.21,0.85,0.70,1.07,0.95,0.83,0.45,1.11,1.09,1.19,1.16,1.31,1.33,1.45,1.83,1.93,2.01,2.27,2.48,2.73,2.87,3.56,3.46,3.97,4.28,4.75
26,EPS Diluted,0.81,0.71,0.94,0.71,0.73,0.61,0.49,0.68,0.73,0.82,1.26,1.17,0.83,0.69,1.05,0.93,0.83,0.45,1.09,1.08,1.18,1.15,1.29,1.32,1.43,1.82,1.91,1.99,2.26,2.47,2.72,2.86,3.55,3.45,3.96,4.26,4.73
27,Weighted Average Shares Outstanding,3565574,3537736,3510638,3925234,4909091,5109890,5136986,5294118,5357143,5442084,5552836,5690200,6732283,7571429,7732919,7855805,8065844,8226073,8396273,8623872,8771744,9057349,10114561,10217772,10969980,14211831,14333698,14379216,14430961,14551308,15094423,15570539,16336789,16369616,16398443,16711579,17558078
28,Weighted Average Shares Outstanding Diluted,3565574,3537736,3510638,3925234,4909091,5109890,5136986,5294118,5454545,5604396,5926086,6055572,6895161,7644231,7929936,8024144,8130892,8226073,8550806,8730340,8870859,9162667,10282074,10391224,11160301,14373561,14476587,14507260,14543445,14604944,15143373,15613091,16383352,16419870,16448486,16770735,17633029
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000095010996001767/0000950109-96-001767-index.html,https://www.sec.gov/Archives/edgar/data/19745/000095010997002305/0000950109-97-002305-index.html,https://www.sec.gov/Archives/edgar/data/19745/000001974598000004/0000019745-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/19745/000001974599000002/0000019745-99-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000001974506000005/0000019745-06-000005-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000001974507000004/0000019745-07-000004-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000095012310022158/0000950123-10-022158-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000095012311023151/0000950123-11-023151-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000119312512099980/0001193125-12-099980-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000119312513097201/0001193125-13-097201-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000144530514000904/0001445305-14-000904-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828015001482/0001628280-15-001482-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828016011868/0001628280-16-011868-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828017001844/0001628280-17-001844-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828018002594/0001628280-18-002594-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828019002015/0001628280-19-002015-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828020002321/0001628280-20-002321-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828021003104/0001628280-21-003104-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828022003530/0001628280-22-003530-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1000000,2000000,600000,2600000,2400000,4606316,1188335,2458276,3108501,1611761,2487658,4488366,2592801,1611195,2828000,1643000,2637000,3361000,3356000,4574000,2855000,4178000,5614000,6089000,6985000,3499000,4976000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1000000,2000000,600000,2600000,2400000,4606316,1188335,2458276,3108501,1611761,2487658,4488366,2592801,1611195,2828000,1643000,2637000,3361000,3356000,4574000,2855000,4178000,5614000,6089000,6985000,3499000,4976000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,12900000,13400000,13900000,15200000,21800000,39206343,21941813,24045853,30689597,37657766,54284011,44969182,72218191,52905447,85481000,109800000,94006000,70178000,91812000,85723000,78409000,102677000,114280000,128203000,90458000,91302000,98455000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2200000,3300000,3700000,3500000,5200000,7179797,5236652,6217628,4484135,5710649,7871892,8751972,8909801,7189922,11050000,11960000,14511000,13453000,15336000,10949000,10422000,11033000,20346000,16918000,11891000,11445000,20989000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,4900000,6900000,5900000,5300000,5600000,10835583,12778416,10497704,8611989,14970172,24123191,19272721,27730772,33814752,17216000,13826000,16606000,13605000,15905000,21127000,20852000,23263000,38347000,40327000,25492000,30185000,48715000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17600000,21000000,25600000,24100000,26600000,35000000,61828039,41145216,43219461,46894222,59950348,88766752,77482241,111451565,95521316,116575000,137229000,127760000,100597000,126409000,122373000,112538000,141151000,178587000,191537000,134826000,136431000,173135000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,75300000,81700000,90600000,99500000,104300000,117700000,131466319,150255851,154778666,167872259,177053187,201504295,240825412,260423257,280670686,436428000,462757000,487704000,541781000,631246000,689762000,854950000,986664000,1126027000,1383973000,1475360000,1612372000,1755017000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34095000,35613000,4090000,4090000,4354000,4952000,14548000,15070000,22104000,25837000,32668000,38731000,44708000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3951000,3459000,3127000,2798000,2975000,2404000,2222000,1843000,4686000,6207000,8129000,8292000,13192000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,2797141,979664,894415,880134,866329,852524,838719,38046000,39072000,7217000,6888000,7329000,7356000,16770000,16913000,26790000,32044000,40797000,47023000,57900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,- -,- -,1959000,4036000,3918000,4168000,3098000,3678000,3644000,4902000,6756000,6711000,9229000,10776000,12095000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,16100000,14900000,13800000,14300000,14300000,17405145,18726990,10148906,5418519,4040478,2828694,3820002,8829666,8763789,24094000,27899000,82467000,80312000,69440000,81300000,80684000,79589000,79274000,79406000,122986000,125885000,116722000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,90700000,97800000,105500000,113300000,118600000,132000000,148871464,168982841,167724713,174270442,181988080,207213123,247511743,270105447,290273194,500527000,533764000,581306000,633149000,711113000,782096000,956048000,1088068000,1238847000,1502134000,1648372000,1796056000,1941734000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,108300000,118800000,131100000,137400000,145200000,167000000,210699503,210128057,210944174,221164664,241938428,295979875,324993984,381557012,385794510,617102000,670993000,709066000,733746000,837522000,904469000,1068586000,1229219000,1417434000,1693671000,1783198000,1932487000,2114869000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,11200000,13200000,12500000,11100000,16800000,33654718,14551621,21141996,21997413,33502526,45645228,33870552,54893071,40202280,51948000,65541000,55581000,41992000,53482000,44610000,39300000,56935000,74688000,129804000,54068000,60253000,52628000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,5700000,12800000,8200000,12100000,25700000,28065091,44786145,14838006,7180349,7609091,40411332,35210305,53320308,39656364,65322000,73174000,42903000,69395000,117019000,97340000,182548000,221970000,260390000,306393000,292971000,189244000,239596000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26317000,30918000,29271000,26140000,25197000,27173000,29238000,34751000,34155000,30939000,33302000,36488000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,5700000,5400000,6000000,6300000,7300000,9700016,10397536,8557624,9467368,10257959,16430789,21380134,32842448,25192784,53330000,32610000,28097000,21508000,25301000,27088000,30572000,25908000,43171000,57882000,45346000,46233000,47721000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,22600000,31400000,26700000,29500000,49800000,71419825,69735302,44537626,38645130,51369576,102487349,90460991,141055827,105051428,170600000,197642000,157499000,162166000,221942000,194235000,279593000,334051000,413000000,528234000,423324000,329032000,376433000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,29800000,29000000,38200000,37600000,33800000,50920818,48408596,73407684,69415545,66189454,58990363,71050000,63255636,86422273,98814000,89642000,110285000,101907000,117592000,158486000,149340000,136954000,197395000,316020000,440168000,518371000,558474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,10000000,10700000,12300000,14100000,14600000,15744123,16335199,17811042,20083720,23788323,24615709,26845375,29073583,37955281,67116000,80274000,115795000,125318000,142671000,164057000,196028000,227644000,141805000,159788000,183452000,210291000,235686000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,12900000,9800000,7700000,8600000,8635059,8856205,8581274,20100735,22622223,25093928,25404625,- -,- -,70791000,77196000,84707000,87757000,76544000,87369000,85487000,84484000,178940000,171190000,174677000,177708000,170146000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,54000000,52600000,60300000,59400000,57000000,75300000,73600000,99800000,109600000,112600000,108700000,123300000,92329219,124377554,236721000,247112000,310787000,314982000,336807000,409912000,430855000,449082000,518140000,646998000,798297000,906370000,964306000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,84200000,- -,- -,120700000,- -,- -,150607934,- -,- -,- -,225206408,217435343,246681441,213253859,282047444,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9896000,9872000,8571000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,71200000,76500000,83900000,87100000,88800000,106800000,146727759,143278445,144253746,148225309,163975984,211222692,213842432,261980467,262721318,407321000,444754000,468286000,477148000,558749000,604147000,710448000,783133000,931140000,1175232000,1221621000,1235402000,1340739000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1800000,1800000,2200000,2500000,2500000,2577992,2640060,2694935,2754748,2812538,2863212,3254998,3298473,3322668,4572000,4635000,4656000,4671000,4691000,7100000,7432000,7935000,7955000,7971000,7984000,8499000,8593000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,19500000,23400000,26800000,28200000,28900000,31900000,33721747,34555560,32238510,36008246,39015087,42854894,46270884,51538194,56817921,63231000,76805000,91248000,106239000,124274000,142317000,166235000,192062000,229141000,261530000,300607000,342969000,393072000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34700000,-33600000,-37400000,-43800000,-48700000,-54400000,-61462011,-66646944,-74348909,-67046318,288798,216384,783959,552248,-2199586,-2524000,-3360000,-4527000,-5062000,-2533000,-5676000,-5840000,-4878000,-4272000,-6713000,-6267000,-2865000,1303000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,50500000,50700000,56000000,63700000,73700000,80200000,89134016,96300936,106105892,101222679,35846021,38822693,60841711,- -,- -,144502000,148159000,149403000,150750000,152341000,156581000,190311000,250967000,253470000,255651000,259253000,348482000,371162000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,37100000,42300000,47200000,50300000,56400000,60200000,63971744,66849612,66690428,72939355,77962444,84757183,111151552,119576545,123073192,209781000,226239000,240780000,256598000,278773000,300322000,358138000,446086000,486294000,518439000,561577000,697085000,774130000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,108300000,118800000,131100000,137400000,145200000,167000000,210699503,210128057,210944174,221164664,241938428,295979875,324993984,381557012,385794510,617102000,670993000,709066000,733746000,837522000,904469000,1068586000,1229219000,1417434000,1693671000,1783198000,1932487000,2114869000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,108300000,118800000,131100000,137400000,145200000,167000000,210699503,210128057,210944174,221164664,241938428,295979875,324993984,381557012,385794510,617102000,670993000,709066000,733746000,837522000,904469000,1068586000,1229219000,1417434000,1693671000,1783198000,1932487000,2114869000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/19745/000095010996001767/0000950109-96-001767-index.html,https://www.sec.gov/Archives/edgar/data/19745/000095010997002305/0000950109-97-002305-index.html,https://www.sec.gov/Archives/edgar/data/19745/000001974598000004/0000019745-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/19745/000001974599000002/0000019745-99-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000001974506000005/0000019745-06-000005-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000001974507000004/0000019745-07-000004-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000095012310022158/0000950123-10-022158-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000095012311023151/0000950123-11-023151-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000119312512099980/0001193125-12-099980-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000119312513097201/0001193125-13-097201-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000144530514000904/0001445305-14-000904-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828015001482/0001628280-15-001482-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828016011868/0001628280-16-011868-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828017001844/0001628280-17-001844-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828018002594/0001628280-18-002594-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828019002015/0001628280-19-002015-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828020002321/0001628280-20-002321-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828021003104/0001628280-21-003104-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828022003530/0001628280-22-003530-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,7200000,6900000,5700000,5300000,8300000,7489201,6721537,3729153,9291876,9428767,10467614,10506525,13197710,13607259,15897000,26056000,27622000,28863000,32787000,36092000,41140000,44675000,58124000,56580000,65153000,71498000,83466000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14377000,23891000,25269000,28057000,30088000,32893000,36950000,39493000,44721000,49337000,54652000,67716000,72889000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,300000,1800000,1400000,1700000,400000,2922815,508813,264723,2397594,4211481,1510776,-408533,1831030,11441660,10065000,13389000,17714000,13881000,14860000,22235000,20520000,31257000,11085000,21226000,24476000,24709000,26658000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1306000,1155000,1450000,1419000,1631000,1958000,1937000,2367000,2490000,2813000,4279000,4829000,5945000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,1800000,-4200000,3200000,-300000,-11900000,5208214,-18998300,27271921,9567257,331680,-22301369,741847,-16625512,20074150,-44494888,-6388000,30674000,-31830000,-33964000,23671000,-95193000,-25845000,-41513000,-102284000,48199000,95897000,-27911000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13652000,-20467000,14979000,21549000,-21244000,20683000,17097000,-27013000,-19506000,-16311000,36489000,-7426000,-1634000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3307420,1117052,311668,-466411,-1741941,-5704040,354764,1193336,-1729641,2597000,151000,-2484000,603000,-4492000,4177000,1527000,-2531000,-9036000,2107000,8227000,1709000,-9517000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19936000,18824000,-8047000,-10897000,18829000,15596000,35907000,-62021000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,-1600000,-5800000,-2600000,-2900000,-14800000,-9591786,-28590086,-1318165,8249092,8580772,-13720597,-12978750,-29604262,-9530112,-54025000,-60413000,-29739000,-61569000,-95533000,-71862000,-167055000,-192900000,-234413000,-336697000,-288498000,-192601000,-18950000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,3700000,6800000,2000000,4300000,19800000,-7253599,27218548,-6876696,723722,9489088,23611542,19277159,27278656,-16580680,48658888,2902000,-31608000,25482000,27529000,-37565000,99788000,11424000,35182000,119106000,-93795000,-105733000,-10543000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,13000000,11300000,12300000,11000000,16600000,8366631,15450598,24389101,21980449,23461016,13288563,30116998,25681884,28542389,45809000,61005000,71121000,65872000,72931000,79284000,105142000,103371000,110089000,146778000,102964000,158916000,150504000
