,https://roic.ai/company/NATR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,29400000,31100000,38200000,44500000,52100000,60100000,72600000,101000000,127200000,160900000,205600000,249000000,280900000,296100000,289200000,314820000,318722000,298734000,297264000,331063000,351684000,362222000,366647000,381299000,343023000,349918000,367813000,367468000,378096000,366367000,324705000,341159000,342029000,364810000,362215000,385205000,444084000
2,COGS,6800000,5800000,6900000,8000000,9400000,11400000,12900000,16900000,22100000,27700000,35000000,41500000,47300000,47400000,45100000,48522000,57659000,53317000,51927000,62693000,67593000,68745000,70996000,71874000,68803000,69040000,69410000,93324000,94814000,91584000,85345000,90937000,91037000,95691000,93940000,101276000,115467000
3,Gross Profit,22600000,25300000,31300000,36500000,42700000,48700000,59700000,84100000,105100000,133200000,170600000,207500000,233600000,248700000,244100000,266298000,261063000,245417000,245337000,268370000,284091000,293477000,295651000,309425000,274220000,280878000,298403000,274144000,283282000,274783000,239360000,250222000,250992000,269119000,268275000,283929000,328617000
4,Gross Profit Ratio,0.7687,0.8135,0.8194,0.8202,0.8196,0.8103,0.8223,0.8327,0.8263,0.8278,0.8298,0.8333,0.8316,0.8399,0.8441,0.8459,0.8191,0.8215,0.8253,0.8106,0.8078,0.8102,0.8064,0.8115,0.7994,0.8027,0.8113,0.7460,0.7492,0.7500,0.7372,0.7334,0.7338,0.7377,0.7407,0.7371,0.7400
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149500000,177700000,198300000,207800000,210900000,232744000,237165000,- -,- -,- -,- -,- -,- -,155688000,137288000,139248000,144355000,106861000,120743000,119927000,107702000,120273000,129635000,138431000,128740000,131297000,154103000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148139000,126165000,130367000,133883000,133267000,138482000,135808000,117786000,119910000,119970000,125337000,123410000,131150000,139844000
8,"Selling, General and Administrative Exp.",21200000,23200000,27300000,31000000,36000000,42700000,52100000,74100000,91500000,115900000,149500000,177700000,198300000,207800000,210900000,232744000,237165000,233749000,198575000,246716000,128381000,139645000,148706000,303827000,263453000,269615000,278238000,240128000,259225000,255735000,225488000,240183000,249605000,263768000,252150000,262447000,293947000
9,Other Expenses,700000,700000,600000,700000,800000,1000000,1100000,1600000,2100000,3100000,3500000,3400000,4300000,4800000,6100000,6926000,- -,- -,39056000,- -,144125000,145827000,143884000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
