,https://roic.ai/company/GBX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,321700000,387700000,530000000,430900000,540400000,618500000,619429000,593998000,305629000,434991000,729451000,1024222000,953823000,1223828000,1290079000,1018125000,764450000,1243290000,1807716000,1756418000,2203962000,2605278000,2679524000,2169164000,2519464000,3033591000,2792189000,1747981000
2,COGS,223500000,276200000,406100000,319800000,431400000,488300000,492703000,513671000,261932000,380814000,637267000,899049000,796444000,1044395000,1127836000,925018000,654282000,1103759000,1593296000,1550045000,1881742000,2067925000,2128087000,1747865000,2110409000,2667105000,2439058000,1516374000
3,Gross Profit,98200000,111500000,123900000,111100000,109000000,130200000,126726000,80327000,43697000,54177000,92184000,125173000,157379000,179433000,162243000,93107000,110168000,139531000,214420000,206373000,322220000,537353000,551437000,421299000,409055000,366486000,353131000,231607000
4,Gross Profit Ratio,0.3053,0.2876,0.2338,0.2578,0.2017,0.2105,0.2046,0.1352,0.1430,0.1245,0.1264,0.1222,0.1650,0.1466,0.1258,0.0914,0.1441,0.1122,0.1186,0.1175,0.1462,0.2063,0.2058,0.1942,0.1624,0.1208,0.1265,0.1325
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,39000000,36600000,38400000,51100000,54202000,49547000,30003000,31354000,48288000,57425000,70918000,83414000,85133000,65743000,69931000,80326000,104596000,103175000,125270000,151791000,158681000,170607000,200439000,213308000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,39000000,36600000,38400000,51100000,54202000,49547000,30003000,31354000,48288000,57425000,70918000,83414000,85133000,65743000,69931000,80326000,104596000,103175000,125270000,151791000,158681000,170607000,200439000,213308000,- -,191813000
9,Other Expenses,50800000,54700000,24900000,27900000,14500000,16500000,20356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204706000,- -
