,https://roic.ai/company/NFG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,970600000,905800000,737200000,768900000,855800000,892000000,865100000,919800000,1020400000,1141300000,975500000,1208000000,1265800000,1248000000,1263300000,1425277000,2100352000,1464496000,2035471000,2031393000,1923549000,2311659000,2039566000,2400361000,2057852000,1760503000,1778842000,1626853000,1829551000,2113081000,1760913000,1452416000,1579881000,1592668000,1693332000,1546291000,1742659000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,497700000,351100000,477400000,528600000,479300000,461700000,558510000,1100773000,513492000,1024596000,1015174000,959827000,1267562000,1018081000,1235157000,1001782000,658432000,628732000,415589000,1229282000,1452697000,1156145000,838913000,942041000,1021189000,1092637000,978595000,982936000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,643600000,624400000,730600000,737200000,768700000,801600000,866767000,999579000,951004000,1010875000,1016219000,963722000,1044097000,1021485000,1165204000,1056070000,1102071000,1150110000,1211264000,600269000,660384000,604768000,613503000,637840000,571479000,600695000,567696000,759723000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5639,0.6401,0.6048,0.5824,0.6159,0.6345,0.6081,0.4759,0.6494,0.4966,0.5003,0.5010,0.4517,0.5008,0.4854,0.5132,0.6260,0.6465,0.7445,0.3281,0.3125,0.3434,0.4224,0.4037,0.3588,0.3547,0.3671,0.4360
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000000,456100000,506900000,500200000,660700000,544700000,571431000,803743000,662147000,706774000,671849000,657518000,768022000,624987000,679079000,576266000,661620000,708948000,763215000,82431000,90711000,89564000,81714000,84995000,84393000,88886000,88400000,94713000
