,https://roic.ai/company/SCHW,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,112000000,160000000,257000000,- -,- -,345900000,387400000,569500000,749500000,965000000,1064600000,1419900000,1850900000,2298800000,2736200000,3944800000,5787651000,4353000000,4135000000,4087000000,4202000000,4464000000,4309000000,4994000000,5150000000,4291000000,4112000000,4740000000,4899000000,5434000000,6054000000,6369000000,7473000000,8618000000,10132000000,10721000000,11691000000,18520000000
2,COGS,- -,8000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,112000000,152000000,244000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,0.9500,0.9494,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,104000000,124000000,168000000,- -,- -,130700000,155100000,234400000,306600000,392800000,437100000,594100000,766300000,961800000,1162800000,1624500000,2414480000,1875000000,1854000000,1771000000,1877000000,1902000000,1619000000,1781000000,1667000000,1750000000,2100000000,1952000000,2023000000,2247000000,2407000000,2474000000,2703000000,3147000000,3488000000,3695000000,4470000000,6312000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,18400000,19900000,25200000,33800000,40700000,106700000,52800000,84000000,129600000,155000000,241900000,332311000,246000000,211000000,139000000,184000000,178000000,189000000,230000000,243000000,191000000,196000000,228000000,241000000,257000000,245000000,249000000,265000000,268000000,313000000,307000000,326000000,485000000
8,"Selling, General and Administrative Exp.",104000000,124000000,168000000,- -,- -,149100000,175000000,259600000,340400000,433500000,543800000,646900000,850300000,1091400000,1317800000,1866400000,2746791000,2121000000,2065000000,1910000000,2061000000,2080000000,1808000000,2011000000,1910000000,1941000000,2296000000,2180000000,2264000000,2504000000,2652000000,2723000000,2968000000,3415000000,3801000000,4002000000,4796000000,6797000000
9,Other Expenses,6000000,7000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000000,882000000,962000000,996000000,752000000,891000000,850000000,895000000,926000000,980000000,1036000000,1138000000,1106000000,1267000000,1488000000,- -,- -
10,Operating Expenses,110000000,131000000,177000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2451000000,2690000000,2973000000,2906000000,2693000000,3187000000,3030000000,3159000000,3430000000,3632000000,3759000000,4106000000,4521000000,5068000000,5490000000,- -,- -
11,COGS and Expenses,110000000,139000000,190000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,272900000,309500000,302200000,251000000,252200000,362900000,568100000,680900000,900100000,1127500000,1471100000,2588876000,1857000000,1186000000,970000000,1213000000,1944000000,2113000000,2270000000,1908000000,1428000000,1723000000,1900000000,1914000000,2085000000,2374000000,2657000000,3493000000,4624000000,6680000000,7580000000,6531000000,8506000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,207300000,238500000,225600000,159500000,132400000,198200000,357200000,425900000,546500000,651900000,768400000,1351776000,928000000,345000000,241000000,277000000,687000000,679000000,623000000,243000000,183000000,398000000,175000000,150000000,105000000,102000000,132000000,171000000,342000000,857000000,1064000000,418000000,476000000
14,Depreciation and Amortization,- -,- -,10000000,38000000,44000000,52500000,49100000,51900000,40500000,44400000,54600000,68700000,98300000,124700000,138500000,156700000,310903000,404000000,321000000,284000000,226000000,208000000,157000000,156000000,152000000,159000000,146000000,155000000,196000000,202000000,199000000,224000000,234000000,269000000,306000000,349000000,604000000,1164000000
15,EBITDA,2000000,20000000,76000000,- -,- -,293000000,316700000,365600000,346200000,376400000,477100000,703000000,918300000,1118500000,1367000000,1896400000,2894152000,1588000000,846000000,1235000000,1020000000,2075000000,2648000000,3919000000,2405000000,1618000000,1323000000,1722000000,1796000000,2012000000,2416000000,2635000000,3398000000,4261000000,5725000000,6261000000,5322000000,9353000000
16,EBITDA ratio,0.0179,0.1250,0.2957,- -,- -,0.8471,0.8175,0.6420,0.4619,0.3901,0.4481,0.4951,0.4961,0.4866,0.4996,0.4807,0.5001,0.3648,0.2046,0.3022,0.2427,0.4648,0.6145,0.7847,0.4670,0.3771,0.3217,0.3633,0.3666,0.3703,0.3991,0.4137,0.4547,0.4944,0.5650,0.5840,0.4552,0.5050
17,Operating Income,2000000,20000000,66000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7713000000
18,Operating Income ratio,0.0179,0.1250,0.2568,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4165
