,https://roic.ai/company/MTG,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,60555000,121111000,121111000,121111000,121111000,121111000,121419000,121587000,122324000,122549000,123029000,123067000,130119000,130163000,205047000,205047000,205047000,340047000,340047000,340097000,359400000,370567000,371353000,371353000,371353000,- -
64,Retained Earnings,193500000,289400000,408500000,556600000,754800000,1003408000,1316129000,1690351000,2149727000,2681108000,3309560000,3928393000,4411148000,4940955000,5519389000,5998631000,4350316000,2253676000,924707000,525562000,-11635000,-990281000,-1074617000,-852458000,290047000,632564000,977160000,1647275000,2278650000,2642096000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,66000000,71000000,-107000000,74000000,22000000,30000000,-48000000,-118000000,-81000000,-61000000,-75000000,-44000000,-124000000,73000000,216821000,119697000
66,Other Total Stockholders Equity,298900000,302800000,303600000,281500000,366600000,302152000,49542000,- -,- -,- -,- -,-654620000,-735833000,-919640000,-1553883000,-1891783000,-1950040000,90405000,173711000,916446000,973403000,1030174000,1597108000,1630314000,1666996000,1631878000,1850799000,1687263000,1586231000,1468716000,- -
67,Total Stockholders Equity,492400000,592200000,712100000,838100000,1121400000,1366115000,1486782000,1640591000,1775989000,2464882000,3020187000,3395192000,3796902000,4143639000,4165055000,4295877000,2594343000,2367200000,1302581000,1669055000,1196815000,196940000,744538000,1036903000,2236140000,2548842000,3154526000,3581891000,4309234000,4698986000,4861382000
68,Total Liabilities And Stockholders Equity,894500000,1023100000,1343200000,1476300000,1874700000,2222315000,2617687000,3050541000,3104393000,3857781000,4567012000,5300303000,5917387000,6380691000,6357569000,6621671000,7716361000,9182829000,9404419000,9333642000,7216230000,5574324000,5601390000,5266434000,5879545000,5734529000,5619499000,5677802000,6229571000,7354526000,7325008000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,894500000,1023100000,1343200000,1476300000,1874700000,2222315000,2617687000,3050541000,3104393000,3857781000,4567012000,5300303000,5917387000,6380691000,6357569000,6621671000,7716361000,9182829000,9404419000,9333642000,7216230000,5574324000,5601390000,5266434000,5879545000,5734529000,5619499000,5677802000,6229571000,7354526000,7325008000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876437/000095013704001855/c83696e10vk.htm,https://www.sec.gov/Archives/edgar/data/876437/000095013705003101/c93113e10vk.htm,https://www.sec.gov/Archives/edgar/data/876437/000095013706002881/c03264e10vk.htm,https://www.sec.gov/Archives/edgar/data/876437/000095013707003093/c12521e10vk.htm,https://www.sec.gov/Archives/edgar/data/876437/000089706908000525/cmw3393.htm,https://www.sec.gov/Archives/edgar/data/876437/000095013709001435/0000950137-09-001435-index.html,https://www.sec.gov/Archives/edgar/data/876437/000095012310019346/0000950123-10-019346-index.html,https://www.sec.gov/Archives/edgar/data/876437/000114036111013074/form10k.htm,https://www.sec.gov/Archives/edgar/data/876437/000114036112011856/0001140361-12-011856-index.html,https://www.sec.gov/Archives/edgar/data/876437/000114036113010113/0001140361-13-010113-index.html,https://www.sec.gov/Archives/edgar/data/876437/000114036114010329/form10k.htm,https://www.sec.gov/Archives/edgar/data/876437/000114036115009430/form10k.htm,https://www.sec.gov/Archives/edgar/data/876437/000087643716000142/0000876437-16-000142-index.html,https://www.sec.gov/Archives/edgar/data/876437/000087643717000015/0000876437-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/876437/000087643718000009/0000876437-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/876437/000087643719000006/0000876437-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/876437/000087643720000007/0000876437-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/876437/000087643721000012/0000876437-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/876437/000087643722000013/0000876437-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,75000000,102300000,127300000,159500000,207600000,257991000,323750000,385465000,470201000,541999000,639137000,629191000,493879000,553186000,626873000,564739000,-1670018000,-518914000,-1322277000,-363735000,-485892000,-927079000,-49848000,251949000,1172000000,342517000,355761000,670097000,673763000,446093000,634983000
74,Depreciation and Amortization,1500000,27100000,2000000,2600000,38300000,8969000,8187000,7742000,11746000,6860000,8281000,12292000,50679000,47651000,39321000,22317000,25177000,34304000,60349000,60882000,84828000,100135000,68716000,48365000,52559000,61342000,64430000,58215000,48784000,57812000,66014000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176279000,-75000,-738000,-34000,590000,312000,-692810000,162356000,355044000,186572000,11096000,27475000,5188000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6729000
77,Change in Working Capital,-300000,- -,- -,- -,- -,-820800000,-72600000,-74600000,64600000,-92100000,-79200000,-153200000,-292900000,-77000000,90500000,-37200000,-2779200000,-1417900000,-1691300000,9644259000,-483087000,-958380000,949426000,212520000,534932000,419306000,616594000,599005000,786481000,-4888156000,1442852000
78,Accounts Receivable,- -,2600000,- -,4600000,-31100000,-36100000,-23100000,-39200000,4200000,-4815000,-7193000,2304000,437000,19919000,4478000,6557000,-48367000,9732000,7462000,10572000,8494000,57290000,51470000,-74028000,89957000,-12321000,-1386000,9546000,17562000,-68420000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-6700000,1400000,80800000,96400000,150800000,90600000,82600000,-39200000,-32432000,4118000,119517000,328607000,99874000,-44750000,31099000,2810177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-820800000,-893400000,-968000000,-903400000,-995500000,-1074700000,-1227900000,-1520800000,-1597800000,-1507300000,-1544500000,-4323700000,-5741600000,-7432900000,2211359000,1728272000,769892000,1719318000,1931838000,2466770000,2886076000,3502670000,4101675000,4888156000,- -,1442852000
82,Other Non-Cash Items,46200000,-9700000,83400000,77400000,40600000,921602000,104624000,102339000,-91532000,94278000,57901000,125047000,434978000,35323000,-248340000,-52178000,5056012000,3267418000,3106903000,-10216761000,-998962000,216758000,-1940415000,-923130000,-914645000,-765858000,-985172000,-969372000,-910592000,5089085000,-1445991000
83,Cash Provided by Operating Activities,122400000,119700000,212700000,239500000,286500000,367762000,363961000,420946000,455015000,551037000,626119000,613330000,686636000,559160000,508354000,497678000,631971000,1364908000,329954000,-875430000,-1883851000,-1568600000,-971531000,-409984000,152036000,219663000,406657000,544517000,609532000,732309000,696317000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4630000,-10552000,-16066000,-14238000,-5636000,-3311000,-4115000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-33426000,-13599000,-19180000,-15000000,-17528000,-7769000,-12137000,2724000,-75948000,236897000,149770000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-502900000,-385700000,-281600000,-242600000,-549000000,-1095559000,-112780000,-920015000,-1237634000,-1822347000,-2801725000,-2804029000,-3822762000,-1782395000,-1595417000,-1841383000,-2721389000,-3592689000,-4166689000,-5225950000,-4395825000,-5025356000,-3248713000,-1979917000,-2462844000,-1360386000,-1293616000,-1459166000,-1394433000,-2636972000,-1531129000
87,Sales/Maturities of Investments,320300000,272400000,112500000,87500000,189100000,781099000,453994000,645522000,953873000,1363427000,2214974000,2299483000,3370940000,1397723000,1649335000,1875493000,2021984000,2138108000,4219492000,5030546000,6150042000,6678889000,2412026000,2276630000,2353304000,1277546000,1006041000,1155624000,977961000,1867777000,473904000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-685217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51262000,19547000,- -,83500000,- -,- -,-17440000,228000,17212000,- -,- -,- -,- -,- -,900591000
89,Cash Used for Investing Activites,-182600000,-113300000,-169100000,-155100000,-359900000,-314460000,-344003000,-307919000,-297360000,-478100000,-601751000,-522074000,-459591000,-396809000,56642000,-41838000,-513770000,-1285264000,52803000,-111904000,1754217000,1653533000,-854127000,296941000,-96958000,-93392000,-303641000,-317780000,-422108000,-772506000,-160749000
90,Debt Repayment,- -,-200000,-300000,-300000,-300000,-375000,-35424000,-17700000,-17000000,-336751000,-338905000,-202087000,- -,- -,-300000000,- -,-200000000,-100000000,-294352000,-1000000,-178721000,-53107000,-17235000,-21767000,-73957000,-464638000,-295620000,- -,- -,-219096000,- -
91,Common Stock Issued,54400000,- -,- -,- -,- -,10209000,13072000,15454000,3912000,18699000,16830000,17004000,5161000,32013000,5510000,19777000,3582000,459717000,- -,772376000,- -,- -,663335000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1100000,- -,700000,2200000,6100000,- -,-248426000,-246840000,-200533000,-6224000,-73488000,-373070000,-94134000,-205014000,-533844000,-385629000,-75659000,- -,- -,- -,- -,- -,- -,- -,- -,-147127000,- -,-163419000,-125766000,-119997000,-290818000
93,Dividends Paid,-2000000,-8100000,-8500000,-9300000,-9400000,-9425000,-11029000,-11243000,-10825000,-10618000,-10685000,-10358000,-11124000,-22032000,-48439000,-85495000,-63819000,-8159000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41914000,-82061000,-94219000
94,Other Financing Activites,-300000,3900000,100000,-100000,- -,- -,237500000,204535000,- -,309079000,411042000,404174000,-78873000,37804000,340565000,93989000,212890000,377199000,- -,334373000,- -,- -,484625000,- -,2117000,459784000,137045000,-8131000,-5726000,588975000,-142253000
