,https://roic.ai/company/AAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6131000000,6018200000,7198000000,8824300000,10479600000,11719600000,12887000000,14396000000,15816000000,16137000000,16910000000,17753000000,18570000000,19205000000,17730000000,19703000000,18963000000,17299000000,17440000000,18645000000,20712000000,22563000000,22935000000,23766000000,19917000000,22170000000,23979000000,24855000000,26743000000,42650000000,40990000000,40180000000,42207000000,44541000000,45768000000,17337000000,29882000000
2,COGS,5154600000,5218600000,6251000000,7465000000,4838500000,7806800000,7309000000,8276000000,8704000000,8239000000,8580000000,9008000000,9264000000,9291000000,9772000000,10906000000,12578000000,11076000000,10391000000,11456000000,13626000000,14346000000,6392000000,8979000000,5462000000,6221000000,11682000000,20419000000,20658000000,31939000000,27967000000,28339000000,31154000000,34490000000,35379000000,24933000000,29855000000
3,Gross Profit,976400000,799600000,947000000,1359300000,5641100000,3912800000,5578000000,6120000000,7112000000,7898000000,8330000000,8745000000,9306000000,9914000000,7958000000,8797000000,6385000000,6223000000,7049000000,7189000000,7086000000,8217000000,16543000000,14787000000,14455000000,15949000000,12297000000,4436000000,6085000000,10711000000,13023000000,11841000000,11053000000,10051000000,10389000000,-7596000000,27000000
4,Gross Profit Ratio,0.1593,0.1329,0.1316,0.1540,0.5383,0.3339,0.4328,0.4251,0.4497,0.4894,0.4926,0.4926,0.5011,0.5162,0.4488,0.4465,0.3367,0.3597,0.4042,0.3856,0.3421,0.3642,0.7213,0.6222,0.7258,0.7194,0.5128,0.1785,0.2275,0.2511,0.3177,0.2947,0.2619,0.2257,0.2270,-0.4381,0.0009
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,9792000000,9914000000,9976000000,10354000000,10403000000,10016000000,10463000000,11728000000,11555000000,10187000000,9622000000,9721000000,9778000000,6770000000,6655000000,6807000000,6847000000,7571000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1335000000,-1293000000,-1252000000,-1278000000,-1226000000,-1162000000,-1037000000,-835000000,-1125000000,-1063000000,-1107000000,-1113000000,-1076000000,1028000000,997000000,853000000,976000000,1062000000,- -,1158000000,1544000000,1394000000,1323000000,1477000000,1520000000,1602000000,513000000,1098000000
8,"Selling, General and Administrative Exp.",102900000,- -,- -,- -,4284400000,3065700000,4690000000,5104000000,5199000000,8457000000,8621000000,8724000000,9076000000,9177000000,8854000000,9426000000,10893000000,10430000000,9124000000,8515000000,8608000000,8702000000,7798000000,7652000000,7660000000,7823000000,8633000000,- -,1158000000,1544000000,1394000000,1323000000,1477000000,1520000000,1602000000,513000000,1098000000
9,Other Expenses,336900000,388700000,485900000,552800000,612700000,723100000,883000000,1041000000,1223000000,7944000000,8290000000,9198000000,9038000000,9134000000,9292000000,10502000000,11956000000,11527000000,10971000000,12059000000,14050000000,14690000000,4042000000,4231000000,3912000000,3822000000,3993000000,3942000000,2969000000,4118000000,4374000000,4525000000,4940000000,5119000000,5100000000,2969000000,3975000000
10,Operating Expenses,439800000,388700000,485900000,552800000,4897100000,3788800000,5573000000,6145000000,6422000000,16401000000,16911000000,17922000000,18114000000,18311000000,18146000000,19928000000,22849000000,21957000000,20095000000,20574000000,22658000000,23392000000,11840000000,11883000000,11572000000,11645000000,12626000000,3942000000,4127000000,5662000000,5768000000,5848000000,6417000000,6639000000,6702000000,3482000000,5073000000
11,COGS and Expenses,5594400000,5607300000,6736900000,8017800000,9735600000,11595600000,12882000000,14421000000,15126000000,24640000000,25491000000,26930000000,27378000000,27602000000,27918000000,30834000000,35427000000,33033000000,30486000000,32030000000,36284000000,37738000000,18232000000,20862000000,17034000000,17866000000,24308000000,24361000000,24785000000,37601000000,33735000000,34187000000,37571000000,41129000000,42081000000,28415000000,34928000000
