,https://roic.ai/company/MSTR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,53600000,106400000,151258000,223930000,180416000,147827000,175577000,231208000,268662000,313823000,350674000,360393000,377788000,454577000,562150000,594606000,575888000,579830000,529869000,512161000,504543000,497638000,486327000,480735000,510762000
2,COGS,9900000,16500000,28925000,70477000,45643000,27900000,27985000,32871000,36451000,44386000,60494000,63406000,66603000,106091000,142020000,152792000,138569000,135210000,101108000,93147000,96649000,99499000,99974000,91055000,91909000
3,Gross Profit,43700000,89900000,122333000,153453000,134773000,119927000,147592000,198337000,232211000,269437000,290180000,296987000,311185000,348486000,420130000,441814000,437319000,444620000,428761000,419014000,407894000,398139000,386353000,389680000,418853000
4,Gross Profit Ratio,0.8153,0.8449,0.8088,0.6853,0.7470,0.8113,0.8406,0.8578,0.8643,0.8586,0.8275,0.8241,0.8237,0.7666,0.7474,0.7430,0.7594,0.7668,0.8092,0.8181,0.8084,0.8001,0.7944,0.8106,0.8201
5,Research and Development Exp.,5000000,12100000,27998000,61433000,32819000,26297000,27684000,24915000,31471000,34133000,36662000,30571000,41796000,50566000,72618000,94565000,98056000,103355000,65206000,73142000,78766000,102499000,109423000,103561000,117117000
6,General and Administrative Exp.,- -,65200000,117960000,209857000,111960000,75814000,90055000,104901000,106802000,135444000,165225000,60933000,54613000,81599000,89441000,97251000,104734000,96343000,80732000,79462000,80161000,86134000,86697000,80136000,95501000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137683000,128472000,165732000,243029000,219845000,215089000,225086000,148522000,158740000,174612000,205525000,191235000,148910000,160141000
8,"Selling, General and Administrative Exp.",37100000,65200000,117960000,209857000,111960000,75814000,90055000,104901000,106802000,135444000,165225000,198616000,183085000,247331000,332470000,317096000,319823000,321429000,229254000,238202000,254773000,291659000,277932000,229046000,255642000
9,Other Expenses,1200000,3300000,8108000,35161000,17251000,3195000,182000,71000,71000,71000,71000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,43300000,80600000,154066000,306451000,162030000,105306000,117921000,129887000,138344000,169648000,201958000,229187000,224881000,297897000,405088000,411661000,417879000,424784000,294460000,311344000,333539000,394158000,387355000,332607000,372759000
11,COGS and Expenses,53200000,97100000,182991000,376928000,207673000,133206000,145906000,162758000,174795000,214034000,262452000,292593000,291484000,403988000,547108000,564453000,556448000,559994000,395568000,404491000,430188000,493657000,487329000,423662000,464668000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,497000,162000,284000,2203000,5205000,11855000,10909000,710000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1200000,3300000,8108000,35161000,29560000,13111000,8834000,8323000,8496000,7635000,7596000,6399000,10631000,12799000,18526000,24519000,26399000,25295000,21214000,17195000,12572000,3701000,16699000,13332000,11358000
15,EBITDA,1500000,13600000,-24389000,-224745000,-48848000,52418000,2344000,77643000,106666000,108996000,98783000,77235000,110761000,67759000,37826000,53750000,99932000,36346000,159078000,130241000,85179000,24183000,54962000,-6621000,-800031000
16,EBITDA ratio,0.0280,0.1278,-0.1612,-1.0036,-0.2708,0.3546,0.0134,0.3358,0.3970,0.3473,0.2817,0.2143,0.2932,0.1491,0.0673,0.0904,0.1735,0.0627,0.3002,0.2543,0.1688,0.0486,0.1130,-0.0138,-1.5663
