,https://roic.ai/company/CWEN-A,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0490,0.0915,0.0743,0.0415,0.0274,0.0380,0.0558,-0.0159,0.0456,-0.0107,0.0209,0.0397
25,EPS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.11,0.23,0.20,0.57,0.30,0.40,0.58,-0.16,0.46,-0.10,0.22,0.44
26,EPS Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.11,0.23,0.20,0.57,0.30,0.40,0.58,-0.16,0.46,-0.10,0.22,0.44
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65250000,65250000,65250000,23000000,56000000,84000000,98000000,99000000,104000000,109000000,115000000,117000000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65250000,65250000,65250000,23000000,56000000,84000000,98000000,99000000,104000000,109000000,116000000,117000000
29,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1567683/000156768321000009/0001567683-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1567683/000156768322000006/0001567683-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,22000000,36000000,391000000,111000000,317000000,148000000,407000000,155000000,268000000,179000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,22000000,36000000,391000000,111000000,317000000,148000000,407000000,155000000,268000000,179000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,31000000,145000000,73000000,102000000,107000000,108000000,104000000,118000000,143000000,144000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,14000000,18000000,35000000,39000000,39000000,40000000,40000000,42000000,37000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,23000000,72000000,57000000,70000000,182000000,187000000,205000000,295000000,255000000,1171000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,81000000,267000000,539000000,318000000,645000000,482000000,756000000,608000000,708000000,1531000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,526000000,1525000000,1541000000,3487000000,5056000000,5460000000,5204000000,5245000000,6286000000,7554000000,8200000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,30000000,86000000,1266000000,1362000000,1286000000,1228000000,1156000000,1428000000,1370000000,2499000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,30000000,86000000,1266000000,1362000000,1286000000,1228000000,1156000000,1428000000,1370000000,2499000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000000,220000000,227000000,227000000,798000000,710000000,1178000000,1172000000,1183000000,741000000,381000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000000,118000000,170000000,216000000,128000000,57000000,92000000,104000000,95000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,35000000,46000000,115000000,71000000,66000000,63000000,114000000,103000000,115000000,107000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784000000,1810000000,2046000000,5213000000,7457000000,7738000000,7801000000,7744000000,9092000000,9884000000,11282000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,874000000,1891000000,2313000000,5752000000,7775000000,8383000000,8283000000,8500000000,9700000000,10592000000,12813000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,166000000,81000000,63000000,108000000,63000000,75000000,64000000,105000000,89000000,181000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,58000000,133000000,160000000,241000000,282000000,306000000,535000000,1824000000,384000000,772000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,61000000,43000000,74000000,107000000,114000000,105000000,105000000,128000000,161000000,678000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,285000000,257000000,297000000,456000000,459000000,486000000,704000000,2057000000,634000000,1631000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000000,749000000,1000000000,3890000000,4562000000,5426000000,5531000000,5447000000,5183000000,6930000000,7500000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,13000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,86000000,45000000,85000000,125000000,128000000,128000000,125000000,197000000,313000000,369000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353000000,839000000,1045000000,3975000000,4687000000,5554000000,5659000000,5572000000,5380000000,7243000000,7882000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000000,345000000,561000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000000,1124000000,1302000000,4272000000,5143000000,6013000000,6145000000,6276000000,7437000000,7877000000,9513000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,30000000,8000000,3000000,12000000,-2000000,-69000000,-58000000,-72000000,-84000000,-33000000
