,https://roic.ai/company/ATSG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,20466000,36660000,22347000,170662000,-477042000,73790000,71479000,81673000,85035000,85624000,163073000,169516000,145431000,164406000,105636000,171753000,201305000,188202000,177993000,322238000,424788000,421639000,362435000
16,EBITDA ratio,0.0195,0.0314,0.0192,0.1454,-0.4109,0.0614,0.0488,0.0648,0.0724,0.0532,0.1980,0.2540,0.1992,0.2707,0.1821,0.2913,0.3251,0.2448,0.1666,0.3611,0.2925,0.2685,0.2090
17,Operating Income,34524000,43315000,- -,48535000,-559166000,44998000,38763000,42785000,42798000,- -,- -,- -,62629000,78688000,13185000,64525000,72790000,63748000,93295000,111018000,176997000,206390000,321232000
18,Operating Income ratio,0.0329,0.0371,- -,0.0414,-0.4816,0.0374,0.0265,0.0339,0.0364,- -,- -,- -,0.0858,0.1295,0.0227,0.1094,0.1175,0.0829,0.0873,0.1244,0.1219,0.1314,0.1852
19,Total Other Income Expenses (Gains),-14058000,-6655000,-21147000,-25866000,-16379000,-8025000,-8451000,-6772000,-9510000,-248458000,-26432000,-18359000,-21769000,-12368000,-13544000,-12749000,-10227000,-29294000,-99831000,-23540000,-105425000,-164997000,-20027000
20,Income Before Tax,20466000,36660000,22347000,22669000,-575545000,36973000,30312000,36013000,33288000,-45829000,45358000,63317000,40860000,66320000,-359000,51776000,62563000,34454000,-6536000,87478000,71572000,41393000,301205000
21,Income Before Tax Ratio,0.0195,0.0314,0.0192,0.0193,-0.4957,0.0307,0.0207,0.0286,0.0283,-0.0285,0.0551,0.0949,0.0560,0.1092,-0.0006,0.0878,0.1010,0.0448,-0.0061,0.0980,0.0493,0.0264,0.1737
22,Income Tax expense (Gain),8939000,9682000,9527000,9383000,-128644000,- -,- -,-54041000,13701000,10161000,17156000,23413000,16995000,24672000,19266000,19702000,23408000,13394000,-28276000,19595000,11589000,16314000,72225000
23,Net Income,11527000,26978000,12820000,13286000,-446901000,36973000,30312000,90054000,19587000,-55990000,34449000,39834000,23192000,40874000,-19628000,29860000,41222000,23488000,18495000,69285000,61202000,32115000,231420000
24,Net Income ratio,0.0110,0.0231,0.0110,0.0113,-0.3849,0.0307,0.0207,0.0715,0.0167,-0.0348,0.0418,0.0597,0.0318,0.0673,-0.0338,0.0506,0.0666,0.0305,0.0173,0.0776,0.0421,0.0204,0.1334
