,https://roic.ai/company/SCHN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,204900000,261700000,330700000,339400000,361800000,353100000,265000000,333792000,291946000,350648000,496866000,688220000,853078000,1854715000,2572265000,3641550000,1900226000,2301240000,3459194000,3340938000,2621911000,2543583000,1915399000,1352543000,1687591000,2364715000,2132781000,1712343000,2758551000
2,COGS,178100000,224900000,272900000,276800000,296500000,292500000,218600000,278247000,260549000,324360000,413043000,530279000,622856000,1526990000,2179927000,3013853000,1781114000,2019764000,3072165000,3079716000,2415391000,2324823000,1742678000,1175988000,1464508000,2010485000,1858535000,1503725000,2305357000
3,Gross Profit,26800000,36800000,57800000,62600000,65300000,60600000,46400000,55545000,31397000,26288000,83823000,157941000,230222000,327725000,392338000,627697000,119112000,281476000,387029000,261222000,206520000,218760000,172721000,176555000,223083000,354230000,274246000,208618000,453194000
4,Gross Profit Ratio,0.1308,0.1406,0.1748,0.1844,0.1805,0.1716,0.1751,0.1664,0.1075,0.0750,0.1687,0.2295,0.2699,0.1767,0.1525,0.1724,0.0627,0.1223,0.1119,0.0782,0.0788,0.0860,0.0902,0.1305,0.1322,0.1498,0.1286,0.1218,0.1643
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,18900000,21200000,22500000,23800000,26477000,27134000,29426000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13300000,13200000,16200000,18900000,21200000,22500000,23800000,26477000,27134000,29426000,37359000,49132000,67242000,156862000,184216000,237723000,184657000,158805000,205025000,205178000,193533000,191213000,170592000,148908000,171570000,208877000,191405000,187876000,242463000
9,Other Expenses,9900000,9400000,11600000,14000000,18300000,18700000,17700000,18361000,-9837000,-19390000,-26934000,-61571000,-69630000,-4201000,-5441000,-12309000,-7935000,-3226000,-3960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,23200000,22600000,27800000,32900000,39500000,41200000,41500000,44838000,17297000,10036000,10425000,-12439000,-2388000,152661000,178775000,225414000,176722000,155579000,201065000,205178000,193533000,191213000,170592000,148908000,171570000,208877000,191405000,187876000,242463000
11,COGS and Expenses,201300000,247500000,300700000,309700000,336000000,333700000,260100000,323085000,277846000,334396000,423468000,517840000,620468000,1679651000,2358702000,3239267000,1957836000,2175343000,3273230000,3284894000,2608924000,2516036000,1913270000,1324896000,1636078000,2219362000,2049940000,1691601000,2547820000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1179000,459000,384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3342000,2343000,8436000,11880000,9743000,10804000,9191000,8889000,8081000,8983000,8266000,8669000,5285000
14,Depreciation and Amortization,9900000,9400000,11600000,14000000,18300000,18700000,17700000,18361000,18742000,18631000,19441000,20403000,20881000,31411000,40563000,51362000,60681000,63418000,74866000,82256000,83070000,79209000,67936000,54630000,49840000,49672000,53336000,58173000,58599000
15,EBITDA,13600000,25900000,45600000,44800000,50400000,33900000,23700000,29389000,30062000,26278000,80588000,182253000,249270000,261350000,247230000,444248000,9977000,173336000,258825000,135579000,-246055000,97938000,-132497000,44845000,103754000,197516000,135617000,62863000,266931000
16,EBITDA ratio,0.0664,0.0990,0.1379,0.1320,0.1393,0.0960,0.0894,0.0880,0.1030,0.0749,0.1622,0.2648,0.2922,0.1409,0.0961,0.1220,0.0053,0.0753,0.0748,0.0406,-0.0938,0.0385,-0.0692,0.0332,0.0615,0.0835,0.0636,0.0367,0.0968
