,https://roic.ai/company/VHI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1382700000,2252400000,2269400000,1671100000,765700000,811800000,781100000,832700000,1960800000,1190800000,1093100000,1059400000,1145200000,1191885000,1059470000,1140004000,1259696000,1364372000,1529307000,1676242000,1563100000,1578000000,1341800000,1341800000,2111800000,2087300000,1863600000,1862600000,1532900000,1566800000,1879400000,1820100000,1897500000,1849700000,2296400000
2,COGS,1032200000,1415500000,1409500000,1027400000,581600000,606500000,567400000,603800000,1332800000,839400000,742100000,677700000,775600000,753300000,774979000,857435000,935624000,1036950000,1042838000,1139439000,1206300000,1239100000,1135700000,1135700000,1326400000,1512100000,1729400000,1459800000,1310000000,1274700000,1277400000,1210900000,1462900000,1437600000,1716200000
3,Gross Profit,350500000,836900000,859900000,643700000,184100000,205300000,213700000,228900000,628000000,351400000,351000000,381700000,369600000,438585000,284491000,282569000,324072000,327422000,486469000,536803000,356800000,338900000,206100000,206100000,785400000,575200000,134200000,402800000,222900000,292100000,602000000,609200000,434600000,412100000,580200000
4,Gross Profit Ratio,0.2535,0.3716,0.3789,0.3852,0.2404,0.2529,0.2736,0.2749,0.3203,0.2951,0.3211,0.3603,0.3227,0.3680,0.2685,0.2479,0.2573,0.2400,0.3181,0.3202,0.2283,0.2148,0.1536,0.1536,0.3719,0.2756,0.0720,0.2163,0.1454,0.1864,0.3203,0.3347,0.2290,0.2228,0.2527
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,119500000,330600000,211700000,227100000,212100000,189000000,201732000,195166000,- -,- -,- -,- -,- -,- -,- -,- -,33300000,- -,273300000,375100000,276100000,269700000,260200000,269400000,310000000,294200000,283000000,328900000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",340800000,411400000,431200000,318100000,101100000,114500000,113100000,119500000,330600000,211700000,227100000,212100000,189000000,201732000,195166000,191352000,229747000,208101000,219641000,229417000,238400000,238500000,227600000,227600000,278600000,273300000,375100000,276100000,269700000,260200000,269400000,324500000,310700000,303700000,328900000
9,Other Expenses,11100000,85900000,101400000,85600000,29400000,27600000,25600000,29600000,93900000,69900000,62300000,59000000,64700000,71091000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,- -,- -,- -,- -,- -,- -,-14500000,-16500000,-20100000,- -
10,Operating Expenses,351900000,497300000,532600000,403700000,130500000,142100000,138700000,149100000,424500000,281600000,289400000,271100000,253700000,272823000,195166000,191352000,229747000,208101000,219641000,229417000,238400000,238500000,227600000,227600000,281700000,273300000,375100000,276100000,269700000,260200000,269400000,310000000,294200000,283600000,328900000
11,COGS and Expenses,1384100000,1912800000,1942100000,1431100000,712100000,748600000,706100000,752900000,1757300000,1121000000,1031500000,948800000,1029300000,1026123000,970145000,1048787000,1165371000,1245051000,1262479000,1368856000,1444700000,1477600000,1363300000,1363300000,1608100000,1785400000,2104500000,1735900000,1579700000,1534900000,1546800000,1520900000,1757100000,1721200000,2045100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26300000,26300000,29200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,105900000,153400000,190600000,72200000,51500000,38600000,35300000,126200000,100200000,- -,91200000,- -,70354000,62285000,60157000,58526000,62901000,69190000,67607000,64400000,68700000,66700000,66700000,61900000,56300000,56100000,56700000,59000000,63200000,58900000,55700000,40800000,36200000,32500000
14,Depreciation and Amortization,11100000,85900000,101400000,85600000,29400000,27600000,25600000,29600000,93900000,69900000,62300000,59000000,64700000,71091000,74493000,61776000,72969000,78352000,74527000,72513000,66300000,66100000,67400000,67400000,63800000,69400000,74500000,78400000,69900000,67500000,59000000,58400000,56800000,68500000,59300000
15,EBITDA,96900000,414300000,472600000,432600000,141200000,-32400000,-45300000,86000000,329700000,215600000,146300000,562000000,42800000,312501000,283155000,117044000,159895000,165590000,329327000,345637000,188200000,150700000,49100000,49100000,518100000,390300000,-58400000,221400000,92600000,120800000,205400000,345600000,173300000,175800000,279100000
16,EBITDA ratio,0.0701,0.1839,0.2082,0.2589,0.1844,-0.0399,-0.0580,0.1033,0.1681,0.1811,0.1338,0.5305,0.0374,0.2622,0.2673,0.1027,0.1269,0.1214,0.2153,0.2062,0.1204,0.0955,0.0366,0.0366,0.2453,0.1870,-0.0313,0.1189,0.0604,0.0771,0.1093,0.1899,0.0913,0.0950,0.1215
17,Operating Income,-1400000,339600000,327300000,240000000,53600000,63200000,75000000,79800000,203500000,69800000,61600000,110600000,115900000,165762000,89325000,91217000,94325000,119321000,266828000,307386000,118400000,100400000,- -,-21500000,531800000,372500000,1749900000,168700000,-14800000,66200000,2237200000,370700000,- -,- -,- -
18,Operating Income ratio,-0.0010,0.1508,0.1442,0.1436,0.0700,0.0779,0.0960,0.0958,0.1038,0.0586,0.0564,0.1044,0.1012,0.1391,0.0843,0.0800,0.0749,0.0875,0.1745,0.1834,0.0757,0.0636,- -,-0.0160,0.2518,0.1785,0.9390,0.0906,-0.0097,0.0423,1.1904,0.2037,- -,- -,- -
19,Total Other Income Expenses (Gains),87200000,-117100000,-109500000,-83600000,-14000000,-98600000,-169500000,-50600000,-93900000,-62100000,-6900000,307400000,-139800000,5771000,83134000,-92464000,-66511000,-41223000,-69190000,-89918000,-64400000,-78800000,-67400000,-67400000,-61900000,-71100000,-1967800000,-56700000,-59000000,-63200000,-1945400000,-134500000,-35700000,-27900000,60800000
20,Income Before Tax,85800000,222500000,217800000,156400000,39600000,-35400000,-94500000,29200000,109600000,7700000,54700000,418000000,-23900000,171533000,172459000,-1247000,27814000,78098000,197638000,217468000,54000000,21600000,-88900000,-88900000,469900000,301400000,-217900000,112000000,-73800000,3000000,291800000,236200000,104700000,100600000,257800000
21,Income Before Tax Ratio,0.0621,0.0988,0.0960,0.0936,0.0517,-0.0436,-0.1210,0.0351,0.0559,0.0065,0.0500,0.3946,-0.0209,0.1439,0.1628,-0.0011,0.0221,0.0572,0.1292,0.1297,0.0345,0.0137,-0.0663,-0.0663,0.2225,0.1444,-0.1169,0.0601,-0.0481,0.0019,0.1553,0.1298,0.0552,0.0544,0.1123
22,Income Tax expense (Gain),67600000,141900000,115500000,82700000,19600000,-13200000,-30400000,9500000,41100000,3500000,27600000,192200000,-71300000,94442000,53179000,-6126000,-11086000,-288055000,104159000,63835000,103200000,16700000,-50800000,-50800000,174900000,104800000,-91000000,32500000,97300000,6000000,-120000000,-30700000,26500000,15900000,60100000
23,Net Income,18200000,80600000,102300000,73700000,20000000,-98300000,-79100000,11600000,68500000,42000000,56400000,219600000,49400000,76614000,93198000,1237000,39486000,312392000,81451000,141682000,-45700000,-800000,-34200000,-34200000,217500000,159800000,-98000000,53800000,-133600000,-15900000,207500000,262200000,49200000,55200000,127200000
24,Net Income ratio,0.0132,0.0358,0.0451,0.0441,0.0261,-0.1211,-0.1013,0.0139,0.0349,0.0353,0.0516,0.2073,0.0431,0.0643,0.0880,0.0011,0.0313,0.2290,0.0533,0.0845,-0.0292,-0.0005,-0.0255,-0.0255,0.1030,0.0766,-0.0526,0.0289,-0.0872,-0.0101,0.1104,0.1441,0.0259,0.0298,0.0554
25,EPS,0.64,2.80,3.60,2.60,0.72,-3.44,-2.76,0.40,2.40,1.48,1.96,7.64,1.72,2.68,3.24,0.04,1.32,10.40,2.76,4.88,-1.60,-0.04,-1.20,-1.20,7.64,5.64,-3.48,1.92,-4.68,-0.60,7.32,9.24,1.68,1.73,4.46
26,EPS Diluted,0.64,2.80,3.60,2.60,0.72,-3.44,-2.76,0.40,2.40,1.48,1.96,7.56,1.72,2.64,3.20,0.04,1.32,10.36,2.72,4.80,-1.60,-0.04,-1.20,-1.20,7.64,5.64,-3.48,1.92,-4.68,-0.60,7.32,9.24,1.68,1.73,4.46
27,Weighted Average Shares Outstanding,28437386,28785599,28416553,28346040,27777667,28575467,28659306,28575635,28609135,28655385,28757634,28750384,28757384,28782884,28798134,28854634,29923880,30049129,29538631,29027383,28674885,28599885,28574885,28574885,28499886,28499886,28499886,28499886,28499886,28499886,28499886,28499886,28508219,28500000,28500000
28,Weighted Average Shares Outstanding Diluted,28437386,28785599,28416553,28346040,27777667,28575467,28659306,28749885,28618307,28655385,28970134,29031383,29048383,29067383,29028133,28958634,29977130,30109879,29629631,29121383,28674885,28599885,28574885,28574885,28499886,28499886,28499886,28499886,28499886,28499886,28499886,28499886,28508219,28500000,28500000
