,https://roic.ai/company/SAFT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0561,0.0519,0.0730,1.0931,0.0449,0.0805,0.1168,0.2197,0.2543,0.2014,0.1707,0.1463,0.1495,0.0423,0.1362,0.1343,0.1241,-0.0201,0.1316,0.1097,0.1324,0.1476,0.2174,0.1985
17,Operating Income,22190000,- -,28600000,- -,18995000,40189000,66304000,139195000,164586000,124930000,98109000,74394000,78960000,- -,81424000,87688000,83318000,-28645000,93282000,- -,- -,- -,579766000,105921000
18,Operating Income ratio,0.0772,- -,0.0685,- -,0.0359,0.0679,0.1042,0.2073,0.2418,0.1864,0.1531,0.1257,0.1289,- -,0.1157,0.1177,0.1071,-0.0360,0.1142,- -,- -,- -,0.6899,0.1225
19,Total Other Income Expenses (Gains),- -,9154000,-1071000,-1738000,-7254000,-646000,-672000,-948000,-86000,-83000,- -,- -,- -,18370000,- -,- -,- -,- -,- -,18073000,- -,- -,-404996000,58349000
20,Income Before Tax,22190000,24965000,27529000,-7268000,11741000,39543000,65632000,138247000,164500000,124847000,98109000,74394000,78960000,14273000,81424000,87688000,83318000,-28645000,93282000,86700000,104251000,123681000,174770000,164270000
21,Income Before Tax Ratio,0.0772,0.0732,0.0659,-0.0700,0.0222,0.0668,0.1031,0.2059,0.2417,0.1863,0.1531,0.1257,0.1289,0.0216,0.1157,0.1177,0.1071,-0.0360,0.1142,0.1036,0.1257,0.1412,0.2080,0.1900
22,Income Tax expense (Gain),- -,- -,8255000,- -,1280000,11061000,20642000,43065000,52559000,37434000,27851000,20242000,22618000,571000,23354000,26337000,23964000,-14792000,28697000,24313000,21056000,24080000,36559000,33560000
23,Net Income,14412000,16298000,19274000,111641000,10461000,28482000,44990000,95182000,111941000,87413000,70258000,54152000,56342000,13702000,58070000,61351000,59354000,-13853000,64585000,62387000,83195000,99601000,138211000,130710000
24,Net Income ratio,0.0502,0.0478,0.0462,1.0756,0.0198,0.0481,0.0707,0.1418,0.1644,0.1305,0.1096,0.0915,0.0920,0.0208,0.0825,0.0823,0.0763,-0.0174,0.0791,0.0745,0.1003,0.1137,0.1645,0.1512
25,EPS,18.47,19.95,22.50,20.23,1.44,1.87,2.94,6.11,7.07,5.46,4.38,3.49,3.74,0.90,3.80,4.00,3.93,-0.93,4.29,4.13,5.48,6.52,9.25,8.72
26,EPS Diluted,18.47,19.95,22.50,20.23,1.38,1.86,2.90,5.97,6.99,5.43,4.36,3.48,3.74,0.90,3.80,3.98,3.91,-0.93,4.27,4.10,5.43,6.46,9.18,8.67
27,Weighted Average Shares Outstanding,780300,816800,856800,5519500,6433786,15259991,15315877,15578039,15838335,16022074,16046937,15533331,15065696,15165065,15288346,15354468,15107339,14866607,14946453,15010751,15080269,15201132,15002755,14982405
28,Weighted Average Shares Outstanding Diluted,780300,816800,856800,5810000,6699338,15340047,15526892,15953737,16005913,16095512,16114355,15552063,15084295,15176006,15295452,15399801,15197036,14866607,15032263,15135348,15229898,15337807,15119027,15080029
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172052/000104746903011259/0001047469-03-011259-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746904007956/0001047469-04-007956-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746905006786/0001047469-05-006786-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000110465906017434/0001104659-06-017434-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/0001104659-07-015599-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746908002808/0001047469-08-002808-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746909002666/0001047469-09-002666-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746910002217/0001047469-10-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746911002107/0001047469-11-002107-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746912002544/0001047469-12-002544-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746913002988/0001047469-13-002988-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746914002506/0001047469-14-002506-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837015000256/0001558370-15-000256-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837016003558/0001558370-16-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837017001024/0001558370-17-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205218000007/0001172052-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205219000005/0001172052-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205220000006/0001172052-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205221000010/0001172052-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205222000011/0001172052-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,34777000,26284000,155673000,163027000,26283000,46311000,60451000,74470000,40291000,37890000,35383000,55877000,42455000,47494000,20052000,41708000,37582000,44407000,53769000,63603000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82928000,- -,- -,- -,1165553000,1104957000,1135451000,1081637000,1154269000,1172026000,1161862000,1228040000,1257094000,1218279000
33,Cash and Short-Term Investments,- -,- -,- -,- -,34777000,26284000,155673000,163027000,26283000,46311000,143379000,74470000,40291000,37890000,1200936000,1160834000,1177906000,1129131000,1174321000,1213734000,1199444000,1272447000,1310863000,1281882000
34,Net Receivables,- -,- -,- -,- -,231098000,256671000,253598000,254039000,284759000,282498000,138792000,137238000,150787000,162549000,230909000,236267000,243044000,303557000,308022000,300798000,313190000,329847000,300480000,290618000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-231098000,-122526000,-248842000,-99618000,-126569000,-126155000,-82928000,- -,-5061000,-8406000,-1230712000,-1171920000,-1202963000,-1206627000,-1294647000,-1282175000,-1284990000,-1364518000,-1378427000,- -
37,Total Current Assets,- -,- -,- -,- -,34777000,160429000,160429000,317448000,184473000,202654000,199243000,211708000,186017000,192033000,201133000,225181000,217987000,226061000,187696000,232357000,227644000,237776000,232916000,- -
38,PP&E,- -,- -,- -,- -,642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9095000,10664000,8285000,8418000,8946000,9867000,15584000,54009000,53111000,50557000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,603886000,673636000,664596000,714543000,940605000,1009005000,1011139000,1028205000,1077861000,1101047000,1188353000,1196828000,1244604000,1191841000,1259364000,1283893000,1309873000,1405677000,1462348000,1483224000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-603886000,- -,- -,- -,- -,- -,- -,- -,- -,-929262000,-1012588000,-1009792000,-1051418000,-931894000,-998318000,-1025893000,-1030215000,-1117748000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,967000,- -,- -,- -,- -,- -,- -,- -,- -,171785000,184860000,197700000,201471000,268365000,269992000,267867000,295242000,341938000,- -,- -
46,Other Assets,734647000,770009000,833339000,859174000,- -,915867000,1046016000,940227000,1171275000,1244338000,1238574000,1216129000,1253435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1821357000,2117391000
47,Total Assets,734647000,770009000,833339000,859174000,35744000,1076296000,1206445000,1257675000,1355748000,1446992000,1437817000,1427837000,1439452000,363818000,385993000,422881000,419458000,494426000,457688000,500224000,522886000,579714000,2054273000,2117391000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,40175000,44372000,- -,49903000,59402000,4674000,5571000,5338000,72514000,73602000,73516000,65269000,80307000,74502000,84116000,87927000,87722000,85790000
49,Short-Term Debt,- -,- -,- -,- -,19391000,20045000,16832000,19825000,16279000,17922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,30000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17611000,- -
52,Other Current Liabilities,- -,- -,- -,- -,693909000,768255000,824093000,-1705000,49255000,-4414000,10695000,63530000,52311000,49780000,1146000,-3110000,-6039000,-7117000,-10419000,-10884000,-3471000,-7194000,-8236000,- -
53,Total Current Liabilities,- -,- -,- -,- -,713300000,788300000,881100000,62492000,65534000,63411000,70097000,68204000,57882000,55118000,73660000,70492000,67477000,58152000,69888000,63618000,80645000,80733000,127097000,115790000
54,Long-Term Debt,- -,- -,- -,- -,19956000,19956000,19956000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,27115000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3014000,8202000,- -,1614000,- -,- -,2917000,- -,5717000,17611000,15240000
57,Other Non-Current Liabilities,- -,- -,- -,- -,44000,44000,44000,- -,- -,- -,- -,- -,- -,- -,- -,3984000,- -,4430000,1110000,- -,6090000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,20000000,20000000,20000000,- -,- -,- -,- -,- -,- -,3014000,- -,3984000,1614000,4430000,1110000,2917000,6090000,5717000,47611000,42355000
59,Other Liabilities,563499000,594905000,620388000,727512000,40044000,- -,40011000,807234000,793866000,813581000,764349000,739198000,728094000,764149000,806327000,863762000,901573000,1005648000,1018742000,1045562000,1063041000,1139247000,1090108000,1116783000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,662000,485000,266000,39000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33998000,31000000,27115000
61,Total Liabilities,563499000,594905000,620388000,727512000,733344000,808276000,901111000,869726000,859400000,876992000,834446000,807402000,785976000,816253000,879987000,930270000,967436000,1059370000,1087520000,1106263000,1137596000,1214263000,1169594000,1190218000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,153000,153000,155000,158000,161000,162000,165000,166000,168000,169000,170000,172000,173000,174000,174000,175000,176000,177000,178000,178000
64,Retained Earnings,- -,- -,- -,- -,120883000,144177000,182400000,268173000,366381000,432746000,476989000,506301000,535545000,518925000,543361000,567792000,587647000,531800000,553995000,570693000,616717000,661553000,745029000,821743000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,4000000,-7000000,19000000,22000000,36000000,43000000,17000000,29000000,16000000,16000000,24000000,-11000000,28000000,53527000,24579000
66,Other Total Stockholders Equity,171148000,175105000,212951000,108982000,124216000,123690000,122779000,120618000,129806000,133092000,133217000,94968000,95763000,101219000,107828000,110223000,91463000,96525000,100557000,106148000,112751000,118676000,85945000,- -
67,Total Stockholders Equity,171148000,175105000,212951000,108982000,245252000,268020000,305334000,387949000,496348000,570000000,603371000,620435000,653476000,656313000,694359000,695187000,708283000,644499000,670726000,701016000,718644000,808406000,884679000,927173000
68,Total Liabilities And Stockholders Equity,734647000,770010000,833339000,836494000,978596000,1076296000,1206445000,1257675000,1355748000,1446992000,1437817000,1427837000,1439452000,1472566000,1574346000,1625457000,1675719000,1703869000,1758246000,1807279000,1856240000,2022669000,2054273000,2117391000
69,Minority Interest,- -,-1000,- -,22680000,-942852000,- -,- -,- -,- -,- -,- -,- -,- -,-1108748000,-1188353000,-1202576000,-1256261000,-1209443000,-1300558000,-1307055000,-1333354000,-1442955000,- -,- -
70,Total Liabilities & Equity,734647000,770009000,833339000,859174000,35744000,1076296000,1206445000,1257675000,1355748000,1446992000,1437817000,1427837000,1439452000,363818000,385993000,422881000,419458000,494426000,457688000,500224000,522886000,579714000,2054273000,2117391000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172052/000104746903011259/0001047469-03-011259-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746904007956/0001047469-04-007956-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746905006786/0001047469-05-006786-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000110465906017434/0001104659-06-017434-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/0001104659-07-015599-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746908002808/0001047469-08-002808-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746909002666/0001047469-09-002666-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746910002217/0001047469-10-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746911002107/0001047469-11-002107-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746912002544/0001047469-12-002544-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746913002988/0001047469-13-002988-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746914002506/0001047469-14-002506-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837015000256/0001558370-15-000256-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837016003558/0001558370-16-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837017001024/0001558370-17-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205218000007/0001172052-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205219000005/0001172052-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205220000006/0001172052-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205221000010/0001172052-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205222000011/0001172052-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,19274000,- -,10461000,28482000,44990000,95182000,111941000,87413000,70258000,54152000,56342000,13702000,58070000,61351000,59354000,-13853000,64585000,62387000,83195000,99601000,138211000,130710000
74,Depreciation and Amortization,- -,- -,1886000,- -,4758000,7479000,8041000,8312000,8493000,10037000,11254000,12049000,12533000,13554000,14322000,12326000,13123000,12597000,14073000,5037000,5467000,5485000,7527000,6896000
75,Deferred Income Tax,- -,- -,-2219000,- -,-82000,-1510000,-1865000,-303000,792000,1094000,315000,-3024000,3020000,-693000,1023000,1899000,-602000,552000,1681000,2085000,-5600000,4757000,5159000,5323000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5166000,6579000,6030000,7459000,6292000
77,Change in Working Capital,- -,- -,20042000,- -,-678523000,50652000,-92800000,975627000,-136017000,20304000,-10097000,14358000,-15369000,8780000,-9442000,27216000,-4179000,17399000,-50101000,50931000,-21740000,10044000,-51224000,33213000
78,Accounts Receivable,- -,- -,- -,- -,-16203000,-29741000,-3406000,14140000,-7368000,1832000,17551000,1554000,-8488000,-8417000,-15102000,-9693000,-8806000,-44756000,-13124000,2414000,-13641000,-14909000,28170000,19036000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,85375000,93746000,82436000,1952000,-10326000,17694000,- -,- -,- -,-233000,15144000,1088000,-18000,-8529000,16023000,-6034000,9097000,4086000,-365000,-1920000
81,Other Working Capital,- -,- -,- -,- -,-678523000,-627871000,-720671000,254956000,118939000,139243000,129146000,143504000,128135000,136915000,127473000,154689000,150510000,167909000,117808000,168739000,146999000,157043000,105819000,-1229000
82,Other Non-Cash Items,- -,- -,8795000,- -,748765000,82000,167810000,-962401000,116018000,-2020000,1085000,-13466000,-5420000,4600000,40375000,8069000,29873000,6196000,68586000,-43566000,59790000,-13461000,2328000,-41040000
83,Cash Provided by Operating Activities,- -,- -,47778000,- -,85379000,85185000,126176000,116417000,101227000,116828000,72815000,64069000,51106000,39943000,104348000,110861000,97569000,22891000,98824000,82040000,127691000,112456000,109460000,141394000
84,CAPEX,- -,- -,-2213000,- -,-716000,-998000,-432000,-766000,-1004000,-8034000,-113936000,-335000,-2394000,-4377000,-4205000,-4920000,-1760000,-4041000,-4910000,-5958000,-11183000,-9594000,-9946000,-8225000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-269143000,- -,-405069000,-281783000,-102560000,-156937000,-357765000,-288704000,-88965000,-206111000,-360877000,-358142000,-343000000,-275305000,-266813000,-258810000,-330519000,-240158000,-378134000,-263255000,-278904000,-447671000
87,Sales/Maturities of Investments,- -,- -,238328000,- -,342129000,193541000,110808000,74933000,128349000,221924000,174021000,222946000,308842000,349640000,272760000,228927000,220051000,286696000,251177000,231192000,306313000,219885000,253326000,389907000
88,Other Investing Activites,- -,- -,77000,- -,- -,35000,4000,- -,23000,- -,- -,- -,9000,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-32951000,- -,-63656000,-89205000,7820000,-82770000,-230397000,-74814000,-28880000,16500000,-54420000,-12879000,-74445000,-51295000,-48522000,23845000,-84252000,-14924000,-83004000,-52964000,-35524000,-65989000
90,Debt Repayment,- -,- -,-4617000,- -,-99500000,- -,- -,-19956000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,81819000,- -,2126000,3072000,6159000,647000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1585000,-5931000,-42196000,-5814000,-43000,- -,-4799000,-23467000,- -,- -,- -,- -,- -,-39999000,-11563000
93,Dividends Paid,- -,- -,- -,- -,-1499000,-5188000,-6767000,-9409000,-13733000,-21048000,-26015000,-24840000,-27098000,-30322000,-33634000,-36865000,-39302000,-41976000,-42265000,-45460000,-48813000,-52667000,-54575000,-54008000
94,Other Financing Activites,- -,- -,279000,- -,19956000,715000,34000,- -,- -,- -,2151000,486000,2047000,900000,1224000,2592000,300000,279000,251000,- -,- -,- -,30000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-4338000,- -,776000,-4473000,-4607000,-26293000,-7574000,-21986000,-29795000,-66550000,-30865000,-29465000,-32410000,-39072000,-62469000,-41697000,-42014000,-45460000,-48813000,-52667000,-64574000,-65571000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,10489000,- -,22499000,-8493000,129389000,7354000,-136744000,20028000,14140000,14019000,-34179000,-2401000,-2507000,20494000,-13422000,5039000,-27442000,21656000,-4126000,6825000,9362000,9834000
98,Cash at the End of Period,- -,- -,13676000,- -,34777000,26284000,155673000,163027000,26283000,46311000,60451000,74470000,40291000,37890000,35383000,55877000,42455000,47494000,20052000,41708000,37582000,44407000,53769000,63603000
99,Cash at the Beginning of Period,- -,- -,3187000,- -,12278000,34777000,26284000,155673000,163027000,26283000,46311000,60451000,74470000,40291000,37890000,35383000,55877000,42455000,47494000,20052000,41708000,37582000,44407000,53769000
100,Free Cash Flow,- -,- -,45565000,- -,84663000,84187000,125744000,115651000,100223000,108794000,-41121000,63734000,48712000,35566000,100143000,105941000,95809000,18850000,93914000,76082000,116508000,102862000,99514000,133169000
101,SEC Link,undefined,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1172052/000104746903011259/0001047469-03-011259-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746904007956/0001047469-04-007956-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746905006786/0001047469-05-006786-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000110465906017434/0001104659-06-017434-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/0001104659-07-015599-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746908002808/0001047469-08-002808-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746909002666/0001047469-09-002666-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746910002217/0001047469-10-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746911002107/0001047469-11-002107-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746912002544/0001047469-12-002544-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746913002988/0001047469-13-002988-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000104746914002506/0001047469-14-002506-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837015000256/0001558370-15-000256-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837016003558/0001558370-16-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000155837017001024/0001558370-17-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205218000007/0001172052-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205219000005/0001172052-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205220000006/0001172052-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205221000010/0001172052-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1172052/000117205222000011/0001172052-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
