,https://roic.ai/company/SGC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,98500000,96200000,103800000,112400000,113800000,123000000,117500000,128700000,130100000,135100000,135200000,141400000,144600000,160700000,168000000,167710399,153205568,144999254,134324365,143567473,133312351,127695735,120457891,123745201,102801921,105877854,112373000,119486000,151496000,196249000,210317000,252596000,266814000,346350000,376701000,526697000,536986000
2,COGS,68300000,66300000,71000000,75300000,75200000,80400000,76000000,83100000,84800000,86400000,87500000,89500000,91800000,102100000,106700000,105036583,100698472,95221013,86207906,96279784,93596828,87875036,80837592,83402581,69583043,68411383,72114000,79723000,98938000,127512000,138884000,165614000,170462000,224653000,247772000,337932000,350972000
3,Gross Profit,30200000,29900000,32800000,37100000,38600000,42600000,41500000,45600000,45300000,48700000,47700000,51900000,52800000,58600000,61300000,62673816,52507096,49778241,48116459,47287689,39715523,39820699,39620299,40342620,33218878,37466471,40259000,39763000,52558000,68737000,71433000,86982000,96352000,121697000,128929000,188765000,186014000
4,Gross Profit Ratio,0.3066,0.3108,0.3160,0.3301,0.3392,0.3463,0.3532,0.3543,0.3482,0.3605,0.3528,0.3670,0.3651,0.3647,0.3649,0.3737,0.3427,0.3433,0.3582,0.3294,0.2979,0.3118,0.3289,0.3260,0.3231,0.3539,0.3583,0.3328,0.3469,0.3503,0.3396,0.3444,0.3611,0.3514,0.3423,0.3584,0.3464
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30200000,32300000,32900000,37000000,41200000,43984724,40682374,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33886000,43873000,50724000,52018000,66396000,71816000,97095000,109244000,955000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136515000,- -
8,"Selling, General and Administrative Exp.",20700000,20900000,22300000,23500000,24400000,25900000,25800000,27000000,30100000,28500000,30200000,32300000,32900000,37000000,41200000,43984724,40682374,40640473,38616045,38524803,37610557,35812406,33784794,34263750,30402389,31696430,34646000,33886000,43873000,50724000,52018000,66396000,71816000,97095000,109244000,137470000,- -
9,Other Expenses,1100000,1200000,1300000,1700000,1600000,1900000,2100000,2200000,2500000,2900000,3700000,4400000,4400000,4500000,4200000,4868004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
