,https://roic.ai/company/KELYB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513521000004/0000055135-21-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100936000,76378000,- -,76378000,118428000,92817000,118277000,- -,88000000,80000000,76300000,125700000,83100000,- -,42200000,32500000,35300000,25800000,- -,223000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599000,457000,- -,457000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135100000,173200000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101535000,76835000,- -,76835000,118428000,92817000,118277000,- -,88000000,80000000,76300000,125700000,83100000,- -,42200000,32500000,170400000,199000000,- -,223000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567517000,658090000,- -,658090000,838246000,888334000,815789000,- -,717000000,810000000,1013900000,1023100000,1122800000,- -,1139100000,1286700000,1293300000,1282200000,- -,1265000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50303000,56746000,- -,56746000,74859000,82686000,93888000,- -,93000000,68000000,102400000,87700000,82300000,- -,45800000,65100000,-63200000,-75500000,- -,61000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,719355000,791671000,- -,791671000,1031533000,1063837000,1027954000,- -,898000000,958000000,1192600000,1236500000,1288200000,- -,1227100000,1384300000,1400500000,1405700000,- -,1549000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202332000,188122000,- -,188122000,170288000,178019000,151292000,- -,127000000,104000000,89900000,92000000,93000000,- -,88900000,86100000,86300000,43100000,- -,222000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80260000,85788000,- -,85788000,96504000,147168000,117824000,- -,67000000,67000000,89500000,90300000,90300000,- -,90300000,107100000,107300000,127800000,- -,3000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80260000,85788000,- -,85788000,96504000,147168000,117824000,- -,67000000,67000000,89000000,90000000,90000000,- -,90000000,107000000,107000000,127000000,- -,3000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84500000,107500000,- -,151700000,345500000,256400000,290400000,- -,282700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82800000,121700000,146300000,- -,- -,183400000,198700000,229100000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181400000,173900000,192900000,- -,381900000,271900000,265500000,385300000,- -,-282700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282592000,273910000,- -,273910000,266792000,325187000,269116000,- -,194000000,171000000,443100000,562100000,629700000,- -,712500000,993900000,913900000,1074900000,- -,225000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001947000,1065581000,- -,1065581000,1298325000,1389024000,1297070000,- -,1092000000,1129000000,1635700000,1798600000,1917900000,- -,1939600000,2378200000,2314400000,2480600000,- -,1774000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85310000,92265000,- -,92265000,132819000,171471000,244119000,- -,182000000,181000000,295600000,342400000,364000000,- -,405500000,537700000,540600000,503600000,- -,536000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24770000,39190000,- -,34289000,68928000,49729000,35197000,- -,79600000,78800000,64100000,28300000,91900000,- -,55500000,10200000,2200000,22000000,- -,19900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47400000,56000000,65300000,68800000,68800000,- -,60000000,65200000,62700000,65200000,- -,53200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257114000,285861000,- -,290762000,366530000,364050000,321281000,- -,275400000,331200000,362600000,391300000,404200000,- -,354800000,378300000,354700000,358500000,- -,369100000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367194000,417316000,- -,417316000,568277000,585250000,600597000,- -,537000000,591000000,722300000,762000000,860100000,- -,815800000,926200000,897500000,884100000,- -,925000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48394000,80040000,- -,79000000,78000000,- -,- -,- -,- -,- -,- -,- -,43300000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21065000,14606000,- -,14606000,35437000,43436000,40020000,- -,77000000,84000000,82000000,121000000,146000000,- -,189300000,183400000,198700000,229100000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64810000,92182000,- -,92182000,107153000,13338000,83691000,- -,41000000,-9000000,90400000,93000000,78100000,- -,39100000,117100000,58700000,59600000,- -,433000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85875000,106788000,- -,106788000,142590000,105168000,203751000,- -,197000000,153000000,172400000,214000000,224100000,- -,228400000,300500000,257400000,332000000,- -,433000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790814000,827209000,- -,827209000,1043737000,1093915000,1060409000,- -,961000000,930000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63400000,- -,87100000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072133000,1137737000,- -,1137737000,1469424000,1573997000,1457255000,- -,1301000000,1368000000,894700000,976000000,1084200000,- -,1044200000,1226700000,1154900000,1216100000,- -,1358000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36619000,36619000,- -,36619000,36633000,36634000,36634000,- -,36000000,36000000,36600000,36600000,36600000,- -,36600000,36600000,36600000,36600000,- -,36000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000000,751300000,767400000,- -,813500000,983600000,1138100000,1238600000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12554000,10853000,- -,24544000,30130000,42587000,12185000,- -,25100000,29000000,35400000,61400000,51100000,- -,60700000,130800000,-17100000,-15800000,- -,-4200000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594999000,566161000,- -,593147000,691794000,709008000,604088000,- -,505300000,558800000,-31000000,-26700000,-21400000,- -,-15400000,500000,1900000,5100000,- -,1171200000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619064000,613633000,- -,654310000,758557000,788229000,652907000,- -,566400000,623800000,741000000,822600000,833700000,- -,895400000,1151500000,1159500000,1264500000,- -,1203000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1691197000,1751370000,- -,1792047000,2227981000,2362226000,2110162000,- -,1867400000,1991800000,1635700000,1798600000,1917900000,- -,1939600000,2378200000,2314400000,2480600000,- -,2561000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-689250000,-685789000,- -,-726466000,-929656000,-973202000,-813092000,- -,-775400000,-862800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-787000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001947000,1065581000,- -,1065581000,1298325000,1389024000,1297070000,- -,1092000000,1129000000,1635700000,1798600000,1917900000,- -,1939600000,2378200000,2314400000,2480600000,- -,1774000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513521000004/0000055135-21-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,70800000,71200000,38600000,39200000,44600000,61100000,69500000,73000000,80800000,84700000,85100000,87176000,16549000,18569000,5110000,- -,22130000,63491000,61016000,-82239000,- -,-104500000,26100000,50100000,58900000,23700000,- -,53800000,71600000,22900000,112400000,- -,-72000000
74,Depreciation and Amortization,- -,- -,- -,- -,7900000,8800000,9800000,14000000,16600000,17300000,22700000,26100000,28300000,28900000,36200000,39465000,44396000,45428000,47795000,- -,44137000,41730000,42601000,45958000,- -,40900000,34900000,22300000,22100000,21700000,- -,22300000,22700000,26200000,53900000,- -,45300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,-2700000,-593000,-242000,6590000,2936000,- -,-9611000,-9159000,-5298000,7505000,- -,-31000000,-9300000,4700000,-31300000,-26800000,- -,-11800000,-5900000,-47500000,-18300000,- -,-57100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,3200000,4800000,3800000,5300000,- -,6100000,9100000,8100000,5600000,- -,3900000
77,Change in Working Capital,- -,- -,- -,- -,-8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,352161000,22194000,- -,- -,35267000,15331000,-51230000,- -,-66357000,6000000,53300000,4200000,-46400000,- -,-16800000,14600000,44900000,18600000,- -,102400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116600000,-95500000,-57900000,-14600000,-155400000,- -,-64200000,-126200000,-32000000,46000000,- -,55900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43800000,36400000,- -,50900000,63900000,17000000,-43000000,- -,10500000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,352161000,374355000,- -,374355000,463256000,478587000,427357000,- -,361000000,367000000,470300000,474500000,428100000,- -,411300000,458100000,503000000,521600000,- -,624000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-20500000,10100000,-41000000,-16300000,-11000000,-63000000,-112700000,38700000,11400000,-4200000,-37191000,84092000,-333142000,-47442000,- -,2704000,-15064000,-40306000,181603000,- -,138657000,-19100000,-74100000,57600000,-47500000,- -,-30100000,-40900000,6800000,-70000000,- -,163500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,70100000,59500000,58500000,12200000,44900000,67400000,29200000,-13600000,147800000,118600000,114400000,88857000,144795000,89606000,30593000,- -,59360000,116265000,73344000,101597000,- -,-17200000,41800000,61100000,115300000,-70000000,- -,23500000,71200000,61400000,102200000,- -,186000000
84,CAPEX,- -,- -,- -,- -,-11200000,-12000000,-23500000,-32400000,-16100000,-18400000,-34000000,-36500000,-39700000,-59200000,-82300000,-54237000,-54308000,-33406000,-30222000,- -,-35556000,-45526000,-45975000,-31136000,- -,-13100000,-11000000,-21500000,-20000000,-21700000,- -,-16900000,-24600000,-25600000,-20000000,- -,-15500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20923000,-192000,- -,- -,- -,- -,-4663000,-48417000,-32712000,- -,-7500000,- -,- -,- -,-5700000,- -,-500000,-37200000,- -,-86400000,- -,-38000000
86,Purchases of Investments,- -,- -,- -,- -,-30700000,- -,-65400000,- -,- -,- -,- -,- -,-39300000,- -,- -,- -,3317000,- -,- -,- -,- -,-20729000,- -,- -,- -,- -,- -,-6600000,- -,- -,- -,- -,- -,-5000000,-1000000,- -,-200000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1100000,- -,31600000,9600000,2300000,68000000,46700000,- -,55200000,6100000,3624000,1764000,31000,142000,- -,105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-3700000,-2500000,-9200000,-11900000,-31200000,-10700000,-8400000,-17200000,-10900000,2291000,- -,-3476000,-2487000,- -,-736000,5950000,11968000,-236000,- -,-15900000,-11300000,-21500000,-20800000,-21500000,- -,-17100000,-23800000,-32700000,-6900000,- -,48000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-41900000,-10900000,-92600000,-3300000,-15700000,-28000000,2800000,-500000,-87400000,-21200000,-87100000,-69245000,-49419000,-36851000,-32567000,- -,-36187000,-64968000,-82424000,-64084000,- -,-23400000,-11300000,-28100000,-20800000,-27200000,- -,-17600000,-61000000,-29800000,-94300000,- -,9800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30500000,-59700000,- -,- -,- -,- -,- -,- -,- -,-700000,- -,-2000000
91,Common Stock Issued,- -,- -,- -,- -,600000,400000,500000,1600000,1000000,400000,1200000,1200000,2700000,3200000,1900000,85000,139000,991000,14145000,- -,8422000,10973000,5781000,111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,-75900000,-600000,-5737000,-64000,-13216000,-26149000,- -,-3000,- -,-34703000,-7975000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-17400000,-19800000,-21700000,-22000000,-23800000,-26600000,-29600000,-31600000,-33200000,-34200000,-34000000,-35303000,-30408000,-14293000,-14143000,- -,-14043000,-16420000,-19114000,-19052000,- -,- -,- -,-7600000,-7600000,-7600000,- -,-7700000,-11600000,-11800000,-11900000,- -,-3000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,13400000,-7400000,-400000,10629000,-24900000,-11723000,- -,- -,-8188000,6834000,25558000,18150000,- -,39900000,24400000,-31800000,-36100000,64200000,- -,-34500000,8200000,-14700000,-3500000,- -,-3100000
