,https://roic.ai/company/CTOS,2017,2018,2019,2020,2021
37,Total Current Assets,608840,469596,115843000,103242000,656704
38,PP&E,- -,- -,389981000,342081000,144626
39,Goodwill,- -,- -,238195000,238052000,695865
40,Intangible Assets,- -,- -,70552000,67579000,327840
41,Intangible Assets,- -,- -,308747000,305631000,1023705
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,16952000,15621
44,Other Non-Current Assets,402500000,407727618,713000,498000,843110
45,Total Non-Current Assets,402500000,407727618,699441000,665162000,2027062
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,403108840,408197214,815284000,768404000,2683766
48,Accounts Payable,- -,- -,41172000,31829000,91123
49,Short-Term Debt,- -,- -,6731000,6556000,11341
50,Tax Payable,- -,- -,1444000,1703000,- -
51,Deferred Revenue,- -,- -,2270000,975000,35791
52,Other Current Liabilities,176468,90875,27590000,31991000,302328
53,Total Current Liabilities,176468,90875,77763000,71351000,440583
54,Long-Term Debt,- -,- -,735654000,721108000,1339779
55,Deferred Revenue,- -,- -,- -,- -,15621
56,Deferred Tax Liabilities,- -,- -,12288000,- -,15621
57,Other Non-Current Liabilities,14087500,14087500,1709000,7012000,-426931
58,Total Non-Current Liabilities,14087500,14087500,749651000,728120000,944090
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,28082000,10526000,- -
61,Total Liabilities,14263968,14178375,827414000,799471000,1384673
62,Preferred Stock,187,- -,- -,- -,- -
63,Common Stock,383846063,389020025,5000,5000,25
64,Retained Earnings,-777471,4396496,-444712000,-465989000,-647490
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,5776093,602318,432577000,434917000,1505975
67,Total Stockholders Equity,388844872,394018839,-12130000,-31067000,858510
68,Total Liabilities And Stockholders Equity,403108840,408197214,815284000,768404000,2243183
69,Minority Interest,- -,- -,- -,- -,440583
70,Total Liabilities & Equity,403108840,408197214,815284000,768404000,2683766
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1709682/000170968221000009/0001709682-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1709682/000170968222000036/0001709682-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,5173967,-27052000,-21277000,-181501
74,Depreciation and Amortization,- -,- -,74556000,82712000,209073
75,Deferred Income Tax,- -,- -,-6861000,-28810000,3863
76,Stock Based Compensation,- -,- -,1014000,2357000,17313
77,Change in Working Capital,- -,-53651,37701279,-6189000,-31674879
78,Accounts Receivable,- -,- -,-17073000,7061000,11103
79,Inventory,- -,- -,-22683000,-9642000,46574
80,Accounts Payable,- -,- -,7547000,3113000,8060
81,Other Working Capital,- -,378721,38080000,31891000,216121
82,Other Non-Cash Items,- -,-6653988,-60566279,14036000,31765057
83,Cash Provided by Operating Activities,- -,-1533672,18792000,42829000,138926
84,CAPEX,- -,- -,-109706000,-68420000,- -
85,Acquisitions Net,- -,- -,-48425000,- -,-1337686
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1500000,28452000,39106000,-91794
89,Cash Used for Investing Activites,- -,1500000,-129679000,-29314000,-1429480
90,Debt Repayment,- -,- -,-804732000,-102304000,-53469
91,Common Stock Issued,- -,- -,- -,- -,883000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,919781000,85899000,493513
95,Cash Used/Provided by Financing Activities,- -,- -,115049000,-16405000,1323044
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-33672,4162000,-2890000,-3376098
98,Cash at the End of Period,- -,468253,6302000,3412000,35902
99,Cash at the Beginning of Period,- -,501925,2140000,6302000,3412000
100,Free Cash Flow,- -,-1533672,-90914000,-25591000,138926
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1709682/000170968221000009/0001709682-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1709682/000170968222000036/0001709682-22-000036-index.htm
102,false,,,,,
