,https://roic.ai/company/OII,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,21300000,39100000,41800000,28600000,42500000,34400000,23100000,42500000,53000000,44900000,41400000,91384000,117039000,91793000,106204000,171566000,243939000,331594000,390378000,485592000,543646000,482747000,585805000,706187000,1034413000,901537000,754231000,751605000,750148000,643480000,733147000,686842000
82,Other Non-Cash Items,- -,- -,- -,- -,200000,-16000000,-8000000,7400000,-13100000,3400000,-8300000,-33000000,-11100000,11700000,5836000,-71159000,5092000,33779000,-20598000,-113760000,-126079000,-152930000,-171161000,-9909000,-10060000,-44916000,-166760000,-236419000,-355323000,174659000,198210000,-17318000,-66771000,350090000,18994000,171993000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,16900000,24400000,17800000,25100000,27900000,17000000,13400000,30500000,44600000,59300000,53068000,59840000,123221000,94797000,99732000,93895000,151244000,208875000,247914000,418234000,441850000,288572000,438894000,528871000,721762000,560408000,340522000,136478000,36567000,157569000,136647000,225314000
84,CAPEX,- -,- -,- -,- -,-11500000,-19900000,-34600000,-12000000,-15400000,-32100000,-57200000,-79600000,-94400000,-102000000,-80758000,-57661000,-34552000,-42542000,-83992000,-96027000,-192351000,-208696000,-209301000,-175021000,-185262000,-235028000,-300598000,-382531000,-386883000,-199970000,-112392000,-93680000,-109467000,-147684000,-60687000,-50199000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57828000,-69192000,-46242000,-1491000,-25099000,-42976000,- -,-21918000,-291617000,-9260000,-11059000,-39788000,-224018000,-30121000,-11278000,-68571000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,-593000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19531000,-39130000,-11451000,-10236000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69789000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,-2400000,-300000,200000,-20800000,- -,- -,107300000,- -,3300000,5309000,-2299000,9835000,-42559000,515000,3011000,6826000,6941000,5886000,12535000,15284000,43874000,3814000,15945000,7199000,6339000,12172000,4374000,19643000,12897000,8097000,16042000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10700000,-22300000,-35000000,-11800000,-36200000,-32100000,-57200000,27700000,-94400000,-98700000,-76042000,-59960000,-24717000,-142929000,-152596000,-139258000,-187016000,-226854000,-246391000,-162486000,-191896000,-482771000,-306044000,-377645000,-419472000,-437180000,-169471000,-112035000,-98842000,-134787000,-52590000,-34157000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000000,-109000000,-120000000,- -,-27045000,- -,- -,- -,- -,- -,-300000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,7700000,400000,400000,1400000,900000,700000,1700000,3500000,4500000,3000000,6246000,10897000,19147000,9329000,31969000,23062000,8320000,5277000,1726000,1880000,693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8600000,- -,- -,-23300000,-8500000,-8057000,-141000,-9524000,-13337000,- -,- -,- -,- -,-54929000,- -,-49520000,-17491000,-19358000,- -,-590384000,-100459000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48707000,-74515000,-90885000,-109742000,-106454000,-94138000,-44220000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-100000,-100000,-4000000,-100000,9300000,38600000,-48000000,54600000,44200000,27419000,-10073000,-52400000,4335000,19280000,31828000,27372000,13584000,91770000,2523000,1741000,121320000,2475000,-89460000,745486000,49912000,-3004000,-1702000,294372000,-2299000,-1699000,-101682000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,7700000,300000,300000,-2600000,800000,1400000,40300000,-44500000,35800000,38700000,25608000,683000,-42777000,327000,51249000,54890000,35692000,18861000,-17433000,-104597000,-167086000,55122000,-118443000,-180345000,45360000,-157001000,-97142000,-45922000,-5628000,-2299000,-1699000,-101682000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8366000,-11706000,-8951000,1602000,-8154000,-1087000,-3997000,-3377000
97,Net Change In Cash,- -,- -,- -,- -,7700000,300000,300000,-2600000,800000,1400000,40300000,-44500000,35800000,38700000,2634000,563000,55727000,-47805000,-1615000,9527000,-80000,882000,-15910000,151151000,82868000,-139077000,14407000,-29119000,339284000,-45479000,64958000,-19877000,-76057000,19396000,78361000,86098000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11001000,10474000,66201000,18396000,16781000,26308000,26228000,27110000,11200000,162351000,245219000,106142000,120549000,91430000,430714000,385235000,450193000,430316000,354259000,373655000,452016000,538114000
99,Cash at the Beginning of Period,- -,- -,- -,- -,23900000,37800000,40100000,23300000,34000000,26500000,12900000,9400000,23000000,9100000,8367000,9911000,10474000,66201000,18396000,16781000,26308000,26228000,27110000,11200000,162351000,245219000,106142000,120549000,91430000,430714000,385235000,450193000,430316000,354259000,373655000,- -
100,Free Cash Flow,- -,- -,- -,- -,5400000,4500000,-16800000,13100000,12500000,-15100000,-43800000,-49100000,-49800000,-42700000,-27690000,2179000,88669000,52255000,15740000,-2132000,-41107000,179000,38613000,243213000,256588000,53544000,138296000,146340000,334879000,360438000,228130000,42798000,-72900000,9885000,75960000,175115000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73756/000095012904001083/h13268e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012905002449/h23415e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012906002636/h33938e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012907001045/h44064e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012908001240/h54295e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012909000581/0000950129-09-000581-index.html,https://www.sec.gov/Archives/edgar/data/73756/000119312510038885/0001193125-10-038885-index.html,https://www.sec.gov/Archives/edgar/data/73756/000119312511046600/d10k.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375612000003/0000073756-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375613000007/0000073756-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375614000006/oii_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375615000004/oii_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375616000068/0000073756-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375617000013/0000073756-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375618000013/0000073756-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375619000011/0000073756-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375620000018/0000073756-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375621000023/0000073756-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375622000018/0000073756-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
