,https://roic.ai/company/OII,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,37300000,30800000,30000000,27800000,28700000,32800000,33900000,44400000,43800000,52600000,55200000,61100000,62200000,71300000,73291000,43733000,46462000,56787000,67939000,85211000,101785000,123662000,147242000,145610000,156820000,173928000,199261000,220420000,230871000,231619000,208463000,183954000,198259000,214891000,195695000,224266000
11,COGS and Expenses,126300000,110100000,123800000,129900000,168900000,130000000,148800000,189900000,208800000,227200000,269300000,336300000,321900000,355900000,384521000,464412000,479764000,585252000,716317000,904474000,1085862000,1453457000,1659863000,1529965000,1607545000,1857832000,2354007000,2741903000,3031294000,2688944000,2200839000,1910851000,1978515000,2164771000,1859643000,1829476000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,907000,694000,580000,888000,1935000,554000,293000,607000,3900000,7355000,9962000,7893000,3083000,2477000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13485000,7781000,6010000,1096000,4218000,2194000,4708000,25050000,25318000,27817000,37742000,42711000,43900000,38810000
14,Depreciation and Amortization,14500000,12600000,11200000,8300000,6500000,6300000,7200000,11500000,12200000,16200000,20600000,24700000,23200000,30000000,33948000,47906000,52341000,56963000,65619000,79613000,80456000,93776000,115029000,122945000,153651000,151227000,176483000,202228000,229779000,241235000,250247000,213519000,293590000,263427000,528895000,139723000
15,EBITDA,4200000,4400000,1200000,11000000,21100000,28400000,28800000,36700000,32900000,28700000,40500000,65900000,58800000,71500000,60173000,98843000,108866000,102042000,126542000,174063000,271351000,371274000,435734000,420501000,464883000,490208000,602623000,746758000,857964000,602546000,318911000,223492000,145499000,-24683000,73898000,172824000
16,EBITDA ratio,0.0350,0.0424,0.0103,0.0828,0.1150,0.1929,0.1711,0.1702,0.1432,0.1196,0.1399,0.1787,0.1642,0.1786,0.1444,0.1887,0.1989,0.1596,0.1622,0.1743,0.2120,0.2130,0.2204,0.2308,0.2425,0.2236,0.2166,0.2272,0.2344,0.1967,0.1404,0.1163,0.0762,-0.0121,0.0404,0.0925
17,Operating Income,-6400000,-6300000,-7400000,2900000,14500000,17200000,19500000,25700000,21000000,12700000,20200000,32500000,36200000,44400000,32299000,59408000,67703000,53997000,63864000,94069000,194336000,289623000,317558000,292116000,309500000,334831000,428597000,545116000,628330000,373810000,70764000,10656000,-145482000,-290713000,-446079000,39799000
18,Operating Income ratio,-0.0534,-0.0607,-0.0636,0.0218,0.0791,0.1168,0.1159,0.1192,0.0914,0.0529,0.0698,0.0881,0.1011,0.1109,0.0775,0.1134,0.1237,0.0845,0.0819,0.0942,0.1518,0.1662,0.1606,0.1603,0.1614,0.1527,0.1540,0.1658,0.1717,0.1221,0.0312,0.0055,-0.0762,-0.1419,-0.2440,0.0213
19,Total Other Income Expenses (Gains),-3900000,-1900000,-2600000,-200000,100000,4900000,2100000,-500000,-300000,-200000,-300000,8700000,-600000,-2900000,-6074000,-8471000,-11178000,-8918000,-2941000,381000,-3441000,-12125000,-10338000,-2341000,-4278000,3054000,-6675000,-2780000,-4853000,-37549000,-27418000,-28500000,-40351000,-40108000,-52818000,-45508000
20,Income Before Tax,-10300000,-8200000,-10000000,2700000,14600000,22100000,21600000,25200000,20700000,12500000,19900000,41200000,35600000,41500000,26225000,50937000,56525000,45079000,60923000,94450000,190895000,277498000,307220000,289775000,305222000,337885000,421922000,542336000,623477000,336261000,43346000,-17844000,-185833000,-330821000,-498897000,-5709000
21,Income Before Tax Ratio,-0.0859,-0.0790,-0.0859,0.0203,0.0796,0.1501,0.1283,0.1169,0.0901,0.0521,0.0687,0.1117,0.0994,0.1037,0.0629,0.0972,0.1032,0.0705,0.0781,0.0946,0.1491,0.1592,0.1554,0.1590,0.1592,0.1541,0.1516,0.1650,0.1704,0.1098,0.0191,-0.0093,-0.0973,-0.1615,-0.2729,-0.0031
22,Income Tax expense (Gain),900000,900000,1400000,1500000,4400000,5800000,5700000,5800000,5800000,7000000,7500000,21800000,13600000,15800000,9441000,17828000,16392000,15778000,20623000,31770000,66401000,97124000,107834000,101422000,104691000,102227000,132905000,170836000,195148000,105250000,18760000,-184242000,26494000,17623000,-2146000,43598000
23,Net Income,-11200000,-9100000,-11400000,1200000,10200000,16300000,15900000,19400000,14900000,5500000,12400000,19400000,22000000,25700000,16784000,33109000,40133000,29301000,40300000,62680000,124494000,180374000,199386000,188353000,200531000,235658000,289017000,371500000,428329000,231011000,24586000,166398000,-212327000,-348444000,-496751000,-49307000
24,Net Income ratio,-0.0934,-0.0877,-0.0979,0.0090,0.0556,0.1107,0.0945,0.0900,0.0648,0.0229,0.0428,0.0526,0.0614,0.0642,0.0403,0.0632,0.0733,0.0458,0.0517,0.0628,0.0972,0.1035,0.1008,0.1034,0.1046,0.1075,0.1039,0.1130,0.1170,0.0754,0.0108,0.0866,-0.1112,-0.1701,-0.2718,-0.0264
25,EPS,-0.24,-0.14,-0.10,0.01,0.06,0.09,0.09,0.10,0.08,0.06,0.13,0.20,0.24,0.28,0.18,0.35,0.42,0.31,0.40,0.60,1.16,1.65,1.83,1.71,1.85,2.18,2.68,3.43,4.30,2.36,0.25,1.69,-2.15,-3.52,-5.00,-0.49
26,EPS Diluted,-0.24,-0.14,-0.10,0.01,0.06,0.09,0.09,0.10,0.08,0.06,0.13,0.20,0.23,0.28,0.18,0.34,0.41,0.30,0.39,0.58,1.13,1.62,1.79,1.70,1.82,2.16,2.66,3.42,4.00,2.34,0.25,1.68,-2.16,-3.52,-5.01,-0.49
27,Weighted Average Shares Outstanding,31408000,32008000,85644000,85188000,89092000,89496000,90108000,94292000,95984000,95652174,93584906,95802469,92932000,90832000,91028000,93892000,96188000,95612000,99972000,104600000,107980000,109572000,110216000,109446000,108230764,108034970,107907574,108197444,99613406,97849259,98065362,98279374,98539215,98930836,99308363,99798705
