,https://roic.ai/company/CB,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,519800000,537900000,537500000,660800000,848998000,1010643000,1406942000,3016990000,5266657000,6644687000,7123004000,10689742000,12332125000,13088000000,13328000000,14154000000,13632000000,15075000000,16006000000,16834000000,17936000000,19261000000,19171000000,18987000000,31469000000,32243000000,32717000000,34186000000,35994000000,40963000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11100000,13000000,16800000,25900000,41487000,66391000,165912000,495236000,742691000,830003000,943333000,1161071000,1287599000,1261000000,1456000000,1455000000,1737000000,1811000000,1858000000,2052000000,2096000000,2211000000,2245000000,2270000000,3081000000,2833000000,2886000000,3030000000,2979000000,3136000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11100000,13000000,16800000,25900000,41487000,66391000,165912000,495236000,742691000,830003000,943333000,1161071000,1287599000,1261000000,1456000000,1455000000,1737000000,1811000000,1858000000,2052000000,2096000000,2211000000,2245000000,2270000000,3081000000,2833000000,2886000000,3030000000,2979000000,3136000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10352000000,8873000000,9371000000,10098000000,9962000000,10286000000,12490000000,12614000000,12537000000,13159000000,13088000000,22341000000,24771000000,24474000000,- -,- -,- -
