,https://roic.ai/company/TTWO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,19000000,191100000,305900000,387006000,451056000,793976000,1033693000,1127751000,1202595000,1037840000,981791000,1537530000,968488000,1159017000,1136876000,825823000,1214483000,2350568000,1082938000,1413698000,1779748000,1792892000,2668394000,3088970000,3372772000
2,COGS,11700000,145000000,214600000,247357000,306264000,497942000,637554000,749680000,785998000,825476000,735034000,988695000,717826000,703447000,689381000,528855000,715837000,1414327000,794867000,813873000,1022959000,898311000,1523644000,1542450000,1535085000
3,Gross Profit,7300000,46100000,91300000,139649000,144792000,296034000,396139000,378071000,416597000,212364000,246757000,548835000,250662000,455570000,447495000,296968000,498646000,936241000,288071000,599825000,756789000,894581000,1144750000,1546520000,1837687000
4,Gross Profit Ratio,0.3842,0.2412,0.2985,0.3608,0.3210,0.3729,0.3832,0.3352,0.3464,0.2046,0.2513,0.3570,0.2588,0.3931,0.3936,0.3596,0.4106,0.3983,0.2660,0.4243,0.4252,0.4990,0.4290,0.5007,0.5449
5,Research and Development Exp.,1200000,1400000,5300000,5668000,6190000,11524000,25107000,43259000,73160000,64258000,48455000,63929000,63748000,62614000,69576000,64162000,78184000,105256000,115043000,119807000,137915000,196373000,230170000,296398000,317311000
6,General and Administrative Exp.,7600000,31200000,55200000,79263000,100120000,- -,- -,- -,- -,- -,- -,- -,135127000,105722000,109484000,121200000,147260000,161374000,175093000,192452000,211409000,247828000,281234000,318235000,390683000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148624000,191347000,176294000,183749000,257329000,240996000,235341000,198309000,285453000,256092000,391400000,458424000,444985000
8,"Selling, General and Administrative Exp.",7600000,31200000,55200000,79263000,100120000,149534000,191098000,215832000,281440000,293265000,279440000,338820000,283751000,297069000,285778000,304949000,404589000,402370000,410434000,390761000,496862000,503920000,672634000,776659000,835668000
9,Other Expenses,1600000,3000000,3300000,10244000,12641000,12261000,16923000,16846000,22016000,42007000,27449000,25755000,18623000,15643000,14999000,12123000,10634000,13359000,21057000,28800000,30707000,43969000,40232000,48113000,55596000
10,Operating Expenses,10400000,35600000,63800000,95175000,118951000,173319000,233128000,275937000,376616000,399530000,355344000,428504000,366122000,375326000,370353000,381234000,493407000,520985000,546534000,539368000,665484000,744262000,943036000,1121170000,1208575000
11,COGS and Expenses,22100000,180600000,278400000,342532000,425215000,671261000,870682000,1025617000,1162614000,1225006000,1090378000,1417199000,1083948000,1078773000,1059734000,910089000,1209244000,1935312000,1341401000,1353241000,1688443000,1642573000,2466680000,2663620000,2743660000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,38019000,47341000,18701000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7735000,17883000,15248000,19571000,31351000,33553000,31893000,30205000,15690000,-1048000,8032000,2637000,6207000
14,Depreciation and Amortization,1600000,3000000,3300000,10244000,14775000,17092000,21817000,36647000,122028000,166380000,145966000,174207000,124622000,176555000,162737000,163806000,248382000,282450000,154854000,163432000,259356000,144919000,264826000,236543000,232813000
15,EBITDA,-2600000,8600000,27700000,48473000,18565000,138040000,187132000,133257000,165724000,-18102000,17751000,286350000,-1052000,249711000,236262000,78424000,255292000,692067000,-86133000,155287000,352011000,280496000,505643000,697619000,916836000
16,EBITDA ratio,-0.1368,0.0450,0.0906,0.1253,0.0412,0.1739,0.1810,0.1182,0.1378,-0.0174,0.0181,0.1862,-0.0011,0.2155,0.2078,0.0950,0.2102,0.2944,-0.0795,0.1098,0.1978,0.1564,0.1895,0.2258,0.2718
17,Operating Income,-3100000,10500000,27500000,44474000,25841000,122715000,163011000,102134000,39981000,-187166000,-126054000,115853000,-130214000,80244000,77142000,-84266000,5239000,415256000,-258463000,-10828000,91305000,135577000,206672000,425267000,629384000
18,Operating Income ratio,-0.1632,0.0549,0.0899,0.1149,0.0573,0.1546,0.1577,0.0906,0.0332,-0.1803,-0.1284,0.0754,-0.1345,0.0692,0.0679,-0.1020,0.0043,0.1767,-0.2387,-0.0077,0.0513,0.0756,0.0775,0.1377,0.1866
19,Total Other Income Expenses (Gains),- -,-4000000,-3100000,-6245000,-29336000,-1767000,2304000,-5524000,3715000,2684000,-2161000,-3710000,-3195000,-17883000,-13519000,-19571000,-31351000,-39106000,-14417000,-27522000,-14340000,1048000,26113000,33172000,48432000
20,Income Before Tax,- -,6500000,24400000,38229000,-3495000,120948000,165315000,96610000,43696000,-184482000,-128215000,112143000,-133409000,62361000,63623000,-103837000,-26112000,376150000,-272880000,-38350000,76965000,136625000,232785000,458439000,677816000
21,Income Before Tax Ratio,- -,0.0340,0.0798,0.0988,-0.0077,0.1523,0.1599,0.0857,0.0363,-0.1778,-0.1306,0.0729,-0.1377,0.0538,0.0560,-0.1257,-0.0215,0.1600,-0.2520,-0.0271,0.0432,0.0762,0.0872,0.1484,0.2010
