,https://roic.ai/company/ADP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,-72800000,1100000,-82800000,96600000,-11700000,152200000,160700000,-49200000,166700000,-177100000,299600000,859884000,-20597000,-341032000,270563000,-683553000,647235000,527000000,-594000000,-106100000,480300000,316900000,-467800000,119500000,-448000000,457200000,-229900000,1957500000,-810200000,-1206400000,78200000,-277100000,1209500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149700000,-108800000,-138300000,-40100000,-217000000,-204000000,-175100000,-224600000,23400000,-291800000,-473900000,-113800000,-339800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9700000,34700000,-24600000,11200000,-10600000,9700000,13100000,-15900000,-11600000,-1900000,-10700000,-18300000,36900000
81,Other Working Capital,- -,- -,- -,351800000,352900000,270100000,366700000,355000000,507200000,667900000,618700000,785400000,608300000,907900000,1767784000,1747187000,1406155000,1676718000,993165000,1640400000,2167400000,1573400000,1467300000,1947600000,2264500000,1796700000,1916200000,1468200000,1925400000,1695500000,3653000000,2842800000,1636400000,1714600000,1437500000,2647000000
82,Other Non-Cash Items,- -,- -,- -,- -,-48800000,121100000,-27400000,-43300000,-125600000,-238100000,23100000,-149200000,184100000,-392100000,-923750000,236595000,484209000,17469000,594069000,-712535000,-666400000,408900000,388200000,-606500000,-319100000,417300000,-37900000,181400000,-576000000,277200000,-2017000000,737700000,1547300000,-268300000,200000000,-1149600000
83,Cash Provided by Operating Activities,- -,- -,- -,247500000,296400000,389700000,437500000,391400000,509100000,478800000,644100000,719100000,852100000,853900000,1070101000,1491024000,1531704000,1565089000,1391935000,1433400000,1812500000,1298000000,1786900000,1562600000,1682100000,1705800000,1910200000,1577200000,1821400000,1905600000,1859900000,2125900000,2515200000,2688300000,3026200000,3093300000
84,CAPEX,- -,- -,- -,-139300000,-81700000,-70100000,-56400000,-87400000,-110700000,-117700000,-163500000,-175300000,-537000000,-285000000,-166012000,-185406000,-255420000,-133758000,-204085000,-196100000,-411000000,-322800000,-277600000,-253900000,-226700000,-277700000,-249600000,-282900000,-367700000,-335500000,-386000000,-470600000,-470800000,-566500000,-616400000,-505900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175248000,-73667000,-219783000,-651320000,-295220000,-434400000,565700000,-446900000,-97300000,-67000000,-78400000,-776000000,-265700000,119400000,-1300000,90500000,162200000,146600000,-612400000,-125500000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-54500000,-4300000,-141300000,-268300000,-117900000,-154700000,-1014200000,-1395200000,-618400000,-608300000,-7372892000,-3973434000,-4597320000,-3451554000,-8087150000,-11365000000,-5846500000,-4449100000,-6407200000,-2947600000,-3846700000,-4770900000,-5113500000,-4902600000,-3414900000,-5047600000,-5876300000,-4382800000,-4876800000,-4422600000,-3905100000,-9266300000
87,Sales/Maturities of Investments,- -,- -,- -,129300000,- -,- -,- -,- -,- -,- -,1208300000,1362100000,550400000,277000000,4001848000,3087406000,4167028000,5515586000,6003041000,6629100000,6319100000,4878600000,5140600000,3320400000,3406900000,3305100000,3962200000,3638600000,2059500000,3841000000,5215400000,3593600000,3455000000,2909000000,7648400000,6238400000
88,Other Investing Activites,- -,- -,- -,43900000,42800000,-76100000,-339500000,-75700000,-92800000,-142300000,-578300000,-91100000,-82200000,224200000,3341706000,689267000,-174998000,-1101881000,1264633000,4928500000,-162000000,784300000,4143000000,-696000000,-1634500000,-4821100000,4910200000,-150300000,2538200000,-2292000000,-8202500000,6843600000,400000,7900000,-587000000,-487100000
89,Cash Used for Investing Activites,- -,- -,- -,33900000,-93400000,-150500000,-537200000,-431400000,-321400000,-414700000,-547700000,-299500000,-687200000,-392100000,-370598000,-455834000,-1080493000,177073000,-1318781000,-437900000,465300000,444100000,2501500000,-644100000,-2379400000,-7340600000,3243600000,-1577800000,813800000,-3743600000,-9087200000,5730400000,-2504600000,-2197700000,3156300000,-3515000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21900000,-2900000,-5700000,-2000000,-17500000,-3300000,-2175300000,-1500000,-2000000,-7300000,-2100000,-2200000,-1001800000
91,Common Stock Issued,- -,- -,- -,21200000,23300000,28200000,60600000,72800000,78000000,99400000,125600000,71300000,80500000,100400000,172589000,218178000,228113000,92816000,169208000,183500000,264100000,344200000,239700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-206600000,-166400000,-294600000,-12300000,-82500000,-129400000,-13100000,-245200000,-127700000,-40900000,-85400000,-201007000,-935064000,-875449000,-938545000,-629932000,-584400000,-1299900000,-1900400000,-1504800000,-580400000,-766400000,-732800000,-741300000,-647300000,-667300000,-1557200000,-1155700000,-1259600000,-989300000,-937700000,-1006300000,-1372300000
93,Dividends Paid,- -,- -,- -,-39900000,-46200000,-50600000,-57700000,-67200000,-76000000,-89200000,-112100000,-129800000,-152900000,-181100000,-212578000,-248453000,-276860000,-284605000,-308608000,-344900000,-393900000,-461300000,-548900000,-629400000,-673400000,-692400000,-739700000,-805500000,-883100000,-927600000,-943600000,-995200000,-1063700000,-1293000000,-1470500000,-1575500000
94,Other Financing Activites,- -,- -,- -,-2700000,-6200000,-31000000,274000000,-6300000,-2500000,13800000,136200000,42800000,110100000,-197500000,-92150000,-22132000,-3561000,-420000,-1042000,-700000,80900000,133100000,-3456700000,1700100000,1531700000,6770100000,-3470900000,1621300000,-804500000,6276800000,10890900000,-6024900000,404400000,2025100000,-3411600000,10387100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-228000000,-195500000,-348000000,264600000,-83200000,-129900000,10900000,-95500000,-143400000,-3200000,-363600000,-333146000,-987471000,-927757000,-1130754000,-770374000,-746500000,-1348800000,-1884400000,-5270700000,468400000,89000000,5339200000,-4953900000,151000000,-2358200000,1616700000,8790100000,-8281700000,-1655900000,-207700000,-5890600000,6437500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,9300000,15700000,41300000,-39100000,-13600000,41700000,-41200000,1200000,8000000,-106300000,-11000000,14700000,5800000,-28800000,-34500000,73800000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98200000,366357000,47719000,-476546000,611408000,-697220000,262400000,925200000,-139900000,-828600000,1347800000,-622000000,-253900000,158700000,151000000,284500000,-344300000,1551800000,-410700000,-1639500000,254100000,257400000,6089600000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861300000,1227637000,1275356000,798810000,1410218000,712998000,975400000,1900600000,1746100000,917500000,2265300000,1643300000,1389400000,1548100000,1699100000,1983600000,1639300000,3191100000,2780400000,6542100000,6796200000,7053600000,13143200000
99,Cash at the Beginning of Period,- -,- -,- -,187000000,240500000,247900000,139100000,304000000,180800000,238600000,313600000,314400000,590600000,763100000,861280000,1227637000,1275356000,798810000,1410218000,713000000,975400000,1886000000,1746100000,917500000,2265300000,1643300000,1389400000,1548100000,1699100000,1983600000,1639300000,3191100000,8181600000,6542100000,6796200000,7053600000
100,Free Cash Flow,- -,- -,- -,108200000,214700000,319600000,381100000,304000000,398400000,361100000,480600000,543800000,315100000,568900000,904089000,1305618000,1276284000,1431331000,1187850000,1237300000,1401500000,975200000,1509300000,1308700000,1455400000,1428100000,1660600000,1294300000,1453700000,1570100000,1473900000,1655300000,2044400000,2121800000,2409800000,2587400000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000091205794002935/0000912057-94-002935-index.html,https://www.sec.gov/Archives/edgar/data/8670/000091205795007958/0000912057-95-007958-index.html,https://www.sec.gov/Archives/edgar/data/8670/000095011296003416/0000950112-96-003416-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000000867000000026/0000008670-00-000026-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000120677406001911/adp_10k1.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677407002085/0001206774-07-002085-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677408001519/0001206774-08-001519-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677409001642/0001206774-09-001642-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677410001881/0001206774-10-001881-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/0001206774-11-001935-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/0001206774-12-003634-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/0000008670-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/0000008670-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867015000021/0000008670-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867016000053/q4fy1610kinq4fy16.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867017000010/0000008670-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867018000011/0000008670-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/0000008670-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/0000008670-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/0000008670-21-000027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
