,https://roic.ai/company/ADP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-15700000,-20100000,-17100000,-19600000,-12000000,-8300000,-12300000,-19800000,-20900000,-24300000,-29800000,-57200000,-24200000,-19000000,303097000,-91854000,113962000,127129000,56294000,33300000,64500000,117000000,86000000,74700000,92600000,648100000,163100000,44400000,51900000,56700000,44200000,204300000,-340600000,-18800000,40900000,36600000
20,Income Before Tax,183500000,221900000,255000000,271800000,285300000,299600000,341600000,386600000,446300000,534300000,635400000,724000000,884200000,1084500000,1289600000,1525010000,1786970000,1645200000,1494530000,1677900000,1743000000,1623500000,1812000000,1904700000,1863200000,1932700000,2122100000,2084300000,2274600000,2070700000,2234700000,2531100000,2171100000,3005600000,3182600000,3361200000
21,Income Before Tax Ratio,0.1524,0.1603,0.1646,0.1620,0.1665,0.1691,0.1760,0.1739,0.1808,0.1846,0.1782,0.1761,0.1843,0.1958,0.2171,0.2173,0.2551,0.2302,0.1927,0.1974,0.1963,0.2081,0.2065,0.2148,0.2087,0.2069,0.1990,0.1843,0.1863,0.1893,0.1915,0.2045,0.1629,0.2120,0.2181,0.2240
22,Income Tax expense (Gain),77500000,89900000,84700000,84200000,73600000,71900000,85400000,92400000,112200000,139500000,180700000,210500000,278900000,387700000,448800000,600290000,686200000,627050000,558960000,622500000,670600000,602300000,650300000,576500000,655900000,678500000,733600000,720200000,772000000,694200000,741300000,797700000,550300000,712800000,716100000,762700000
23,Net Income,106000000,132000000,170300000,187600000,211700000,227700000,256200000,294200000,329300000,394800000,454700000,513500000,605300000,696800000,840800000,924720000,1100770000,1018150000,935570000,1055400000,1554000000,1138700000,1235700000,1332600000,1211400000,1254200000,1388500000,1405800000,1515900000,1452500000,1492500000,1733400000,1620800000,2292800000,2466500000,2598500000
24,Net Income ratio,0.0880,0.0954,0.1099,0.1118,0.1235,0.1285,0.1320,0.1323,0.1334,0.1364,0.1275,0.1249,0.1262,0.1258,0.1416,0.1318,0.1572,0.1425,0.1206,0.1242,0.1750,0.1460,0.1408,0.1503,0.1357,0.1343,0.1302,0.1243,0.1242,0.1328,0.1279,0.1400,0.1216,0.1617,0.1691,0.1732
25,EPS,0.19,0.22,0.28,0.32,0.36,0.41,0.46,0.52,0.58,0.69,0.79,0.88,1.02,1.13,1.34,1.47,1.78,1.70,1.58,1.81,2.70,2.07,2.37,2.65,2.42,2.54,2.85,2.91,3.17,3.07,3.27,3.87,3.68,5.27,5.73,6.10
26,EPS Diluted,0.18,0.21,0.27,0.31,0.36,0.41,0.46,0.52,0.58,0.69,0.79,0.88,0.99,1.10,1.31,1.44,1.75,1.68,1.56,1.79,2.68,2.04,2.34,2.63,2.40,2.52,2.82,2.89,3.14,3.05,3.25,3.85,3.66,5.24,5.70,6.07
27,Weighted Average Shares Outstanding,557894737,600000000,608214286,586250000,588055556,555365854,556956522,565769231,563560000,570224000,577934000,581980000,593756000,615630000,626766000,629035000,618857000,600071000,591697000,583200000,574800000,549700000,521500000,503200000,500500000,493500000,487300000,482700000,478900000,472600000,457000000,447800000,440600000,435000000,430800000,426300000
28,Weighted Average Shares Outstanding Diluted,588888889,628571429,630740741,605161290,588055556,555365854,556956522,565769231,563560000,570224000,577934000,593538462,620822000,636892000,646098000,645989000,630579000,605917000,598749000,590000000,580300000,557900000,527200000,505800000,503700000,498300000,492200000,487100000,483100000,475800000,459100000,450300000,443300000,437600000,432700000,428100000
