,https://roic.ai/company/PNR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,534200000,623900000,789200000,823300000,1163600000,1175900000,1169100000,1238700000,1328200000,1649200000,1402900000,1567100000,1839100000,1937600000,2367700000,2748013000,2615944000,2580783000,2724365000,2278129000,2946579000,3154469000,3398698000,3351976000,2692468000,3030773000,3456686000,4416146000,7479700000,7039000000,6449000000,4890000000,4936500000,2965100000,2957200000,3017800000,3764800000
2,COGS,420200000,485800000,610600000,594200000,868500000,865300000,839500000,889300000,954400000,1176200000,947600000,1038600000,1223000000,1261900000,1544100000,1952487000,1967945000,1965076000,2045327000,1623419000,2098558000,2248219000,2374048000,2337426000,1907333000,2100133000,2382964000,3146554000,5006800000,4576000000,4263200000,3095900000,3107400000,1917400000,1905700000,1960200000,2445600000
3,Gross Profit,114000000,138100000,178600000,229100000,295100000,310600000,329600000,349400000,373800000,473000000,455300000,528500000,616100000,675700000,823600000,795526000,647999000,615707000,679038000,654710000,848021000,906250000,1024650000,1014550000,785135000,930640000,1073722000,1269592000,2472900000,2463000000,2185800000,1794100000,1829100000,1047700000,1051500000,1057600000,1319200000
4,Gross Profit Ratio,0.2134,0.2213,0.2263,0.2783,0.2536,0.2641,0.2819,0.2821,0.2814,0.2868,0.3245,0.3372,0.3350,0.3487,0.3478,0.2895,0.2477,0.2386,0.2492,0.2874,0.2878,0.2873,0.3015,0.3027,0.2916,0.3071,0.3106,0.2875,0.3306,0.3499,0.3389,0.3669,0.3705,0.3533,0.3556,0.3505,0.3504
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,13400000,15500000,21300000,23000000,27100000,31191000,31171000,36909000,43898000,31453000,46042000,58055000,58810000,62450000,57884000,67156000,78158000,93557000,125800000,117300000,119600000,114100000,115800000,76700000,78900000,75700000,85900000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,279300000,276700000,310600000,357100000,391100000,455600000,438488000,418962000,342806000,375586000,376015000,478907000,541209000,587865000,606980000,507303000,529329000,626527000,1158436000,1562100000,1493800000,1334300000,979300000,1032500000,534300000,540100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",64200000,82700000,112100000,126000000,179000000,191800000,198100000,209100000,223600000,279300000,276700000,310600000,357100000,391100000,455600000,438488000,418962000,342806000,375586000,376015000,478907000,541209000,587865000,606980000,507303000,529329000,626527000,1158436000,1562100000,1493800000,1334300000,979300000,1032500000,534300000,540100000,520500000,596400000
9,Other Expenses,18800000,23900000,28100000,27400000,37900000,43800000,47200000,47900000,50100000,64100000,48900000,59500000,67800000,68400000,88600000,99028000,- -,- -,- -,- -,- -,- -,- -,20435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,83000000,106600000,140200000,153400000,216900000,235600000,245300000,257000000,273700000,355500000,339000000,385600000,446200000,482500000,571300000,568707000,450133000,379715000,419484000,407468000,524949000,599264000,646675000,689865000,565187000,596485000,704685000,1251993000,1687900000,1611100000,1453900000,1093400000,1148300000,611000000,619000000,596200000,682300000
11,COGS and Expenses,503200000,592400000,750800000,747600000,1085400000,1100900000,1084800000,1146300000,1228100000,1531700000,1286600000,1424200000,1669200000,1744400000,2115400000,2521194000,2418078000,2344791000,2464811000,2030887000,2623507000,2847483000,3020723000,3027291000,2472520000,2696618000,3087649000,4398547000,6694700000,6187100000,5717100000,4189300000,4255700000,2528400000,2524700000,2556400000,3127900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,999000,1263000,1432000,2902000,7600000,3700000,6000000,8300000,9900000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42117000,37379000,60267000,70537000,76700000,72300000,108700000,148400000,97200000,32600000,30100000,23900000,12500000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,43800000,47200000,47900000,50100000,64100000,48900000,59500000,67800000,68400000,88600000,99028000,104349000,64702000,65643000,60909000,72560000,75096000,84549000,87281000,105480000,84179000,108132000,163792000,286100000,252700000,260900000,181000000,182900000,84600000,80000000,75100000,77500000
15,EBITDA,28700000,24600000,34000000,68300000,62400000,101200000,121300000,79000000,127500000,153200000,167300000,184100000,226200000,239300000,255100000,200178000,172990000,257149000,281325000,305142000,356078000,330529000,388630000,424359000,319518000,416586000,275680000,47790000,1083400000,717200000,432300000,961000000,955800000,522700000,511600000,532600000,713800000
16,EBITDA ratio,0.0537,0.0394,0.0431,0.0830,0.0536,0.0861,0.1038,0.0638,0.0960,0.0929,0.1193,0.1175,0.1230,0.1235,0.1077,0.0728,0.0661,0.0996,0.1033,0.1339,0.1208,0.1048,0.1143,0.1266,0.1187,0.1375,0.0798,0.0108,0.1448,0.1019,0.0670,0.1965,0.1936,0.1763,0.1730,0.1765,0.1896
17,Operating Income,31000000,31500000,38400000,75700000,78200000,75000000,84300000,92400000,100100000,117500000,116300000,142900000,169900000,193200000,252300000,226819000,157761000,235992000,259554000,247242000,323072000,306986000,377975000,324685000,219948000,334155000,168517000,-43119000,774000000,851900000,177200000,700700000,680800000,436700000,432500000,461400000,636900000
18,Operating Income ratio,0.0580,0.0505,0.0487,0.0919,0.0672,0.0638,0.0721,0.0746,0.0754,0.0712,0.0829,0.0912,0.0924,0.0997,0.1066,0.0825,0.0603,0.0914,0.0953,0.1085,0.1096,0.0973,0.1112,0.0969,0.0817,0.1103,0.0488,-0.0098,0.1035,0.1210,0.0275,0.1433,0.1379,0.1473,0.1463,0.1529,0.1692
19,Total Other Income Expenses (Gains),-2300000,-6900000,-4400000,-7400000,-15800000,-17600000,-10200000,-19700000,-22700000,-28400000,-14600000,-18300000,-11500000,-22300000,-85800000,-99688000,-64473000,-43545000,-40936000,-37210000,-39554000,-51517000,-74332000,42455000,-47301000,-34008000,-56937000,-140846000,-47600000,-67600000,-103100000,-139700000,-191600000,-56900000,-25000000,-29300000,-10100000
20,Income Before Tax,28700000,24600000,34000000,68300000,62400000,57400000,74100000,72700000,77400000,89100000,101700000,124600000,158400000,170900000,166500000,127131000,93288000,192447000,218618000,210032000,283518000,255469000,303643000,367140000,172647000,300147000,111580000,-183965000,726400000,784300000,74100000,561000000,489200000,379800000,407500000,432100000,626800000
21,Income Before Tax Ratio,0.0537,0.0394,0.0431,0.0830,0.0536,0.0488,0.0634,0.0587,0.0583,0.0540,0.0725,0.0795,0.0861,0.0882,0.0703,0.0463,0.0357,0.0746,0.0802,0.0922,0.0962,0.0810,0.0893,0.1095,0.0641,0.0990,0.0323,-0.0417,0.0971,0.1114,0.0115,0.1147,0.0991,0.1281,0.1378,0.1432,0.1665
22,Income Tax expense (Gain),8600000,9400000,12100000,28500000,26000000,24400000,33000000,29900000,30800000,35500000,41200000,50100000,66800000,64100000,63200000,45263000,35772000,62545000,74330000,73008000,98469000,71702000,93154000,108344000,56428000,97200000,73059000,-79353000,183800000,177300000,139100000,109400000,9200000,58100000,45800000,75000000,70800000
23,Net Income,20100000,15200000,21900000,39800000,36400000,33000000,41100000,1200000,46600000,53600000,77200000,74500000,91600000,106800000,103300000,55887000,32869000,129902000,141352000,171225000,185049000,183731000,210927000,228734000,115493000,197828000,34222000,-107186000,536800000,214900000,-76400000,522200000,666500000,347400000,355700000,358600000,553000000
24,Net Income ratio,0.0376,0.0244,0.0277,0.0483,0.0313,0.0281,0.0352,0.0010,0.0351,0.0325,0.0550,0.0475,0.0498,0.0551,0.0436,0.0203,0.0126,0.0503,0.0519,0.0752,0.0628,0.0582,0.0621,0.0682,0.0429,0.0653,0.0099,-0.0243,0.0718,0.0305,-0.0118,0.1068,0.1350,0.1172,0.1203,0.1188,0.1469
25,EPS,0.39,0.27,0.34,0.62,0.50,0.42,0.55,-0.12,0.56,1.31,1.93,1.83,2.28,2.67,2.36,1.15,0.67,2.64,2.89,1.72,1.84,1.84,2.13,2.34,1.19,2.01,0.35,-0.84,2.67,1.17,2.60,2.88,3.67,1.98,2.10,2.15,3.34
