,https://roic.ai/company/ABT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3360300000,3807600000,4387900000,4937000000,5379800000,6158700000,6876600000,7851900000,8407843000,9156009000,10012194000,11013460000,11883462000,12477845000,13177625000,13745916000,16285246000,17684663000,19680561000,19680016000,22337808000,22476322000,25914238000,29527552000,30764707000,35166721000,38851259000,39873910000,21848000000,20247000000,20405000000,20853000000,27390000000,30578000000,31904000000,34608000000,43075000000
2,COGS,1539200000,1668900000,1858200000,2082300000,2249300000,2554200000,2761000000,3077500000,3684727000,3993831000,4325805000,4731998000,5045678000,5394441000,5977183000,6238646000,7748382000,8506254000,9473416000,8884157000,10641111000,9815147000,11422046000,12612022000,13209329000,14665192000,15540580000,15119718000,10040000000,9218000000,8747000000,9024000000,12337000000,12706000000,13231000000,15003000000,18537000000
3,Gross Profit,1821100000,2138700000,2529700000,2854700000,3130500000,3604500000,4115600000,4774400000,4723116000,5162178000,5686389000,6281462000,6837784000,7083404000,7200442000,7507270000,8536864000,9178409000,10207145000,10795859000,11696697000,12661175000,14492192000,16915530000,17555378000,20501529000,23310679000,24754192000,11808000000,11029000000,11658000000,11829000000,15053000000,17872000000,18673000000,19605000000,24538000000
4,Gross Profit Ratio,0.5419,0.5617,0.5765,0.5782,0.5819,0.5853,0.5985,0.6081,0.5618,0.5638,0.5679,0.5703,0.5754,0.5677,0.5464,0.5461,0.5242,0.5190,0.5186,0.5486,0.5236,0.5633,0.5592,0.5729,0.5706,0.5830,0.6000,0.6208,0.5405,0.5447,0.5713,0.5673,0.5496,0.5845,0.5853,0.5665,0.5697
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,880974000,963516000,1072745000,1204841000,1302403000,1221593000,1193963000,1351024000,1577552000,1561792000,1733472000,1696753000,1821175000,2255271000,2505649000,2688811000,2743733000,4037624000,4129414000,4322182000,1452000000,1345000000,1405000000,1422000000,2235000000,2300000000,2440000000,2420000000,2742000000
6,General and Administrative Exp.,928200000,1060600000,1280300000,1481800000,1602000000,1842500000,2179600000,2820600000,1988176000,2054455000,2230740000,2459560000,2684955000,2743888000,2857104000,2894178000,3734880000,3978776000,5050901000,4921780000,5496123000,6349685000,7407998000,8435624000,8405904000,10376324000,12756817000,12059495000,6936000000,6530000000,6785000000,6672000000,9117000000,9744000000,9765000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",928200000,1060600000,1280300000,1481800000,1602000000,1842500000,2179600000,2820600000,1988176000,2054455000,2230740000,2459560000,2684955000,2743888000,2857104000,2894178000,3734880000,3978776000,5050901000,4921780000,5496123000,6349685000,7407998000,8435624000,8405904000,10376324000,12756817000,12059495000,6936000000,6530000000,6785000000,6672000000,9117000000,9744000000,9765000000,9696000000,11324000000
9,Other Expenses,155800000,199500000,243700000,270900000,307300000,355900000,379000000,427800000,-70000000,- -,- -,- -,- -,- -,- -,-138507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,791000000,555000000,601000000,550000000,1975000000,2178000000,1936000000,2132000000,2047000000
