,https://roic.ai/company/GBLI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494904/000095012311026044/w82021e10vk.htm,https://www.sec.gov/Archives/edgar/data/1494904/000119312512114901/0001193125-12-114901-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312513109940/0001193125-13-109940-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312514100033/d654929d10k.htm,https://www.sec.gov/Archives/edgar/data/1494904/000119312515093663/d831640d10k.htm,https://www.sec.gov/Archives/edgar/data/1494904/000119312516503372/0001193125-16-503372-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312517078607/0001193125-17-078607-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312518076967/0001193125-18-076967-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000156459019007822/0001564590-19-007822-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000156459020009076/0001564590-20-009076-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000156459021012923/0001564590-21-012923-index.htm,https://www.sec.gov/Archives/edgar/data/1494904/000156459022010614/0001564590-22-010614-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-61663000,77125000,37047000,65593000,99418000,98917000,-141560000,75437000,84903000,-39628000,34757000,61690000,62856000,41469000,49868000,-9551000,-56696000,70015000,-21006000,29354000
74,Depreciation and Amortization,- -,- -,- -,90000,3189000,8731000,4407000,2801000,1008000,73000,4466000,2224000,1880000,832000,3466000,5284000,6312000,6505000,7019000,7103000,7027000,- -
75,Deferred Income Tax,- -,- -,-17104000,-1153000,-2101000,-3229000,8606000,-1561000,-14944000,9655000,3484000,-525000,-1463000,-3000,-828000,-7201000,-2727000,-1018000,-19554000,11783000,-8268000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-651000,2625000,4349000,2900000,10271000,3531000,3741000,3452000,4221000,6774000,- -
77,Change in Working Capital,- -,- -,118731000,- -,- -,- -,- -,- -,- -,- -,1026081000,-461414000,2284000,-145706000,679351000,70961000,-776174000,16292000,-31986000,293723000,-672029292,1514325292
78,Accounts Receivable,- -,- -,- -,25293000,300526000,279851000,311711000,293603000,- -,-12594000,13054000,8813000,48841000,31804000,65471000,49291000,-31029000,46422000,-12651000,124000,3834000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-48141000,-264608000,-168964000,-241338000,-253181000,- -,- -,- -,- -,-4686000,- -,- -,- -,10086000,-3824000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1026081000,564667000,566951000,421245000,1100596000,1171557000,395383000,411675000,379689000,673412000,1382708,1515708000
82,Other Non-Cash Items,- -,- -,65009000,-35706000,21154000,96866000,68349000,47862000,137265000,-137808000,-1119960000,492256000,-75096000,73917000,-759747000,-117034000,694794000,-39619000,139834000,-354469000,720172292,-1543679292
