,https://roic.ai/company/GE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0826,0.0708,0.0539,0.0873,0.0731,0.0746,0.0444,0.0840,0.0721,0.0797,0.0949,0.0927,0.0926,0.0931,0.0967,0.0981,0.1087,0.1072,0.1118,0.1089,0.1092,0.1275,0.1286,0.0954,0.0703,0.0775,0.0995,0.0942,0.0913,0.1031,-0.0532,0.0738,-0.0480,-0.1838,-0.0523,0.0716,-0.0879
25,EPS,1.76,1.84,1.60,2.48,2.88,3.28,2.08,3.68,3.28,3.69,5.20,5.87,6.67,7.57,8.72,10.32,11.04,11.36,12.00,12.80,12.40,16.08,17.44,13.76,8.08,8.55,9.93,10.32,10.96,12.08,-4.96,7.20,-5.76,-20.96,-4.96,4.64,-6.16
26,EPS Diluted,1.76,1.84,1.60,2.48,2.88,3.28,2.08,3.68,3.28,3.69,5.20,5.87,6.56,7.47,8.59,10.16,10.96,11.28,11.92,12.72,12.32,16.00,17.36,13.76,8.08,8.55,9.93,10.32,10.88,12.00,-4.96,7.12,-5.76,-20.96,-4.96,4.64,-6.16
27,Weighted Average Shares Outstanding,1327272727,1354347826,1324375000,1365322581,1367708333,1311890244,1267307692,1283967391,1315548780,1281553500,1262859000,1240272750,1254375000,1225875000,1229250000,1237125000,1241500000,1243375000,1252375000,1300000000,1321250000,1294875000,1272750000,1260000000,1326750000,1326922000,1321627125,1315375000,1277750000,1255625000,1243000000,1128125000,1080208333,1086375000,1090500000,1094125000,1098000000
28,Weighted Average Shares Outstanding Diluted,1327272727,1354347826,1324375000,1365322581,1367708333,1311890244,1267307692,1283967391,1315548780,1281553500,1262859000,1253125000,1254375000,1248750000,1249500000,1257125000,1256500000,1253500000,1259375000,1305625000,1326375000,1299250000,1277250000,1262250000,1326875000,1326922000,1321627125,1320500000,1286125000,1265375000,1252000000,1141250000,1080208333,1086375000,1090500000,1095125000,1098000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40545/000004054501500023/0000040545-01-500023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/40545/000004054504000013/0000040545-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054505000020/0000040545-05-000020-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054506000009/0000040545-06-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054507000017/0000040545-07-000017-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054508000011/0000040545-08-000011-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054509000012/0000040545-09-000012-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054510000010/0000040545-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000119312511047479/0001193125-11-047479-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054512000016/0000040545-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054513000036/0000040545-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004055414000023/0000040554-14-000023-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/40545/000004054517000010/0000040545-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/0000040545-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/0000040545-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/0000040545-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054521000011/0000040545-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054522000008/0000040545-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2591000000,2823000000,4191000000,5861000000,4317000000,8554000000,8195000000,9082000000,8910000000,12664000000,15328000000,9011000000,14275000000,15747000000,48187000000,72260000000,78958000000,84501000000,77356000000,88555000000,90208000000,70483000000,48129000000,43299000000,34528000000,36394000000,36630000000,15770000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81758000000,91339000000,101017000000,116862000000,120724000000,135536000000,53144000000,47826000000,45428000000,41446000000,51941000000,43938000000,47374000000,48510000000,43981000000,47907000000,31973000000,44313000000,38696000000,33835000000,48521000000,7319000000,12297000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2591000000,2823000000,4191000000,5861000000,4317000000,90312000000,99534000000,110099000000,125772000000,133388000000,150864000000,62155000000,62101000000,61175000000,89633000000,124201000000,122896000000,131875000000,125866000000,132536000000,138115000000,102456000000,92442000000,81995000000,68363000000,84915000000,43949000000,28067000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,89647000000,114424000000,123836000000,130378000000,154579000000,175868000000,188317000000,222044000000,253627000000,273359000000,333180000000,317257000000,365226000000,416446000000,400018000000,359867000000,337627000000,307470000000,287489000000,272442000000,257148000000,45857000000,42263000000,41075000000,33791000000,27047000000,27050000000,20927000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3880000000,4395000000,4473000000,5895000000,6049000000,7007000000,7812000000,8565000000,9247000000,8752000000,9778000000,10474000000,11401000000,12897000000,13674000000,11987000000,11526000000,13792000000,15374000000,17325000000,17689000000,22515000000,22354000000,21923000000,19271000000,14104000000,15890000000,15847000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,30965000000,41067000000,59889000000,70621000000,78717000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711000000,211000000,50000000,6300000000,2818000000,1745000000,4243000000,2122000000,9149000000,1522000000,1508000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,127083000000,162709000000,192389000000,212755000000,243662000000,273187000000,295663000000,340708000000,388646000000,415499000000,493822000000,389886000000,438728000000,490518000000,503325000000,496055000000,472049000000,453848000000,428940000000,422353000000,419252000000,173646000000,158804000000,149236000000,123547000000,135215000000,88411000000,66349000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,23465000000,25679000000,28795000000,32316000000,35730000000,41022000000,40015000000,42140000000,47204000000,53382000000,63334000000,67528000000,74966000000,77895000000,78530000000,69212000000,66214000000,65739000000,69743000000,68827000000,66387000000,54095000000,50518000000,53874000000,50748000000,46186000000,44663000000,15609000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23106000000,23512000000,28287000000,39138000000,47487000000,71191000000,69611000000,73339000000,81116000000,81759000000,65574000000,64473000000,72625000000,73447000000,77648000000,76553000000,65526000000,70438000000,83968000000,59614000000,26734000000,25524000000,26182000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11373000000,13342000000,16007000000,19121000000,23635000000,2904000000,3929000000,3362000000,7042000000,7538000000,12049000000,12115000000,13094000000,16178000000,14977000000,11929000000,9973000000,12068000000,11987000000,14310000000,14156000000,16745000000,16437000000,20273000000,18156000000,10652000000,9773000000,9282000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11373000000,13342000000,16007000000,19121000000,23635000000,26010000000,27441000000,31649000000,46180000000,55025000000,83240000000,81726000000,86433000000,97294000000,96736000000,77503000000,74446000000,84693000000,85434000000,91958000000,90709000000,82271000000,86875000000,104241000000,77770000000,37386000000,35297000000,35464000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15455000000,16954000000,24453000000,25225000000,- -,- -,- -,- -,- -,- -,67572000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,42549000000,50049000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000000,2541000000,3105000000,1833000000,6207000000,12432000000,9889000000,12081000000,10855000000
