,https://roic.ai/company/BXMT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4500000,22800000,39100000,27521000,26252000,12700000,14171000,21525000,44324000,51332000,83660000,-55646000,-577131000,-183244000,254865000,282387000,26419000,101012000,212389000,246636000,218282000,286121000,306887000,140737000,422696000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.7895,0.4893,0.5733,0.4788,0.5008,0.3254,0.3729,0.5807,0.6579,0.6627,0.7248,-0.7112,-12.7582,-3.6814,-16.6862,5.1771,0.6207,0.7838,0.7580,0.7540,0.7203,0.7216,0.7235,0.3256,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,9400000,22000000,17760000,16882000,22438000,646000,-451000,213000,-2735000,-706000,1893000,-694000,2100000,2546000,174000,995000,518000,504000,196000,314000,308000,-506000,323000,423000
23,Net Income,4600000,-800000,-1000000,-600000,-2800000,3000000,-3600000,-10300000,-8300000,- -,-2800000,-400000,-4600000,13400000,17100000,9761000,9370000,-9738000,13525000,21976000,44111000,54067000,84366000,-57539000,-576437000,-185344000,258142000,181024000,15032000,90045000,196829000,238297000,217631000,285078000,305567000,137670000,422273000
24,Net Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-0.6316,-2.2391,-2.0244,- -,-1.0000,-0.1081,-0.8070,0.2876,0.2507,0.1698,0.1787,-0.2495,0.3559,0.5929,0.6547,0.6980,0.7309,-0.7354,-12.7429,-3.7236,-16.9007,3.3188,0.3532,0.6987,0.7025,0.7285,0.7181,0.7190,0.7204,0.3186,Infinity
25,EPS,31.50,-4.80,-5.70,-3.60,-12.00,9.90,-11.70,-33.90,-26.40,- -,-9.00,-1.50,-18.90,17.10,20.70,10.50,12.90,-16.20,22.70,21.70,29.20,34.30,48.00,-27.30,-257.60,-82.80,113.90,77.20,0.81,1.86,2.41,2.53,2.27,2.50,2.35,0.97,2.77
26,EPS Diluted,31.50,-4.80,-5.70,-3.60,-12.00,9.90,-11.70,-33.90,-26.40,- -,-9.00,-1.50,-18.90,13.20,16.50,9.90,11.10,-16.20,22.30,21.40,28.80,34.00,47.70,-27.30,-257.60,-82.80,107.80,73.10,0.81,1.86,2.41,2.53,2.27,2.50,2.35,0.97,2.77
27,Weighted Average Shares Outstanding,146032,166667,175439,166667,233333,303030,307692,303835,314394,305233,311111,266667,322751,606899,711075,772291,672143,600812,594671,1014138,1512418,1575465,1756969,2109893,2237886,2237126,2266392,2345943,18520052,48394478,81740227,94165351,95963616,113857238,130085398,141795977,151521941
28,Weighted Average Shares Outstanding Diluted,146032,166667,175439,166667,233333,303030,307692,303835,314394,305233,311111,266667,322751,1020746,1457345,989631,1204016,600812,1028772,1027688,1533591,1592339,1769026,2109893,2237886,2237126,2394638,2475294,18520052,48394478,81740227,94165351,95963616,113857238,130085398,141795977,151521941
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061630/000090311200000612/0000903112-00-000612-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667901000733/0001116679-01-000733-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667902000931/0001116679-02-000931-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667903001050/0001116679-03-001050-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667904000403/0001116679-04-000403-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667905000714/0001116679-05-000714-index.html,- -,https://www.sec.gov/Archives/edgar/data/1061630/000110465907014972/a07-4641_110k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380508000742/e603095_10k-capitaltrust.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380509000597/0001193805-09-000597-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380510000613/0001193805-10-000613-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380511000609/e608154_10k-ct.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380512000210/0001193805-12-000210-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380513000696/0001193805-13-000696-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312514057078/d649651d10k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000095012315002980/d843917d10k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119312516465332/0001193125-16-465332-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312517043457/0001193125-17-043457-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312518042819/0001193125-18-042819-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312519035956/0001193125-19-035956-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312520031332/0001193125-20-031332-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312521035299/0001193125-21-035299-index.htm,https://www.sec.gov/Archives/edgar/data/1061630/000106163022000016/0001061630-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,700000,400000,3500000,3400000,4800000,4700000,49300000,46600000,38700000,11388000,11651000,10186000,8738000,24583000,24974000,26142000,25829000,45382000,27954000,24449000,34818000,15423000,52342000,51810000,96450000,75567000,69654000,105662000,150090000,289970000,551154000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,700000,400000,3500000,3400000,4800000,4700000,49300000,46600000,38700000,11388000,11651000,10186000,8738000,24583000,24974000,26142000,25829000,45382000,27954000,24449000,34818000,15423000,52342000,51810000,96450000,75567000,69654000,105662000,150090000,289970000,551154000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1200000,1100000,1000000,700000,700000,1100000,8400000,10000000,7452000,5806000,4853000,4179000,14311000,15116000,18016000,19018000,7772000,4764000,57419000,61128000,5868000,39974000,86016000,37161000,32871000,38573000,56679000,66649000,66757000,21878338000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39974000,-86016000,-37161000,-32871000,-38573000,-56679000,-66649000,- -,-551154000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52342000,51810000,96450000,75567000,69654000,105662000,150090000,- -,21878338000
38,PP&E,- -,- -,- -,- -,- -,- -,35400000,39100000,23300000,18400000,17200000,8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249987000,200176000,269141000,487970000,810970000,877841000,854594000,717547000,516710000,371973000,145306000,22480000,10604000,23661000,- -,- -,96167000,86638000,77445000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2137958000,4526107000,9256462000,8737048000,10189171000,14265546000,16315143000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2160438000,4536711000,9280123000,8737048000,10189171000,14361713000,16401781000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,66200000,55500000,42200000,36500000,33500000,30000000,317400000,766400000,827800000,644392000,678800000,384976000,397144000,877766000,1557530000,2648564000,3211482000,2838627000,1936635000,4120690000,1366316000,322343000,- -,- -,- -,- -,- -,- -,- -,16958955000,824951000
47,Total Assets,- -,- -,- -,- -,- -,- -,66200000,55500000,42200000,36500000,33500000,30000000,317400000,766400000,827800000,644392000,678800000,384976000,397144000,877766000,1557530000,2648564000,3211482000,2838627000,1936635000,4120690000,1366316000,322343000,2212780000,4588521000,9376573000,8812615000,10258825000,14467375000,16551871000,16958955000,22703289000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21209000,56972000,61013000,93679000,- -,16287000,30171000,29839000,23219000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704444000,- -,- -,- -,- -,7847000,- -,- -,- -,6020005000,5052419000,4771672000,7457933000,9753059000,7896863000,393824000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,13000000,21000000,12000000,14000000,18000000,- -,-450444000,495000000,353000000,330000000,308000000,195153000,79791000,1148028000,35515000,-6006862000,-4964600000,-4640793000,-7349409000,-9584837000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,13000000,21000000,12000000,14000000,18000000,- -,254000000,495000000,353000000,330000000,308000000,203000000,101000000,1205000000,96528000,106822000,87819000,147166000,138695000,198061000,7920082000,393824000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,14700000,15700000,13400000,8700000,8300000,5200000,167000000,455400000,505100000,326092000,407200000,200056000,185762000,65176000,823744000,1264050000,1396174000,1384910000,1325545000,3851543000,1274365000,147681000,289705000,661286000,757158000,1178774000,2467377000,3506623000,2838168000,4564265000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145900000,146908000,147800000,88944000,101238000,477824000,- -,703950000,911826000,699090000,450455000,372457000,-365000,319000,295000,2349528000,6020005000,5052419000,4733216000,7457933000,9753059000,- -,17690754000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,14700000,15700000,13400000,8700000,8300000,5200000,167000000,455400000,651000000,473000000,555000000,289000000,287000000,543000000,823744000,1968000000,2308000000,2084000000,1776000000,4224000000,1274000000,148000000,290000000,3010814000,6777163000,6231193000,7200593000,10964556000,12591227000,4564265000,17690754000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,30100000,32500000,27000000,17500000,16900000,10700000,341100000,927600000,- -,- -,- -,- -,- -,1086269000,2042424000,3936292000,4616245000,4168183000,- -,- -,2566255000,- -,- -,- -,- -,- -,- -,- -,- -,9698907000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,15400000,16800000,13600000,8800000,8600000,5500000,174100000,472200000,522900000,338584000,428231000,211932000,211661000,561269000,1218680000,2222292000,2803245000,2437183000,2105802000,4531877000,1495255000,168890000,1456030000,3087635000,6870842000,6319012000,7341419000,11092768000,12767190000,13054724000,18084578000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,221000,187000,165000,65000,148000,153000,174000,176000,220000,219000,219000,220000,293000,295000,583000,937000,945000,1079000,1234000,1350000,1468000,1682000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-13400000,-25500000,-35600000,-36600000,-39300000,-39800000,-45700000,-35400000,-20700000,-12505000,-3872000,-13610000,-11323000,-9406000,-2481000,-4260000,-9368000,-115202000,-689396000,-920355000,-667111000,-535851000,-536170000,-547592000,-545791000,-541137000,-567168000,-569428000,-592548000,-829284000,-794832000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29308000,-34127000,3818000,14879000,12717000,-8684000,-41009000,-39135000,-50462000,-40584000,- -,798000,-15024000,-32758000,-56202000,-29706000,-34222000,-16233000,11170000,8308000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,64200000,64200000,64200000,64300000,64200000,64300000,189000000,329600000,325400000,318092000,254254000,126809000,141402000,321937000,- -,417641000,426113000,557435000,559145000,559411000,597051000,609002000,1252986000,2027404000,3070200000,3089997000,3506861000,3966540000,4370014000,4702713000,5403553000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,50800000,38700000,28600000,27700000,24900000,24500000,143300000,294200000,304900000,305808000,250569000,84056000,96017000,316497000,338850000,426272000,408237000,401444000,-169167000,-411187000,-110424000,73444000,717909000,1465371000,2492588000,2493603000,2911066000,3364124000,3762583000,3886067000,4618711000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,66200000,55500000,42200000,36500000,33500000,30000000,317400000,766400000,827800000,644392000,678800000,295988000,307678000,877766000,1557530000,2648564000,3211482000,2838627000,1936635000,4120690000,1384831000,242334000,2173939000,4553006000,9363430000,8812615000,10252485000,14456892000,16529773000,16940791000,22703289000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88988000,89466000,- -,- -,- -,- -,- -,- -,- -,-18515000,80009000,38841000,35515000,13143000,- -,6340000,10483000,22098000,18164000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,66200000,55500000,42200000,36500000,33500000,30000000,317400000,766400000,827800000,644392000,678800000,384976000,397144000,877766000,1557530000,2648564000,3211482000,2838627000,1936635000,4120690000,1366316000,322343000,2212780000,4588521000,9376573000,8812615000,10258825000,14467375000,16551871000,16958955000,22703289000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061630/000090311200000612/0000903112-00-000612-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667901000733/0001116679-01-000733-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667902000931/0001116679-02-000931-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667903001050/0001116679-03-001050-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667904000403/0001116679-04-000403-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667905000714/0001116679-05-000714-index.html,- -,https://www.sec.gov/Archives/edgar/data/1061630/000110465907014972/a07-4641_110k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380508000742/e603095_10k-capitaltrust.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380509000597/0001193805-09-000597-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380510000613/0001193805-10-000613-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380511000609/e608154_10k-ct.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380512000210/0001193805-12-000210-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380513000696/0001193805-13-000696-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312514057078/d649651d10k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000095012315002980/d843917d10k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119312516465332/0001193125-16-465332-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312517043457/0001193125-17-043457-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312518042819/0001193125-18-042819-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312519035956/0001193125-19-035956-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312520031332/0001193125-20-031332-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312521035299/0001193125-21-035299-index.htm,https://www.sec.gov/Archives/edgar/data/1061630/000106163022000016/0001061630-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-3600000,-10300000,-8300000,- -,-2800000,-400000,-4600000,13400000,17100000,9761000,9370000,-9738000,13525000,21976000,44111000,54067000,84366000,-57539000,-576437000,-185344000,258142000,181024000,15032000,90045000,196829000,238297000,217631000,285078000,305567000,137670000,422273000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1100000,1100000,800000,600000,700000,100000,100000,1800000,-700000,-1781000,-1944000,-1373000,-220000,1100000,-3165000,861000,4110000,179000,71000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-2300000,-3351000,-1044000,8178000,-1784000,-2254000,1644000,370000,-50000,1953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,138000,505000,1576000,6242000,9716000,20717000,21899000,24031000,28154000,30656000,53809000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,-18000000,5000000,-8000000,9000000,-2000000,-4000000,18000000,-254000000,-241000000,142000000,23000000,22000000,105000000,102000000,-1051658000,1107940000,34346000,-1880000,-65260000,44479000,-14938000,47971000,21484514000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2475000,-3560000,139000,-13166000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-13000000,-21000000,-12000000,-14000000,-18000000,- -,-254000000,-495000000,-353000000,-330000000,-308000000,-203000000,-101000000,-1152658000,-44718000,-10372000,-12252000,-77512000,-33033000,-47971000,- -,21484514000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,5200000,10900000,7700000,300000,3400000,700000,7400000,2600000,28100000,2249000,14387000,-30055000,4011000,2758000,-9828000,263526000,239628000,-32523000,592826000,199563000,-335576000,-277832000,1059076000,-1127064000,-80498000,-21664000,51059000,-67709000,-17248000,97157000,-21524304000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,1400000,1700000,200000,900000,1300000,400000,2900000,14800000,24200000,11878000,12769000,-23988000,13532000,19580000,50762000,64824000,87054000,54070000,39753000,36377000,28071000,6768000,28692000,80637000,171394000,236652000,227461000,290002000,304037000,336607000,382483000
84,CAPEX,- -,- -,- -,- -,- -,- -,-900000,-100000,-1500000,-200000,-300000,-100000,-500000,-500000,-100000,-495000,-183000,-5000,-26000,-119000,-23000,- -,-788000,-35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
