,https://roic.ai/company/FUNC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47764000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,33900000,30500000,32500000,33100000,37300000,39300000,43400000,47200000,54800000,63148000,62624000,57591000,57703000,60682000,69756000,80269000,93565000,95216000,85342000,70747000,59496000,53111000,49914000,46386000,45032000,45863000,46949000,52294000,57920000,58201000,58256000
13,Interest Expense (Gain),17600000,12800000,11400000,11300000,14700000,16400000,19000000,21900000,27100000,35039000,33378000,25702000,23601000,24016000,29413000,39335000,49331000,43043000,32104000,29164000,21206000,13965000,11732000,10870000,9407000,8223000,7371000,8112000,11529000,9655000,5714000
14,Depreciation and Amortization,800000,1500000,2200000,1600000,1500000,1600000,1300000,1800000,1400000,1533000,1569000,1748000,4273000,4027000,3557000,2990000,3237000,3518000,3800000,3247000,2617000,1992000,2043000,1938000,1768000,1693000,1898000,2435000,3392000,3554000,3269000
15,EBITDA,25300000,22300000,22800000,22100000,24600000,27600000,30200000,35100000,40600000,48645000,47805000,40800000,43189000,39177000,51669000,60645000,71107000,59005000,16084000,14197000,26814000,21533000,22443000,19676000,27118000,19980000,21483000,23978000,31386000,30997000,35292000
16,EBITDA ratio,1.3457,1.1040,0.9268,0.8633,0.9145,0.9928,0.9934,1.1108,1.1633,1.3413,1.2206,0.9977,0.9395,0.7893,0.9493,1.1031,1.1986,0.8948,0.2322,0.2817,0.4963,0.3988,0.4403,0.3960,0.5826,0.3820,0.3988,0.4035,0.4968,0.4608,0.4791
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20714000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2812
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5595000
20,Income Before Tax,6900000,8000000,9200000,9200000,8400000,9600000,9900000,11400000,12100000,12073000,12858000,13350000,15315000,11134000,18699000,18320000,18539000,12444000,-19820000,-18214000,2991000,5576000,8668000,6868000,15943000,10064000,12214000,13431000,16465000,17788000,26309000
21,Income Before Tax Ratio,0.3670,0.3960,0.3740,0.3594,0.3123,0.3453,0.3257,0.3608,0.3467,0.3329,0.3283,0.3264,0.3332,0.2243,0.3435,0.3332,0.3125,0.1887,-0.2862,-0.3614,0.0554,0.1033,0.1701,0.1382,0.3425,0.1924,0.2268,0.2260,0.2606,0.2644,0.3572
22,Income Tax expense (Gain),2100000,2500000,3200000,3000000,2800000,3100000,3300000,4000000,4100000,3762000,3689000,3695000,4566000,3507000,6548000,5743000,5746000,3573000,-8496000,-8017000,-635000,913000,2222000,1271000,5067000,2783000,6945000,2764000,3336000,3947000,6539000
23,Net Income,4800000,5500000,6000000,6200000,5600000,6500000,6600000,7400000,8000000,8311000,9169000,9655000,10749000,7627000,12151000,12577000,12793000,8871000,-11324000,-10197000,3626000,4663000,6446000,5597000,10876000,7281000,5269000,10667000,13129000,13841000,19770000
24,Net Income ratio,0.2553,0.2723,0.2439,0.2422,0.2082,0.2338,0.2171,0.2342,0.2292,0.2292,0.2341,0.2361,0.2338,0.1537,0.2232,0.2288,0.2156,0.1345,-0.1635,-0.2023,0.0671,0.0864,0.1265,0.1126,0.2337,0.1392,0.0978,0.1795,0.2078,0.2057,0.2684
25,EPS,0.88,1.02,0.92,0.95,0.85,0.99,1.04,1.19,1.29,1.36,1.50,1.58,1.76,1.24,1.97,2.03,2.06,1.44,-2.06,-1.90,0.33,0.48,0.74,0.48,1.30,0.84,0.58,1.51,1.85,2.04,2.95
26,EPS Diluted,0.88,1.02,0.92,0.95,0.85,0.99,1.04,1.19,1.29,1.36,1.50,1.58,1.76,1.24,1.97,2.03,2.06,1.44,-2.06,-1.90,0.33,0.48,0.74,0.48,1.30,0.84,0.58,1.51,1.85,2.04,2.95
27,Weighted Average Shares Outstanding,5434301,5380442,6500710,6494595,6561181,6549465,6333549,6213595,6200677,6112589,6118395,6118537,6119096,6134699,6152163,6176258,6195919,6159326,6168776,6202489,6224192,6240908,6254052,6269792,6296383,6264209,6932000,7079000,7110022,6992911,6701695
28,Weighted Average Shares Outstanding Diluted,5434301,5380442,6500710,6577454,6561181,6549465,6399685,6282745,6217168,6127276,6118395,6118537,6119096,6134699,6152163,6176258,6195919,6159519,6168776,6202489,6224192,6240908,6254052,6269792,6296383,6264209,6932000,7079000,7110022,6992911,6701695
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763907/000076390795000008/0000763907-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/763907/000076390796000001/0000763907-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/763907/0000763907-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763907/000076390701500010/0000763907-01-500010-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/763907/000116923204001734/0001169232-04-001734-index.html,- -,https://www.sec.gov/Archives/edgar/data/763907/000114420406010044/0001144204-06-010044-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420407012641/0001144204-07-012641-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420408014719/0001144204-08-014719-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420409012382/0001144204-09-012382-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420410013166/0001144204-10-013166-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000121390011001190/0001213900-11-001190-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420412014876/0001144204-12-014876-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420413015491/0001144204-13-015491-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420414014592/0001144204-14-014592-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420415014886/0001144204-15-014886-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420416086953/0001144204-16-086953-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420417013512/0001144204-17-013512-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420418013891/0001144204-18-013891-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420419013540/0001144204-19-013540-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000156276220000119/0001562762-20-000119-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000156276221000134/0001562762-21-000134-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000155837022004382/0001558370-22-004382-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25200000,20400000,14700000,14500000,16000000,16300000,17600000,13600000,41700000,36055000,23994000,24449000,21746000,26014000,29611000,25788000,25802000,19305000,189671000,299313000,65107000,83068000,43063000,35451000,52141000,63310000,83752000,23541000,49979000,149432000,109823000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223273000,336589000,221117000,170232000,140000000,146470000,137641000,131305000,226885000,286771000
33,Cash and Short-Term Investments,25200000,20400000,14700000,14500000,16000000,16300000,17600000,13600000,41700000,36055000,23994000,24449000,21746000,26014000,29611000,25788000,25802000,19305000,189671000,299313000,65107000,306341000,379652000,256568000,222373000,203310000,230222000,161182000,181284000,376317000,396594000
34,Net Receivables,5000000,- -,4600000,6200000,6900000,7400000,8900000,12000000,20700000,20942000,34691000,31913000,36109000,18949000,22811000,21700000,27368000,31423000,59091000,44859000,28715000,25010000,28830000,21853000,19495000,21115000,25802000,20645000,16063000,19617000,4821000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,794711000,937581000,986834000,994672000,1074864000,1186335000,1174230000,1074941000,1006762000,721660000,546623000,686676000,769596000,818432000,802828000,922179000,967021000,992057000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,852566000,982544000,1039256000,1042160000,1128034000,1237063000,1422992000,1419113000,1100584000,1053011000,955105000,965097000,1011464000,1042857000,1058852000,1104006000,1164368000,1387991000,401415000
38,PP&E,5400000,5300000,8000000,9400000,9600000,9300000,9300000,9100000,9800000,10831000,11527000,13163000,16598000,23523000,27049000,29852000,31407000,31124000,31719000,32945000,30826000,29455000,26905000,25629000,25198000,27160000,30881000,37855000,41371000,39271000,2247000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11004000,11004000,11004000,11004000,11004000,11004000,11004000,11004000,11004000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15462000,15149000,14591000,14033000,14560000,16322000,15241000,14700000,14432000,11004000,11004000,11004000,11004000,11004000,11004000,11004000,11004000,11004000,12052000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224394000,223615000,210661000,230095000,263272000,304908000,354595000,273784000,229687000,245023000,227313000,340489000,330566000,275792000,237169000,240102000,231651000,225284000,295148000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6857000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255675000,249333000,271735000,307157000,350875000,402041000,320744000,277332000,290281000,267772000,378398000,367199000,311994000,275333000,281987000,280510000,277659000,345423000,21156000
46,Other Assets,349000000,361600000,423400000,459000000,487200000,523600000,569000000,641100000,793300000,847589000,818113000,953677000,1363916000,1481210000,1582726000,1656474000,1829784000,2041145000,2064480000,1973777000,1681146000,1588555000,1711901000,1699495000,1635452000,1593523000,1622826000,1665026000,1719686000,2078837000,1349579000
47,Total Assets,349000000,361600000,423400000,459000000,487200000,523600000,569000000,641100000,793300000,847589000,818113000,953677000,1108241000,1231877000,1310991000,1349317000,1478909000,1639104000,1743736000,1696445000,1390865000,1320783000,1333503000,1332296000,1323458000,1318190000,1340839000,1384516000,1442027000,1733414000,1729838000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9220000,8086000,11623000,14202000,12895000,14529000,- -,- -,- -,23002000,28412000,19567000,20528000,22526000,23285000,20649000,20235000,26044000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71840000,110232000,121939000,99379000,88924000,50495000,47563000,39139000,36868000,- -,- -,- -,- -,- -,- -,40000000,- -,- -,60460000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,759100000,724000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,759100000,724000000,- -,81060000,118318000,133562000,113581000,101819000,65024000,47563000,39139000,36868000,- -,- -,- -,- -,- -,- -,60649000,- -,- -,60460000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191735000,175415000,128373000,166330000,178451000,277403000,270544000,243100000,207044000,182735000,182672000,182606000,147537000,131737000,120929000,100929000,104168000,103887000,30929000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,23000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1496549000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,23000000,- -,191735000,175415000,128373000,166330000,178451000,277403000,270544000,243100000,207044000,182735000,182672000,182606000,147537000,131737000,120929000,100929000,104168000,103887000,1527478000
59,Other Liabilities,312800000,321800000,375000000,407900000,431700000,466800000,512300000,582600000,735200000,- -,46037000,874394000,1134725000,1202618000,1213763000,1305210000,1450876000,1778793000,1866151000,1804766000,1464385000,1404613000,1414835000,1405903000,1350224000,1336229000,1353378000,1307730000,1420255000,1706254000,1587938000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3239000,2958000,- -
61,Total Liabilities,312800000,321800000,375000000,407900000,431700000,466800000,512300000,582600000,735200000,782078000,747037000,874394000,1024050000,1145521000,1218952000,1252461000,1374244000,1566414000,1643170000,1600805000,1294209000,1221878000,1232163000,1223297000,1202687000,1204492000,1232449000,1267450000,1316087000,1602367000,1587938000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29798000,29860000,29925000,29994000,30000000,30000000,20000000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,62000,62000,62000,62000,62000,63000,63000,71000,71000,71000,70000,66000
64,Retained Earnings,16800000,20300000,25300000,29400000,32100000,29900000,32900000,36600000,40700000,45132000,50254000,55743000,62201000,65405000,73012000,80927000,88859000,93092000,76120000,64179000,66196000,69168000,73836000,77375000,85551000,92922000,101359000,109477000,119481000,129691000,145487000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3280000,1605000,437000,-1980000,-5580000,-5655000,-40983000,-26659000,-19821000,-20962000,-21823000,-24213000,-20233000,-16829000,-21465000,-24593000,-24403000,-25971000,-28863000,-27314000
66,Other Total Stockholders Equity,19400000,19500000,23100000,21700000,23400000,26900000,23800000,21900000,17300000,20318000,20761000,20199000,20324000,20453000,20946000,21448000,21400000,20520000,51044000,21422000,21500000,21573000,21661000,21795000,21986000,22178000,31553000,31921000,32359000,30149000,23661000
67,Total Stockholders Equity,36200000,39800000,48400000,51100000,55500000,56800000,56700000,58500000,58100000,65511000,71076000,79283000,84191000,86356000,92039000,96856000,104665000,72690000,100566000,95640000,96656000,98905000,101340000,108999000,120771000,113698000,108390000,117066000,125940000,131047000,141900000
68,Total Liabilities And Stockholders Equity,349000000,361600000,423400000,459000000,487200000,523600000,569000000,641100000,793300000,847589000,818113000,953677000,1108241000,1231877000,1310991000,1349317000,1478909000,1639104000,1743736000,1696445000,1390865000,1320783000,1333503000,1332296000,1323458000,1318190000,1340839000,1384516000,1442027000,1733414000,1729838000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,349000000,361600000,423400000,459000000,487200000,523600000,569000000,641100000,793300000,847589000,818113000,953677000,1108241000,1231877000,1310991000,1349317000,1478909000,1639104000,1743736000,1696445000,1390865000,1320783000,1333503000,1332296000,1323458000,1318190000,1340839000,1384516000,1442027000,1733414000,1729838000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763907/000076390795000008/0000763907-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/763907/000076390796000001/0000763907-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/763907/0000763907-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763907/000076390701500010/0000763907-01-500010-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/763907/000116923204001734/0001169232-04-001734-index.html,- -,https://www.sec.gov/Archives/edgar/data/763907/000114420406010044/0001144204-06-010044-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420407012641/0001144204-07-012641-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420408014719/0001144204-08-014719-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420409012382/0001144204-09-012382-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420410013166/0001144204-10-013166-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000121390011001190/0001213900-11-001190-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420412014876/0001144204-12-014876-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420413015491/0001144204-13-015491-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420414014592/0001144204-14-014592-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420415014886/0001144204-15-014886-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420416086953/0001144204-16-086953-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420417013512/0001144204-17-013512-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420418013891/0001144204-18-013891-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000114420419013540/0001144204-19-013540-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000156276220000119/0001562762-20-000119-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000156276221000134/0001562762-21-000134-index.htm,https://www.sec.gov/Archives/edgar/data/763907/000155837022004382/0001558370-22-004382-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4800000,5500000,6000000,6200000,5600000,6500000,6600000,7400000,8000000,8311000,9169000,9655000,10749000,7627000,12151000,12577000,12793000,8871000,-11324000,-10197000,3626000,4663000,6446000,5597000,10876000,7281000,5269000,10667000,13129000,13841000,19770000
74,Depreciation and Amortization,800000,1500000,2200000,1600000,1500000,1600000,1300000,1800000,1400000,1533000,1569000,1748000,4273000,4027000,3557000,2990000,3237000,3518000,3800000,3247000,2617000,1992000,2043000,1938000,1768000,1693000,1898000,2435000,3392000,3554000,3269000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3147000,-9040000,-1839000,-1538000,400000,1288000,636000,3855000,2117000,9257000,1338000,953000,527000,550000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000,70000,78000,73000,88000,134000,191000,192000,192000,249000,268000,345000,472000
77,Change in Working Capital,700000,- -,- -,- -,- -,- -,- -,- -,- -,-759100000,35100000,724000000,771506000,92720000,41468000,22885000,97636000,145824000,203390000,4545000,-316258000,-10705000,-97906000,9992000,46367000,31393000,15995000,-15495000,121011000,223623000,-1047036000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11587000,1785000,1488000,6993000,2817000,-5472000,-7848000,367000,-190000,-6830000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3797000,4046000,-1042000,4285000,-13066000,-1143000,4388000,3524000,1814000,900000,5010000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-759100000,-724000000,- -,771506000,864226000,905694000,928579000,1026215000,1172039000,1375429000,1379974000,1063716000,1053011000,955105000,965097000,1011464000,1042857000,1058852000,1043357000,1164368000,1387991000,340955000
82,Other Non-Cash Items,700000,2400000,800000,-3000000,-1200000,2200000,-700000,-1700000,-3800000,761679000,-46474000,-722683000,-776139000,-96198000,-10468000,-25357000,-99182000,-137624000,-182016000,146817000,374511000,18782000,106717000,-14410000,-40858000,-30997000,-19687000,19100000,-122363000,-225721000,1022975000
83,Cash Provided by Operating Activities,7000000,9400000,9000000,4800000,5900000,10300000,7200000,7500000,5600000,12423000,-636000,12720000,10389000,8176000,46708000,13095000,14484000,17442000,4794000,142643000,63036000,15205000,18676000,3887000,22199000,11679000,12924000,18294000,16390000,16169000,- -
84,CAPEX,-600000,-500000,-2100000,-2200000,-1400000,-1000000,-1400000,-1400000,-2200000,-2617000,-2293000,-3384000,-4200000,-9288000,-5542000,-5287000,-4135000,-2551000,-3314000,-3862000,-236000,-1280000,-941000,-720000,-1371000,-3924000,-6561000,-9483000,-3973000,-1604000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66040000,- -,- -,- -,-680000,-2446000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-39000000,-42300000,-71200000,-68200000,-111500000,-78500000,-65300000,-71200000,-264500000,-210983000,-235835000,-160806000,-277588000,-129912000,-139118000,-89574000,-163489000,-236880000,-81870000,-201409000,-178333000,-98787000,-205083000,-160499000,-51349000,-65670000,-44784000,-10566000,-47514000,-205737000,-127526000
87,Sales/Maturities of Investments,31700000,39100000,70500000,51900000,112200000,64300000,81000000,65300000,185500000,211143000,278417000,74570000,266243000,141258000,116194000,59282000,116801000,130231000,156348000,126749000,166434000,116782000,80527000,188585000,110143000,101503000,44022000,19634000,56549000,135799000,-100000
88,Other Investing Activites,4800000,-16800000,-17100000,-21300000,-26400000,-23900000,-60400000,-69500000,-63400000,-49595000,2950000,-64056000,-76919000,-133952000,-89140000,-10852000,-84306000,-99109000,-1487000,85786000,27082000,58861000,61941000,-29748000,-38662000,-20201000,-333000,-113297000,-37584000,-119739000,99201000
89,Cash Used for Investing Activites,-2500000,-20000000,-17800000,-37600000,-25700000,-38100000,-44700000,-75400000,-142400000,-49435000,45532000,-150292000,-22224000,-122606000,-112064000,-41144000,-131674000,-208204000,69677000,7264000,14947000,75576000,-63556000,-2382000,18761000,11708000,-7656000,-113712000,-32522000,-191281000,-28425000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,23000000,- -,- -,- -,-7037000,-52249000,- -,-17043000,-61379000,-16048000,-16983000,-39477000,-36056000,-44309000,-63000,-66000,-35069000,-15800000,-10808000,-20000000,- -,- -,-70000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488000,48000,- -,- -,- -,- -,1000,- -,9191000,119000,170000,198000,215000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-20000000,- -,- -,-2754000,- -
93,Dividends Paid,-2300000,-2000000,-2900000,-2100000,-3000000,-4200000,-3600000,-3800000,-3800000,-3896000,-4011000,-4136000,-4262000,-4384000,-4544000,-4662000,-4796000,-4774000,-6079000,-1925000,- -,- -,- -,-9096000,-2700000,-2025000,-1215000,-1911000,-3125000,-3646000,-3891000
94,Other Financing Activites,-3700000,7800000,3100000,34600000,24300000,32300000,42500000,67700000,125400000,46335000,-35104000,127248000,25164000,174950000,70351000,48469000,184356000,205691000,118469000,1089000,-276133000,-28511000,4938000,45000,13498000,15607000,38006000,56999000,45525000,280767000,48368000
95,Cash Used/Provided by Financing Activities,-6000000,5800000,200000,32500000,21300000,28100000,38900000,63900000,144600000,42439000,-39115000,123112000,13865000,118317000,65807000,26764000,118181000,184869000,95895000,-40265000,-312189000,-72820000,4875000,-9117000,-24270000,-12218000,15174000,35207000,42570000,274565000,-25308000
