,https://roic.ai/company/ATR,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,370300000,411500000,474300000,557500000,615800000,655400000,713500000,834300000,883481000,891986000,926691000,1114689000,1296608000,1380009000,1601385000,1892167000,2071685000,1841616000,2076719000,2337183000,2331036000,2520013000,2597809000,2317149000,2330934000,2469283000,2764761000,2859732000,2929340000,3227221000
2,COGS,244900000,262500000,301500000,358400000,399700000,418100000,444600000,519700000,553642000,562814000,593723000,732038000,866865000,927585000,1086269000,1283773000,1411275000,1225670000,1378792000,1568286000,1590365000,1708936000,1755266000,1502650000,1498070000,1604181000,1812961000,1818398000,1842821000,2070538000
3,Gross Profit,125400000,149000000,172800000,199100000,216100000,237300000,268900000,314600000,329839000,329172000,332968000,382651000,429743000,452424000,515116000,608394000,660410000,615946000,697927000,768897000,740671000,811077000,842543000,814499000,832864000,865102000,951800000,1041334000,1086519000,1156683000
4,Gross Profit Ratio,0.3386,0.3621,0.3643,0.3571,0.3509,0.3621,0.3769,0.3771,0.3733,0.3690,0.3593,0.3433,0.3314,0.3278,0.3217,0.3215,0.3188,0.3345,0.3361,0.3290,0.3177,0.3219,0.3243,0.3515,0.3573,0.3503,0.3443,0.3641,0.3709,0.3584
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,63300000,75800000,85700000,96200000,104300000,108400000,119300000,137500000,145000000,146137000,148348000,171604000,194366000,203389000,238907000,274196000,300846000,276989000,296861000,347629000,341634000,364747000,383909000,351461000,367562000,388281000,429955000,454617000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",63300000,75800000,85700000,96200000,104300000,108400000,119300000,137500000,145000000,146137000,148348000,171604000,194366000,203389000,238907000,274196000,300846000,276989000,296861000,347629000,341634000,364747000,383909000,351461000,367562000,388281000,429955000,454617000,500229000,551242000
9,Other Expenses,26200000,32100000,38400000,43500000,47900000,49900000,54400000,68700000,70949000,81167000,77547000,85851000,94493000,99242000,114606000,123466000,131145000,133013000,132959000,134243000,137022000,149956000,152218000,138893000,154802000,153094000,171747000,194552000,220300000,234853000
10,Operating Expenses,89500000,107900000,124100000,139700000,152200000,158300000,173700000,206200000,215949000,227304000,225895000,257455000,288859000,302631000,353513000,397662000,431991000,410002000,429820000,481872000,478656000,514703000,536127000,490354000,522364000,541375000,601702000,649169000,720529000,786095000
11,COGS and Expenses,334400000,370400000,425600000,498100000,551900000,576400000,618300000,725900000,769591000,790118000,819618000,989493000,1155724000,1230216000,1439782000,1681435000,1843266000,1635672000,1808612000,2050158000,2069021000,2223639000,2291393000,1993004000,2020434000,2145556000,2414663000,2467567000,2563350000,2856633000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13120000,3333000,3248000,5722000,2996000,3233000,4797000,5596000,2643000,5470000,7056000,4174000,958000,3668000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18687000,16485000,14371000,17300000,18950000,20514000,21029000,34615000,35237000,40597000,32626000,35489000,33244000,30284000
14,Depreciation and Amortization,26200000,32100000,38400000,43500000,47900000,49900000,54400000,68700000,70949000,73584000,72141000,85851000,94493000,99242000,114606000,123466000,131145000,133013000,132959000,134243000,137022000,149956000,152218000,138893000,154802000,153094000,171747000,194552000,220300000,234853000
15,EBITDA,57200000,68300000,81800000,101100000,108000000,128500000,153600000,160500000,168871000,161875000,170499000,203121000,231670000,241195000,262912000,325693000,370800000,333582000,401607000,426538000,397537000,434921000,459582000,468132000,470522000,488517000,470372000,572085000,554649000,587251000
16,EBITDA ratio,0.1545,0.1660,0.1725,0.1813,0.1754,0.1961,0.2153,0.1924,0.1911,0.1815,0.1840,0.1822,0.1787,0.1748,0.1642,0.1721,0.1790,0.1811,0.1934,0.1825,0.1705,0.1726,0.1769,0.2020,0.2019,0.1978,0.1701,0.2000,0.1893,0.1820
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258913000,284574000,306416000,324145000,310500000,321519000,286269000,371693000,339498000,347348000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1111,0.1129,0.1180,0.1399,0.1332,0.1302,0.1035,0.1300,0.1159,0.1076
19,Total Other Income Expenses (Gains),-4900000,-6300000,-5300000,-1800000,-3800000,-400000,4000000,-16600000,-15968000,-13513000,-8715000,-7926000,-3707000,-7840000,-13297000,-10737000,-7451000,-21886000,-13722000,-12083000,-17540000,-20191000,-20115000,-29574000,-30003000,-26694000,-20249000,-29624000,-38343000,-25693000
20,Income Before Tax,31000000,34800000,43400000,57600000,60100000,78600000,99200000,91800000,97922000,88355000,98358000,117270000,137177000,141953000,148306000,199995000,220968000,184058000,254385000,274942000,241373000,264383000,286301000,294571000,280497000,294825000,266020000,342069000,301155000,321655000
21,Income Before Tax Ratio,0.0837,0.0846,0.0915,0.1033,0.0976,0.1199,0.1390,0.1100,0.1108,0.0991,0.1061,0.1052,0.1058,0.1029,0.0926,0.1057,0.1067,0.0999,0.1225,0.1176,0.1035,0.1049,0.1102,0.1271,0.1203,0.1194,0.0962,0.1196,0.1028,0.0997
22,Income Tax expense (Gain),11500000,13200000,16100000,21900000,22600000,32100000,38400000,33100000,33256000,29447000,31711000,37591000,43890000,41919000,45410000,60488000,67473000,59461000,80796000,91312000,78953000,92457000,94677000,95276000,74893000,74796000,71254000,99842000,87065000,78017000
23,Net Income,19500000,23000000,27300000,35700000,37500000,46500000,60800000,58700000,64666000,58844000,66647000,79679000,93287000,100034000,102896000,141739000,153495000,124623000,173481000,183683000,162612000,171994000,191658000,199348000,205590000,220030000,194745000,242202000,214040000,244097000
24,Net Income ratio,0.0527,0.0559,0.0576,0.0640,0.0609,0.0709,0.0852,0.0704,0.0732,0.0660,0.0719,0.0715,0.0719,0.0725,0.0643,0.0749,0.0741,0.0677,0.0835,0.0786,0.0698,0.0683,0.0738,0.0860,0.0882,0.0891,0.0704,0.0847,0.0731,0.0756
25,EPS,0.29,0.36,0.41,0.50,0.52,0.65,0.84,0.81,0.90,0.82,0.93,1.10,1.29,1.42,1.48,2.06,2.26,1.84,2.58,2.76,2.45,2.60,2.95,3.19,3.27,3.52,3.12,3.81,3.32,3.79
26,EPS Diluted,0.29,0.36,0.41,0.49,0.52,0.64,0.82,0.80,0.89,0.81,0.91,1.08,1.25,1.39,1.44,1.98,2.18,1.79,2.48,2.65,2.38,2.52,2.85,3.09,3.17,3.41,3.00,3.66,3.21,3.66
