,https://roic.ai/company/BEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,63300000,143100000,206700000,202600000,253300000,287900000,318400000,385000000,640700000,826871000,845803000,1522568000,2163275000,2577272000,2262497000,2340140000,2354843000,2518532000,2624448000,3438208000,4310098000,5050726000,6205769000,6032386000,4194087000,5852999000,7140039000,7101000000,7985000000,8491400000,7948700000,6618000000,6392200000,6319100000,5774500000,5566500000,8425500000
2,COGS,- -,- -,- -,- -,- -,33200000,36600000,- -,7300000,18400000,22600000,520200000,- -,- -,- -,- -,636900000,- -,760800000,1035100000,1406100000,1641400000,- -,1937113000,1352022000,2003465000,2712814000,2739700000,4426600000,4556100000,4215600000,3570800000,3464600000,3430300000,3404300000,3577000000,5077100000
3,Gross Profit,- -,- -,- -,- -,- -,254700000,281800000,- -,633400000,808471000,823203000,1002368000,- -,- -,- -,- -,1717943000,- -,1863648000,2403108000,2903998000,3409326000,- -,4095273000,2842065000,3849534000,4427225000,4361300000,3558400000,3935300000,3733100000,3047200000,2927600000,2888800000,2370200000,1989500000,3348400000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.8847,0.8851,- -,0.9886,0.9777,0.9733,0.6583,- -,- -,- -,- -,0.7295,- -,0.7101,0.6989,0.6738,0.6750,- -,0.6789,0.6776,0.6577,0.6201,0.6142,0.4456,0.4634,0.4696,0.4604,0.4580,0.4572,0.4105,0.3574,0.3974
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135391000,181665000,212495000,213670000,263297000,294161000,285329000,273540000,286866000,302341000,317938000,- -,- -,- -,173138000,182900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,93800000,102800000,120700000,329600000,360548000,389219000,147963000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441643000,1232709000,1376550000,1594260000,1533300000,637100000,714100000,705500000,681500000,663300000,770200000,812800000,886600000,1241400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,69073000,70138000,71655000,96552000,125925000,105935000,101196000,106261000,106877000,92399000,112017000,137298000,156460000,189382000,184309000,116129000,158458000,2712814000,- -,- -,- -,- -,- -,- -,- -,- -,1703000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,93800000,102800000,120700000,329600000,429621000,459357000,219618000,96552000,125925000,105935000,101196000,106261000,106877000,92399000,112017000,137298000,156460000,189382000,1625952000,1348838000,1535008000,4307074000,1533300000,637100000,714100000,705500000,681500000,663300000,770200000,812800000,2589600000,1241400000
9,Other Expenses,-37200000,-76400000,-92600000,-92900000,-112100000,4400000,4700000,-167500000,24300000,27667000,18305000,343483000,627544000,785880000,726457000,738687000,836422000,815758000,837801000,1086715000,1191421000,1248743000,1470271000,370319000,290633000,355846000,-2712814000,- -,- -,- -,- -,- -,- -,- -,- -,-1649000000,232000000
