,https://roic.ai/company/AIT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,490200000,491000000,542900000,630300000,651300000,814000000,817800000,831400000,936300000,1054800000,1143700000,1160300000,1491400000,1527900000,1571705000,1625755000,1446569000,1464367000,1517004000,1717055000,1900780000,2014109000,2089456000,1923148000,1893208000,2212849000,2375445000,2462171000,2459878000,2751561000,2519428000,2593746000,3073274000,3472739000,3245652000,3235919000
2,COGS,350400000,358300000,390600000,460300000,481600000,589200000,594900000,600500000,670600000,769100000,833300000,840600000,1078500000,1122500000,1157127000,1216456000,1080879000,1085072000,1114861000,1262206000,1386895000,1466057000,1520173000,1403138000,1377486000,1599739000,1720973000,1779209000,1772952000,1981747000,1812006000,1856051000,2189279000,2465116000,2307916000,2300395000
3,Gross Profit,139800000,132700000,152300000,170000000,169700000,224800000,222900000,230900000,265700000,285700000,310400000,319700000,412900000,405400000,414578000,409299000,365690000,379295000,402143000,454849000,513885000,548052000,569283000,520010000,515722000,613110000,654472000,682962000,686926000,769814000,707422000,737695000,883995000,1007623000,937736000,935524000
4,Gross Profit Ratio,0.2852,0.2703,0.2805,0.2697,0.2606,0.2762,0.2726,0.2777,0.2838,0.2709,0.2714,0.2755,0.2769,0.2653,0.2638,0.2518,0.2528,0.2590,0.2651,0.2649,0.2704,0.2721,0.2725,0.2704,0.2724,0.2771,0.2755,0.2774,0.2793,0.2798,0.2808,0.2844,0.2876,0.2902,0.2889,0.2891
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,112700000,111100000,119000000,127800000,132300000,196600000,205700000,197700000,224200000,234800000,245800000,255400000,333400000,340300000,333873000,354298000,334856000,343041000,350695000,366881000,398293000,413041000,416459000,410912000,405672000,462347000,486077000,506563000,522568000,585195000,553827000,563105000,658168000,742241000,717980000,680246000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",112700000,111100000,119000000,127800000,132300000,196600000,205700000,197700000,224200000,234800000,245800000,255400000,333400000,340300000,333873000,354298000,334856000,343041000,350695000,366881000,398293000,413041000,416459000,410912000,405672000,462347000,486077000,506563000,522568000,585195000,553827000,563105000,658168000,742241000,717980000,680246000
9,Other Expenses,7100000,7700000,8300000,8800000,8200000,11100000,12600000,12800000,13600000,14000000,15400000,13600000,21000000,22700000,22988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,119800000,118800000,127300000,136600000,140500000,207700000,218300000,210500000,237800000,248800000,261200000,269000000,354400000,363000000,356861000,354298000,334856000,343041000,350695000,366881000,398293000,413041000,416459000,410912000,405672000,462347000,486077000,506563000,522568000,585195000,553827000,563105000,658168000,742241000,717980000,680246000
11,COGS and Expenses,470200000,477100000,517900000,596900000,622100000,796900000,813200000,811000000,908400000,1017900000,1094500000,1109600000,1432900000,1485500000,1513988000,1570754000,1415735000,1428113000,1465556000,1629087000,1785188000,1879098000,1936632000,1814050000,1783158000,2062086000,2207050000,2285772000,2295520000,2566942000,2365833000,2419156000,2847447000,3207357000,3025896000,2980641000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1099000,280000,413000,466000,456000,651000,252000,241000,290000,657000,600000,729000,215000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5523000,5738000,2081000,457000,621000,900000,8121000,9004000,8831000,24142000,40788000,37264000,30807000
