,https://roic.ai/company/MU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,75900000,48900000,91200000,300500000,446400000,333300000,425400000,506300000,828300000,1629000000,2952700000,3654000000,3516000000,3012000000,3764000000,7336300000,3936000000,2589000000,3091000000,4404000000,4880000000,5272000000,5688000000,5841000000,4803000000,8482000000,8788000000,8234000000,9073000000,16358000000,16192000000,12399000000,20322000000,30391000000,23406000000,21435000000,27705000000
2,COGS,45800000,43400000,69100000,100200000,191800000,177700000,242300000,285200000,378400000,789000000,1328700000,2198000000,2539000000,2732000000,2950000000,3949000000,3825000000,2700000000,2805000000,3090000000,3734000000,4072000000,4610000000,5896000000,5242000000,5768000000,7030000000,7266000000,7226000000,10921000000,10977000000,9894000000,11886000000,12500000000,12704000000,14883000000,17282000000
3,Gross Profit,30100000,5500000,22100000,200300000,254600000,155600000,183100000,221100000,449900000,840000000,1624000000,1456000000,977000000,280000000,814000000,3387300000,111000000,-111000000,286000000,1314000000,1146000000,1200000000,1078000000,-55000000,-439000000,2714000000,1758000000,968000000,1847000000,5437000000,5215000000,2505000000,8436000000,17891000000,10702000000,6552000000,10423000000
4,Gross Profit Ratio,0.3966,0.1125,0.2423,0.6666,0.5703,0.4668,0.4304,0.4367,0.5432,0.5157,0.5500,0.3985,0.2779,0.0930,0.2163,0.4617,0.0282,-0.0429,0.0925,0.2984,0.2348,0.2276,0.1895,-0.0094,-0.0914,0.3200,0.2000,0.1176,0.2036,0.3324,0.3221,0.2020,0.4151,0.5887,0.4572,0.3057,0.3762
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,128800000,192000000,209000000,272000000,322000000,427500000,490000000,561000000,656000000,755000000,604000000,656000000,805000000,680000000,647000000,624000000,791000000,918000000,931000000,1371000000,1540000000,1617000000,1824000000,2141000000,2441000000,2600000000,2663000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,198700000,289000000,365000000,468000000,486000000,666500000,524000000,332000000,358000000,332000000,348000000,460000000,- -,- -,354000000,528000000,592000000,620000000,563000000,708000000,720000000,659000000,743000000,813000000,836000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16900000,12700000,18000000,56000000,65800000,73500000,80900000,102300000,145200000,135700000,198700000,289400000,365000000,467900000,486000000,666500000,524100000,332300000,400200000,332600000,326000000,460000000,610000000,455000000,354000000,528000000,592000000,620000000,562000000,707000000,719000000,659000000,743000000,813000000,836000000,881000000,894000000
9,Other Expenses,18000000,21400000,22300000,25400000,38400000,78300000,90400000,105100000,138700000,-3700000,29000000,29600000,- -,34100000,53000000,- -,169900000,20700000,416800000,-22600000,-1000000,-265000000,-76000000,372000000,235000000,-464000000,-380000000,48000000,-1383000000,277000000,6000000,65000000,5000000,328000000,445000000,11000000,119000000
10,Operating Expenses,34900000,34100000,40300000,81400000,104200000,151800000,171300000,207400000,283900000,215000000,356500000,511000000,574000000,774000000,861000000,1094000000,1184000000,914000000,1473000000,1065000000,929000000,851000000,1339000000,1507000000,1236000000,688000000,1003000000,1586000000,110000000,2355000000,2265000000,2341000000,2572000000,3282000000,3722000000,3492000000,3676000000
11,COGS and Expenses,80700000,77500000,109400000,181600000,296000000,329500000,413600000,492600000,662300000,1004000000,1685200000,2709000000,3113000000,3506000000,3811000000,5043000000,5009000000,3614000000,4278000000,4155000000,4663000000,4923000000,5949000000,7403000000,6478000000,6456000000,8033000000,8852000000,7336000000,13276000000,13242000000,12235000000,14458000000,15782000000,16426000000,18375000000,20958000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,18000000,23000000,8000000,14000000,23000000,35000000,42000000,41000000,120000000,205000000,114000000,37000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000000,178000000,124000000,179000000,231000000,352000000,371000000,437000000,601000000,342000000,128000000,194000000,183000000
14,Depreciation and Amortization,- -,- -,- -,- -,38400000,78300000,90400000,105100000,138700000,181200000,199000000,363700000,461700000,606600000,843300000,994300000,1114400000,1177400000,1209900000,1217500000,1264500000,1281000000,1718000000,2060000000,2139000000,2005000000,2105000000,2141000000,1804000000,2103000000,2667000000,2980000000,3861000000,4759000000,5424000000,5650000000,6214000000
15,EBITDA,-6500000,-33900000,-22900000,118200000,204200000,81400000,96300000,114700000,301300000,807200000,1549500000,1314700000,1060700000,253600000,738300000,3295200000,935400000,361400000,-136100000,1300500000,1442500000,1707000000,1428000000,459000000,437000000,4052000000,2599000000,1271000000,3233000000,5628000000,6094000000,3160000000,9665000000,19404000000,12568000000,8811000000,12652000000
16,EBITDA ratio,-0.0856,-0.6933,-0.2511,0.3933,0.4574,0.2442,0.2264,0.2265,0.3638,0.4955,0.5248,0.3598,0.3017,0.0842,0.1961,0.4492,0.2377,0.1396,-0.0440,0.2953,0.2956,0.3238,0.2511,0.0786,0.0910,0.4777,0.2957,0.1544,0.3563,0.3441,0.3764,0.2549,0.4756,0.6385,0.5370,0.4111,0.4567
