,https://roic.ai/company/BIO-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,6000000,9500000,12700000,15200000,23700000,27500000,25700000,41500000,21300000,40800000,50300000,53200000,42300000,55200000,43900000,88042000,106269000,142405000,155688000,155477000,158345000,197427000,186842000,263302000,329993000,391455000,410097000,404374000,320835000,303588000,299339000,206402000,268419000,674721000,2418697000,5067599000,5573500000
16,EBITDA ratio,0.0587,0.0750,0.0796,0.0764,0.1003,0.0959,0.0827,0.1256,0.0648,0.1148,0.1268,0.1270,0.0991,0.1249,0.0799,0.1213,0.1300,0.1595,0.1552,0.1426,0.1341,0.1550,0.1279,0.1492,0.1849,0.2031,0.1978,0.1954,0.1504,0.1396,0.1482,0.0998,0.1243,0.2947,1.0463,1.9907,1.9071
17,Operating Income,8700000,11900000,16400000,19800000,21100000,24400000,22100000,14500000,10400000,36700000,39700000,41700000,26600000,31000000,48600000,66767000,112026000,137375000,145762000,108845000,115298000,146111000,135193000,182943000,230988000,284009000,295156000,257200000,169456000,149984000,166708000,53194000,116650000,-103341000,229661000,410957000,489430000
18,Operating Income ratio,0.0850,0.0940,0.1028,0.0995,0.0893,0.0851,0.0711,0.0439,0.0316,0.1033,0.1001,0.0996,0.0623,0.0702,0.0884,0.0920,0.1370,0.1539,0.1453,0.0999,0.0976,0.1147,0.0925,0.1037,0.1295,0.1474,0.1423,0.1243,0.0795,0.0690,0.0826,0.0257,0.0540,-0.0451,0.0993,0.1614,0.1675
19,Total Other Income Expenses (Gains),-2700000,-2400000,-3700000,-4600000,-5300000,-7200000,-8500000,13100000,-5700000,-12700000,-6100000,-5200000,-3800000,3200000,-32200000,-21324000,-47057000,-32970000,-32074000,-11518000,-21927000,-4084000,-14350000,-40100000,-45156000,-63726000,-59394000,-34269000,-57071000,-18427000,-20861000,-11634000,-18845000,616000000,2031420000,4496681000,4948719000
20,Income Before Tax,6000000,9500000,12700000,15200000,15800000,17200000,13600000,27600000,4700000,24000000,33600000,36500000,22800000,34200000,16400000,45443000,64969000,104405000,113688000,97327000,93371000,142027000,120843000,142843000,185832000,220283000,235762000,222931000,112385000,131557000,145847000,41560000,97805000,512659000,2261081000,4907638000,5438149000
21,Income Before Tax Ratio,0.0587,0.0750,0.0796,0.0764,0.0669,0.0600,0.0438,0.0836,0.0143,0.0675,0.0847,0.0872,0.0534,0.0774,0.0298,0.0626,0.0795,0.1170,0.1133,0.0893,0.0791,0.1115,0.0827,0.0810,0.1042,0.1143,0.1137,0.1077,0.0527,0.0605,0.0722,0.0201,0.0453,0.2239,0.9781,1.9279,1.8608
22,Income Tax expense (Gain),1700000,3400000,5000000,5700000,5700000,6500000,5400000,12000000,1900000,8400000,8400000,9100000,6400000,9900000,4700000,13633000,20790000,36542000,37517000,31035000,15792000,38764000,26548000,44579000,36667000,33348000,57739000,59084000,34574000,42712000,32754000,13435000,-24444000,147045000,502406000,1101371000,1192247000
23,Net Income,4300000,6100000,7700000,9500000,10100000,10700000,8200000,15600000,2800000,15600000,25200000,26200000,16400000,24300000,11700000,31100000,44179000,67863000,76171000,68242000,81553000,103263000,92994000,89510000,144620000,185490000,178223000,163778000,77790000,88845000,113093000,28125000,122249000,365614000,1758675000,3806267000,4245902000
24,Net Income ratio,0.0420,0.0482,0.0483,0.0478,0.0427,0.0373,0.0264,0.0472,0.0085,0.0439,0.0635,0.0626,0.0384,0.0550,0.0213,0.0428,0.0540,0.0760,0.0759,0.0626,0.0691,0.0811,0.0636,0.0507,0.0811,0.0963,0.0860,0.0791,0.0365,0.0408,0.0560,0.0136,0.0566,0.1597,0.7608,1.4952,1.4528
