,https://roic.ai/company/FE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2821400000,5861200000,6319700000,7028961000,7999362000,12151997000,12307000000,12453000000,11989000000,11501000000,12802000000,13627000000,12967000000,13339000000,16258000000,15303000000,14917000000,15049000000,15026000000,14562000000,14017000000,11261000000,11035000000,10790000000,11132000000
2,COGS,486300000,983700000,877000000,801292000,2241556000,4265726000,5155000000,4469000000,4011000000,4253000000,5014000000,5631000000,5883000000,6056000000,7303000000,6708000000,6459000000,6996000000,6173000000,5479000000,4577000000,3647000000,3424000000,3070000000,3445000000
3,Gross Profit,2335100000,4877500000,5442700000,6227669000,5757806000,7886271000,7152000000,7984000000,7978000000,7248000000,7788000000,7996000000,7084000000,7283000000,8955000000,8595000000,8458000000,8053000000,8853000000,9083000000,9440000000,7614000000,7611000000,7720000000,7687000000
4,Gross Profit Ratio,0.8276,0.8322,0.8612,0.8860,0.7198,0.6490,0.5811,0.6411,0.6654,0.6302,0.6083,0.5868,0.5463,0.5460,0.5508,0.5617,0.5670,0.5351,0.5892,0.6237,0.6735,0.6761,0.6897,0.7155,0.6905
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000000,-256000000,835000000,242000000,147000000,141000000,144000000,674000000,477000000,-382000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2850000000,3909000000,609000000,-256000000,835000000,242000000,147000000,141000000,144000000,674000000,477000000,-382000000
9,Other Expenses,1595400000,3513500000,3907300000,4722762000,4072684000,5704088000,5513000000,5773000000,5912000000,5142000000,5497000000,5550000000,5205000000,2244000000,2428000000,6185000000,6312000000,6156000000,6277000000,6533000000,6721000000,5112000000,5101000000,5558000000,5840000000
