,https://roic.ai/company/TT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,312156863,300937500,306060606,310800000,320952381,311428571,310515464,312533333,313186813,317443609,318000000,322522523,326609442,327395498,327479224,320518000,330469799,336893204,341909814,346714083,337884615,319659443,290813783,300600000,321100000,324700000,297140982,295583174,282700041,262899321,261251517,259006320,249479157,241905293,238305042,238808388,238808388
28,Weighted Average Shares Outstanding Diluted,312156863,305714286,306060606,310800000,320952381,311428571,310515464,312533333,316666667,317443609,319881657,323981900,329437229,330584416,331148459,320518000,332702703,340196078,344652406,350705036,341165049,322656250,295361132,303700000,329100000,339800000,339300000,310600000,298300000,274300000,267800000,261700000,258100000,250100000,244400000,243100000,243100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466258/000119312510043035/0001193125-10-043035-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000119312511042044/0001193125-11-042044-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000144530512000370/0001445305-12-000370-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625813000006/0001466258-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625814000009/0001466258-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625815000045/0001466258-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625816000319/0001466258-16-000319-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625817000053/0001466258-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625818000063/0001466258-18-000063-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625819000073/0001466258-19-000073-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625820000064/0001466258-20-000064-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625821000027/0001466258-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625822000031/0001466258-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342200000,457700000,1703700000,880600000,362300000,4735300000,550200000,876000000,99900000,1160700000,882100000,1937200000,1705200000,736800000,1714700000,1549400000,903400000,1278600000,3289000000,2159200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,- -,156500000,700000,100000,- -,- -,- -,8179000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342200000,459600000,1703700000,1037100000,363000000,4735400000,550200000,876000000,99900000,9339700000,882100000,1937200000,1705200000,736800000,1714700000,1549400000,903400000,1278600000,3289000000,2159200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1405300000,1712800000,1498400000,1679000000,1996200000,1660700000,2428500000,2120000000,2344000000,137000000,2157000000,2071000000,2119000000,2150600000,2223000000,2477400000,2679200000,2184600000,2202000000,2429400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1189800000,1009100000,1058800000,1128800000,1320300000,827200000,1615100000,1193000000,1400800000,1282000000,1308800000,1166100000,1358900000,1410700000,1385800000,1555400000,1677800000,1278600000,1189000000,1530800000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175100000,357100000,348800000,403300000,416400000,477400000,805900000,638000000,-133000000,-5576100000,594800000,542400000,524800000,311300000,255800000,536900000,471600000,4552000000,225000000,351500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4112400000,3538600000,4609700000,4248200000,4095900000,7700700000,5399700000,4827000000,3711700000,5182600000,4942700000,5716700000,5707900000,4609400000,5579300000,6119100000,5732000000,9293800000,6905000000,6470900000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279900000,1213100000,1013200000,1076000000,1276300000,904900000,1968500000,1912000000,200000,1640600000,1652600000,1468400000,1477000000,1575100000,1511000000,1551300000,1730800000,1821400000,1349000000,1398800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4005500000,- -,- -,- -,4604800000,3993300000,6620100000,6606000000,6560200000,6105100000,6138900000,5540600000,5389800000,5730200000,5658400000,5935700000,5959500000,5125700000,5342000000,5504800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,890900000,5070900000,4829200000,5231900000,736200000,724600000,5214100000,5042000000,4872900000,4337100000,4200900000,3922000000,3783900000,3926100000,3785100000,3742900000,3634700000,3323600000,3286000000,3305600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4896400000,5070900000,4829200000,5231900000,5341000000,4717900000,11834200000,11648000000,11433100000,10442200000,10339800000,9462600000,9173700000,9656300000,9443500000,9678600000,9594200000,8449300000,8628000000,8810400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259100000,309600000,359500000,299800000,896100000,884900000,757500000,538400000,572000000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520900000,842300000,962500000,1200300000,1432700000,1052700000,1722100000,- -,3863300000,1229700000,1248200000,650900000,640100000,-19300000,-21300000,66800000,319500000,355800000,- -,1379700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6697200000,7126300000,6804900000,7508200000,8050000000,6675500000,15524800000,13560000000,15296600000,13571600000,13550200000,11941400000,11590600000,12108200000,11818100000,12054200000,12182900000,11198500000,9977000000,11588900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10809600000,10664900000,11414600000,11756400000,12145900000,14376200000,20924500000,18387000000,19008300000,18754200000,18492900000,17658100000,17298500000,16717600000,17397400000,18173300000,17914900000,20492300000,16882000000,18059800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730300000,738900000,684000000,812500000,1026800000,721200000,1046500000,1079000000,1318600000,1225200000,1230200000,1163000000,1290000000,- -,- -,- -,- -,1381300000,1520000000,1787300000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155500000,800700000,612800000,932700000,1079400000,741000000,2350400000,876700000,761600000,763300000,963700000,367700000,482700000,504200000,360800000,1107000000,350600000,650500000,775600000,350400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61400000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1933000000,1675000000,1530000000,1592000000,1335000000,1174000000,896000000,884000000,757000000,538000000,682000000,578000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1912300000,1513400000,1580100000,1454500000,1507400000,1773500000,2114500000,89300000,4259500000,606000000,375400000,542900000,719400000,2248200000,2345500000,2964000000,3427100000,2524800000,1464400000,2614700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3798100000,3053000000,2876900000,3199700000,3613600000,3235700000,5511400000,3978000000,8014700000,4124500000,4161300000,3408600000,3666100000,3648400000,3590300000,4828000000,4315700000,5238600000,4338000000,4752400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2092100000,1518600000,1267600000,1184300000,905200000,712700000,2773700000,1529000000,2004100000,2879300000,2269300000,3153500000,3741700000,3713600000,3709400000,2957000000,3740700000,4922900000,775000000,4491700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2184800000,1933000000,1675000000,259100000,1592000000,1335000000,1174000000,896000000,884000000,757000000,538000000,682000000,578000000,581500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1326100000,1479100000,1536300000,1610400000,2222300000,2422400000,3692500000,1699000000,-73300000,1494500000,-175000000,6100000,59000000,2642900000,2569900000,2491000000,2297800000,2381200000,1291000000,1961100000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3418200000,2997700000,2803900000,2794700000,3127500000,3135100000,8651000000,5161000000,3605800000,4632900000,3686300000,4494600000,4974700000,7252500000,7163300000,6205000000,6576500000,7986100000,2644000000,7034300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13968000000,- -,12338300000,10870100000,11675200000,12619700000,- -,- -,- -,- -,- -,10035000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7216300000,6050700000,5680800000,5994400000,6741100000,6370800000,14162400000,12785000000,11044000000,11829900000,11345100000,10589200000,11311100000,10900900000,10753600000,11033000000,10892200000,13224700000,11729000000,11786700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169200000,174500000,173100000,330700000,306800000,272600000,318800000,- -,328200000,297100000,295600000,282700000,266300000,269000000,271700000,274000000,266400000,262800000,- -,259700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3457400000,3978700000,5028300000,5558900000,5456100000,7388800000,4547400000,4837000000,5389400000,5547800000,6358700000,6794500000,6540800000,6897900000,8018800000,8903200000,9439800000,9730800000,8495000000,8353200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-513100000,-270500000,62800000,-127600000,-358100000,246500000,-450800000,-434300000,-325000000,-553600000,-521000000,-166700000,-714300000,-1120900000,-1290500000,-778800000,-964100000,-1006600000,-631500000,-637600000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364700000,610600000,469600000,- -,- -,- -,2246000000,2698000000,2571700000,1633000000,1014500000,158400000,-105400000,-229300000,-356200000,-1258100000,-1719400000,-1719400000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3478200000,4493300000,5733800000,5762000000,5404800000,7907900000,6661400000,7101800000,7964300000,6924300000,7147800000,7068900000,5987400000,5816700000,6643800000,7140300000,7022700000,7267600000,6407700000,6255900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10694500000,10544000000,11414600000,11756400000,12145900000,14278700000,20823800000,19886800000,19008300000,18754200000,18492900000,17658100000,17298500000,16717600000,17397400000,18173300000,17914900000,20492300000,18136700000,18042600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115100000,120900000,- -,- -,- -,97500000,100700000,-1499800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1254700000,17200000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10809600000,10664900000,11414600000,11756400000,12145900000,14376200000,20924500000,18387000000,19008300000,18754200000,18492900000,17658100000,17298500000,16717600000,17397400000,18173300000,17914900000,20492300000,16882000000,18059800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466258/000119312510043035/0001193125-10-043035-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000119312511042044/0001193125-11-042044-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000144530512000370/0001445305-12-000370-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625813000006/0001466258-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625814000009/0001466258-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625815000045/0001466258-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625816000319/0001466258-16-000319-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625817000053/0001466258-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625818000063/0001466258-18-000063-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625819000073/0001466258-19-000073-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625820000064/0001466258-20-000064-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625821000027/0001466258-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625822000031/0001466258-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,202200000,185300000,150600000,-234400000,142500000,211100000,270300000,358000000,380500000,509100000,591100000,669400000,246200000,-173500000,644500000,1218700000,1054200000,1032500000,3966700000,-2624800000,630000000,642200000,343200000,1018600000,618800000,931700000,664600000,1476200000,1302600000,1337600000,1410900000,1584000000,1423400000
74,Depreciation and Amortization,- -,- -,- -,- -,80600000,97300000,108700000,116600000,123500000,132500000,179400000,202600000,212300000,282600000,272400000,297000000,362500000,205900000,194000000,174400000,195700000,190700000,138800000,453100000,424900000,437100000,402700000,375500000,333700000,332400000,364100000,352200000,353300000,361500000,397400000,294300000,299400000
75,Deferred Income Tax,- -,- -,- -,- -,9100000,700000,6600000,-43600000,-14800000,14200000,15100000,-4500000,8200000,1600000,41800000,8500000,23400000,-600000,-20800000,-59200000,64000000,-59300000,146600000,-334000000,-32000000,81000000,-74600000,73900000,29400000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68300000,73500000,42600000,49800000,71800000,- -,- -,- -,- -,- -,66400000,69500000,66500000
77,Change in Working Capital,- -,- -,- -,- -,-56000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314300000,171300000,1247200000,-684300000,-566200000,3982700000,-4576700000,960700000,-5152000000,5361100000,-276700000,1526700000,-266300000,-1080800000,1028000000,-697900000,125200000,2638900000,-1488200000,-243100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-6700000,3300000,62700000,37100000,35500000,81600000,-15200000,-5300000,48700000,-76800000,56700000,-175900000,-24100000,3600000,199200000,-174800000,600000,-116100000,75400000,120700000,430800000,-219000000,-14300000,-29500000,-39400000,-230000000,-6300000,26800000,-112400000,-169900000,18400000,109000000,-348800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28100000,251500000,-29000000,-2500000,141000000,157200000,-41000000,103600000,167200000,120700000,80600000,75800000,275300000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314300000,485600000,1732800000,1048500000,482300000,4465000000,-111700000,849000000,-4303000000,1058100000,781400000,2308100000,2041800000,961000000,1989000000,1291100000,1416300000,4055200000,2567000000,- -
