,https://roic.ai/company/UNM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9565000000,10070000000,9523000000,9158000000,8799000000,- -,9945000000,9266000000,9149000000,9983000000,9493000000,9699000000,9883000000,10971000000,10617000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,811300000,876100000,1012500000,1046300000,1296100000,1332300000,1362700000,2065700000,3172900000,3535200000,9495100000,8566700000,8569700000,9002100000,10426800000,10724400000,9727600000,10069900000,9522700000,9158300000,8798700000,8861900000,10020800000,9265900000,9148600000,9982500000,9493000000,9698800000,9882800000,10970700000,10616800000,12198100000,10950800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,357600000,355600000,365900000,335600000,293700000,261400000,264600000,- -,- -,70000000,137800000,181800000,169600000,162400000,187200000,207100000,208000000,191800000,183100000,156700000,125400000,141800000,143300000,145400000,149400000,167500000,152800000,166000000,159900000,167300000,177400000,188200000,185000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75100000,138900000,153200000,653700000,594900000,573000000,510300000,761800000,80500000,87800000,80500000,66200000,68800000,74500000,75400000,81100000,84300000,84800000,87900000,99500000,101700000,103400000,101400000,110100000,113600000,119000000
15,EBITDA,158900000,98300000,68300000,152600000,551900000,587600000,628000000,673600000,741900000,460000000,646500000,301300000,519200000,626000000,626000000,1642300000,1564800000,1276500000,392000000,-32700000,1005400000,745100000,1253400000,1049500000,1492200000,1548500000,481600000,1479200000,1439400000,782600000,1490600000,1615400000,1667300000,896500000,1669600000,1265800000,1367000000
16,EBITDA ratio,0.0889,0.0464,0.0326,0.0692,0.2853,0.2707,0.2594,0.2550,0.2184,0.1269,0.1568,0.1315,0.1461,0.1590,0.0671,0.1741,0.1666,0.1328,0.0392,-0.0031,0.0963,0.0707,0.1191,0.1051,0.1479,0.1519,0.0469,0.1407,0.1390,0.0745,0.1389,0.1462,0.1477,0.0773,0.1391,0.0962,0.1138
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,715000000,748700000,804500000,863400000,922900000,891300000,1104700000,34700000,129700000,182600000,339600000,329500000,354300000,389200000,391300000,437400000,440000000,264300000,274100000,275900000,257200000,241600000,249100000,227900000,230200000,219000000,211500000,205600000,197700000,198200000,221200000,224200000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226200000,380300000,402800000,-165500000,865600000,825100000,610900000,-435200000,-259500000,709600000,465400000,997200000,824000000,1292300000,1331300000,257200000,1249500000,1205200000,527200000,1238300000,1347700000,1404000000,627800000,1382100000,964000000,1063000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0987,0.1070,0.1023,-0.0177,0.0918,0.0878,0.0635,-0.0436,-0.0248,0.0680,0.0442,0.0948,0.0825,0.1281,0.1306,0.0250,0.1188,0.1164,0.0502,0.1154,0.1220,0.1244,0.0541,0.1152,0.0732,0.0885
22,Income Tax expense (Gain),41500000,-2900000,-16600000,17800000,38900000,46800000,57100000,89200000,148300000,43900000,100800000,80600000,133000000,148800000,17400000,301400000,243000000,202600000,-170600000,-67300000,196000000,61800000,324800000,270800000,439700000,445200000,21800000,355100000,347100000,113800000,371200000,416300000,409800000,104400000,281800000,171000000,238800000
23,Net Income,117400000,101200000,84900000,134800000,155400000,185200000,205000000,248800000,299900000,154700000,281100000,145600000,247300000,254000000,-182900000,564200000,579200000,401200000,-386400000,-253000000,513600000,411000000,679300000,553200000,852600000,886100000,235400000,894400000,858100000,413400000,867100000,931400000,994200000,523400000,1100300000,793000000,824200000
24,Net Income ratio,0.0656,0.0478,0.0405,0.0612,0.0803,0.0853,0.0847,0.0942,0.0883,0.0427,0.0682,0.0635,0.0696,0.0645,-0.0196,0.0598,0.0617,0.0417,-0.0387,-0.0242,0.0492,0.0390,0.0646,0.0554,0.0845,0.0869,0.0229,0.0851,0.0829,0.0393,0.0808,0.0843,0.0881,0.0451,0.0917,0.0602,0.0686
25,EPS,0.68,0.50,0.44,0.75,0.97,1.35,1.54,1.85,1.90,1.04,1.93,1.46,1.88,1.87,-0.77,2.34,2.40,1.66,-1.40,-0.86,1.74,1.27,1.92,1.62,2.57,2.72,0.78,3.18,3.24,1.62,3.51,3.96,4.39,2.38,5.25,3.89,4.05
26,EPS Diluted,0.68,0.50,0.44,0.75,0.97,1.35,1.54,1.85,1.88,1.04,1.92,1.46,1.84,1.82,-0.77,2.33,2.38,1.65,-1.40,-0.86,1.64,1.23,1.91,1.62,2.57,2.71,0.78,3.17,3.23,1.61,3.50,3.95,4.37,2.38,5.24,3.89,4.05
27,Weighted Average Shares Outstanding,172647059,202400000,192954545,179733333,160206186,137185185,133116883,134486486,157842105,148750000,145647668,91044834,131542553,135828877,237532468,241111111,241333333,241686747,276000000,294186047,295172414,323622047,353802083,341022800,331266200,325839000,302399800,281355900,264725800,255525900,246986700,235445700,226492400,219635600,209728900,203642000,203642000
28,Weighted Average Shares Outstanding Diluted,172647059,202400000,192954545,179733333,160206186,137185185,133116883,134486486,159521277,148750000,146406250,147286822,134402174,139560440,237532468,242145923,243361345,243151515,276000000,294186047,313170732,334146341,355654450,341560300,332136200,327221100,303571000,281756800,265949200,256652800,247854700,235979200,227335200,220058600,209854400,203755300,203755300
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5513/000093176397000370/0000931763-97-000370-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5513/000093176301000575/0000931763-01-000575-index.html,https://www.sec.gov/Archives/edgar/data/5513/000093176302000948/0000931763-02-000948-index.html,https://www.sec.gov/Archives/edgar/data/5513/000093176303000772/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312504039447/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312505049609/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312506044828/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312507043039/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312508037458/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312509036287/0001193125-09-036287-index.html,https://www.sec.gov/Archives/edgar/data/5513/000119312510042716/0001193125-10-042716-index.html,- -,https://www.sec.gov/Archives/edgar/data/5513/000000551312000006/0000005513-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551313000007/0000005513-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551314000008/unm12312013-10xk.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551315000010/unm12312014-10xk.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551316000045/0000005513-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551317000018/0000005513-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551318000016/0000005513-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/0000005513-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551320000027/0000005513-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551321000015/0000005513-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551322000030/0000005513-22-000030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,37700000,30700000,292400000,107100000,123900000,144700000,119200000,130700000,69400000,121300000,199100000,49900000,71600000,53600000,116600000,77300000,94100000,102500000,112900000,100400000,77400000,94000000,84100000,197000000,75000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252300000,57500000,28900000,321500000,279400000,379700000,218400000,332200000,410200000,417900000,648400000,1486800000,1183100000,865500000,1163100000,1423500000,1460300000,913400000,974300000,807300000,780000000,1155100000,968100000,1294500000,1470000000,1203000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271600000,95200000,59600000,613900000,386500000,503600000,363100000,451400000,540900000,487300000,769700000,1685900000,1233000000,937100000,1216700000,1540100000,1537600000,1007500000,1076800000,920200000,880400000,1232500000,1062100000,1378600000,1667000000,1278000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580700000,1153600000,3199400000,5505900000,7897800000,8013400000,7697300000,8336100000,9002300000,7588400000,7569300000,7074700000,1784800000,1732400000,1665800000,1672200000,6475200000,6504600000,6610600000,6323500000,6469700000,6544900000,6277900000,6383600000,12258000000,1519000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21087300000,19006900000,31221600000,31008800000,32864100000,36116100000,40044800000,40620100000,43139100000,43910300000,43075100000,45790600000,51163500000,12548500000,46799200000,37037500000,34926400000,44905500000,43595700000,44574500000,46034100000,44152200000,58366200000,-12209000000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22336100000,22265900000,37341400000,39293100000,41381100000,44176500000,48832300000,50163300000,51214800000,52249300000,51835700000,48808400000,53833000000,15431000000,50011500000,45050300000,42438500000,52592900000,50839400000,51924600000,53811500000,51492200000,66128400000,1716000000,2797000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,109200000,129900000,399700000,387500000,386900000,417900000,410600000,398500000,379500000,370100000,393700000,409400000,443500000,476800000,493300000,501600000,511900000,531700000,523900000,500600000,504800000,546900000,534100000,498000000,462000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732300000,692300000,706400000,683300000,674700000,666400000,476700000,271100000,273000000,204100000,204300000,- -,201600000,201200000,201200000,201700000,200900000,198700000,230900000,335100000,338600000,350300000,351700000,353000000,352000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200500000,- -,- -,- -,23500000,19000000,15200000,24000000,31900000,27900000,96700000,88700000,83800000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732300000,692300000,706400000,683300000,674700000,666400000,476700000,271100000,273000000,204100000,204300000,200500000,201600000,201200000,201200000,225200000,219900000,213900000,254900000,367000000,366500000,447000000,440400000,436800000,352000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27732600000,31557900000,32911500000,35288300000,35649900000,37141500000,33317200000,38779900000,41198700000,43910200000,46433300000,43257800000,46039200000,44161700000,44997300000,46612900000,43979800000,48738200000,45607300000,50947000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27733900000,-31559200000,-32912100000,-35288800000,-35650100000,-37142500000,-33318100000,-38781000000,- -,-34437200000,-29974300000,-27024500000,-36880600000,-35190200000,-35848000000,-37282600000,-34590300000,-48827700000,-45691100000,-50947000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,841500000,822200000,1106100000,1070800000,1061600000,1083000000,886000000,669000000,652000000,574000000,597000000,609000000,644000000,41876700000,10167500000,17185800000,16965100000,9904200000,9750300000,10016900000,10201600000,10383400000,885000000,851000000,814000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14992500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99184400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68132000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14992500000,23177600000,23088100000,38447500000,40363900000,42442700000,45259500000,49718300000,50832300000,51866800000,52823300000,52432700000,49417400000,54477000000,57307700000,60179000000,62236100000,59403600000,62497100000,60589700000,61941500000,64013100000,61875600000,67013400000,2567000000,70115000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150700000,39400000,1075000000,402200000,161800000,255000000,- -,227000000,- -,- -,175000000,190500000,- -,225100000,312300000,455800000,76500000,151900000,352400000,- -,199900000,- -,399700000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32800000,300000,18300000,44400000,148600000,115500000,114500000,135700000,38200000,54200000,- -,- -,6000000,20600000,2900000,24000000,256700000,- -,159000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25962000000,29519300000,30587600000,30923000000,32469800000,34037200000,35947000000,39658000000,40519000000,41241000000,42445000000,41703000000,40570500000,43427000000,- -,48719700000,50413200000,48056500000,51147700000,49097900000,49974100000,51499900000,50282500000,53721800000,416000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25962000000,29670000000,30627000000,31998000000,32872000000,34199000000,36202000000,39658000000,40746000000,41241000000,42445000000,41878000000,40761000000,43427000000,225100000,49032000000,50869000000,48133000000,51299600000,49450300000,49974100000,51699800000,50282500000,54121500000,416000000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,725000000,600000000,1166500000,1615500000,2004200000,1914000000,2789000000,2862000000,3261600000,2659600000,2515200000,2259400000,2549600000,2631300000,2570200000,3211200000,2688500000,2628700000,2475100000,2999400000,2738400000,2971300000,2926900000,3345700000,3442000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1036400000,914000000,1060600000,989700000,567300000,251700000,- -,273200000,417200000,261200000,269400000,144300000,78400000,91800000,130300000,199000000,- -,95400000,416100000,458000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,565000000,665000000,898000000,300500000,300500000,299800000,-736400000,-914000000,-1060600000,-989300000,-566900000,-251900000,-400000,-272800000,- -,-261400000,-725600000,-220800000,-78400000,-117500000,-130300000,-199000000,- -,-95400000,-416800000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,765000000,1390000000,1498000000,1467000000,1916000000,2304000000,2214000000,2789000000,2862000000,3262000000,2660000000,2515000000,2259000000,2550000000,3048500000,2570000000,2755000000,2612000000,2628700000,2449400000,2999400000,2738400000,2971300000,2926900000,3345000000,3900000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5578300000,5724200000,- -,- -,- -,- -,- -,51186700000,- -,- -,- -,5273800000,4924900000,- -,- -,- -,- -,62683800000,62599000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13253900000,19898300000,19679600000,33165300000,34488400000,36202800000,38116300000,42447300000,43608200000,44502900000,45104500000,44392800000,43019500000,45976900000,48363300000,51602000000,53623500000,50744500000,53944700000,51925800000,52973500000,54438200000,53253800000,57048400000,59754800000,58699000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45600000,135200000,135700000,24100000,24100000,24200000,24400000,29800000,29800000,30100000,34400000,36300000,36300000,36400000,36500000,35900000,36000000,36100000,30200000,30300000,30400000,30500000,30500000,30600000,30700000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1439700000,1635200000,1834300000,3957600000,4379700000,4816300000,5011400000,4526900000,4185500000,4610400000,4925800000,5077400000,5527100000,6289500000,7060800000,7031200000,7371600000,8083200000,7332800000,7995200000,8744000000,9542200000,9863100000,10728700000,11269600000,11853000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,922400000,1171200000,1481100000,1163500000,612800000,463500000,-958200000,341000000,341900000,448900000,628000000,255000000,166400000,16100000,-51000000,127500000,-814200000,37300000,374200000,354000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253300000,1508900000,1438500000,1000500000,1171700000,1099400000,885000000,1543100000,1527700000,1559900000,2145800000,2462700000,1792700000,1833200000,- -,1061000000,577000000,284800000,1023000000,622300000,244600000,-125300000,-457600000,-831600000,-803500000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1738600000,3279300000,3408500000,4982200000,5575500000,5939900000,6843200000,7271000000,7224100000,7363900000,7718800000,8039900000,6397900000,8500100000,8944400000,8577000000,8612600000,8659100000,8552400000,8663900000,8968000000,9574900000,8621800000,9965000000,10871000000,11416000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14992500000,23177600000,23088100000,38147500000,40063900000,42142700000,44959500000,49718300000,50832300000,51866800000,52823300000,52432700000,49417400000,54477000000,57307700000,60179000000,62236100000,59403600000,62497100000,60589700000,61941500000,64013100000,61875600000,67013400000,70625800000,70115000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,300000000,300000000,300000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68058800000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14992500000,23177600000,23088100000,38447500000,40363900000,42442700000,45259500000,49718300000,50832300000,51866800000,52823300000,52432700000,49417400000,54477000000,57307700000,60179000000,62236100000,59403600000,62497100000,60589700000,61941500000,64013100000,61875600000,67013400000,2567000000,70115000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/5513/000093176397000370/0000931763-97-000370-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5513/000093176301000575/0000931763-01-000575-index.html,https://www.sec.gov/Archives/edgar/data/5513/000093176302000948/0000931763-02-000948-index.html,https://www.sec.gov/Archives/edgar/data/5513/000093176303000772/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312504039447/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312505049609/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312506044828/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312507043039/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312508037458/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312509036287/0001193125-09-036287-index.html,https://www.sec.gov/Archives/edgar/data/5513/000119312510042716/0001193125-10-042716-index.html,- -,https://www.sec.gov/Archives/edgar/data/5513/000000551312000006/0000005513-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551313000007/0000005513-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551314000008/unm12312013-10xk.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551315000010/unm12312014-10xk.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551316000045/0000005513-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551317000018/0000005513-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551318000016/0000005513-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/0000005513-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551320000027/0000005513-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551321000015/0000005513-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551322000030/0000005513-22-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,155400000,185200000,205000000,248800000,299900000,154700000,281100000,145600000,247300000,254000000,-182900000,564200000,579200000,401200000,-386400000,-253000000,513600000,411000000,679300000,553200000,852600000,886100000,235400000,894400000,858100000,413400000,867100000,931400000,994200000,523400000,1100300000,793000000,824200000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75100000,138900000,153200000,653700000,594900000,573000000,510300000,761800000,80500000,87800000,80500000,66200000,68800000,74500000,75400000,81100000,84300000,84800000,87900000,99500000,101700000,103400000,101400000,110100000,113600000,119000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,-25962000000,18628100000,-1027200000,13704500000,1077700000,761000000,792400000,1199800000,243000000,556500000,-169500000,153400000,-1910300000,2358600000,-10406000000,979500000,-6798200000,124200000,6987800000,95800000,561400000,161200000,-902000000,10797200000,-10706900000,1497000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130100000,386700000,-186300000,266700000,39400000,-134900000,-92900000,65200000,235500000,- -,- -,- -,- -,40400000,-196700000,-21500000,29300000,-167300000,-101800000,-4700000,37500000,242900000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2391100000,781000000,1629900000,1242600000,2437100000,1714600000,1319700000,1319700000,767400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
