,https://roic.ai/company/WM,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1700000,1900000,2600000,3700000,18300000,52200000,78100000,176200000,457100000,1313400000,2613800000,12703500000,13126900000,12492000000,11322000000,11142000000,11574000000,12516000000,13074000000,13363000000,13310000000,13388000000,11791000000,12515000000,13378000000,13649000000,13983000000,13996000000,12961000000,13609000000,14485000000,14914000000,15455000000,15218000000,17931000000
2,COGS,600000,700000,1300000,1600000,7400000,25200000,38900000,101100000,253900000,704900000,1345800000,7383800000,8269000000,7538000000,6666000000,6743000000,7517000000,8228000000,8631000000,8587000000,8402000000,8466000000,7241000000,7824000000,8541000000,8879000000,9112000000,9002000000,8231000000,8486000000,9021000000,9249000000,9496000000,9341000000,11111000000
3,Gross Profit,1100000,1200000,1300000,2100000,10900000,27000000,39200000,75100000,203200000,608500000,1268000000,5319700000,4857900000,4954000000,4656000000,4399000000,4057000000,4288000000,4443000000,4776000000,4908000000,4922000000,4550000000,4691000000,4837000000,4770000000,4871000000,4994000000,4730000000,5123000000,5464000000,5665000000,5959000000,5877000000,6820000000
4,Gross Profit Ratio,0.6471,0.6316,0.5000,0.5676,0.5956,0.5172,0.5019,0.4262,0.4445,0.4633,0.4851,0.4188,0.3701,0.3966,0.4112,0.3948,0.3505,0.3426,0.3398,0.3574,0.3687,0.3676,0.3859,0.3748,0.3616,0.3495,0.3484,0.3568,0.3649,0.3764,0.3772,0.3798,0.3856,0.3862,0.3803
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,62200000,160500000,284900000,1309900000,1920300000,1738000000,1622000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427000000,1440000000,1307000000,1370000000,1426000000,1400000000,1593000000,1674000000,1827000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",200000,800000,900000,1200000,4100000,8000000,11300000,23500000,62200000,160500000,284900000,1309900000,1920300000,1738000000,1622000000,1529000000,1216000000,1267000000,1276000000,1388000000,1432000000,1477000000,1364000000,1461000000,1551000000,1472000000,1427000000,1440000000,1307000000,1370000000,1426000000,1400000000,1593000000,1674000000,1827000000
9,Other Expenses,200000,200000,400000,700000,1600000,4800000,8200000,18800000,56400000,153200000,303200000,1498700000,1614200000,1429000000,1751000000,1188000000,1257000000,1323000000,1429000000,1334000000,1271000000,1238000000,1166000000,1194000000,1229000000,1297000000,1374000000,1333000000,1281000000,1341000000,1418000000,1530000000,1612000000,1725000000,2036000000
10,Operating Expenses,400000,1000000,1300000,1900000,5700000,12800000,19500000,42300000,118600000,313700000,588100000,2808600000,3534500000,3167000000,3373000000,2717000000,2473000000,2590000000,2705000000,2722000000,2703000000,2715000000,2530000000,2655000000,2780000000,2769000000,2801000000,2773000000,2588000000,2711000000,2844000000,2930000000,3205000000,3399000000,3863000000
11,COGS and Expenses,1000000,1700000,2600000,3500000,13100000,38000000,58400000,143400000,372500000,1018600000,1933900000,10192400000,11803500000,10705000000,10039000000,9460000000,9990000000,10818000000,11336000000,11309000000,11105000000,11181000000,9771000000,10479000000,11321000000,11648000000,11913000000,11775000000,10819000000,11197000000,11865000000,12179000000,12701000000,12740000000,14974000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,13000000,4000000,8000000,4000000,4000000,5000000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000000,426000000,473000000,481000000,488000000,481000000,466000000,385000000,376000000,363000000,374000000,411000000,425000000,365000000
14,Depreciation and Amortization,- -,- -,400000,700000,1600000,4800000,8200000,18800000,56400000,153200000,303200000,1498700000,1614200000,1429000000,1371000000,1222000000,1265000000,1336000000,1361000000,1334000000,1259000000,1238000000,1166000000,1194000000,1229000000,1297000000,1333000000,1292000000,1245000000,1301000000,1376000000,1477000000,1574000000,1671000000,1999000000
15,EBITDA,400000,300000,500000,900000,6000000,16200000,23200000,40400000,75300000,231200000,760100000,794900000,1448900000,1750000000,2158000000,2468000000,2299000000,2522000000,2453000000,2808000000,2962000000,3449000000,2999000000,3249000000,3182000000,3045000000,2276000000,3469000000,2691000000,3501000000,3930000000,4229000000,4089000000,3989000000,4712000000
16,EBITDA ratio,0.2353,0.1579,0.1923,0.2432,0.3279,0.3103,0.2971,0.2293,0.1647,0.1760,0.2908,0.0626,0.1104,0.1401,0.1906,0.2215,0.1986,0.2015,0.1876,0.2101,0.2225,0.2576,0.2543,0.2596,0.2379,0.2231,0.1628,0.2479,0.2076,0.2573,0.2713,0.2836,0.2646,0.2621,0.2628
