,https://roic.ai/company/ATAX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15400000,19300000,17800000,10800000,6200000,6400000,6300000,6400000,6000000,6029491,7517182,9401972,9336932,9207068,20332633,18587638,15947323,20259202,18086574,20889164,22464868,27607249,19588656,40046524,37424826,49726183,55665510,62892910,62307016,53742516,35728703,62014358
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10127657,10016742,9859424,7877931,14132563,9751873,10052669,9223108,8228297,5300296,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18086574,10761507,12448126,17747825,11710725,25913961,27672953,39673514,46442402,54664613,57006720,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.5152,0.5541,0.6429,0.5978,0.6471,0.7394,0.7978,0.8343,0.8692,0.9149,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1400000,1200000,1200000,1000000,500000,600000,600000,700000,1000000,872973,965532,911238,1169705,1139070,1484598,2028366,1575942,1577551,1808459,1997661,2383784,- -,11842864,14221765,15374081,18713558,20060296,20998054,18532319,20112961,25629812,18816961
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1400000,1200000,1200000,1000000,500000,600000,600000,700000,1000000,872973,965532,911238,1169705,1139070,1484598,2028366,1575942,1577551,10680678,1997661,2383784,2764970,11842864,14053765,15299081,18713558,20060296,20998054,18532319,20112961,17399990,18816961
9,Other Expenses,-8700000,-9400000,-9900000,-4700000,- -,- -,- -,- -,-5000000,- -,1100000,243409,39277,1858155,16239257,13618916,11268185,14222623,4987417,7469061,8154054,10886910,4982030,11458321,7096557,8127800,6862530,5212859,3556265,3091417,11039895,5034117
10,Operating Expenses,-7300000,-8200000,-8700000,-3700000,- -,- -,- -,- -,-4000000,872973,2065532,1154647,1208982,2997225,17723855,15647282,12844127,15800174,15668095,9466722,10537838,13651880,16824894,25512086,22395638,26841358,26922826,26210913,22088584,23204378,28439885,23851078
11,COGS and Expenses,-7300000,-8200000,-8700000,-3700000,- -,- -,- -,- -,-4000000,872973,2065532,1154647,1208982,2997225,17723855,15647282,12844127,15800174,15668095,19594379,20554580,23511304,16824894,25512086,22395638,26841358,26922826,28535448,18096529,- -,- -,- -
12,Interest Income ,6500000,8600000,5800000,5700000,200000,200000,200000,- -,200000,- -,478451,558209,421242,116266,78367,102474,337008,751797,4106072,4202126,2514479,5769108,150882,8269498,896217,7380978,4681315,7828743,16959075,3896585,979381,3506665
