,https://roic.ai/company/AMD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,576100000,997100000,1125900000,1104600000,1059200000,1226600000,1514500000,1648280000,2134700000,2429724000,1953000000,2356400000,2542100000,2857600000,4644187000,3891800000,2697000000,3519200000,5001400000,5847600000,5649000000,6013000000,5808000000,5403000000,6494000000,6568000000,5422000000,5299000000,5506000000,3991000000,4272000000,5253000000,6475000000,6731000000,9763000000,16434000000
2,COGS,- -,235000000,409600000,508700000,507000000,550200000,502900000,594200000,789564000,982300000,1298876000,1440800000,1578400000,1718700000,1964400000,2514637000,2589700000,2105700000,2327100000,3032600000,3455800000,2856000000,3751000000,3488000000,3131000000,3533000000,3628000000,4187000000,3321000000,3667000000,2911000000,3274000000,3466000000,4028000000,3863000000,5416000000,8505000000
3,Gross Profit,- -,341100000,587500000,617200000,597600000,509000000,723700000,920300000,858716000,1152400000,1130848000,512200000,778000000,823400000,893200000,2129550000,1302100000,591300000,1192100000,1968800000,2391800000,2793000000,2262000000,2320000000,2272000000,2961000000,2940000000,1235000000,1978000000,1839000000,1080000000,998000000,1787000000,2447000000,2868000000,4347000000,7929000000
4,Gross Profit Ratio,- -,0.5921,0.5892,0.5482,0.5410,0.4806,0.5900,0.6077,0.5210,0.5398,0.4654,0.2623,0.3302,0.3239,0.3126,0.4585,0.3346,0.2192,0.3387,0.3936,0.4090,0.4944,0.3762,0.3994,0.4205,0.4560,0.4476,0.2278,0.3733,0.3340,0.2706,0.2336,0.3402,0.3779,0.4261,0.4453,0.4825
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,262802000,280000000,397555000,400700000,467900000,567400000,635800000,641799000,650900000,816100000,852100000,934600000,1144000000,1205000000,1847000000,1848000000,1721000000,1405000000,1453000000,1354000000,1201000000,1075000000,937000000,1008000000,1196000000,1434000000,1547000000,1983000000,2845000000
6,General and Administrative Exp.,- -,306100000,- -,432500000,422700000,431900000,458700000,498100000,290861000,359200000,385016000,364800000,400700000,419700000,540100000,599015000,620000000,670100000,587300000,807000000,1016100000,- -,1373000000,1304000000,994000000,934000000,- -,823000000,- -,607000000,475000000,- -,516000000,562000000,750000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,306100000,451000000,432500000,422700000,431900000,458700000,498100000,290861000,359230000,385016000,364798000,400713000,419678000,540070000,599015000,620030000,670065000,587307000,807011000,1016085000,1140000000,1373000000,1304000000,-248000000,934000000,992000000,823000000,674000000,604000000,482000000,460000000,511000000,562000000,750000000,995000000,1448000000
9,Other Expenses,- -,112800000,152700000,153200000,136400000,128300000,155900000,152300000,- -,57970000,- -,2000,-13000,11522000,38230000,- -,89370000,330535000,-13907000,5389000,15000,79000000,1907000000,1123000000,-39000000,-202000000,29000000,118000000,18000000,376000000,142000000,-88000000,-35000000,12000000,116000000,- -,-12000000
10,Operating Expenses,- -,418900000,603700000,585700000,559100000,560200000,614600000,650400000,553663000,697200000,782571000,765500000,868600000,998600000,1214100000,1240814000,1360300000,1816700000,1425500000,1747000000,2160100000,2424000000,5127000000,4275000000,1434000000,2137000000,2474000000,2295000000,1893000000,2055000000,1561000000,1380000000,1672000000,2008000000,2413000000,2978000000,4281000000
11,COGS and Expenses,- -,653900000,1013300000,1094400000,1066100000,1110400000,1117500000,1244600000,1343227000,1679500000,2081447000,2206300000,2447000000,2717300000,3178500000,3755451000,3950000000,3922400000,3752600000,4779600000,5615900000,5280000000,8878000000,7763000000,4565000000,5670000000,6102000000,6482000000,5214000000,5722000000,4472000000,4654000000,5138000000,6036000000,6276000000,8394000000,12786000000
