,https://roic.ai/company/CPTP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,- -,- -,700000,700000,1200000,2267000,1574000,1964000,1324000,1110000,6332000,5841000,6361000,6870000,838000,6907000,10401000,672000,651000,663000,427000,287000,721000,502000,417000,437000,504000
54,Long-Term Debt,2053000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17224000,16938000,14351000,11787000,10608000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000,370000,- -,- -,- -,- -,- -,- -,- -,110000,216000,320000,- -
56,Deferred Tax Liabilities,1535000,1430000,1360000,1300000,1200000,3700000,2339000,2838000,3519000,3765000,4528000,- -,- -,- -,- -,5305000,5552000,- -,5390000,5188000,5011000,4720000,1078000,803000,338000,310000,234000,262000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000,380000,261000,501000,4586000,1025000,504000,1071000,506000,481000
58,Total Non-Current Liabilities,3588000,- -,- -,1300000,1200000,3800000,2413000,2838000,3519000,3765000,4528000,- -,- -,- -,- -,5825000,5922000,- -,22945000,22506000,19623000,17008000,16272000,1828000,952000,1597000,1060000,743000
59,Other Liabilities,7824000,2099000,2081000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4236000,2099000,2081000,2000000,1900000,5000000,4680000,4412000,5483000,5089000,5638000,6332000,5841000,6361000,6870000,6663000,12829000,10401000,23617000,23157000,20286000,17435000,16559000,2549000,1454000,2014000,1497000,1247000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000000,1000000,1000000,- -,- -,3000000,3000000,33000,33000,33000,33000,33000,33000,33000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
64,Retained Earnings,1739000,1517000,1299000,1100000,600000,4100000,2397000,1481000,709000,1494000,2065000,3332000,4189000,4848000,5629000,6271000,1503000,2743000,94000,805000,2235000,4398000,6223000,11762000,6225000,5737000,6334000,6325000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4800000,-5100000,-5100000,-5107000,-5519000,-5927000,-6340000,-6750000,-6124000,-6675000,-7265000,-7945000,-8636000,-9309000,-10147000,-11003000,-11853000,-12712000,-13501000,-1489000,-1674000,-165000,-153000,- -,- -
66,Other Total Stockholders Equity,10828000,10828000,10828000,16600000,16900000,13900000,13935000,17314000,17722000,18135000,18545000,17919000,18470000,19060000,19707000,20398000,21071000,21909000,11785000,12635000,13494000,14283000,2271000,2456000,947000,935000,782000,- -
67,Total Stockholders Equity,13567000,13345000,13127000,12900000,12400000,15900000,14225000,13309000,12537000,13322000,13893000,15160000,16017000,16676000,17457000,18099000,13331000,14571000,942000,1653000,3083000,5246000,7071000,12610000,7073000,6585000,7182000,7173000
68,Total Liabilities And Stockholders Equity,17803000,15444000,15208000,14900000,14300000,20900000,18905000,17721000,18020000,18411000,19531000,21492000,21858000,23037000,24327000,24762000,26160000,24972000,24559000,24810000,23369000,22681000,23630000,15159000,8527000,8599000,8679000,8420000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17803000,15444000,15208000,14900000,14300000,20900000,18905000,17721000,18020000,18411000,19531000,21492000,21858000,23037000,24327000,24762000,26160000,24972000,24559000,24810000,23369000,22681000,23630000,15159000,8527000,8599000,8679000,8420000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/202947/000095013506001681/0000950135-06-001681-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095013507001900/0000950135-07-001900-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095013508002048/0000950135-08-002048-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095013509001955/0000950135-09-001955-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095012310024560/0000950123-10-024560-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095012311026246/0000950123-11-026246-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312512124869/0001193125-12-124869-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312513101237/0001193125-13-101237-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312514095560/0001193125-14-095560-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312515090148/0001193125-15-090148-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312516505226/0001193125-16-505226-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312517097545/0001193125-17-097545-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312518087733/0001193125-18-087733-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459019008298/0001564590-19-008298-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459020009173/0001564590-20-009173-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459021014374/0001564590-21-014374-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459022006244/0001564590-22-006244-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,193000,78000,332000,100000,-200000,3900000,174000,-556000,-673000,884000,1561000,1663000,1319000,1385000,1573000,1434000,1502000,2032000,2013000,711000,1430000,2163000,1825000,6001000,1261000,2482000,1983000,1839000
74,Depreciation and Amortization,382000,364000,362000,400000,300000,100000,240000,412000,418000,413000,410000,431000,551000,664000,680000,691000,733000,838000,856000,850000,859000,789000,204000,185000,170000,102000,93000,86000
75,Deferred Income Tax,-123000,-105000,-70000,-100000,-100000,700000,471000,499000,681000,148000,861000,117000,213000,293000,118000,36000,247000,89000,-251000,-202000,-177000,-291000,-96000,-275000,-465000,-28000,-76000,28000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-49000,- -,- -,5500000,-400000,4100000,-8254000,144000,-218000,1336000,-314000,-3490000,-858000,-1587000,1051000,4845000,-5102000,-4279000,10054000,1105000,-716000,-496000,11795000,-8839000,-4435000,109000,303000,-5000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,28000,-121000,75000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,5500000,5100000,9200000,946000,1090000,872000,2208000,1894000,-1596000,-2454000,-4041000,-2990000,1855000,-3247000,-7526000,2528000,3633000,2917000,2421000,14216000,5377000,942000,1051000,1354000,-51000
82,Other Non-Cash Items,33000,-170000,-79000,-6200000,800000,-7900000,5880000,5000,593000,-1410000,-1949000,3524000,317000,1747000,-768000,-5264000,4614000,4392000,-9992000,-1534000,934000,655000,-11521000,-3589000,5350000,-128000,-236000,-199000
83,Cash Provided by Operating Activities,436000,167000,545000,-300000,400000,900000,-1489000,504000,801000,1371000,569000,2245000,1542000,2502000,2654000,1742000,1994000,3072000,2680000,930000,2330000,2820000,2207000,-6517000,1881000,2537000,2067000,1749000
84,CAPEX,-24000,-10000,-13000,- -,-100000,-2000000,-4460000,-1511000,-236000,-264000,-2057000,-1973000,-2399000,-2794000,-441000,-2030000,-1414000,-553000,-152000,-17000,-122000,-670000,-12000,-11000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152000,-17000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000,- -,- -,- -,- -,- -,- -,-2025000,- -,- -,- -
87,Sales/Maturities of Investments,506000,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2025000,- -,- -,- -
88,Other Investing Activites,- -,2206000,199000,200000,3900000,6100000,23000,925000,- -,- -,1672000,2600000,- -,- -,- -,- -,- -,- -,285000,17000,- -,- -,-117000,19676000,862000,548000,-301000,-100000
89,Cash Used for Investing Activites,482000,2196000,186000,400000,3800000,4100000,-4437000,-586000,-236000,-264000,-385000,627000,-2399000,-2794000,-441000,-2030000,-1414000,-672000,-19000,-17000,-122000,-670000,-129000,19665000,862000,548000,-301000,-100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000,-1825000,-1300000,-286000,-2586000,-2852000,-1179000,-10608000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-99000,-99000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-400000,-300000,-550000,-300000,-300000,-300000,-1860000,-360000,- -,- -,-990000,-396000,-462000,-726000,-792000,-792000,-6270000,-792000,-3855000,- -,- -,- -,- -,- -,-7260000,-2970000,-1386000,-1848000
94,Other Financing Activites,-574000,-2053000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5945000,- -,2994000,- -,- -,- -,- -,-462000,462000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-974000,-2353000,-550000,-300000,-300000,-300000,-1860000,-360000,-99000,-99000,-990000,-396000,-462000,-726000,-792000,-792000,-500000,-2617000,-2161000,-286000,-2586000,-2852000,-1179000,-11070000,-6798000,-2970000,-1386000,-1848000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-56000,10000,181000,- -,- -,4700000,-7786000,-442000,466000,1008000,-806000,2476000,-1319000,-1018000,1421000,-1080000,80000,-217000,500000,627000,-378000,-702000,899000,2078000,-4055000,115000,380000,-199000
98,Cash at the End of Period,757000,767000,948000,- -,- -,9400000,1609000,1167000,1633000,2641000,1835000,4311000,2992000,1974000,3395000,2315000,2395000,2178000,2678000,3305000,2927000,2225000,3124000,5202000,1147000,1262000,1642000,1443000
99,Cash at the Beginning of Period,813000,757000,767000,900000,800000,4700000,9395000,1609000,1167000,1633000,2641000,1835000,4311000,2992000,1974000,3395000,2315000,2395000,2178000,2678000,3305000,2927000,2225000,3124000,5202000,1147000,1262000,1642000
100,Free Cash Flow,412000,157000,532000,-300000,300000,-1100000,-5949000,-1007000,565000,1107000,-1488000,272000,-857000,-292000,2213000,-288000,580000,2519000,2680000,930000,2330000,2820000,2195000,-6528000,1881000,2537000,2067000,1749000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/202947/000095013506001681/0000950135-06-001681-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095013507001900/0000950135-07-001900-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095013508002048/0000950135-08-002048-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095013509001955/0000950135-09-001955-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095012310024560/0000950123-10-024560-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000095012311026246/0000950123-11-026246-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312512124869/0001193125-12-124869-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312513101237/0001193125-13-101237-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312514095560/0001193125-14-095560-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312515090148/0001193125-15-090148-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312516505226/0001193125-16-505226-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312517097545/0001193125-17-097545-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000119312518087733/0001193125-18-087733-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459019008298/0001564590-19-008298-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459020009173/0001564590-20-009173-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459021014374/0001564590-21-014374-index.htm,https://www.sec.gov/Archives/edgar/data/202947/000156459022006244/0001564590-22-006244-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
