,https://roic.ai/company/PFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4024500000,4476000000,4919800000,5385400000,5671500000,6406000000,6950000000,7230200000,7477700000,8281300000,10021400000,11306000000,12504000000,13544000000,16204000000,29574000000,32259000000,32373000000,45188000000,52516000000,51298000000,48371000000,48418000000,48296000000,50009000000,67809000000,67425000000,58986000000,51584000000,49605000000,48851000000,52824000000,52546000000,53647000000,51750000000,41908000000,81288000000
2,COGS,1416200000,1573300000,1734900000,1825600000,1855200000,2034600000,1956500000,1760400000,1513800000,1626600000,1790100000,1746000000,1772000000,1605000000,1986000000,4059000000,5034000000,4045000000,9832000000,7541000000,8525000000,7640000000,11239000000,8112000000,8888000000,16279000000,15085000000,11334000000,9586000000,9577000000,9648000000,12329000000,11240000000,11248000000,10219000000,8692000000,30821000000
3,Gross Profit,2608300000,2902700000,3184900000,3559800000,3816300000,4371400000,4993500000,5469800000,5963900000,6654700000,8231300000,9560000000,10732000000,11939000000,14218000000,25515000000,27225000000,28328000000,35356000000,44975000000,42773000000,40731000000,37179000000,40184000000,41121000000,51530000000,52340000000,47652000000,41998000000,40028000000,39203000000,40495000000,41306000000,42399000000,41531000000,33216000000,50467000000
4,Gross Profit Ratio,0.6481,0.6485,0.6474,0.6610,0.6729,0.6824,0.7185,0.7565,0.7976,0.8036,0.8214,0.8456,0.8583,0.8815,0.8774,0.8628,0.8440,0.8751,0.7824,0.8564,0.8338,0.8421,0.7679,0.8320,0.8223,0.7599,0.7763,0.8079,0.8142,0.8069,0.8025,0.7666,0.7861,0.7903,0.8025,0.7926,0.6208
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1928000000,2279000000,2776000000,4435000000,4847000000,5176000000,7131000000,7684000000,7442000000,7599000000,8089000000,7945000000,7913000000,9413000000,9112000000,7870000000,6678000000,8393000000,7690000000,7872000000,7657000000,8006000000,8650000000,9405000000,13829000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,4390200000,5297100000,6050000000,4956000000,5568000000,6351000000,11442000000,11299000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1598800000,1795900000,2082100000,2353400000,2641000000,3092800000,3495900000,3762500000,4792400000,4390200000,5297100000,6050000000,4956000000,5568000000,6351000000,11442000000,11299000000,10846000000,15242000000,16903000000,16997000000,15589000000,15626000000,14537000000,14875000000,19614000000,19468000000,16616000000,14355000000,14097000000,14809000000,14837000000,14784000000,14455000000,14350000000,11615000000,12703000000
9,Other Expenses,129500000,147100000,162000000,194500000,207100000,224800000,244100000,263900000,258200000,292000000,374000000,430000000,502000000,489000000,542000000,968000000,103000000,28000000,2183000000,3364000000,3409000000,3261000000,3128000000,2668000000,2682000000,8345000000,5585000000,5175000000,4599000000,4039000000,3728000000,4056000000,4758000000,4893000000,4610000000,3436000000,3700000000
10,Operating Expenses,1728300000,1943000000,2244100000,2547900000,2848100000,3317600000,3740000000,4026400000,5050600000,4682200000,5671100000,6480000000,7386000000,8336000000,9669000000,16845000000,16249000000,16050000000,24556000000,27951000000,27848000000,26449000000,26843000000,25150000000,25470000000,37372000000,34165000000,29661000000,25632000000,26529000000,26227000000,26765000000,27199000000,27354000000,27610000000,24456000000,30232000000
11,COGS and Expenses,3144500000,3516300000,3979000000,4373500000,4703300000,5352200000,5696500000,5786800000,6564400000,6308800000,7461200000,8226000000,9158000000,9941000000,11655000000,20904000000,21283000000,20095000000,34388000000,35492000000,36373000000,34089000000,38082000000,33262000000,34358000000,53651000000,49250000000,40995000000,35218000000,36106000000,35875000000,39094000000,38439000000,38602000000,37829000000,33148000000,61053000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,746000000,402000000,458000000,383000000,403000000,425000000,471000000,470000000,391000000,333000000,226000000,73000000,36000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1233000000,1799000000,1681000000,1524000000,1414000000,1360000000,1199000000,1186000000,1270000000,1316000000,1574000000,1449000000,1291000000
14,Depreciation and Amortization,129500000,147100000,162000000,194500000,207100000,224800000,244100000,263900000,258200000,292000000,374000000,430000000,502000000,489000000,542000000,968000000,1068000000,1036000000,4078000000,5093000000,5576000000,5293000000,5200000000,5090000000,4757000000,8487000000,9026000000,7611000000,6410000000,5537000000,5157000000,5757000000,6269000000,6384000000,6010000000,4777000000,5191000000
15,EBITDA,1005600000,1107800000,1169500000,1295200000,1119500000,1323900000,1184600000,1513400000,1107000000,2148900000,2684900000,3228000000,3580000000,4482000000,4965000000,6743000000,11417000000,12771000000,9609000000,19119000000,17085000000,26622000000,14367000000,14839000000,16822000000,19667000000,24739000000,26267000000,34133000000,19152000000,15306000000,15281000000,19798000000,19559000000,25241000000,16319000000,30313000000
16,EBITDA ratio,0.2499,0.2475,0.2377,0.2405,0.1974,0.2067,0.1704,0.2093,0.1480,0.2595,0.2679,0.2855,0.2863,0.3309,0.3064,0.2280,0.3539,0.3945,0.2126,0.3641,0.3331,0.5504,0.2967,0.3073,0.3364,0.2900,0.3669,0.4453,0.6617,0.3861,0.3133,0.2893,0.3768,0.3646,0.4877,0.3894,0.3729
17,Operating Income,880000000,959700000,940800000,1011900000,968200000,1053800000,1253500000,1443400000,913300000,1972500000,2560200000,3080000000,3346000000,3603000000,4549000000,8670000000,10976000000,12278000000,10800000000,17024000000,14925000000,14282000000,10336000000,15034000000,15651000000,14158000000,18175000000,17991000000,16366000000,13499000000,12976000000,13730000000,14107000000,15045000000,13921000000,8760000000,20235000000
18,Operating Income ratio,0.2187,0.2144,0.1912,0.1879,0.1707,0.1645,0.1804,0.1996,0.1221,0.2382,0.2555,0.2724,0.2676,0.2660,0.2807,0.2932,0.3402,0.3793,0.2390,0.3242,0.2909,0.2953,0.2135,0.3113,0.3130,0.2088,0.2696,0.3050,0.3173,0.2721,0.2656,0.2599,0.2685,0.2804,0.2690,0.2090,0.2489
19,Total Other Income Expenses (Gains),-3900000,1000000,66700000,88800000,-55800000,45300000,-313000000,88700000,-64500000,-115600000,-268000000,-282000000,-268000000,-1011000000,-106000000,-2903000000,-647000000,-482000000,-7537000000,-3017000000,-3391000000,-1254000000,-1058000000,-5340000000,-4824000000,-4736000000,-5413000000,-5911000000,-650000000,-1259000000,-4011000000,-5379000000,-1802000000,-3160000000,3761000000,-1263000000,4076000000
20,Income Before Tax,876100000,960700000,1007500000,1100700000,912400000,1099100000,940500000,1532100000,848800000,1856900000,2292200000,2798000000,3078000000,2592000000,4443000000,5767000000,10329000000,11796000000,3263000000,14007000000,11534000000,13028000000,9278000000,9694000000,10827000000,9422000000,12762000000,12080000000,15716000000,12240000000,8965000000,8351000000,12305000000,11885000000,17682000000,7497000000,24311000000
21,Income Before Tax Ratio,0.2177,0.2146,0.2048,0.2044,0.1609,0.1716,0.1353,0.2119,0.1135,0.2242,0.2287,0.2475,0.2462,0.1914,0.2742,0.1950,0.3202,0.3644,0.0722,0.2667,0.2248,0.2693,0.1916,0.2007,0.2165,0.1389,0.1893,0.2048,0.3047,0.2467,0.1835,0.1581,0.2342,0.2215,0.3417,0.1789,0.2991
22,Income Tax expense (Gain),296400000,300700000,317300000,309400000,231300000,297900000,218400000,438600000,191300000,558500000,738000000,869000000,865000000,642000000,1244000000,2049000000,2561000000,2609000000,1621000000,2665000000,3424000000,1992000000,1023000000,1645000000,2197000000,1124000000,4023000000,2562000000,4306000000,3120000000,1990000000,1123000000,-9049000000,706000000,1384000000,477000000,1852000000
23,Net Income,579700000,660000000,690200000,791300000,681100000,801200000,722100000,810900000,657500000,1298400000,1572900000,1929000000,2213000000,3351000000,3179000000,3726000000,7788000000,9126000000,3910000000,11361000000,8085000000,19337000000,8144000000,8104000000,8635000000,8257000000,10009000000,14570000000,22003000000,9135000000,6960000000,7215000000,21308000000,11153000000,16273000000,9616000000,21979000000
24,Net Income ratio,0.1440,0.1475,0.1403,0.1469,0.1201,0.1251,0.1039,0.1122,0.0879,0.1568,0.1570,0.1706,0.1770,0.2474,0.1962,0.1260,0.2414,0.2819,0.0865,0.2163,0.1576,0.3998,0.1682,0.1678,0.1727,0.1218,0.1484,0.2470,0.4265,0.1842,0.1425,0.1366,0.4055,0.2079,0.3145,0.2295,0.2704
25,EPS,0.14,0.16,0.17,0.19,0.16,0.21,0.19,0.21,0.17,0.35,0.42,0.50,0.59,0.88,0.84,0.60,1.25,1.48,0.54,1.51,1.10,2.67,1.18,1.20,1.23,1.03,1.28,1.96,3.23,1.44,1.13,1.18,3.57,1.90,2.92,1.73,3.92
26,EPS Diluted,0.14,0.16,0.17,0.19,0.16,0.21,0.18,0.20,0.17,0.35,0.42,0.50,0.57,0.85,0.82,0.59,1.22,1.46,0.54,1.49,1.09,2.66,1.17,1.20,1.23,1.02,1.27,1.94,3.19,1.42,1.11,1.17,3.52,1.87,2.87,1.71,3.85
27,Weighted Average Shares Outstanding,4140714286,4125000000,4060000000,4164736842,4256875000,3815238095,3800526316,3861428571,3867647059,3718568019,3774960000,3864000000,3771000000,3789000000,3775000000,6210000000,6239000000,6156000000,7213000000,7531000000,7361000000,7242000000,6917000000,6727000000,7007000000,8036000000,7817000000,7442000000,6813000000,6346000000,6176000000,6089000000,5970000000,5872000000,5569000000,5555000000,5601000000
28,Weighted Average Shares Outstanding Diluted,4140714286,4125000000,4060000000,4164736842,4256875000,3815238095,4011666667,4054500000,3867647059,3718568019,3774960000,3864000000,3909000000,3945000000,3884000000,6368000000,6361000000,6241000000,7286000000,7614000000,7411000000,7274000000,6939000000,6750000000,7045000000,8074000000,7870000000,7508000000,6895000000,6424000000,6257000000,6159000000,6058000000,5977000000,5675000000,5632000000,5708000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78003/000091205795001635/0000912057-95-001635-index.html,https://www.sec.gov/Archives/edgar/data/78003/000091205796005586/0000912057-96-005586-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78003/000095012302003116/0000950123-02-003116-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012303003360/0000950123-03-003360-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012304003064/0000950123-04-003064-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012305002379/0000950123-05-002379-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041306001567/0000930413-06-001567-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041307001807/0000930413-07-001807-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041308001360/0000930413-08-001360-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312509040568/0001193125-09-040568-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312510042425/0001193125-10-042425-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312511048877/0001193125-11-048877-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312512085703/0001193125-12-085703-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/0000078003-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800314000018/0000078003-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800315000014/0000078003-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800316000077/0000078003-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800317000014/0000078003-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/0000078003-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/0000078003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/0000078003-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/0000078003-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/0000078003-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1458500000,403300000,1150000000,877000000,1552000000,739000000,1099000000,1036000000,1878000000,1520000000,1808000000,2247000000,1827000000,3406000000,2122000000,1978000000,1735000000,3539000000,10389000000,2183000000,3343000000,3641000000,2595000000,1342000000,1139000000,1305000000,1784000000,1944000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3703000000,5764000000,7579000000,10673000000,10432000000,18085000000,19979000000,25886000000,22069000000,21609000000,23991000000,26277000000,23219000000,22319000000,30225000000,32779000000,19649000000,15255000000,18650000000,17694000000,8525000000,10437000000,29125000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1458500000,403300000,1150000000,877000000,1552000000,4442000000,6863000000,8615000000,12551000000,11952000000,19893000000,22226000000,27713000000,25475000000,23731000000,25969000000,28012000000,26758000000,32708000000,32408000000,36122000000,23290000000,17850000000,19992000000,18833000000,9830000000,12221000000,31069000000
