,https://roic.ai/company/SPGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1491200000,1576800000,1751200000,1818000000,1789000000,1938600000,1943000000,2050500000,2195500000,2760900000,2935300000,3074700000,3534100000,3729100000,3992000000,4280968000,4645535000,4787668000,4827857000,5250538000,6003642000,6255138000,6772281000,6355055000,5951782000,6168331000,6246000000,4450000000,4875000000,5051000000,5313000000,5661000000,6063000000,6258000000,6699000000,7442000000,8297000000
2,COGS,678100000,699500000,796300000,840800000,824600000,873900000,906300000,964800000,989000000,1286300000,1340300000,1445000000,1639400000,1661600000,1738100000,1762721000,2078416000,2058916000,2006465000,2046645000,2316334000,2387247000,2527600000,2513001000,2386007000,2346028000,2400000000,1460000000,1584000000,1627000000,1672000000,1769000000,1713000000,1701000000,1801000000,- -,2195000000
3,Gross Profit,813100000,877300000,954900000,977200000,964400000,1064700000,1036700000,1085700000,1206500000,1474600000,1595000000,1629700000,1894700000,2067500000,2253900000,2518247000,2567119000,2728752000,2821392000,3203893000,3687308000,3867891000,4244681000,3842054000,3565775000,3822303000,3846000000,2990000000,3291000000,3424000000,3641000000,3892000000,4350000000,4557000000,4898000000,7442000000,6102000000
4,Gross Profit Ratio,0.5453,0.5564,0.5453,0.5375,0.5391,0.5492,0.5336,0.5295,0.5495,0.5341,0.5434,0.5300,0.5361,0.5544,0.5646,0.5882,0.5526,0.5700,0.5844,0.6102,0.6142,0.6184,0.6268,0.6046,0.5991,0.6197,0.6158,0.6719,0.6751,0.6779,0.6853,0.6875,0.7175,0.7282,0.7312,1.0000,0.7354
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,868900000,960900000,968100000,1116200000,1216700000,1269500000,1390262000,1522631000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1543000000,- -
8,"Selling, General and Administrative Exp.",508000000,546800000,621100000,636600000,842200000,672800000,695000000,727300000,774200000,868900000,960900000,968100000,1116200000,1216700000,1269500000,1390262000,1522631000,1692187000,1739743000,1904556000,2172395000,2287850000,2437884000,2308898000,2141251000,2262203000,2281000000,1709000000,1737000000,3168000000,1578000000,1443000000,1560000000,1561000000,1517000000,1543000000,1714000000
9,Other Expenses,43300000,51500000,65600000,66200000,68900000,66800000,72100000,74300000,139600000,230000000,231400000,238600000,293500000,299200000,308400000,362325000,374360000,108983000,-55725000,124647000,149749000,161587000,143684000,178346000,165484000,139041000,156000000,70000000,149000000,143000000,146000000,181000000,180000000,206000000,204000000,549000000,178000000
10,Operating Expenses,551300000,598300000,686700000,702800000,911100000,739600000,767100000,801600000,913800000,1098900000,1192300000,1206700000,1409700000,1515900000,1577900000,1752587000,1896991000,1801170000,1684018000,2029203000,2322144000,2449437000,2581568000,2487244000,2306735000,2401244000,2437000000,1779000000,1886000000,3311000000,1724000000,1624000000,1740000000,1767000000,1721000000,2092000000,1892000000
11,COGS and Expenses,1229400000,1297800000,1483000000,1543600000,1735700000,1613500000,1673400000,1766400000,1902800000,2385200000,2532600000,2651700000,3049100000,3177500000,3316000000,3515308000,3975407000,3860086000,3690483000,4075848000,4638478000,4836684000,5109168000,5000245000,4692742000,4747272000,4837000000,3239000000,3470000000,4938000000,3396000000,3393000000,3453000000,3468000000,3522000000,2092000000,4087000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
