,https://roic.ai/company/BRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1975,0.1725,0.1542,0.1355,0.1679,0.1421,0.0881,0.1486,0.1536,0.1708,0.1558,0.1537,0.1305,0.1699,0.1737,0.1235,0.1156,0.0910,0.1349,0.1742,0.1766,0.1510,0.1620,0.1465,0.1459,0.1605,0.0648,-0.0409,0.0065,0.0629,0.1335,0.1432,0.1539,0.1648,0.1538,0.1670
17,Operating Income,17700000,14600000,15800000,21100000,22200000,20200000,15400000,24100000,29500000,40700000,41200000,50400000,51400000,63200000,69291000,44522000,41503000,32149000,72122000,122452000,156516000,171987000,207684000,120373000,129456000,162192000,39758000,-85627000,-41211000,35306000,117878000,131015000,152696000,162428000,138023000,167127000
18,Operating Income ratio,0.1611,0.1155,0.1033,0.1211,0.1161,0.0957,0.0653,0.0992,0.1153,0.1295,0.1146,0.1183,0.1129,0.1342,0.1281,0.0816,0.0803,0.0579,0.1074,0.1500,0.1537,0.1262,0.1364,0.0996,0.1028,0.1211,0.0300,-0.0743,-0.0336,0.0301,0.1052,0.1177,0.1301,0.1399,0.1276,0.1460
19,Total Other Income Expenses (Gains),-400000,1700000,1500000,-4400000,3400000,2300000,- -,1800000,400000,3900000,4200000,900000,-5300000,1600000,6840000,268000,1632000,306000,-1795000,-7034000,-11828000,-20059000,-21497000,-23101000,-20054000,-18134000,-17008000,-13119000,-11898000,-10311000,-8533000,-4383000,-681000,2216000,2913000,3896000
20,Income Before Tax,17300000,16300000,17300000,16700000,25600000,22500000,15400000,25900000,29900000,44600000,45400000,51300000,46100000,64800000,76131000,44790000,43135000,32455000,70327000,115418000,144688000,151928000,186187000,97272000,109402000,144058000,22750000,-98746000,-53109000,24995000,109345000,126632000,152015000,164644000,140936000,171023000
21,Income Before Tax Ratio,0.1574,0.1290,0.1131,0.0959,0.1339,0.1066,0.0653,0.1066,0.1169,0.1419,0.1263,0.1204,0.1013,0.1376,0.1407,0.0820,0.0834,0.0585,0.1048,0.1414,0.1421,0.1115,0.1222,0.0805,0.0869,0.1075,0.0172,-0.0857,-0.0434,0.0213,0.0976,0.1137,0.1295,0.1419,0.1303,0.1494
22,Income Tax expense (Gain),7900000,7500000,7000000,6800000,10600000,7100000,7000000,9000000,11400000,16700000,17400000,19600000,18100000,25200000,28930000,17244000,14882000,11035000,19456000,33471000,40513000,42540000,53999000,27150000,27446000,35406000,40661000,42070000,-4963000,20093000,29235000,30987000,60955000,33386000,28321000,35610000
23,Net Income,9400000,8800000,10300000,9900000,15000000,15400000,5100000,16900000,18500000,27900000,28000000,31700000,28000000,39600000,47201000,27546000,28253000,21420000,50871000,81947000,104175000,109388000,132188000,70122000,81956000,108652000,-17911000,-154535000,-45968000,2987000,80110000,95645000,91060000,131258000,112369000,129659000
24,Net Income ratio,0.0855,0.0696,0.0673,0.0568,0.0785,0.0730,0.0216,0.0695,0.0723,0.0887,0.0779,0.0744,0.0615,0.0841,0.0872,0.0505,0.0547,0.0386,0.0758,0.1004,0.1023,0.0803,0.0868,0.0580,0.0651,0.0811,-0.0135,-0.1341,-0.0375,0.0025,0.0715,0.0859,0.0776,0.1131,0.1039,0.1133
25,EPS,0.21,0.20,0.23,0.22,0.35,0.35,0.12,0.39,1.27,1.92,0.64,0.72,0.62,0.87,1.03,0.60,0.61,0.46,1.07,1.67,2.10,2.03,2.45,1.33,1.56,2.06,-0.35,-3.02,-0.89,0.06,1.59,1.87,1.76,2.50,2.13,2.49
