,https://roic.ai/company/BRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,6900000,6500000,7500000,8700000,10200000,9400000,9100000,10600000,14200000,13300000,15200000,17833000,22646000,16630000,18060000,20190000,26822000,35144000,53856000,60587000,54851000,53022000,48827000,43987000,48725000,44598000,39458000,32432000,27303000,25442000,23799000,23437000,25483000
75,Deferred Income Tax,- -,- -,- -,-400000,1400000,100000,-1500000,-600000,-400000,200000,-500000,-1100000,-4500000,-1100000,-763000,-1981000,449000,-1915000,- -,-2653000,-1843000,70000,-1501000,-8640000,-6834000,-8161000,-9679000,21630000,-27516000,-7233000,2085000,-8618000,33656000,7825000,-764000,-8965000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7731000,9721000,9830000,9735000,1736000,5214000,4471000,8154000,9495000,9980000,12092000,8843000,10098000
77,Change in Working Capital,- -,- -,- -,-4600000,14700000,3100000,-4800000,11800000,22200000,29900000,-20300000,21100000,-5400000,4500000,-13816000,7746000,11934000,-11886000,7828000,9854000,98977000,62822000,87165000,-103569000,88229000,81222000,-72570000,-194843000,-17096000,27438000,41362000,-20081000,59796000,50922000,-7774000,44467000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53389000,-29479000,7680000,18089000,1535000,-3600000,1317000,8159000,766000,-16612000,3496000,13902000,-12614000
79,Inventory,- -,- -,- -,-2200000,-3500000,-2700000,-1800000,-3600000,-1000000,500000,-4000000,-4800000,5700000,5500000,-1362000,2252000,4895000,4140000,-6791000,-11847000,-16961000,-12323000,16224000,34749000,426000,-2886000,-7674000,2440000,-12608000,-763000,4833000,-5687000,-7563000,-9922000,-13917000,7298000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29370000,-2285000,-20508000,-8516000,3928000,22255000,13091000,-11903000,-26128000,- -
81,Other Working Capital,- -,- -,- -,53100000,67800000,70900000,66100000,77900000,100100000,130000000,109700000,130800000,125400000,129900000,116084000,123830000,135764000,123878000,131706000,141560000,240537000,303359000,390524000,286955000,375184000,456406000,383836000,188993000,171897000,199335000,240697000,220616000,280412000,331334000,323560000,-4002000
82,Other Non-Cash Items,- -,- -,- -,7400000,-17800000,-8800000,10900000,-16700000,-16600000,-45500000,16800000,-26000000,15800000,3200000,-2047000,-2729000,-3015000,29570000,5882000,3133000,-121557000,-90118000,-52885000,106150000,-60856000,-73020000,191143000,420790000,134188000,26227000,-25167000,40288000,-76892000,-63685000,4866000,4923000
83,Cash Provided by Operating Activities,- -,- -,- -,19200000,19800000,17300000,18400000,21600000,33100000,21600000,34600000,39900000,47200000,61400000,48408000,53228000,54251000,55249000,84771000,119103000,114896000,136018000,225554000,126645000,165238000,167350000,144705000,143503000,93420000,93348000,138976000,144032000,143042000,162211000,140977000,205665000
84,CAPEX,- -,- -,- -,-10800000,-13500000,-15100000,-24100000,-12300000,-6500000,-8100000,-10500000,-8800000,-36500000,-41000000,-22624000,-20770000,-13095000,-14438000,-14892000,-21920000,-39410000,-51940000,-26407000,-24027000,-26296000,-20532000,-24147000,-35687000,-43398000,-26673000,-17140000,-15167000,-21777000,-32825000,-27277000,-27189000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37906000,-6699000,-12749000,-23912000,-228928000,-79926000,-351331000,-159475000,-29346000,- -,-30431000,5010000,-36793000,-290979000,54242000,6111000,- -,- -,19141000,- -,-6000000,-243983000
86,Purchases of Investments,- -,- -,- -,-4900000,-9900000,-8100000,- -,- -,- -,- -,- -,- -,- -,- -,-22931000,- -,- -,- -,- -,-47025000,-150900000,-68100000,-10350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4000000,7000000,8700000,6100000,- -,- -,- -,- -,- -,- -,- -,27345000,825000,- -,- -,- -,45075000,146500000,60400000,29550000,- -,6248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,700000,7000000,200000,500000,10900000,500000,11800000,-48600000,-5500000,700000,100000,1069000,169000,1310000,-466000,-1085000,-1296000,-141000,-17924000,-2655000,4983000,1798000,-7109000,-3664000,900000,-637000,6197000,1724000,-86000,-269000,-1638000,-2842000,2580000
89,Cash Used for Investing Activites,- -,- -,- -,-11000000,-9400000,-14300000,-17500000,-1400000,-6000000,3700000,-59100000,-14300000,-35800000,-40900000,-55047000,-26475000,-24534000,-38816000,-244905000,-105092000,-395282000,-237039000,-39208000,-19044000,-48681000,-22631000,-64604000,-325766000,10207000,-14365000,-15416000,-15253000,-2905000,-34463000,-36119000,-268592000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87224000,-44893000,-61264000,-62687000,-242264000,-123662000,-74828000,-134273000,-293570000,-78419000,-13568000,-70527000,-63957000
91,Common Stock Issued,- -,- -,- -,- -,200000,200000,400000,600000,1100000,1300000,400000,800000,900000,2300000,3204000,4222000,5720000,4662000,19422000,15734000,166664000,6829000,14500000,1683000,3717000,8193000,3864000,20324000,12113000,1644000,5246000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-9200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3232000,-564000,-1551000,-24683000,- -,-42175000,-40267000,-2537000,- -,-49933000,-5121000,-30581000,- -,-23552000,- -,-1462000,-3182000,-64514000,-3593000
93,Dividends Paid,- -,- -,- -,-2200000,-2900000,-3500000,-4100000,-4400000,-5000000,-5900000,-8800000,-11600000,-13400000,-14300000,-15260000,-16229000,-17358000,-17936000,-19805000,-21291000,-26064000,-30141000,-32464000,-35839000,-36786000,-38064000,-38899000,-39243000,-40487000,-40976000,-40808000,-41880000,-42873000,-44732000,-45756000,-45746000
94,Other Financing Activites,- -,- -,- -,9800000,-700000,-900000,-900000,-500000,-300000,-100000,-5500000,1600000,400000,-500000,5451000,-10669000,-1747000,-327000,148422000,-2604000,203041000,152733000,-16805000,1336000,95774000,-439000,-169000,233244000,67230000,82008000,93811000,199209000,32074000,33854000,17277000,100972000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1600000,-3400000,-4200000,-4600000,-4300000,-4200000,-4700000,-13900000,-9200000,-12100000,-12500000,-6605000,-22676000,-13385000,-16833000,147475000,-9712000,318958000,129421000,-76944000,-160311000,15275000,-91574000,-147824000,-33060000,-115387000,-32152000,-99576000,-136241000,-90680000,-27628000,-163520000,-12324000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,800000,-600000,2300000,-2000000,900000,2400000,-1400000,-400000,1000000,2000000,-1438000,-2050000,-3174000,519000,6939000,-117000,1466000,1438000,6107000,-17489000,-5148000,21986000,-16348000,481000,2536000,-14173000,2752000,178000,-1974000,-2475000,-2767000,4943000
97,Net Change In Cash,- -,- -,- -,-1600000,-3400000,-4200000,-4600000,-4300000,-4200000,-4700000,-13900000,-9200000,-12100000,9900000,-14682000,2027000,13158000,119000,-5720000,4182000,40038000,29838000,115509000,-70199000,126684000,75131000,-84071000,-214842000,-9224000,32658000,26736000,-7284000,47483000,97645000,-61429000,-70308000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75500000,60784000,62811000,75969000,76088000,70368000,72970000,113008000,142846000,258355000,188156000,314840000,389971000,305900000,91058000,81834000,114492000,141228000,133944000,181427000,279072000,217643000,147335000
99,Cash at the Beginning of Period,- -,- -,- -,17200000,23800000,31700000,29900000,28500000,42400000,66100000,89100000,49300000,65300000,65600000,75466000,60784000,62811000,75969000,76088000,68788000,72970000,113008000,142846000,258355000,188156000,314840000,389971000,305900000,91058000,81834000,114492000,141228000,133944000,181427000,279072000,217643000
100,Free Cash Flow,- -,- -,- -,8400000,6300000,2200000,-5700000,9300000,26600000,13500000,24100000,31100000,10700000,20400000,25784000,32458000,41156000,40811000,69879000,97183000,75486000,84078000,199147000,102618000,138942000,146818000,120558000,107816000,50022000,66675000,121836000,128865000,121265000,129386000,113700000,178476000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000074659894000011/0000746598-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012495003299/0000950124-95-003299-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000095012400006248/0000950124-00-006248-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000095013706010861/0000950137-06-010861-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000095013707014815/0000950137-07-014815-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095013708012076/0000950137-08-012076-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012309046589/0000950123-09-046589-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012310087855/0000950123-10-087855-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012311087053/0000950123-11-087053-index.html,https://www.sec.gov/Archives/edgar/data/746598/000119312512406801/0001193125-12-406801-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659813000223/0000746598-13-000223-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659814000167/0000746598-14-000167-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659815000132/0000746598-15-000132-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659816000273/0000746598-16-000273-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659817000082/0000746598-17-000082-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659818000086/0000746598-18-000086-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659819000128/0000746598-19-000128-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659820000097/0000746598-20-000097-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659821000102/0000746598-21-000102-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
