,https://roic.ai/company/ON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2073900000,1214600000,1084500000,1069100000,1266900000,1260600000,1531800000,1566200000,2054800000,1768900000,2313400000,3442300000,2894900000,2782700000,3161800000,3495800000,3906900000,5543100000,5878300000,5517900000,5255000000,6739800000
2,COGS,1355000000,1000000000,799000000,768100000,857000000,842100000,942800000,975700000,1309300000,1148200000,1357400000,2433500000,1943000000,1844300000,2076900000,2302600000,2610000000,3509300000,3639600000,3544300000,3539200000,4025500000
3,Gross Profit,718900000,214600000,285500000,301000000,409900000,418500000,589000000,590500000,745500000,620700000,956000000,1008800000,951900000,938400000,1084900000,1193200000,1296900000,2033800000,2238700000,1973600000,1715800000,2714300000
4,Gross Profit Ratio,0.3466,0.1767,0.2633,0.2815,0.3235,0.3320,0.3845,0.3770,0.3628,0.3509,0.4132,0.2931,0.3288,0.3372,0.3431,0.3413,0.3320,0.3669,0.3808,0.3577,0.3265,0.4027
5,Research and Development Exp.,69200000,80900000,67900000,85500000,94400000,93700000,101200000,133000000,233900000,198800000,248000000,362500000,367500000,334200000,366600000,396700000,452300000,594400000,650700000,640900000,642900000,655000000
6,General and Administrative Exp.,233400000,205700000,- -,- -,- -,- -,- -,- -,122400000,104500000,129900000,192400000,160600000,148500000,180900000,182300000,230300000,284900000,293300000,284000000,258700000,304800000
7,Selling and Marketing Exp.,100100000,- -,- -,- -,- -,- -,- -,- -,134400000,120900000,145600000,195100000,180900000,171200000,200000000,204300000,238000000,315900000,324700000,301000000,278700000,293600000
8,"Selling, General and Administrative Exp.",333500000,205700000,- -,- -,- -,- -,- -,- -,256800000,225400000,275500000,387500000,341500000,319700000,380900000,386600000,468300000,600800000,618000000,585000000,537400000,598400000
9,Other Expenses,16800000,22600000,175200000,133800000,146000000,153900000,177700000,177300000,22900000,29000000,31700000,42700000,44400000,33100000,68400000,135700000,104800000,123800000,111700000,115200000,120300000,99000000
10,Operating Expenses,419500000,309200000,243100000,219300000,240400000,247600000,278900000,310300000,513600000,453200000,555200000,792700000,753400000,687000000,815900000,919000000,1025400000,1319000000,1380400000,1341100000,1300600000,1352400000
11,COGS and Expenses,1774500000,1309200000,1042100000,987400000,1097400000,1089700000,1221700000,1286000000,1822900000,1601400000,1912600000,3226200000,2696400000,2531300000,2892800000,3221600000,3635400000,4828300000,5020000000,4885400000,4839800000,5377900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,6900000,800000,500000,1100000,1500000,1300000,1500000,1100000,4500000,3000000,6100000,10200000,4900000,1400000
13,Interest Expense (Gain),131200000,- -,- -,- -,- -,- -,- -,- -,38300000,64600000,61400000,68900000,56100000,38600000,34100000,49700000,145300000,141200000,128200000,148300000,168400000,130400000
14,Depreciation and Amortization,158900000,171800000,141500000,136500000,109400000,100700000,84200000,96900000,142100000,155600000,166900000,229400000,243600000,211800000,268800000,357600000,364100000,481900000,508700000,593100000,625100000,596700000
15,EBITDA,411300000,-313900000,8400000,-22500000,-6900000,202800000,357200000,346800000,-209100000,288900000,531600000,332800000,222500000,428100000,492400000,624300000,687600000,1168300000,1389400000,1015800000,967900000,1883300000
16,EBITDA ratio,0.1983,-0.2584,0.0077,-0.0210,-0.0054,0.1609,0.2332,0.2214,-0.1018,0.1633,0.2298,0.0967,0.0769,0.1538,0.1557,0.1786,0.1760,0.2108,0.2364,0.1841,0.1842,0.2794
17,Operating Income,267700000,-245000000,14700000,20500000,149900000,167600000,317000000,277200000,-365900000,142600000,374200000,113400000,-16300000,218200000,228900000,261100000,236100000,680900000,847200000,432700000,348700000,1287600000
18,Operating Income ratio,0.1291,-0.2017,0.0136,0.0192,0.1183,0.1330,0.2069,0.1770,-0.1781,0.0806,0.1618,0.0329,-0.0056,0.0784,0.0724,0.0747,0.0604,0.1228,0.1441,0.0784,0.0664,0.1910
19,Total Other Income Expenses (Gains),-126800000,-124300000,-141300000,-156800000,-262900000,-59000000,-40800000,-25900000,-23300000,-71600000,-68500000,-75600000,-56600000,-37300000,-37000000,-41300000,-55500000,-133400000,-92200000,-156100000,-172100000,-129800000
20,Income Before Tax,140900000,-369300000,-126600000,-136300000,-113000000,108600000,276200000,251300000,-389200000,71000000,305700000,37800000,-72900000,180900000,191900000,219800000,180600000,547500000,755000000,276600000,176600000,1157800000
21,Income Before Tax Ratio,0.0679,-0.3041,-0.1167,-0.1275,-0.0892,0.0861,0.1803,0.1605,-0.1894,0.0401,0.1321,0.0110,-0.0252,0.0650,0.0607,0.0629,0.0462,0.0988,0.1284,0.0501,0.0336,0.1718
22,Income Tax expense (Gain),50100000,345700000,8800000,7700000,7400000,1500000,900000,7700000,-9400000,7700000,12800000,22900000,13400000,26900000,-200000,10800000,-3900000,-265500000,125100000,62700000,-59800000,146600000
23,Net Income,71100000,-831400000,-141900000,-166700000,-123700000,100600000,272100000,242200000,-380100000,61000000,290500000,11600000,-90600000,150800000,189700000,206200000,182100000,810700000,627400000,211700000,234200000,1009600000
24,Net Income ratio,0.0343,-0.6845,-0.1308,-0.1559,-0.0976,0.0798,0.1776,0.1546,-0.1850,0.0345,0.1256,0.0034,-0.0313,0.0542,0.0600,0.0590,0.0466,0.1463,0.1067,0.0384,0.0446,0.1498
25,EPS,0.39,-4.88,-0.86,-0.94,-0.55,0.24,0.85,0.83,-1.04,0.14,0.67,0.03,-0.20,0.37,0.44,0.49,0.44,1.92,1.48,0.52,0.57,2.46
26,EPS Diluted,0.38,-4.88,-0.86,-0.94,-0.55,0.21,0.80,0.80,-1.04,0.14,0.65,0.03,-0.20,0.36,0.44,0.48,0.43,1.89,1.44,0.51,0.56,2.46
27,Weighted Average Shares Outstanding,160200000,170368852,175600000,187400000,247800000,263300000,319800000,290800000,379000000,420800000,431000000,446700000,452600000,447900000,439500000,421200000,415200000,421900000,423800000,410900000,410700000,410700000
28,Weighted Average Shares Outstanding Diluted,165600000,170368852,175600000,187400000,247800000,296800000,342100000,301200000,379000000,438100000,444400000,457200000,452600000,450700000,443500000,427800000,420000000,428300000,435900000,416000000,418800000,410700000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1097864/000095015301500189/0000950153-01-500189-index.html,https://www.sec.gov/Archives/edgar/data/1097864/000095015302000606/0000950153-02-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000095015303000532/0000950153-03-000532-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312504038086/0001193125-04-038086-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312505066747/0001193125-05-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312506036587/0001193125-06-036587-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1097864/000119312508026462/0001193125-08-026462-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312509040877/0001193125-09-040877-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312510040363/0001193125-10-040363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312511045204/0001193125-11-045204-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/0001193125-12-072371-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/0001193125-13-076823-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312514062363/0001193125-14-062363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/0001193125-15-069358-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312516475009/0001193125-16-475009-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312517062207/0001193125-17-062207-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312518051397/0001193125-18-051397-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312519045025/0001193125-19-045025-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312520041751/0001193125-20-041751-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828021002219/0001628280-21-002219-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828022002416/0001628280-22-002416-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,188900000,179800000,182400000,186600000,105700000,233300000,268800000,274600000,458700000,525700000,623300000,652900000,486900000,509500000,511700000,617600000,1028100000,949200000,1069600000,894200000,1080700000,1352600000
32,Short-Term Investments,- -,- -,- -,- -,80000000,- -,- -,- -,- -,45500000,- -,248600000,144800000,116200000,6100000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,188900000,179800000,182400000,186600000,185700000,233300000,268800000,274600000,458700000,571200000,623300000,901500000,631700000,625700000,517800000,617600000,1028100000,949200000,1069600000,894200000,1080700000,1352600000
34,Net Receivables,271200000,142300000,121600000,136100000,131500000,160200000,177900000,175200000,188800000,260900000,294600000,498200000,392100000,415100000,457900000,456100000,629800000,701500000,686000000,705000000,676000000,809400000
35,Inventory,258100000,183700000,160000000,171600000,193400000,169500000,212700000,220500000,335500000,269900000,360800000,637400000,581700000,611800000,729900000,750400000,1030200000,1089500000,1225200000,1232400000,1251400000,1379500000
36,Other Current Assets,80300000,45000000,43000000,28400000,26400000,37300000,41400000,75000000,62200000,66600000,79300000,90600000,87900000,57600000,100200000,67400000,181000000,193000000,187000000,188400000,176000000,240100000
37,Total Current Assets,798500000,550800000,507000000,522700000,537000000,600300000,700800000,745300000,1045200000,1168600000,1358000000,2127700000,1693400000,1710200000,1805800000,1891500000,2869100000,2933200000,3167800000,3020000000,3184100000,3781600000
38,PP&E,648200000,555500000,454100000,499100000,472000000,438500000,578100000,614900000,770800000,705500000,864300000,1109500000,1103300000,1074200000,1203900000,1274100000,2159100000,2279100000,2549600000,2591600000,2512300000,2524300000
39,Goodwill,- -,- -,- -,- -,- -,- -,80700000,172400000,160200000,175400000,191200000,198700000,613600000,184600000,264700000,270600000,924700000,916900000,932500000,1659200000,1663400000,1937500000
40,Intangible Assets,- -,117200000,104000000,77300000,77300000,77300000,10400000,57500000,333400000,298700000,303000000,337200000,-172000000,223400000,457600000,326800000,762100000,628600000,566400000,590500000,469000000,495700000
41,Intangible Assets,140800000,117200000,104000000,77300000,77300000,77300000,91100000,229900000,493600000,474100000,494200000,535900000,441600000,408000000,722300000,597400000,1686800000,1545500000,1498900000,2249700000,2132400000,2433200000
