,https://roic.ai/company/DVN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-1700000,-1400000,1100000,4700000,-20700000,19300000,29500000,26900000,32700000,67800000,131300000,81800000,201400000,1296309000,304000000,365000000,2789000000,3748000000,5025000000,4496000000,4522000000,-3779000000,- -,4021000000,4630000000,- -,621000000,4698000000,-20727000000,-2895000000,- -,- -,- -,- -,- -
18,Operating Income ratio,-0.1118,-0.0765,0.0418,0.1588,-0.7263,0.2809,0.2986,0.2669,0.2886,0.4170,0.4194,0.2213,0.2815,0.4656,0.0989,0.0846,0.3794,0.4079,0.4678,0.4250,0.3980,-0.2484,- -,0.4405,0.4379,- -,0.0597,0.2401,-1.5768,-0.2810,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),400000,700000,300000,-600000,-400000,200000,-3500000,-5600000,-7100000,-8500000,-10000000,-157600000,-41600000,-154329000,-220000000,-499000000,-544000000,-455000000,-473000000,-484000000,-298000000,-254000000,-537000000,-453000000,-340000000,-2472000000,-472000000,-639000000,-541000000,-982000000,-112000000,-682000000,-290000000,-2977000000,-348000000
20,Income Before Tax,-1300000,-700000,1400000,4100000,-21100000,19500000,26000000,21300000,25600000,59300000,121300000,-75800000,159800000,1141980000,84000000,-134000000,2245000000,3293000000,4552000000,4012000000,4224000000,-4033000000,-4526000000,3568000000,4290000000,-317000000,149000000,4059000000,-21268000000,-3877000000,896000000,920000000,-109000000,-3090000000,2898000000
21,Income Before Tax Ratio,-0.0855,-0.0383,0.0532,0.1385,-0.7404,0.2838,0.2632,0.2113,0.2259,0.3647,0.3874,-0.2050,0.2233,0.4102,0.0273,-0.0310,0.3054,0.3584,0.4238,0.3793,0.3718,-0.2651,-0.5647,0.3908,0.4058,-0.0334,0.0143,0.2075,-1.6180,-0.3763,0.0642,0.0857,-0.0175,-0.6400,0.2374
22,Income Tax expense (Gain),-200000,-100000,500000,1500000,-6100000,4900000,6800000,7600000,11100000,24500000,46000000,-15500000,65200000,411638000,30000000,-193000000,514000000,1107000000,1622000000,1189000000,1078000000,-954000000,-1773000000,1235000000,2156000000,-132000000,169000000,2368000000,-6065000000,-173000000,-182000000,156000000,-30000000,-547000000,65000000
23,Net Income,-1100000,-600000,900000,2600000,-15000000,14600000,20500000,13700000,14500000,34800000,75300000,-60300000,94600000,730342000,103000000,104000000,1747000000,2186000000,2930000000,2846000000,3606000000,-2148000000,-2479000000,4550000000,4704000000,-206000000,-20000000,1607000000,-14454000000,-3302000000,898000000,3064000000,-355000000,-2680000000,2813000000
24,Net Income ratio,-0.0724,-0.0328,0.0342,0.0878,-0.5263,0.2125,0.2075,0.1359,0.1280,0.2140,0.2405,-0.1631,0.1322,0.2623,0.0335,0.0241,0.2376,0.2379,0.2728,0.2690,0.3174,-0.1412,-0.3093,0.4984,0.4449,-0.0217,-0.0019,0.0821,-1.0996,-0.3205,0.0644,0.2854,-0.0571,-0.5551,0.2305
25,EPS,-0.09,-0.04,0.01,0.01,-0.99,0.47,0.52,0.32,0.33,0.79,1.17,-0.63,0.76,2.83,0.36,0.30,4.16,4.51,6.38,6.42,8.08,-4.85,-5.58,10.35,11.29,-0.52,-0.06,3.93,-35.55,-6.52,1.71,6.14,-0.89,-7.12,0.00
26,EPS Diluted,-0.09,-0.04,0.01,0.01,-0.99,0.45,0.52,0.32,0.33,0.76,1.08,-0.63,0.73,2.75,0.36,0.30,4.04,4.38,6.26,6.34,8.00,-4.85,-5.58,10.31,11.25,-0.52,-0.06,3.91,-35.55,-6.52,1.70,6.10,-0.89,-7.12,0.00
27,Weighted Average Shares Outstanding,12941176,15000000,20000000,17358000,17386935,30416667,39423077,42812500,43939394,44331210,64358974,96480000,120030000,254842000,256000000,310000000,418000000,482000000,458000000,442000000,445000000,444000000,444000000,440000000,417000000,404000000,406000000,409000000,412000000,513000000,525000000,499000000,407000000,377000000,677000000
28,Weighted Average Shares Outstanding Diluted,12941176,15000000,20000000,17358000,17386935,30416667,39423077,43492063,44615385,45789474,69400922,96480000,124520548,263460000,260000000,312000000,434000000,499000000,470000000,448000000,450000000,444000000,446000000,441000000,418000000,404000000,406000000,411000000,412000000,513000000,528000000,502000000,407000000,377000000,679000000
