,https://roic.ai/company/DVN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1090012/000095013403003538/0000950134-03-003538-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013404003010/0000950134-04-003010-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013405004427/0000950134-05-004427-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013406004215/d33154e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013407004377/d43782e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013408003698/d54280e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013409003904/0000950134-09-003904-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095012310017093/0000950123-10-017093-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095012311018537/d78726e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/0001193125-12-077085-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000119312513068817/0001193125-13-068817-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/d656849d10k.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/d859923d10k.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312516466687/0001193125-16-466687-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459017001607/0001564590-17-001607-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459018002582/0001564590-18-002582-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459019003382/0001564590-19-003382-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459020005182/0001564590-20-005182-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459021006239/0001564590-21-006239-index.htm,https://www.sec.gov/Archives/edgar/data/1090012/000156459022005321/0001564590-22-005321-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,900000,2600000,-15000000,14600000,20500000,13700000,14500000,34800000,75300000,-60300000,94600000,730342000,103000000,104000000,1747000000,2186000000,2930000000,2846000000,3606000000,-2148000000,-2479000000,4550000000,4704000000,-206000000,-20000000,1607000000,-14454000000,-3302000000,898000000,3064000000,-355000000,-2680000000,2813000000
74,Depreciation and Amortization,- -,- -,7300000,8000000,7800000,19900000,28400000,34100000,38100000,43400000,85300000,123800000,269100000,734672000,936000000,1211000000,1793000000,2290000000,2191000000,2442000000,2858000000,3509000000,2108000000,1930000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000000,- -
75,Deferred Income Tax,- -,- -,500000,1300000,-6200000,3600000,5300000,7200000,300000,- -,20800000,-23200000,40500000,280845000,-41000000,-216000000,321000000,355000000,384000000,370000000,578000000,-1573000000,-2014000000,719000000,2299000000,-184000000,97000000,1891000000,-5828000000,-273000000,-294000000,226000000,-25000000,-328000000,49000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000000,198000000,161000000,115000000,88000000,99000000
77,Change in Working Capital,- -,- -,-2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,189800000,115350000,-143150000,-140000000,271000000,190000000,789000000,-2705000000,1690000000,-708000000,-359000000,1782000000,1595000000,401000000,-1618000000,-787000000,168000000,425000000,320000000,735000000,-287000000,-104000000,-116000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000000,23000000,-185000000,140000000,-288000000,128000000,942000000,-176000000,-284000000,88000000,-3000000,231000000,-526000000
79,Inventory,- -,- -,100000,400000,500000,300000,-200000,200000,-100000,-200000,-300000,1100000,-3000000,-8322000,15000000,10000000,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91000000,37000000,64000000,-8000000,26000000,-68000000,-190000000,-167000000,105000000,- -,-54000000,-38000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189800000,305150000,162000000,22000000,293000000,483000000,1272000000,-1433000000,257000000,-451000000,-810000000,972000000,2567000000,2968000000,1350000000,563000000,731000000,1156000000,1476000000,2211000000,1924000000,1820000000,- -
82,Other Non-Cash Items,- -,- -,100000,1800000,22700000,-7600000,9800000,-8600000,8400000,8600000,-12700000,151300000,-388400000,-242177000,1031150000,795000000,-364000000,-205000000,-682000000,3040000000,-2081000000,10328000000,7481000000,-3503000000,-2374000000,4945000000,6977000000,3270000000,25497000000,4702000000,1787000000,-1482000000,2623000000,3078000000,2054000000
83,Cash Provided by Operating Activities,- -,- -,6600000,13700000,9300000,30500000,64000000,46400000,61300000,86800000,168700000,191600000,205600000,1619032000,1886000000,1754000000,3768000000,4816000000,5612000000,5993000000,6651000000,9408000000,4737000000,5478000000,6224000000,4956000000,5436000000,5981000000,5383000000,1746000000,2909000000,2704000000,2071000000,1354000000,4899000000
84,CAPEX,- -,- -,-16100000,-30900000,-12000000,-15900000,-85600000,-35600000,-117600000,-98900000,-130500000,-375500000,-332000000,-1280132000,-5326000000,-3426000000,-2587000000,-3103000000,-4090000000,-7551000000,-6158000000,-9375000000,-4879000000,-6476000000,-7534000000,-8225000000,-6758000000,-13450000000,-6415000000,-3971000000,-2805000000,-2506000000,-1941000000,-1161000000,-2007000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4020000000,-2395000000,-934000000,-50000000,- -,-145000000,-6691000000,-4106000000,-1076000000,- -,- -,- -,- -,- -,- -,- -,-25000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42600000,- -,12781000,- -,- -,- -,2589000000,4307000000,2501000000,1136000000,300000000,7000000,21000000,5343000000,3266000000,3419000000,57000000,- -,- -,190000000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,5100000,6200000,1800000,-124700000,11400000,-37800000,7000000,4100000,-800000,60900000,78300000,93950000,41000000,1380000000,155000000,-3120000000,2151000000,-48000000,408000000,4107000000,-5361000000,12000000,-4298000000,-6686000000,-6342000000,-1779000000,-5217000000,769000000,-2354000000,1110000000,952000000,-638000000,-1875000000
89,Cash Used for Investing Activites,- -,- -,-11000000,-24700000,-10200000,-140600000,-74200000,-73400000,-110600000,-94800000,-131300000,-272000000,-253700000,-1173401000,-5285000000,-2046000000,-2432000000,-3634000000,-1652000000,-7493000000,-5548000000,-5018000000,-5354000000,-112000000,-5646000000,-7526000000,-3999000000,-8184000000,-6324000000,-872000000,-2210000000,1055000000,921000000,-646000000,-1574000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178000000,-350000000,-1760000000,-1287000000,-1872000000,-7574000000,-2941000000,-5035000000,-2118000000,-922000000,-162000000,- -,-1243000000
91,Common Stock Issued,- -,- -,28500000,300000,100000,87200000,1000000,400000,800000,600000,3600000,2800000,422200000,76487000,48000000,32000000,155000000,268000000,124000000,73000000,91000000,116000000,- -,- -,- -,- -,- -,410000000,679000000,2361000000,501000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-600000,-100000,-1900000,-2600000,- -,- -,- -,- -,- -,-10699000,-204000000,- -,- -,-189000000,-2263000000,-253000000,-326000000,-815000000,- -,-1168000000,-2332000000,- -,- -,- -,- -,- -,- -,-2956000000,-1849000000,-38000000,-589000000
93,Dividends Paid,- -,- -,-800000,-2300000,-2300000,-1700000,- -,- -,-2600000,-3100000,-6400000,-7300000,-16400000,-31955000,-35000000,-41000000,-49000000,-107000000,-146000000,-209000000,-259000000,-289000000,-284000000,-281000000,-278000000,-324000000,-348000000,-386000000,-396000000,-221000000,-127000000,-149000000,-140000000,-257000000,-1315000000
94,Other Financing Activites,- -,- -,-20500000,15800000,4100000,22500000,25100000,18000000,51600000,11000000,-1700000,62100000,-210400000,-423404000,3561000000,410000000,-520000000,-973000000,-1258000000,982000000,123000000,-2420000000,1663000000,-1305000000,6061000000,3240000000,2240000000,5196000000,4506000000,1731000000,1753000000,-176000000,-1488000000,-11000000,-145000000
95,Cash Used/Provided by Financing Activities,- -,- -,7200000,13800000,1300000,107900000,24200000,15800000,49800000,8500000,-4500000,57600000,195400000,-389571000,3370000000,401000000,-414000000,-1001000000,-3543000000,593000000,-371000000,-3408000000,1201000000,-3104000000,1691000000,1629000000,20000000,-2354000000,1848000000,-1164000000,9000000,-4203000000,-3639000000,-306000000,-3292000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-100000,700000,-1177000,-6000000,- -,59000000,39000000,37000000,13000000,51000000,-116000000,43000000,17000000,-4000000,23000000,-28000000,-29000000,-77000000,-61000000,6000000,206000000,45000000,-9000000,1000000
97,Net Change In Cash,- -,- -,7200000,13800000,1300000,107900000,24200000,15800000,49800000,8500000,-4500000,57600000,148000000,54883000,-35000000,109000000,981000000,220000000,454000000,-850000000,617000000,-989000000,627000000,2279000000,2265000000,-918000000,1429000000,-4586000000,830000000,-351000000,714000000,-238000000,-602000000,393000000,34000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167200000,228050000,193000000,292000000,1273000000,1152000000,1606000000,756000000,1373000000,384000000,1011000000,3290000000,5555000000,4637000000,6066000000,1480000000,2310000000,1959000000,2673000000,2446000000,1844000000,2237000000,2271000000
99,Cash at the Beginning of Period,- -,- -,1800000,4600000,7300000,7700000,5600000,19600000,8300000,8900000,9400000,42100000,19200000,173167000,228000000,183000000,292000000,932000000,1152000000,1606000000,756000000,1373000000,384000000,1011000000,3290000000,5555000000,4637000000,6066000000,1480000000,2310000000,1959000000,2684000000,2446000000,1844000000,2237000000
100,Free Cash Flow,- -,- -,-9500000,-17200000,-2700000,14600000,-21600000,10800000,-56300000,-12100000,38200000,-183900000,-126400000,338900000,-3440000000,-1672000000,1181000000,1713000000,1522000000,-1558000000,493000000,33000000,-142000000,-998000000,-1310000000,-3269000000,-1322000000,-7469000000,-1032000000,-2225000000,104000000,198000000,130000000,193000000,2892000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1090012/000095013403003538/0000950134-03-003538-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013404003010/0000950134-04-003010-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013405004427/0000950134-05-004427-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013406004215/d33154e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013407004377/d43782e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013408003698/d54280e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013409003904/0000950134-09-003904-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095012310017093/0000950123-10-017093-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095012311018537/d78726e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/0001193125-12-077085-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000119312513068817/0001193125-13-068817-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/d656849d10k.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/d859923d10k.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312516466687/0001193125-16-466687-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459017001607/0001564590-17-001607-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459018002582/0001564590-18-002582-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459019003382/0001564590-19-003382-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459020005182/0001564590-20-005182-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459021006239/0001564590-21-006239-index.htm,https://www.sec.gov/Archives/edgar/data/1090012/000156459022005321/0001564590-22-005321-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
