,https://roic.ai/company/RMBS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,6600000,7300000,7400000,8200000,12200000,20700000,23700000,24700000,36686000,66582000,57538000,74962000,85111000,115670000,204974000,222931000,203561000,195451000,216371000,296014000,253097000,194429000,184795000,181664000,224989000,260075000,262250000,260931000,226517000,227961000
11,COGS and Expenses,7700000,9300000,11200000,13400000,15800000,24100000,29900000,33800000,44734000,76445000,65143000,90913000,105357000,135436000,235366000,250055000,224864000,202327000,223308000,320099000,281469000,227644000,226742000,227008000,292079000,339222000,315951000,312306000,287265000,298355000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17042000,4085000,861000,- -,59000,-1596000,-276000,1224000,1740000,1384000,32621000,27375000,17516000,9711000
13,Interest Expense (Gain),- -,- -,-300000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20950000,19699000,24265000,27510000,32885000,24820000,12413000,12745000,13720000,16282000,9852000,10340000,10706000
14,Depreciation and Amortization,- -,- -,1700000,1600000,1200000,2100000,2800000,3100000,4045000,5353000,5130000,5643000,8147000,14575000,19657000,16488000,15665000,13645000,15167000,32085000,43535000,44360000,40243000,37453000,50103000,55237000,40086000,40565000,47364000,44277000
15,EBITDA,-5600000,-6000000,-4800000,-4400000,-2900000,5400000,14100000,16900000,-134749000,55000000,43136000,39790000,56032000,71167000,-6048000,-31868000,-56006000,-58132000,242910000,30549000,-46840000,65228000,115313000,110097000,85485000,109946000,-14260000,-36599000,18073000,78269000
16,EBITDA ratio,-2.9474,-1.7647,-0.9600,-0.5946,-0.2566,0.2077,0.3720,0.3894,-1.8635,0.4694,0.4467,0.3366,0.3868,0.4527,-0.0310,-0.1771,-0.3930,-0.5144,0.7511,0.0978,-0.2001,0.2402,0.3888,0.3716,0.2540,0.2797,-0.0617,-0.1634,0.0745,0.2384
17,Operating Income,-5700000,-6000000,-6200000,-6100000,-4500000,1900000,8000000,9600000,27577000,40715000,31422000,27290000,39517000,21762000,-40042000,-70115000,-88713000,-75862000,226882000,-1536000,-90434000,22464000,75346000,71420000,33642000,54407000,-86967000,-104539000,-46807000,24281000
18,Operating Income ratio,-3.0000,-1.7647,-1.2400,-0.8243,-0.3982,0.0731,0.2111,0.2212,0.3814,0.3475,0.3254,0.2309,0.2728,0.1384,-0.2050,-0.3897,-0.6226,-0.6713,0.7016,-0.0049,-0.3864,0.0827,0.2541,0.2411,0.0999,0.1384,-0.3762,-0.4666,-0.1928,0.0740
19,Total Other Income Expenses (Gains),100000,-100000,-100000,400000,400000,1400000,3300000,4200000,-166371000,8932000,6584000,6857000,8368000,34830000,14337000,21759000,17042000,-16865000,-18838000,-24265000,-27451000,-34481000,-25096000,-11189000,-11005000,-13418000,16339000,17523000,7176000,-995000
20,Income Before Tax,-5600000,-6100000,-6300000,-5700000,-4100000,3300000,11300000,13800000,-138794000,49647000,38006000,34147000,47885000,56592000,-25705000,-48356000,-71671000,-92727000,208044000,-25801000,-117885000,-12017000,50250000,60231000,22637000,40989000,-70628000,-87016000,-39631000,23286000
21,Income Before Tax Ratio,-2.9474,-1.7941,-1.2600,-0.7703,-0.3628,0.1269,0.2982,0.3180,-1.9194,0.4238,0.3936,0.2889,0.3305,0.3600,-0.1316,-0.2687,-0.5030,-0.8205,0.6433,-0.0826,-0.5037,-0.0443,0.1694,0.2033,0.0673,0.1043,-0.3055,-0.3884,-0.1633,0.0709
