,https://roic.ai/company/K,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2930100000,3340700000,3793000000,4348800000,4651700000,5181400000,5786600000,6190600000,6295400000,6562000000,7003700000,6676600000,6830100000,6762000000,6984200000,6954700000,8853300000,8304000000,8812000000,- -,10177200000,10906700000,11776000000,- -,12822000000,12575000000,13198000000,14197000000,14792000000,- -,14580000000,13014000000,12854000000,13547000000,13578000000,- -,13770000000
2,COGS,1529600000,1651900000,1826200000,2093700000,2246200000,2476400000,2605900000,2756200000,2723800000,2694600000,2918900000,2871400000,2982800000,3005000000,3037100000,3327000000,4128500000,4569000000,4899000000,- -,5611600000,6081500000,6597000000,- -,7455000000,7184000000,7750000000,8733000000,8637000000,- -,9422000000,8259000000,8367000000,8910000000,9235000000,- -,9043000000
3,Gross Profit,1400500000,1688800000,1966800000,2255100000,2405500000,2705000000,3180700000,3434400000,3571600000,3867400000,4084800000,3805200000,3847300000,3757000000,3947100000,3627700000,4724800000,3735000000,3913000000,- -,4565600000,4825200000,5179000000,- -,5367000000,5391000000,5448000000,5464000000,6155000000,- -,5158000000,4755000000,4487000000,4637000000,4343000000,- -,4727000000
4,Gross Profit Ratio,0.4780,0.5055,0.5185,0.5186,0.5171,0.5221,0.5497,0.5548,0.5673,0.5894,0.5832,0.5699,0.5633,0.5556,0.5651,0.5216,0.5337,0.4498,0.4441,- -,0.4486,0.4424,0.4398,- -,0.4186,0.4287,0.4128,0.3849,0.4161,- -,0.3538,0.3654,0.3491,0.3423,0.3199,- -,0.3433
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,154000000,144000000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2448700000,2566700000,2458700000,2366800000,2514000000,2585700000,2551400000,3523600000,2227000000,2369000000,- -,2815300000,- -,3311000000,- -,3414000000,3365000000,3472000000,3799000000,3220000000,- -,4014000000,3360000000,2852000000,2793000000,2755000000,- -,2966000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",766700000,948700000,1162500000,1321300000,1505400000,1618800000,1930000000,2140100000,2237500000,2448700000,2566700000,2458700000,2366800000,2514000000,2585700000,2551400000,3523600000,2227000000,2368500000,- -,2815300000,3059400000,3311000000,- -,3414000000,3390000000,3472000000,3872000000,3266000000,- -,4039000000,3360000000,3076000000,3020000000,2980000000,- -,2966000000
9,Other Expenses,75400000,92700000,113100000,139700000,167600000,200200000,222800000,231500000,265200000,256100000,258800000,251500000,287300000,278000000,288000000,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,30000000,52000000,- -,95000000,- -,-124000000,-243000000,-177000000,- -,- -
