,https://roic.ai/company/SBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,462138000,281013000,105557000,435827069,328206000,464997000,625732000,771008000,1989179000,2149989000,1921178000,1782001000,1722991000,1639214000,1886221000,2283047000,3029191000,2253210000,3807547000,3151314000
34,Net Receivables,- -,911235000,811701000,1031126000,1361605000,1510735000,1555805000,1344542000,1318734000,1217765000,1376108000,1297620000,1403352000,1406217000,1717897000,1855334000,2186545000,2475555000,2546456000,2394755000,3144838000
35,Inventory,- -,22642000,22308000,29604000,36070000,48889000,53141000,47678000,39877000,36096000,44611000,53090000,58401000,66487000,64066000,58002000,85671000,65596000,70454000,104848000,113506000
36,Other Current Assets,- -,196171000,42699000,63503000,-108116069,31202000,150574000,220460000,141504000,347081000,155125000,64977000,10333000,19750000,29156000,24078000,18822000,31900000,26018000,133688000,93340000
37,Total Current Assets,- -,1592186000,1157721000,1229790000,1725386000,1919032000,2224517000,2238412000,2271123000,3590121000,3725833000,3336865000,3254087000,3215445000,3450333000,3823635000,4574085000,5602242000,4896138000,6440838000,6502998000
38,PP&E,- -,13608369000,14063248000,14040922000,13613581000,13837498000,14060073000,14926616000,50552000,249606000,356468000,383383000,199496000,304845000,325076000,302383000,255050000,267612000,314393000,268251000,291157000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,502518000,495118000,507789000,815416000,17057295000,18546836000,20141677000,21991922000,23846231000,25979526000,28513626000,31246788000,33466132000,29012460000,32325447000,34405575000,- -
41,Intangible Assets,- -,- -,- -,- -,502518000,495118000,507789000,815416000,17057295000,18546836000,20141677000,21991922000,23846231000,25979526000,28513626000,31246788000,33466132000,29012460000,32325447000,34405575000,36503834000
42,Investments,- -,740000,740000,5100000,740000,720000,720000,720000,720000,- -,52585000,- -,23660000,21223000,28105000,31096000,36932000,44587000,53187000,63417000,79437000
43,Tax Assets,- -,206042160,222804000,- -,298820000,342654000,357226000,435341000,43636000,78440000,179463000,141356000,114030000,209478000,128242000,186345000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,924599840,1086157000,1507996000,1294121000,1404931000,1513051000,1697406000,819798000,885581000,758958000,822267000,836790000,624923000,1261232000,1154787000,1214245000,8638217000,8868635000,9240555000,9788059000
45,Total Non-Current Assets,- -,14739751000,15372949000,15554018000,15709780000,16080921000,16438859000,17875499000,17972001000,19760463000,21489151000,23338928000,25020207000,27139995000,30256281000,32921399000,34972359000,37962876000,41561662000,43977798000,46662487000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,16331937000,16530670000,16783808000,17435166000,17999953000,18663376000,20113911000,20243124000,23350584000,25214984000,26675793000,28274294000,30355440000,33706614000,36745034000,39546444000,43565118000,46457800000,50418636000,53165485000
48,Accounts Payable,- -,36611000,51934000,51578000,77781000,144167000,165267000,385654000,435259000,522299000,255557000,297198000,275051000,323513000,248158000,311960000,344947000,465993000,369631000,263741000,236763000
49,Short-Term Debt,- -,1332533880,996998000,1496810000,759013000,852475000,742114000,1448860000,1009947000,1242143000,1630010000,1367391000,640940000,1207126000,1526262000,1246567000,1746755000,2103612000,2859843000,3034449000,1830617000
50,Tax Payable,- -,- -,84488000,115119000,106131000,105552000,127735000,130410000,218867000,158050000,181122000,153121000,115382000,74138000,107295000,168757000,183965000,200563000,250318000,266819000,257130000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,156987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,652140120,679390000,552501000,855172000,1105294000,1390369000,1182405000,1635924000,1741672000,2083101000,2132781000,2056390000,1949937000,1965896000,2743981000,2680178000,2829027000,3223950000,2601940000,3025547000
53,Total Current Liabilities,- -,2021285000,1728322000,2100889000,1691966000,2101936000,2454737000,3016919000,3081130000,3506114000,3968668000,3797370000,2972381000,3480576000,3740316000,4302508000,4771880000,5398632000,6453424000,5900130000,5092927000
54,Long-Term Debt,- -,6592984500,6267265000,5553843000,5905208000,5474254000,4943121000,5416248000,5548023000,7022472000,6966285000,7701929000,8809134000,9578641000,11595338000,10717576000,10354211000,11049184000,10384866000,14224175000,15893219000
