,https://roic.ai/company/MS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,-900200000,-1035100000,- -,-1904700000,1324200000,1072000000,1265500000,- -,5006300000,5554100000,6419600000,22171000000,16326000000,17617000000,22538000000,27272000000,22948000000,20445000000,22124000000,24690000000,27345000000,34614000000,28026000000,20085000000,23358000000,31622000000,32403000000,24576000000,30706000000,32469000000,33263000000,32711000000,35852000000,37714000000,38926000000,45269000000,56414000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1531000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20640000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9309,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1137600000,1057000000,1396000000,- -,1703900000,1764200000,1981600000,7921000000,6019000000,6636000000,8398000000,10936000000,9397000000,7933000000,8545000000,9880000000,11313000000,14387000000,16552000000,12306000000,17000000000,17713000000,18218000000,17535000000,18045000000,19459000000,17783000000,17665000000,18957000000,19648000000,21031000000,23319000000,24628000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,470400000,607200000,735100000,- -,1179000000,1411000000,1679000000,2058000000,1258000000,1133000000,967000000,1129000000,1162000000,1247000000,813000000,776000000,503000000,582000000,602000000,602000000,638000000,658000000,681000000,587000000,609000000,691000000,660000000,434000000,643000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1137600000,1057000000,1396000000,- -,2174300000,2371400000,2716700000,3065000000,7198000000,8047000000,10077000000,12994000000,10655000000,9066000000,9512000000,11009000000,12475000000,15634000000,17365000000,13082000000,17503000000,18295000000,18820000000,18137000000,18683000000,20117000000,18464000000,18252000000,19566000000,20339000000,21691000000,23753000000,25271000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14458000000,- -,- -,- -,- -,- -,- -,- -,- -,4734000000,5101000000,6337000000,- -,4647000000,6737000000,7297000000,7445000000,9252000000,10567000000,8196000000,7531000000,7976000000,8531000000,8427000000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17523000000,- -,- -,- -,- -,- -,- -,- -,- -,17209000000,20735000000,23702000000,- -,22150000000,25032000000,26117000000,25582000000,27935000000,30684000000,26660000000,25783000000,27542000000,28870000000,30118000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19054000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,4506800000,4797700000,5519700000,- -,1909200000,2507200000,3319000000,3587300000,13583000000,16436000000,13755000000,21234000000,24127000000,15866000000,15744000000,18590000000,28175000000,45216000000,60083000000,40725000000,7702000000,7278000000,7264000000,5725000000,5209000000,5413000000,5835000000,7016000000,8997000000,13892000000,17098000000,10162000000,9411000000
13,Interest Expense (Gain),900200000,1035100000,- -,1904700000,3378400000,3711000000,3924500000,- -,815300000,1048500000,1514800000,1566200000,10806000000,13514000000,11390000000,18176000000,20779000000,11970000000,12809000000,14859000000,24425000000,41937000000,57302000000,37523000000,7105000000,6521000000,7114000000,6646000000,5426000000,5233000000,5159000000,5040000000,5709000000,10086000000,12404000000,5380000000,1366000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,51300000,58800000,70000000,83300000,338000000,575000000,541000000,727000000,729000000,787000000,637000000,805000000,815000000,876000000,475000000,794000000,1224000000,1419000000,1404000000,1581000000,1511000000,1161000000,1433000000,1736000000,1753000000,1844000000,2643000000,3769000000,4216000000
15,EBITDA,1083500000,1357700000,- -,2541200000,4116700000,4181200000,4697000000,- -,1862800000,2321900000,2980700000,4766500000,15418000000,19357000000,19659000000,27429000000,27103000000,17390000000,18780000000,21953000000,32037000000,53560000000,61817000000,40504000000,9339000000,13382000000,14046000000,8056000000,10695000000,9771000000,14919000000,15481000000,17741000000,23028000000,26153000000,23384000000,25164000000
16,EBITDA ratio,-1.2036,-1.3117,- -,-1.3342,3.1088,3.9004,3.7116,- -,0.3721,0.4181,0.4643,0.2150,0.9444,1.0988,0.8723,1.0058,1.1811,0.8506,0.8489,0.8891,1.1716,1.5474,2.2057,2.0166,0.3998,0.4232,0.4335,0.3278,0.3483,0.3009,0.4485,0.4733,0.4948,0.6106,0.6719,0.5166,0.4461
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3117000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8514000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1406,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1509
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11154000000
20,Income Before Tax,183300000,322600000,364200000,636500000,738300000,470200000,772500000,- -,996200000,1214600000,1395900000,3117000000,4274000000,5385000000,7728000000,8526000000,5684000000,4633000000,5334000000,6312000000,7050000000,10772000000,3394000000,2287000000,857000000,6202000000,6114000000,515000000,4482000000,3591000000,8495000000,8848000000,10403000000,11237000000,11301000000,14418000000,19668000000
21,Income Before Tax Ratio,-0.2036,-0.3117,Infinity,-0.3342,0.5575,0.4386,0.6104,- -,0.1990,0.2187,0.2174,0.1406,0.2618,0.3057,0.3429,0.3126,0.2477,0.2266,0.2411,0.2557,0.2578,0.3112,0.1211,0.1139,0.0367,0.1961,0.1887,0.0210,0.1460,0.1106,0.2554,0.2705,0.2902,0.2980,0.2903,0.3185,0.3486
22,Income Tax expense (Gain),77400000,121300000,133300000,241900000,295300000,199800000,297400000,- -,392600000,473700000,539500000,1137000000,1688000000,1992000000,2937000000,3070000000,2074000000,1645000000,1547000000,1803000000,1858000000,3275000000,831000000,480000000,-336000000,739000000,1418000000,-239000000,826000000,-90000000,2200000000,2726000000,4168000000,2350000000,2064000000,3239000000,4548000000
23,Net Income,105900000,201300000,230900000,394600000,443000000,270400000,475100000,- -,603600000,740900000,856400000,1980000000,2586000000,3276000000,4791000000,5456000000,3521000000,2988000000,3787000000,4486000000,4939000000,7472000000,3209000000,1707000000,1346000000,4703000000,4110000000,68000000,2932000000,3467000000,6127000000,5979000000,6111000000,8748000000,9042000000,10996000000,15034000000
